cohort,unit,seed_17,module,case_17,reference_17,n_case_17,n_reference_17,difference_17,interpretable_17,unit_type_17,seed_29,case_29,reference_29,n_case_29,n_reference_29,difference_29,interpretable_29,unit_type_29,same_sign
GSE247130,SeV_Cebpa_mutant,17,AT2_published_holdout,two_marker,reference,209,8544,-0.01755901822123318,True,pooled_library,29,two_marker,reference,207,8544,-0.02655499689429741,True,pooled_library,True
GSE247130,SeV_Cebpa_mutant,17,AT1_published_holdout,two_marker,reference,209,8544,0.04656831183333526,True,pooled_library,29,two_marker,reference,207,8544,0.043700762591036224,True,pooled_library,True
GSE247130,SeV_Cebpa_mutant,17,DATP_PATS_holdout_panel,two_marker,reference,209,8544,0.09124528101834431,True,pooled_library,29,two_marker,reference,207,8544,0.0985896818288733,True,pooled_library,True
GSE247130,SeV_Cebpa_mutant,17,HALLMARK_HYPOXIA,two_marker,reference,209,8544,0.018774217831746903,True,pooled_library,29,two_marker,reference,207,8544,0.016447805738853793,True,pooled_library,True
GSE247130,SeV_Cebpa_mutant,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,209,8544,0.009110887581203105,True,pooled_library,29,two_marker,reference,207,8544,0.010412244302541097,True,pooled_library,True
GSE247130,SeV_Cebpa_mutant,17,HALLMARK_P53_PATHWAY,two_marker,reference,209,8544,0.015275499278255403,True,pooled_library,29,two_marker,reference,207,8544,0.0181528008329207,True,pooled_library,True
GSE277777,AV1975,17,HPCS_author_top100,HPCS,AT2-like,449,202,0.09288315427606578,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.0904416585924762,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,HPCS_excluding_operational_markers,HPCS,AT2-like,449,202,0.0895596972002323,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.0868069720390747,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,HPCS_without_ADI_or_operational_markers,HPCS,AT2-like,449,202,0.077865894494657,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.07673471733950499,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,ADI_published_holdout,HPCS,AT2-like,449,202,0.13118285914996675,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.1298337136790812,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,AT2_published_holdout,HPCS,AT2-like,449,202,-0.11408071479147361,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,-0.1129895843278984,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,AT1_published_holdout,HPCS,AT2-like,449,202,0.06030520010321111,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.059422636504821325,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,DATP_PATS_holdout_panel,HPCS,AT2-like,449,202,0.30307173256301145,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.27242607334230085,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,HALLMARK_HYPOXIA,HPCS,AT2-like,449,202,0.04313637542970521,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.0459735911040756,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,HALLMARK_INFLAMMATORY_RESPONSE,HPCS,AT2-like,449,202,0.0129249335707513,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.013943423504377196,True,source_identifier_at_most_two_animals,True
GSE277777,AV1975,17,HALLMARK_P53_PATHWAY,HPCS,AT2-like,449,202,0.035853050783920315,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,449,202,0.03714231111307119,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HPCS_author_top100,HPCS,AT2-like,679,594,0.0777450549699655,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.0783141241798931,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HPCS_excluding_operational_markers,HPCS,AT2-like,679,594,0.0737018823895972,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.07408337176378418,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HPCS_without_ADI_or_operational_markers,HPCS,AT2-like,679,594,0.0662617581996709,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.06688592220852149,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,ADI_published_holdout,HPCS,AT2-like,679,594,0.09576923999394032,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.09639952848189753,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,AT2_published_holdout,HPCS,AT2-like,679,594,-0.10866416038597182,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,-0.10782608318636819,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,AT1_published_holdout,HPCS,AT2-like,679,594,0.02561513354122802,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.026869952964476973,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,DATP_PATS_holdout_panel,HPCS,AT2-like,679,594,0.267154857361043,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.2508839003684364,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HALLMARK_HYPOXIA,HPCS,AT2-like,679,594,0.025007554208036825,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.026058694297343088,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HALLMARK_INFLAMMATORY_RESPONSE,HPCS,AT2-like,679,594,0.004930358237918403,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.006118370540621393,True,source_identifier_at_most_two_animals,True
GSE277777,AV1980,17,HALLMARK_P53_PATHWAY,HPCS,AT2-like,679,594,0.005285131058327008,True,source_identifier_at_most_two_animals,29,HPCS,AT2-like,679,594,0.005375838365529101,True,source_identifier_at_most_two_animals,True
GSE300288,GSM9057709,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0015138243155222997,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.0014778878332546985,True,retained_mouse_library,False
GSE300288,GSM9057709,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0031601880518289105,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0005045292970990017,True,retained_mouse_library,True
GSE300288,GSM9057709,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.005501089324618701,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0018320459496929953,True,retained_mouse_library,True
GSE300288,GSM9057709,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.037066160368746215,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.03627534990002862,True,retained_mouse_library,True
GSE300288,GSM9057709,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.03260768874478928,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.03293820298606462,True,retained_mouse_library,True
GSE300288,GSM9057709,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.1980459886890854,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.20252633004842696,True,retained_mouse_library,True
GSE300288,GSM9057709,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.03950617283950619,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.046332607116920915,True,retained_mouse_library,True
GSE300288,GSM9057709,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.006064281382656203,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0037194259146958036,True,retained_mouse_library,True
GSE300288,GSM9057709,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.013734382641945597,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.012578364679204992,True,retained_mouse_library,True
GSE300288,GSM9057709,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.012310491206792007,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.00905374750129151,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0012808978704169915,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0018989635846655972,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0028310024255202987,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.004445558496324803,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0017350278241159978,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0038202447503470002,True,retained_mouse_library,True
GSE300288,GSM9057716,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.01026297131042031,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.009072868500661302,True,retained_mouse_library,True
GSE300288,GSM9057716,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.006798264238541907,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.0026294513998188773,True,retained_mouse_library,True
GSE300288,GSM9057716,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.212719739125449,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.21753130109948499,True,retained_mouse_library,True
GSE300288,GSM9057716,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.05792127748984449,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0575710883877294,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.008197313147037505,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.009016105810539701,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.009906778231673706,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.011020236642072405,True,retained_mouse_library,True
GSE300288,GSM9057716,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.005507716434916099,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0022282135445924056,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.007154096581660302,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0073412913727617934,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0096371191135734,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.009664819944598294,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0138935406698565,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0143510765550239,True,retained_mouse_library,True
GSE300288,GSM9057720,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.05853199837640388,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.05431335407928567,True,retained_mouse_library,True
GSE300288,GSM9057720,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.003987429202928605,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.0031468434866694095,True,retained_mouse_library,True
GSE300288,GSM9057720,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.1931142623397874,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.19345718571038983,True,retained_mouse_library,True
GSE300288,GSM9057720,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.05105263157894738,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.06565789473684211,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.007532555615843706,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.006243895822029305,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.008625134264232004,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.007932330827067603,True,retained_mouse_library,True
GSE300288,GSM9057720,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.007288388497015713,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.011370048833423713,True,retained_mouse_library,True
GSE300288,GSM9057721,17,HPCS_author_top100,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.011763150938408698,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.010479211510139308,True,retained_mouse_library,True
GSE300288,GSM9057721,17,HPCS_excluding_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.01002506265664159,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.009909388856757295,True,retained_mouse_library,True
GSE300288,GSM9057721,17,HPCS_without_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004682817182817198,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004516317016316995,True,retained_mouse_library,True
GSE300288,GSM9057721,17,ADI_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.04709643398589419,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.040434287220919685,True,retained_mouse_library,True
GSE300288,GSM9057721,17,AT2_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.006561679790026198,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.0033313143549363877,True,retained_mouse_library,True
GSE300288,GSM9057721,17,AT1_published_holdout,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.20164550475431298,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.21030006263166884,True,retained_mouse_library,True
GSE300288,GSM9057721,17,DATP_PATS_holdout_panel,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.00396825396825401,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.005799755799755807,True,retained_mouse_library,False
GSE300288,GSM9057721,17,HALLMARK_HYPOXIA,mixed_AT2_AT1_alveolar,AT1_like,39,182,6.608511763149527e-05,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.0027566934783428976,True,retained_mouse_library,False
GSE300288,GSM9057721,17,HALLMARK_INFLAMMATORY_RESPONSE,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.0033266053674217005,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,-0.00655976676384841,True,retained_mouse_library,True
GSE300288,GSM9057721,17,HALLMARK_P53_PATHWAY,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.0234413352970054,True,retained_mouse_library,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.021855292473849097,True,retained_mouse_library,True
GSE310539,wildtype_SeV,17,HPCS_author_top100,two_marker,reference,58,4661,0.046537998630174895,True,pooled_library,29,two_marker,reference,54,4664,0.05500586801480549,True,pooled_library,True
GSE310539,wildtype_SeV,17,HPCS_excluding_operational_markers,two_marker,reference,58,4661,0.03696145573876179,True,pooled_library,29,two_marker,reference,54,4664,0.04537300030807849,True,pooled_library,True
GSE310539,wildtype_SeV,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,58,4661,0.0323274034038698,True,pooled_library,29,two_marker,reference,54,4664,0.04132076949101959,True,pooled_library,True
GSE310539,wildtype_SeV,17,ADI_published_holdout,two_marker,reference,58,4661,0.06000732985544588,True,pooled_library,29,two_marker,reference,54,4664,0.0671646516772304,True,pooled_library,True
GSE310539,wildtype_SeV,17,AT2_published_holdout,two_marker,reference,58,4661,-0.057759287791608716,True,pooled_library,29,two_marker,reference,54,4664,-0.0626789668645098,True,pooled_library,True
GSE310539,wildtype_SeV,17,AT1_published_holdout,two_marker,reference,58,4661,0.03682157984193457,True,pooled_library,29,two_marker,reference,54,4664,0.04365926627731431,True,pooled_library,True
GSE310539,wildtype_SeV,17,DATP_PATS_holdout_panel,two_marker,reference,58,4661,0.1384877449711103,True,pooled_library,29,two_marker,reference,54,4664,0.16833958028926582,True,pooled_library,True
GSE310539,wildtype_SeV,17,HALLMARK_HYPOXIA,two_marker,reference,58,4661,0.017427891453650396,True,pooled_library,29,two_marker,reference,54,4664,0.020089595956371095,True,pooled_library,True
GSE310539,wildtype_SeV,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,58,4661,0.009036306930054791,True,pooled_library,29,two_marker,reference,54,4664,0.006184453960734304,True,pooled_library,True
GSE310539,wildtype_SeV,17,HALLMARK_P53_PATHWAY,two_marker,reference,58,4661,0.016257161669571307,True,pooled_library,29,two_marker,reference,54,4664,0.023818801867993303,True,pooled_library,True
GSE310539,AP1mut_SeV,17,HPCS_author_top100,two_marker,reference,47,7840,0.0633712320314464,True,pooled_library,29,two_marker,reference,44,7843,0.0609047960970896,True,pooled_library,True
GSE310539,AP1mut_SeV,17,HPCS_excluding_operational_markers,two_marker,reference,47,7840,0.0535937521885899,True,pooled_library,29,two_marker,reference,44,7843,0.0515496319572689,True,pooled_library,True
GSE310539,AP1mut_SeV,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,47,7840,0.046943761423421396,True,pooled_library,29,two_marker,reference,44,7843,0.04395824746700511,True,pooled_library,True
GSE310539,AP1mut_SeV,17,ADI_published_holdout,two_marker,reference,47,7840,0.08333427274346727,True,pooled_library,29,two_marker,reference,44,7843,0.08899941806673917,True,pooled_library,True
GSE310539,AP1mut_SeV,17,AT2_published_holdout,two_marker,reference,47,7840,-0.0773643303388834,True,pooled_library,29,two_marker,reference,44,7843,-0.08959496006219692,True,pooled_library,True
