resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,gsm,treatment,ligand_min,receptor_min,score
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.3291163848373,3.75835957856056
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.63194626751174,3.814341682621695
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.37621535562578,3.15368286374614
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.77886997825986,3.51323110926346
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.43061519048256,3.115424473005165
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.60091959151191,4.13246907930486
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.2384232944639,2.97159522725022
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.3291163848373,3.75835957856056
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.63194626751174,3.814341682621695
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.37621535562578,3.15368286374614
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.77886997825986,3.51323110926346
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.43061519048256,3.115424473005165
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.60091959151191,4.13246907930486
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.2384232944639,2.97159522725022
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.47529235225547,3.831447562269645
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,4.89616379358713,4.44645044565939
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.75506874732484,3.34310955959567
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,4.65092735561591,3.949259797941485
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.8847315485349,3.342482652031335
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.8164144375048,4.240216502301305
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,4.90740420100959,3.806085680523065
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.47529235225547,3.831447562269645
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,4.89616379358713,4.44645044565939
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.94229283163891,3.436721601752705
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,4.6939108835503,3.9707515619086804
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.8847315485349,3.342482652031335
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.8164144375048,4.240216502301305
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,4.90740420100959,3.806085680523065
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.60801065888174,3.8978067155827802
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,5.15264105602013,4.57468907687589
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.75506874732484,3.34310955959567
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,4.65092735561591,3.949259797941485
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,4.06745109205325,3.4338424237905096
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.9642631008171,4.314140833957455
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,4.90740420100959,3.806085680523065
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.60801065888174,3.8978067155827802
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,5.15264105602013,4.57468907687589
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.75506874732484,3.34310955959567
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,4.65092735561591,3.949259797941485
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,4.06745109205325,3.4338424237905096
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.9642631008171,4.314140833957455
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,4.90740420100959,3.806085680523065
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,2.62490948103661,2.9062561266602147
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.24799996245388,3.622368530092765
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,3.05206379017357,2.4916070810200353
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.07174627331635,3.1596692567917053
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.67546783508173,3.23785079530475
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,3.18006811338445,3.42204334024113
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.2384232944639,2.97159522725022
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,3.77294161606343,3.480272194173625
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.24799996245388,3.622368530092765
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,2.81694392191479,2.374047146890645
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.51689546237117,3.382243851319115
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,2.26276733171774,2.531500543622755
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,3.24760593501236,3.455812251055085
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.74625945302898,3.22551330653276
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,0.912158026461592,2.049880399372706
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,-0.303634247139911,1.8465514252958695
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,-0.303634247139913,0.8137580623632935
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,2.61555654997233,2.931574395119695
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,2.76416838101828,2.782201068273025
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,3.1092126534297,3.386615610263755
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,1.48601934652605,2.095393253281295
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,0.912158026461592,2.049880399372706
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,-0.303634247139911,1.8465514252958695
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,-0.303634247139913,0.8137580623632935
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,-0.303634247139911,1.4719789965635746
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,-0.303634247139911,1.2482997541939296
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,0.315673507810712,1.989846037454261
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,0.55959554624771,1.632181353142125
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.60801065888174,3.8978067155827802
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,4.74851563036266,4.372626364047155
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,4.75506874732484,3.34310955959567
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,4.65092735561591,3.949259797941485
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,4.06745109205325,3.4338424237905096
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,4.9642631008171,4.314140833957455
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,4.90740420100959,3.806085680523065
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,4.78667193948898,3.9871373558864
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,5.55943999254858,4.778088545140115
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,5.62803550447268,3.77959293816959
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,5.16025903991619,4.203925640091625
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,5.1981142829831,3.9991740192554355
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,5.23774811965393,4.45088334337587
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,5.80459363216862,4.2546803961025805
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,5.77948319191342,4.48354298209862
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,5.64544407344548,4.821090585588565
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,5.66397037301375,3.797560372440125
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,5.64947837369542,4.44853530698124
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,5.54481267821028,4.172523216869025
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,5.86167890580352,4.762848736450665
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,5.80459363216862,4.2546803961025805
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,2.62490948103661,2.9062561266602147
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.24799996245388,3.622368530092765
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,3.05206379017357,2.4916070810200353
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.07174627331635,3.1596692567917053
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,3.67546783508173,3.23785079530475
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,3.18006811338445,3.42204334024113
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.2384232944639,2.97159522725022
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,3.77294161606343,3.480272194173625
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,3.24799996245388,3.622368530092765
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,2.81694392191479,2.374047146890645
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,3.51689546237117,3.382243851319115
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,2.26276733171774,2.531500543622755
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,3.24760593501236,3.455812251055085
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,3.74625945302898,3.22551330653276
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp6,WNT10B,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,0.912158026461592,2.049880399372706
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp6,WNT10B,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,-0.303634247139911,1.8465514252958695
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp6,WNT10B,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,-0.303634247139913,0.8137580623632935
