gene	supplied_set	source_cell	evidence
ADAMTS18	ATF3_unique	A23	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APLP2	HNF1B_unique	B23	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATP11A	ATF3 _HNF1B_common	C23	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LRIG3	iATCs _upregulated	D23	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAMTS3	ATF3_unique	A24	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP18	HNF1B_unique	B24	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BACH1	ATF3 _HNF1B_common	C24	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DLGAP1	iATCs _upregulated	D24	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAMTS9	ATF3_unique	A25	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP24	HNF1B_unique	B25	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BCAS1	ATF3 _HNF1B_common	C25	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPRJ	iATCs _upregulated	D25	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRB2	ATF3_unique	A26	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP5	HNF1B_unique	B26	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BCAS4	ATF3 _HNF1B_common	C26	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APPL2	iATCs _upregulated	D26	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRE1	ATF3_unique	A27	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARID5B	HNF1B_unique	B27	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BCO1	ATF3 _HNF1B_common	C27	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TJP2	iATCs _upregulated	D27	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRF4	ATF3_unique	A28	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARNT	HNF1B_unique	B28	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BTC	ATF3 _HNF1B_common	C28	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IGFBP3	iATCs _upregulated	D28	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRF5	ATF3_unique	A29	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARNT2	HNF1B_unique	B29	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C12orf66	ATF3 _HNF1B_common	C29	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DAB2IP	iATCs _upregulated	D29	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRV1	ATF3_unique	A30	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASZ1	HNF1B_unique	B30	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C15orf48	ATF3 _HNF1B_common	C30	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GOLPH3	iATCs _upregulated	D30	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADH1C	ATF3_unique	A31	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATG4C	HNF1B_unique	B31	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C1D	ATF3 _HNF1B_common	C31	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR72	iATCs _upregulated	D31	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADH7	ATF3_unique	A32	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATL2	HNF1B_unique	B32	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAMK1G	ATF3 _HNF1B_common	C32	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC41A2	iATCs _upregulated	D32	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADORA2A	ATF3_unique	A33	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATP2B1	HNF1B_unique	B33	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CASP10	ATF3 _HNF1B_common	C33	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC28A3	iATCs _upregulated	D33	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADRB2	ATF3_unique	A34	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATP5J	HNF1B_unique	B34	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CBLB	ATF3 _HNF1B_common	C34	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRT23	iATCs _upregulated	D34	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AFAP1L2	ATF3_unique	A35	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ATP9B	HNF1B_unique	B35	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC112	ATF3 _HNF1B_common	C35	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NFIA	iATCs _upregulated	D35	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGBL1	ATF3_unique	A36	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
B3GAT1	HNF1B_unique	B36	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC68	ATF3 _HNF1B_common	C36	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PARP14	iATCs _upregulated	D36	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGTR2	ATF3_unique	A37	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BICC1	HNF1B_unique	B37	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD28	ATF3 _HNF1B_common	C37	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITGB6	iATCs _upregulated	D37	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AHCYL1	ATF3_unique	A38	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BICD2	HNF1B_unique	B38	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD33	ATF3 _HNF1B_common	C38	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NR3C2	iATCs _upregulated	D38	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AHNAK2	ATF3_unique	A39	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BMP4	HNF1B_unique	B39	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH26	ATF3 _HNF1B_common	C39	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FGD6	iATCs _upregulated	D39	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AIMP1	ATF3_unique	A40	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C1GALT1	HNF1B_unique	B40	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDKN2AIPNL	ATF3 _HNF1B_common	C40	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NOSTRIN	iATCs _upregulated	D40	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AK2	ATF3_unique	A41	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C3orf58	HNF1B_unique	B41	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEACAM20	ATF3 _HNF1B_common	C41	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKN	iATCs _upregulated	D41	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AKAP13	ATF3_unique	A42	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C5orf24	HNF1B_unique	B42	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CELF4	ATF3 _HNF1B_common	C42	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SULT1E1	iATCs _upregulated	D42	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AKR1D1	ATF3_unique	A43	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C5orf46	HNF1B_unique	B43	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CERS6	ATF3 _HNF1B_common	C43	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGEF28	iATCs _upregulated	D43	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALDH1A3	ATF3_unique	A44	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C6	HNF1B_unique	B44	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CFLAR	ATF3 _HNF1B_common	C44	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSD3	iATCs _upregulated	D44	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALDH1B1	ATF3_unique	A45	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C8orf4	HNF1B_unique	B45	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CFTR	ATF3 _HNF1B_common	C45	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMPD4	iATCs _upregulated	D45	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALDH7A1	ATF3_unique	A46	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAPZA3	HNF1B_unique	B46	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHST11	ATF3 _HNF1B_common	C46	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FGGY	iATCs _upregulated	D46	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALG10B	ATF3_unique	A47	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CASK	HNF1B_unique	B47	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CKAP4	ATF3 _HNF1B_common	C47	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENC1	iATCs _upregulated	D47	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALG1L	ATF3_unique	A48	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAVIN2	HNF1B_unique	B48	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMPK2	ATF3 _HNF1B_common	C48	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGR3	iATCs _upregulated	D48	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALK	ATF3_unique	A49	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC148	HNF1B_unique	B49	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNOT4	ATF3 _HNF1B_common	C49	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FNIP2	iATCs _upregulated	D49	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALKBH3	ATF3_unique	A50	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC80	HNF1B_unique	B50	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNTN1	ATF3 _HNF1B_common	C50	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ICAM1	iATCs _upregulated	D50	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALS2CL	ATF3_unique	A51	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCL20	HNF1B_unique	B51	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COG2	ATF3 _HNF1B_common	C51	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC16A7	iATCs _upregulated	D51	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AMN	ATF3_unique	A52	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCND1	HNF1B_unique	B52	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL17A1	ATF3 _HNF1B_common	C52	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CBLB	iATCs _upregulated	D52	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AMOT	ATF3_unique	A53	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD200R1L	HNF1B_unique	B53	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL24A1	ATF3 _HNF1B_common	C53	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
VPS41	iATCs _upregulated	D53	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AMOTL1	ATF3_unique	A54	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH10	HNF1B_unique	B54	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CORO2A	ATF3 _HNF1B_common	C54	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTTNBP2	iATCs _upregulated	D54	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AMZ2	ATF3_unique	A55	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH11	HNF1B_unique	B55	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPM	ATF3 _HNF1B_common	C55	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TGIF1	iATCs _upregulated	D55	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANK3	ATF3_unique	A56	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH2	HNF1B_unique	B56	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPN2	ATF3 _HNF1B_common	C56	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX60L	iATCs _upregulated	D56	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKDD1B	ATF3_unique	A57	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH5	HNF1B_unique	B57	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPNE8	ATF3 _HNF1B_common	C57	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POU6F2	iATCs _upregulated	D57	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKK1	ATF3_unique	A58	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDKN3	HNF1B_unique	B58	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPSF6	ATF3 _HNF1B_common	C58	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MYO16	iATCs _upregulated	D58	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD11	ATF3_unique	A59	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDR2	HNF1B_unique	B59	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CSN1S1	ATF3 _HNF1B_common	C59	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZFP36L2	iATCs _upregulated	D59	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD30A	ATF3_unique	A60	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEACAM5	HNF1B_unique	B60	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTAGE1	ATF3 _HNF1B_common	C60	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PKN2	iATCs _upregulated	D60	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD39	ATF3_unique	A61	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEACAM7	HNF1B_unique	B61	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CTTNBP2	ATF3 _HNF1B_common	C61	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENOX1	iATCs _upregulated	D61	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD44	ATF3_unique	A62	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHD1	HNF1B_unique	B62	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CYB5A	ATF3 _HNF1B_common	C62	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APP	iATCs _upregulated	D62	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD50	ATF3_unique	A63	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHMP4B	HNF1B_unique	B63	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CYFIP2	ATF3 _HNF1B_common	C63	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRT17	iATCs _upregulated	D63	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKS6	ATF3_unique	A64	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHRDL1	HNF1B_unique	B64	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CYP1B1	ATF3 _HNF1B_common	C64	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMD6	iATCs _upregulated	D64	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANO3	ATF3_unique	A65	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHST9	HNF1B_unique	B65	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CYP2J2	ATF3 _HNF1B_common	C65	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CORO2A	iATCs _upregulated	D65	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANO5	ATF3_unique	A66	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CIDEC	HNF1B_unique	B66	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DAB2	ATF3 _HNF1B_common	C66	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNCAIP	iATCs _upregulated	D66	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AP2B1	ATF3_unique	A67	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CLEC14A	HNF1B_unique	B67	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DAB2IP	ATF3 _HNF1B_common	C67	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HOOK1	iATCs _upregulated	D67	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APOLD1	ATF3_unique	A68	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNTNAP4	HNF1B_unique	B68	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DAOA	ATF3 _HNF1B_common	C68	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX60	iATCs _upregulated	D68	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AQP4	ATF3_unique	A69	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COL28A1	HNF1B_unique	B69	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX60	ATF3 _HNF1B_common	C69	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GABRP	iATCs _upregulated	D69	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AREL1	ATF3_unique	A70	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
COMMD5	HNF1B_unique	B70	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX60L	ATF3 _HNF1B_common	C70	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CYP1B1	iATCs _upregulated	D70	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
