comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,LUAD,normal,down,focused_triad,WNT2B,-0.0182586374669609,4.0,23,23,True,2.0,5.0,-0.023867997225609,-0.0129232242111685
AT2,AT2,LUAD,normal,down,focused_triad,WNT5A,-0.0142313838771523,2.0,23,23,True,2.0,8.0,-0.0217157670016456,-0.0111335901206889
AT2,AT2,LUAD,normal,down,focused_triad,WNT9A,-0.0196840631014986,6.0,23,20,False,4.0,6.0,-0.0238892331155732,-0.0142784923435981
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,AREG,-0.0396732545786815,19.0,23,23,True,18.0,20.0,-0.0439741174697879,-0.034433994818548
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,CXCL12,-0.0358881322892735,18.0,23,23,True,17.0,20.0,-0.0401572690102052,-0.0307958862207199
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,CXCL2,-0.0261617305388941,16.0,23,23,True,9.0,17.0,-0.0333990258374509,-0.0188616008949805
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,FGF10,-0.024764979181045,14.0,23,20,False,12.0,18.0,-0.031245725825486,-0.0209816534026646
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,FGF7,-0.041408585467942,20.0,23,23,True,18.0,20.0,-0.0448412332333349,-0.0349504518186993
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,HBEGF,0.0031802619025206,1.0,23,23,True,1.0,1.0,-0.0015241716559171,0.0077228181115708
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,TGFB1,-0.0470342790732821,21.0,23,23,True,20.0,21.0,-0.0528424642441103,-0.0387694029886365
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,VEGFA,-0.0154483760221961,3.0,23,23,True,2.0,14.0,-0.0232823508800563,-0.0094515311025706
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT10A,-0.0201580404979868,10.0,23,23,True,7.0,11.0,-0.0251873570040064,-0.0148091780470545
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT10B,-0.0226707051749096,13.0,23,23,True,12.0,14.0,-0.027634915274667,-0.0175144313879625
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT11,-0.018906470232005,7.0,23,23,True,4.0,7.0,-0.0238806004096912,-0.0136510780072508
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT2,-0.0208414700418482,12.0,23,23,True,8.0,13.0,-0.0262934590437212,-0.0151055361362262
