"comp","label","case","reference","direction","gene"
"AT2","AT2","MIA","normal","down","TTN"
"AT2","AT2","MIA","normal","down","CCDC141"
"AT2","AT2","MIA","normal","down","ACADL"
"AT2","AT2","MIA","normal","down","PRLH"
"AT2","AT2","MIA","normal","down","LMCD1"
"AT2","AT2","MIA","normal","down","ZMYND10"
"AT2","AT2","MIA","normal","down","STAB1"
"AT2","AT2","MIA","normal","down","ADAMTS9"
"AT2","AT2","MIA","normal","down","FRMD4B"
"AT2","AT2","MIA","normal","down","ABI3BP"
"AT2","AT2","MIA","normal","down","NFKBIZ"
"AT2","AT2","MIA","normal","down","TIPARP"
"AT2","AT2","MIA","normal","down","CCNL1"
"AT2","AT2","MIA","normal","down","CD38"
"AT2","AT2","MIA","normal","down","TBC1D1"
"AT2","AT2","MIA","normal","down","RASGEF1B"
"AT2","AT2","MIA","normal","down","SNX25"
"AT2","AT2","MIA","normal","down","IRF1"
"AT2","AT2","MIA","normal","down","MUCL3"
"AT2","AT2","MIA","normal","down","DAAM2"
"AT2","AT2","MIA","normal","down","TREM1"
"AT2","AT2","MIA","normal","down","CNR1"
"AT2","AT2","MIA","normal","down","SCIN"
"AT2","AT2","MIA","normal","down","GLI3"
"AT2","AT2","MIA","normal","down","NAMPT"
"AT2","AT2","MIA","normal","down","FOXP2"
"AT2","AT2","MIA","normal","down","STC1"
"AT2","AT2","MIA","normal","down","FABP4"
"AT2","AT2","MIA","normal","down","SLC25A25"
"AT2","AT2","MIA","normal","down","PRKCQ"
"AT2","AT2","MIA","normal","down","SPOCK2"
"AT2","AT2","MIA","normal","down","CYP2C18"
"AT2","AT2","MIA","normal","down","ENTPD1"
"AT2","AT2","MIA","normal","down","BLNK"
"AT2","AT2","MIA","normal","down","TACC2"
"AT2","AT2","MIA","normal","down","C11orf91"
"AT2","AT2","MIA","normal","down","KCNK7"
"AT2","AT2","MIA","normal","down","NOP2"
"AT2","AT2","MIA","normal","down","YBX3"
"AT2","AT2","MIA","normal","down","SOX5"
"AT2","AT2","MIA","normal","down","CAPRIN2"
"AT2","AT2","MIA","normal","down","PTPRB"
"AT2","AT2","MIA","normal","down","SOCS2"
"AT2","AT2","MIA","normal","down","SYCP3"
"AT2","AT2","MIA","normal","down","STX2"
"AT2","AT2","MIA","normal","down","LATS2"
"AT2","AT2","MIA","normal","down","LNX2"
"AT2","AT2","MIA","normal","down","HSPH1"
"AT2","AT2","MIA","normal","down","TBC1D4"
"AT2","AT2","MIA","normal","down","SLAIN1"
"AT2","AT2","MIA","normal","down","HDC"
"AT2","AT2","MIA","normal","down","INSYN1"
"AT2","AT2","MIA","normal","down","AGBL1"
"AT2","AT2","MIA","normal","down","TMEM204"
"AT2","AT2","MIA","normal","down","SNX29"
"AT2","AT2","MIA","normal","down","TMC7"
"AT2","AT2","MIA","normal","down","NR1D1"
"AT2","AT2","MIA","normal","down","MAP3K14"
"AT2","AT2","MIA","normal","down","SOCS3"
"AT2","AT2","MIA","normal","down","DCC"
"AT2","AT2","MIA","normal","down","LDLR"
"AT2","AT2","MIA","normal","down","IQCN"
"AT2","AT2","MIA","normal","down","CCDC9"
"AT2","AT2","MIA","normal","down","ADAM33"
"AT2","AT2","MIA","normal","down","CD93"
"AT2","AT2","MIA","normal","down","CSF2RB"
"AT2","AT2","MIA","normal","down","SCO2"
"AT2","AT2","MIA","normal","down","DIAPH2"
"AT2","AT2","MIA","normal","down","RPA4"
"AT2","AT2","LUAD","normal","up","PLEKHN1"
"AT2","AT2","LUAD","normal","up","HES4"
"AT2","AT2","LUAD","normal","up","ISG15"
"AT2","AT2","LUAD","normal","up","AGRN"
"AT2","AT2","LUAD","normal","up","TNFRSF18"
"AT2","AT2","LUAD","normal","up","SDF4"
"AT2","AT2","LUAD","normal","up","B3GALT6"
"AT2","AT2","LUAD","normal","up","CPTP"
"AT2","AT2","LUAD","normal","up","MXRA8"
"AT2","AT2","LUAD","normal","up","AURKAIP1"
"AT2","AT2","LUAD","normal","up","VWA1"
"AT2","AT2","LUAD","normal","up","GNB1"
"AT2","AT2","LUAD","normal","up","FAAP20"
"AT2","AT2","LUAD","normal","up","RER1"
"AT2","AT2","LUAD","normal","up","PEX10"
"AT2","AT2","LUAD","normal","up","PRXL2B"
"AT2","AT2","LUAD","normal","up","TPRG1L"
"AT2","AT2","LUAD","normal","up","TP73"
"AT2","AT2","LUAD","normal","up","LRRC47"
"AT2","AT2","LUAD","normal","up","ICMT"
"AT2","AT2","LUAD","normal","up","ACOT7"
"AT2","AT2","LUAD","normal","up","TNFRSF25"
"AT2","AT2","LUAD","normal","up","KLHL21"
"AT2","AT2","LUAD","normal","up","VAMP3"
"AT2","AT2","LUAD","normal","up","ENO1"
"AT2","AT2","LUAD","normal","up","SPSB1"
"AT2","AT2","LUAD","normal","up","PIK3CD"
"AT2","AT2","LUAD","normal","up","CLSTN1"
"AT2","AT2","LUAD","normal","up","LZIC"
"AT2","AT2","LUAD","normal","up","PGD"
"AT2","AT2","LUAD","normal","up","CENPS"
"AT2","AT2","LUAD","normal","up","DFFA"
"AT2","AT2","LUAD","normal","up","SRM"
"AT2","AT2","LUAD","normal","up","UBIAD1"
"AT2","AT2","LUAD","normal","up","FBXO6"
"AT2","AT2","LUAD","normal","up","MAD2L2"
"AT2","AT2","LUAD","normal","up","AGTRAP"
"AT2","AT2","LUAD","normal","up","KIAA2013"
"AT2","AT2","LUAD","normal","up","PLOD1"
"AT2","AT2","LUAD","normal","up","MFN2"
"AT2","AT2","LUAD","normal","up","TMEM51"
"AT2","AT2","LUAD","normal","up","EFHD2"
"AT2","AT2","LUAD","normal","up","FBLIM1"
"AT2","AT2","LUAD","normal","up","MFAP2"
"AT2","AT2","LUAD","normal","up","SDHB"
"AT2","AT2","LUAD","normal","up","RCC2"
"AT2","AT2","LUAD","normal","up","KLHDC7A"
"AT2","AT2","LUAD","normal","up","ALDH4A1"
"AT2","AT2","LUAD","normal","up","MRTO4"
"AT2","AT2","LUAD","normal","up","AKR7A2"
"AT2","AT2","LUAD","normal","up","CAPZB"
"AT2","AT2","LUAD","normal","up","MICOS10"
"AT2","AT2","LUAD","normal","up","PLA2G2D"
"AT2","AT2","LUAD","normal","up","UBXN10"
"AT2","AT2","LUAD","normal","up","MUL1"
"AT2","AT2","LUAD","normal","up","CDA"
"AT2","AT2","LUAD","normal","up","DDOST"
"AT2","AT2","LUAD","normal","up","ECE1"
"AT2","AT2","LUAD","normal","up","C1QC"
"AT2","AT2","LUAD","normal","up","EPHB2"
"AT2","AT2","LUAD","normal","up","KDM1A"
"AT2","AT2","LUAD","normal","up","FUCA1"
"AT2","AT2","LUAD","normal","up","SYF2"
"AT2","AT2","LUAD","normal","up","TMEM50A"
"AT2","AT2","LUAD","normal","up","MACO1"
"AT2","AT2","LUAD","normal","up","SELENON"
"AT2","AT2","LUAD","normal","up","PAQR7"
"AT2","AT2","LUAD","normal","up","STMN1"
"AT2","AT2","LUAD","normal","up","PDIK1L"
"AT2","AT2","LUAD","normal","up","ZNF593"
"AT2","AT2","LUAD","normal","up","SH3BGRL3"
"AT2","AT2","LUAD","normal","up","SFN"
"AT2","AT2","LUAD","normal","up","TRNP1"
"AT2","AT2","LUAD","normal","up","SYTL1"
"AT2","AT2","LUAD","normal","up","AHDC1"
"AT2","AT2","LUAD","normal","up","IFI6"
"AT2","AT2","LUAD","normal","up","PPP1R8"
"AT2","AT2","LUAD","normal","up","RPA2"
"AT2","AT2","LUAD","normal","up","SMPDL3B"
"AT2","AT2","LUAD","normal","up","XKR8"
"AT2","AT2","LUAD","normal","up","MED18"
"AT2","AT2","LUAD","normal","up","RCC1"
"AT2","AT2","LUAD","normal","up","TRNAU1AP"
"AT2","AT2","LUAD","normal","up","MECR"
"AT2","AT2","LUAD","normal","up","LAPTM5"
"AT2","AT2","LUAD","normal","up","SDC3"
"AT2","AT2","LUAD","normal","up","FABP3"
"AT2","AT2","LUAD","normal","up","SERINC2"
"AT2","AT2","LUAD","normal","up","ADGRB2"
"AT2","AT2","LUAD","normal","up","KHDRBS1"
"AT2","AT2","LUAD","normal","up","EIF3I"
"AT2","AT2","LUAD","normal","up","HDAC1"
"AT2","AT2","LUAD","normal","up","MARCKSL1"
"AT2","AT2","LUAD","normal","up","KIAA1522"
"AT2","AT2","LUAD","normal","up","TMEM54"
"AT2","AT2","LUAD","normal","up","AZIN2"
"AT2","AT2","LUAD","normal","up","TMEM35B"
"AT2","AT2","LUAD","normal","up","PSMB2"
"AT2","AT2","LUAD","normal","up","AGO1"
"AT2","AT2","LUAD","normal","up","COL8A2"
"AT2","AT2","LUAD","normal","up","TRAPPC3"
"AT2","AT2","LUAD","normal","up","MAP7D1"
"AT2","AT2","LUAD","normal","up","EVA1B"
"AT2","AT2","LUAD","normal","up","LSM10"
"AT2","AT2","LUAD","normal","up","MEAF6"
"AT2","AT2","LUAD","normal","up","C1orf109"
"AT2","AT2","LUAD","normal","up","EPHA10"
"AT2","AT2","LUAD","normal","up","MANEAL"
"AT2","AT2","LUAD","normal","up","C1orf122"
"AT2","AT2","LUAD","normal","up","FHL3"
"AT2","AT2","LUAD","normal","up","MYCBP"
"AT2","AT2","LUAD","normal","up","RHBDL2"
"AT2","AT2","LUAD","normal","up","NDUFS5"
"AT2","AT2","LUAD","normal","up","BMP8A"
"AT2","AT2","LUAD","normal","up","PABPC4"
"AT2","AT2","LUAD","normal","up","NT5C1A"
"AT2","AT2","LUAD","normal","up","HPCAL4"
"AT2","AT2","LUAD","normal","up","PPIE"
"AT2","AT2","LUAD","normal","up","BMP8B"
"AT2","AT2","LUAD","normal","up","MYCL"
"AT2","AT2","LUAD","normal","up","CAP1"
"AT2","AT2","LUAD","normal","up","PPT1"
"AT2","AT2","LUAD","normal","up","ZMPSTE24"
"AT2","AT2","LUAD","normal","up","SMAP2"
"AT2","AT2","LUAD","normal","up","EXO5"
"AT2","AT2","LUAD","normal","up","RIMS3"
"AT2","AT2","LUAD","normal","up","KCNQ4"
"AT2","AT2","LUAD","normal","up","FOXO6"
"AT2","AT2","LUAD","normal","up","RIMKLA"
"AT2","AT2","LUAD","normal","up","PPCS"
"AT2","AT2","LUAD","normal","up","YBX1"
"AT2","AT2","LUAD","normal","up","P3H1"
"AT2","AT2","LUAD","normal","up","SVBP"
"AT2","AT2","LUAD","normal","up","SLC2A1"
"AT2","AT2","LUAD","normal","up","EBNA1BP2"
"AT2","AT2","LUAD","normal","up","MED8"
"AT2","AT2","LUAD","normal","up","PTPRF"
"AT2","AT2","LUAD","normal","up","IPO13"
"AT2","AT2","LUAD","normal","up","DPH2"
"AT2","AT2","LUAD","normal","up","ATP6V0B"
"AT2","AT2","LUAD","normal","up","B4GALT2"
"AT2","AT2","LUAD","normal","up","KIF2C"
"AT2","AT2","LUAD","normal","up","MMACHC"
"AT2","AT2","LUAD","normal","up","PRDX1"
"AT2","AT2","LUAD","normal","up","AKR1A1"
"AT2","AT2","LUAD","normal","up","TMEM69"
"AT2","AT2","LUAD","normal","up","TSPAN1"
"AT2","AT2","LUAD","normal","up","RAD54L"
"AT2","AT2","LUAD","normal","up","LRRC41"
"AT2","AT2","LUAD","normal","up","UQCRH"
"AT2","AT2","LUAD","normal","up","PDZK1IP1"
"AT2","AT2","LUAD","normal","up","STIL"
