ligand,receptor,assayed,missing_genes
WNT3A,LRP1,True,
WNT4,FZD3,True,
WNT4,FZD6,True,
WNT4,LRP5,True,
WNT4,FZD8,True,
WNT4,FZD2,True,
WNT4,SMO,True,
WNT4,NOTCH1,True,
WNT4,FZD1,True,
WNT4,FZD10,True,
WNT4,FZD4,True,
WNT4,FZD5,True,
WNT4,LRP6,True,
WNT4,FZD7,True,
WNT4,FZD9,True,
WNT5A,FZD2,True,
WNT5A,FZD5,True,
WNT5A,ROR2,True,
WNT5A,FZD4,True,
WNT5A,ROR1,True,
WNT5A,FZD6,True,
WNT5A,LRP6,True,
WNT5A,RYK,True,
WNT5A,FZD3,True,
WNT5A,LRP5,True,
WNT5A,FZD1,True,
WNT5A,FZD7,True,
WNT5A,FZD8,True,
WNT5A,MCAM,True,
WNT5B,FZD6,True,
WNT5B,FZD3,True,
WNT5B,KLRG2,True,
WNT5B,FZD2,True,
WNT5B,FZD8,True,
WNT5B,FZD1,True,
WNT5B,FZD10,True,
WNT5B,FZD5,True,
WNT5B,FZD7,True,
WNT5B,FZD9,True,
WNT5B,LRP5,True,
WNT5B,LRP6,True,
WNT6,FZD1,True,
WNT6,LRP5,True,
WNT6,FZD3,True,
WNT6,FZD4,True,
WNT6,FZD7,True,
WNT6,LRP6,True,
WNT6,FZD10,True,
WNT6,FZD2,True,
WNT6,FZD5,True,
WNT6,FZD6,True,
WNT6,FZD8,True,
WNT6,FZD9,True,
WNT7A,FZD5,True,
WNT7A,FZD7,True,
WNT7A,LRP6,True,
WNT7A,FZD9,True,
WNT7A,FZD10,True,
WNT7B,LRP5,True,
WNT7B,FZD3,True,
WNT7B,FZD10,True,
WNT7B,FZD1,True,
WNT7B,FZD4,True,
WNT7B,TMED5,True,
WNT7B,FZD5,True,
WNT7B,FZD8,True,
WNT7B,ADGRA2,True,
WNT7B,FZD9,True,
WNT7B,LRP6,True,
WNT7B,FZD2,True,
WNT7B,FZD6,True,
WNT7B,FZD7,True,
WNT8A,FZD7,True,
WNT8A,FZD8,True,
WNT8A,LRP5,True,
WNT8A,FZD3,True,
WNT8A,FZD4,True,
WNT8A,FZD5,True,
WNT8A,LRP6,True,
WNT8A,FZD1,True,
WNT8A,FZD10,True,
WNT8A,FZD2,True,
WNT8A,FZD6,True,
WNT8A,FZD9,True,
WNT8B,LRP6,True,
WNT8B,FZD3,True,
WNT8B,LRP5,True,
WNT8B,FZD1,True,
WNT8B,FZD10,True,
WNT8B,FZD2,True,
WNT8B,FZD4,True,
WNT8B,FZD5,True,
WNT8B,FZD6,True,
WNT8B,FZD7,True,
WNT8B,FZD8,True,
WNT8B,FZD9,True,
WNT9A,MUSK,True,
WNT9A,LRP5,True,
WNT9A,LRP6,True,
WNT9A,CHRNA1,True,
WNT9A,FZD3,True,
WNT9A,FZD10,True,
WNT9A,FZD4,True,
WNT9A,FZD1,True,
WNT9A,FZD2,True,
WNT9A,FZD5,True,
WNT9A,FZD6,True,
WNT9A,FZD7,True,
WNT9A,FZD8,True,
WNT9A,FZD9,True,
WNT9B,LRP5,True,
WNT9B,LRP6,True,
WNT9B,CHRNA1,True,
WNT9B,FZD3,True,
WNT9B,FZD10,True,
WNT9B,FZD4,True,
WNT9B,FZD5,True,
WNT9B,FZD8,True,
WNT9B,FZD1,True,
WNT9B,FZD2,True,
WNT9B,FZD6,True,
WNT9B,FZD7,True,
WNT9B,FZD9,True,
