pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
SEMA3C to NRP2_PLXNA2,20,133.5,101.0,290.25,0.0,SEMA3C,NRP2_PLXNA2,117
LAMB1 to ITGA9_ITGB1,21,136.0,83.0,190.0,0.00042446569673772194,LAMB1,ITGA9_ITGB1,118
COL4A2 to ITGAV_ITGB8,23,136.0,48.5,243.5,0.0,COL4A2,ITGAV_ITGB8,119
BMP2 to BMPR1A_BMPR2,26,136.0,98.5,165.75,0.0,BMP2,BMPR1A_BMPR2,120
COL4A1 to ITGAV_ITGB8,23,137.0,56.5,258.5,0.0,COL4A1,ITGAV_ITGB8,121
PDGFD to PDGFRB,15,137.0,111.5,177.0,0.0002030650859452327,PDGFD,PDGFRB,122
TGFB2 to ACVR1B_TGFBR2,24,139.0,107.5,210.25,0.0,TGFB2,ACVR1B_TGFBR2,123
EFNA1 to EPHA3,22,139.0,86.25,160.0,0.0,EFNA1,EPHA3,124
TGFB1 to ACVR1B_TGFBR2,24,139.5,102.5,184.25,0.0,TGFB1,ACVR1B_TGFBR2,125
COL4A5 to ITGA11_ITGB1,21,140.0,96.0,172.0,0.0,COL4A5,ITGA11_ITGB1,126
COL4A4 to ITGAV_ITGB8,21,140.0,108.0,251.0,0.0,COL4A4,ITGAV_ITGB8,127
COL4A4 to ITGA11_ITGB1,19,145.0,104.0,206.5,0.0,COL4A4,ITGA11_ITGB1,128
FGF2 to FGFR1,16,146.0,98.25,214.5,0.0,FGF2,FGFR1,129
THBS1 to SDC4,23,147.0,102.5,200.0,0.0,THBS1,SDC4,130
COL4A5 to ITGAV_ITGB8,24,148.0,108.5,235.0,0.0,COL4A5,ITGAV_ITGB8,131
SPP1 to ITGA9_ITGB1,19,148.0,116.5,185.5,0.0,SPP1,ITGA9_ITGB1,132
MDK to SDC4,23,149.0,106.0,203.0,0.0,MDK,SDC4,133
COL4A2 to SDC4,22,149.5,53.25,243.25,0.0,COL4A2,SDC4,134
COL4A3 to ITGAV_ITGB8,23,150.0,115.5,244.5,0.0,COL4A3,ITGAV_ITGB8,135
TNC to SDC4,23,150.0,110.0,210.5,0.0,TNC,SDC4,136
SPP1 to ITGA5_ITGB1,18,150.5,92.75,167.25,0.00010939833461424014,SPP1,ITGA5_ITGB1,137
EFNA5 to EPHB2,23,151.0,104.0,209.0,0.0,EFNA5,EPHB2,138
NRXN1 to NLGN1,22,152.5,129.5,181.5,0.0,NRXN1,NLGN1,139
BMP2 to ACVR2A_BMPR1A,25,154.0,102.0,169.0,0.0,BMP2,ACVR2A_BMPR1A,140
COL6A1 to ITGA2_ITGB1,17,154.0,98.0,317.0,0.0005043571282560521,COL6A1,ITGA2_ITGB1,141
NRG3 to ERBB4,16,154.0,122.5,184.0,0.0,NRG3,ERBB4,142
COL9A2 to CD44,15,154.0,76.0,223.5,0.0,COL9A2,CD44,143
TNXB to ITGA9_ITGB1,26,154.5,127.0,177.0,0.0,TNXB,ITGA9_ITGB1,144
LAMC2 to ITGA2_ITGB1,21,155.0,77.0,275.0,0.0,LAMC2,ITGA2_ITGB1,145
LAMC1 to ITGA2_ITGB1,21,156.0,87.0,276.0,0.0,LAMC1,ITGA2_ITGB1,146
EFNB2 to EPHB2,23,156.0,127.0,197.0,0.0,EFNB2,EPHB2,147
LAMA5 to ITGAV_ITGB8,24,156.5,113.0,222.5,0.0,LAMA5,ITGAV_ITGB8,148
COL9A2 to ITGA1_ITGB1,15,158.0,129.5,263.5,0.0,COL9A2,ITGA1_ITGB1,149
PTN to NCL,18,159.5,85.0,217.0,0.00041945676550237776,PTN,NCL,150
NRG4 to ERBB4,21,160.0,91.0,245.0,0.0,NRG4,ERBB4,151
LAMA3 to ITGA2_ITGB1,21,160.0,95.0,280.0,0.0,LAMA3,ITGA2_ITGB1,152
PTN to SDC2,18,160.5,73.0,214.5,0.00047980501586671043,PTN,SDC2,153
NECTIN3 to NECTIN2,26,160.5,120.5,194.0,0.0,NECTIN3,NECTIN2,154
COL4A2 to ITGA2_ITGB1,20,160.5,46.5,271.5,0.0,COL4A2,ITGA2_ITGB1,155
COL4A1 to ITGA2_ITGB1,20,161.0,38.25,278.75,0.0,COL4A1,ITGA2_ITGB1,156
BMP2 to BMPR1B_BMPR2,16,162.0,132.5,186.0,0.0,BMP2,BMPR1B_BMPR2,157
LAMB2 to ITGAV_ITGB8,23,163.0,129.0,237.5,0.0,LAMB2,ITGAV_ITGB8,158
HLA-DRB1 to CD4,23,163.0,94.5,274.5,0.0,HLA-DRB1,CD4,159
HLA-DRA to CD4,23,164.0,79.5,274.5,0.0,HLA-DRA,CD4,160
COL4A5 to SDC4,23,164.0,131.0,198.5,0.0,COL4A5,SDC4,161
COL4A5 to ITGA2_ITGB1,21,165.0,130.0,255.0,0.0,COL4A5,ITGA2_ITGB1,162
JAG2 to NOTCH2,18,165.0,127.25,241.25,0.0,JAG2,NOTCH2,163
COL4A1 to SDC4,22,166.0,50.25,242.25,0.0,COL4A1,SDC4,164
COL4A3 to ITGA11_ITGB1,20,166.5,106.0,209.25,0.0,COL4A3,ITGA11_ITGB1,165
BMP2 to ACVR2A_BMPR1B,15,167.0,139.0,197.0,0.0,BMP2,ACVR2A_BMPR1B,166
SEMA3B to NRP1_PLXNA4,21,169.0,98.0,318.0,0.0,SEMA3B,NRP1_PLXNA4,167
COL4A4 to SDC4,20,169.5,129.75,226.5,0.0,COL4A4,SDC4,168
LAMA4 to ITGA9_ITGB1,24,170.0,103.0,235.25,0.0,LAMA4,ITGA9_ITGB1,169
COL1A1 to ITGA11_ITGB1,19,170.0,119.5,203.0,0.0,COL1A1,ITGA11_ITGB1,170
SEMA3B to NRP2_PLXNA2,19,170.0,122.0,276.0,0.0,SEMA3B,NRP2_PLXNA2,171
