pair,n_donors,median_rank,ligand,receptor,winning_sources,winning_targets,overall_rank,resource
ZP3 to EGFR,22,527.0,ZP3,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,568,consensus
HSP90AA1 to EGFR,22,3.0,HSP90AA1,EGFR,Ciliated,Fibroblast,1,connectomedb2020
ANXA1 to EGFR,22,7.0,ANXA1,EGFR,ATII;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,2,connectomedb2020
CDH1 to EGFR,22,7.5,CDH1,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet,Fibroblast,3,connectomedb2020
AREG to EGFR,22,35.5,AREG,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Mesothelial,Fibroblast,23,connectomedb2020
TNC to EGFR,20,57.0,TNC,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,46,connectomedb2020
EFEMP1 to EGFR,22,60.5,EFEMP1,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Mesothelial,Fibroblast,49,connectomedb2020
GNAI2 to EGFR,22,82.5,GNAI2,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated,Fibroblast,76,connectomedb2020
HBEGF to EGFR,22,85.0,HBEGF,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Mesothelial,Fibroblast,82,connectomedb2020
DCN to EGFR,19,162.0,DCN,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,154,connectomedb2020
VCAN to EGFR,17,177.0,VCAN,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,175,connectomedb2020
SPINK1 to EGFR,13,207.0,SPINK1,EGFR,ATII;Aberrant_Basaloid;Goblet,Fibroblast,212,connectomedb2020
EREG to EGFR,19,215.0,EREG,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Goblet,Fibroblast,221,connectomedb2020
BTC to EGFR,19,234.0,BTC,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,241,connectomedb2020
TGFA to EGFR,21,255.0,TGFA,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,270,connectomedb2020
ZP3 to EGFR,22,301.5,ZP3,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,314,connectomedb2020
HSP90AA1 to EGFR,22,4.0,HSP90AA1,EGFR,Ciliated,Fibroblast,2,italk
ANXA1 to EGFR,22,10.0,ANXA1,EGFR,ATII;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,4,italk
CALM1 to EGFR,22,10.5,CALM1,EGFR,Ciliated,Fibroblast,5,italk
CDH1 to EGFR,22,10.5,CDH1,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet,Fibroblast,6,italk
UBA52 to EGFR,22,11.5,UBA52,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet;Mesothelial,Fibroblast,8,italk
AREG to EGFR,22,44.5,AREG,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Mesothelial,Fibroblast,32,italk
TNC to EGFR,20,68.0,TNC,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,49,italk
EFEMP1 to EGFR,22,81.5,EFEMP1,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Mesothelial,Fibroblast,68,italk
VEGFA to EGFR,21,84.0,VEGFA,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Goblet;Mesothelial,Fibroblast,71,italk
NRG4 to EGFR,22,95.5,NRG4,EGFR,Basal;Ciliated,Fibroblast,84,italk
GNAI2 to EGFR,22,110.5,GNAI2,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated,Fibroblast,101,italk
HBEGF to EGFR,22,112.0,HBEGF,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Mesothelial,Fibroblast,103,italk
FGF13 to EGFR,22,121.0,FGF13,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Goblet,Fibroblast,112,italk
CALM3 to EGFR,22,142.0,CALM3,EGFR,ATI;ATII;Aberrant_Basaloid;Ciliated;Goblet,Fibroblast,131,italk
DCN to EGFR,19,209.0,DCN,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,199,italk
VCAN to EGFR,17,224.0,VCAN,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,219,italk
ICAM1 to EGFR,21,231.0,ICAM1,EGFR,ATI;ATII;Aberrant_Basaloid;Club;Mesothelial,Fibroblast,227,italk
EREG to EGFR,19,282.0,EREG,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Goblet,Fibroblast,296,italk
SPINK1 to EGFR,13,289.0,SPINK1,EGFR,ATII;Aberrant_Basaloid;Goblet,Fibroblast,307,italk
BTC to EGFR,19,307.0,BTC,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,334,italk
TGFA to EGFR,21,332.0,TGFA,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,365,italk
ZP3 to EGFR,22,382.0,ZP3,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,420,italk
