ligand,receptor
IFNA21,IFNAR2
IFNA4,IFNAR1
IFNA4,IFNAR2
IFNA5,IFNAR1
IFNA5,IFNAR2
IFNA6,IFNAR1
IFNA6,IFNAR2
IFNA7,IFNAR1
IFNA7,IFNAR2
IFNA8,IFNAR1
IFNA8,IFNAR2
IFNW1,IFNAR1
IFNW1,IFNAR2
IL11,IL6ST
IL12A,IL12RB2
IL12B,IL12RB1
IL12B,IL12RB2
IL15,IL2RG
IL15,IL2RB
IL17A,IL17RC
IL17A,IL17RA
IL17F,IL17RA
IL18,IL18R1
IL18,IL18RAP
IL1A,IL1RAP
IL1B,IL1RAP
IL1RN,IL1R1
IL21,IL2RG
IL22,IL22RA1
IL12B,IL23R
IL17B,IL17RB
IL25,IL17RB
EBI3,IL6ST
EBI3,IL27RA
IL2,IL2RA
IL2,IL2RB
IL3,CSF2RB
IL4,IL2RG
IL13,IL4R
IL4,IL13RA1
IL5,CSF2RB
IL7,IL2RG
IL9,IL2RG
PDYN,OPRK1
POMC,OPRK1
VEGFA,KDR
VEGFC,KDR
PDGFC,KDR
KISS1,KISS1R
LIF,IL6ST
OSM,IL6ST
OSM,LIFR
CGA,LHCGR
CGB8,LHCGR
LHB,LHCGR
PMCH,MCHR1
PMCH,MCHR2
POMC,MC1R
POMC,MC3R
AGRP,MC3R
POMC,MC4R
AGRP,MC4R
POMC,MC5R
AGRP,MC5R
MLN,MLNR
PDYN,OPRM1
PENK,OPRM1
CALM1,MYLK
CALM2,MYLK
CALM3,MYLK
CALM1,MYLK2
CALM2,MYLK2
CALM3,MYLK2
OSTN,NPR3
BDNF,NGFR
NTF3,NGFR
NTF4,NGFR
NGF,NGFR
TAC1,TACR1
TAC3,TACR1
TAC1,TACR2
TAC3,TACR2
TAC1,TACR3
TAC3,TACR3
NMS,NMUR1
NMU,NMUR1
NMS,NMUR2
NMU,NMUR2
PNOC,OPRL1
NPB,NPBWR1
NPW,NPBWR1
NPB,NPBWR2
NPW,NPBWR2
NPFF,NPFFR1
NPVF,NPFFR1
NPFF,NPFFR2
NPS,NPSR1
NTS,NTSR1
NTS,NTSR2
OXT,OXTR
AVP,OXTR
TNFSF4,TNFRSF4
TNFRSF4,TNFSF4
HCRT,HCRTR1
HCRT,HCRTR2
ADCYAP1,ADCYAP1R1
VIP,ADCYAP1R1
CALM1,PDE1A
CALM2,PDE1A
CALM3,PDE1A
CALM1,PDE1B
CALM2,PDE1B
CALM3,PDE1B
CALM1,PDE1C
CALM2,PDE1C
CALM3,PDE1C
PROK1,PROKR1
PROK2,PROKR1
PROK1,PROKR2
PROK2,PROKR2
ARF1,PLD2
CD274,PDCD1
CSH1,PRLR
CSH2,PRLR
CSHL1,PRLR
PRLH,PRLHR
PTHLH,PRLHR
NPY,PRLHR
SELPLG,SELP
PTHLH,PTH1R
PTH2,PTH1R
PTHLH,PTH2R
QRFP,QRFPR
TNFSF11,TNFRSF11A
RLN2,RXFP1
RLN1,RXFP1
RLN3,RXFP1
INSL3,RXFP2
RLN2,RXFP2
RLN1,RXFP2
RLN3,RXFP2
RLN3,RXFP3
INSL5,RXFP3
INSL5,RXFP4
RLN3,RXFP4
SCT,SCTR
VIP,SCTR
CORT,SSTR1
SST,SSTR1
CORT,SSTR2
SST,SSTR2
CORT,SSTR3
SST,SSTR3
CORT,SSTR4
SST,SSTR4
CORT,SSTR5
SST,SSTR5
TNFSF13B,TNFRSF13B
TSLP,IL7R
TGFB2,TGFBR1
TGFB2,TGFBR3
TGFB3,TGFBR1
TGFB3,TGFBR3
CGA,TSHR
TSHB,TSHR
LTA,TNFRSF1B
TNFSF12,TNFRSF12A
GAS6,TYRO3
PROS1,TYRO3
UTS2,UTS2R
UTS2B,UTS2R
GHRH,VIPR1
ADCYAP1,VIPR1
VIP,VIPR1
ADCYAP1,VIPR2
VIP,VIPR2
OXT,AVPR1A
AVP,AVPR1A
OXT,AVPR1B
AVP,AVPR1B
OXT,AVPR2
AVP,AVPR2
XCL1,XCR1
XCL2,XCR1
NPY,NPY1R
PYY,NPY1R
NPY,NPY2R
PYY,NPY2R
NPY,NPY4R
PPY,NPY4R
PYY,NPY4R
NPY,NPY5R
PPY,NPY5R
GNAS,ADCY1
FN1,ITGB1
RELN,ITGB1
CALM3,GRM7
CALM1,GRM7
CALM2,GRM7
COL1A1,ITGB1
VTN,ITGB1
FGA,ITGB1
PENK,OPRK1
AFDN,EPHA7
AFDN,EPHB2
AFDN,EPHB6
AFDN,NECTIN1
AFDN,NECTIN2
AFDN,NECTIN3
RSPO1,ZNRF3
ARTN,GFRA3
GDF6,BMPR1A
DLK2,NOTCH1
IL34,CSF1R
NLGN1,NRXN2
NLGN1,NRXN1
NLGN1,NRXN3
NLGN2,NRXN2
NLGN2,NRXN1
NLGN2,NRXN3
LIPH,LPAR2
SEMA4D,PLXNB1
FGF13,SCN5A
FGF13,SCN8A
PTH2,PTH2R
NTNG2,LRRC4
NODAL,ACVR1B
NODAL,ACVR1C
GPHA2,TSHR
NRTN,RET
NRTN,GFRA1
SEMA3C,NRP2
RSPO3,SDC4
ULBP2,KLRK1
NTN4,UNC5A
RTN4,LINGO1
NLGN3,NRXN2
NLGN3,NRXN1
NLGN3,NRXN3
GALP,GALR2
NTNG1,LRRC4C
TRH,TRHR
GNAS,GCGR
CORT,GHSR
CORT,MRGPRX2
PDGFB,PDGFRB
PTH,PTH2R
DLL1,NOTCH3
NXPH1,NRXN1
CCL2,CCR4
GNAI2,ADCY1
HLA-G,KLRC1
IGF2,INSR
WNT1,FZD8
WNT1,FZD3
EDN1,EDNRB
ICAM1,ITGAX
FGA,ITGAX
GPI,AMFR
FGF6,FGFR4
PYY,NPY5R
GZMB,IGF2R
GNAS,ADRB3
HSPG2,PTPRS
ICAM1,ITGAM
LTA,LTBR
CCN2,LRP6
EFNA3,EPHA4
PTH,PTH1R
SERPINC1,LRP1
SERPINA1,LRP1
RELN,VLDLR
ADAM17,NOTCH1
VEGFD,KDR
WNT3A,FZD8
WNT7B,LRP5
SEMA3A,NRP1
GNAS,TSHR
MFNG,NOTCH1
MFNG,NOTCH2
WNT7A,LRP6
TNFSF11,TNFRSF11B
MSTN,ACVR2B
EREG,ERBB3
ADAM12,SDC4
EFNA2,EPHA4
VEGFC,NRP2
PSPN,GFRA4
SLIT1,GPC1
SEMA7A,PLXNC1
TNFSF13,TNFRSF13B
SLIT2,GPC1
SLIT2,ROBO4
TNFSF15,TNFRSF6B
FASLG,TNFRSF6B
NTN1,UNC5C
WNT11,FZD7
ANXA1,EGFR
CALM1,EGFR
CALM2,EGFR
CALM3,EGFR
F2,F2RL2
F2,F2R
F2,F2RL1
F2,F2RL3
PLG,F2R
PLAU,PLAUR
REN,ATP6AP2
TNF,TNFRSF21
APOB,LDLR
COL1A1,DDR1
APOE,VLDLR
APOE,SORL1
ANXA1,FPR1
WNT1,LRP5
WNT1,FZD1
S100A8,TLR4
INHA,TGFBR3
FGF1,FGFR4
FGF1,FGFR3
CALM1,INSR
CALM2,INSR
CALM3,INSR
S100A9,TLR4
CD55,ADGRE5
FGF4,FGFR4
FGF2,FGFR4
FGF2,FGFR3
WNT2,LRP6
TFPI,VLDLR
FGF5,FGFR1
FGF5,FGFR2
TDGF1,ACVR2A
TDGF1,ACVR1B
HLA-G,LILRB1
HLA-G,KIR2DL4
ICAM1,ITGAL
EDN3,KEL
OMG,LINGO1
GNAS,AVPR2
NTF4,NTRK1
NTF4,NTRK2
THBS2,CD47
GDNF,GFRA2
GDNF,GFRA1
WNT5A,RYK
ASIP,ATRN
ASIP,MC1R
GDF5,BMPR1B
GNAS,PTGIR
PSEN1,NOTCH1
GNAS,HTR6
EFNA5,EPHA2
EFNA3,EPHA2
WNT3,LRP6
WNT3A,LRP6
WNT3A,FZD2
WNT3A,FZD1
WNT7B,FZD10
WNT7B,FZD1
NXPH1,NRXN3
JAG1,NOTCH3
DLK1,NOTCH1
EFNB1,EPHB4
SEMA3B,NRP1
SEMA3B,NRP2
GNAS,PTGDR
SEMA3F,NRP2
SELPLG,SELE
SEMA3A,PLXNA2
SEMA3A,PLXNA4
SEMA3A,PLXNA1
ANGPT1,TIE1
EFNB3,EPHA4
ADIPOQ,ADIPOR2
ADIPOQ,ADIPOR1
SORBS1,INSR
CALR,LRP1
HRAS,INSR
ADAM12,ITGB1
ITGB3BP,ITGB5
HRAS,CAV1
ITGB3BP,ITGB3
CALR,ITGAV
CALR,ITGA3
ARF1,INSR
BTLA,VTCN1
CCL11,ACKR2
CCL13,ACKR2
CCL14,ACKR2
CCL16,CCR1
CCL16,CCR8
CCL17,ACKR1
CCL2,ACKR1
CCL2,ACKR2
CCL26,CCR1
CCL26,CX3CR1
CCL3,ACKR2
CCL3L1,ACKR2
CCL3L1,CCR1
CCL3L1,CCR3
CCL4,ACKR2
CCL5,ACKR1
CCL5,ACKR2
CCL7,ACKR2
CCL8,ACKR2
CD80,CTLA4
CD86,CTLA4
CDH1,KLRG1
CXCL1,ACKR1
CXCL13,CXCR3
CXCL13,ACKR4
CXCL8,ACKR1
DLL3,NOTCH3
DLL3,NOTCH4
DLL4,NOTCH2
DLL4,NOTCH3
FN1,ITGAV
HLA-A,LILRB1
HLA-A,KIR3DL2
HLA-B,LILRB1
HLA-B,KIR3DL1
HLA-C,LILRB1
HLA-C,KIR2DL1
HLA-C,KIR2DL3
HLA-G,LILRB2
ICOSLG,ICOS
IL16,CD4
IL1RN,IL1R2
LCN1,LMBR1L
LGALS9,HAVCR2
NCR3LG1,NCR3
PDCD1LG2,PDCD1
PF4,CXCR3
PPBP,CXCR1
PPBP,ACKR1
SEMA4A,PLXND1
SEMA4C,PLXNB2
SEMA4D,PLXNB2
SEMA4D,CD72
SLIT1,ROBO1
TNFSF10,TNFRSF11B
TNFSF14,TNFRSF6B
VCAN,CD44
VEGFA,NRP1
VEGFA,NRP2
VEGFB,NRP1
PGF,NRP1
PGF,NRP2
PGF,FLT1
VTN,ITGAV
SPP1,CD44
CD24,SIGLEC10
SEMA3F,PLXNA3
SEMA3F,PLXNA1
SEMA3F,NRP1
DCN,EGFR
DCN,MET
DCN,ERBB4
ICAM3,ITGAL
ICAM3,ITGB2
ICAM3,CLEC4M
ICAM3,ITGAD
FGF4,FGFR1
FGF4,FGFR3
FGF4,NRP1
NTN1,UNC5D
NTN1,UNC5B
NTN1,DCC
NTN1,UNC5A
NTN1,ADORA2B
NTN1,NEO1
SCT,VIPR1
SCT,VIPR2
FGF20,FGFR4
EFNB1,EPHB6
EFNB1,ERBB2
EFNB1,EPHA4
EFNB1,EPHA6
SEMA4G,PLXNB2
EFNA2,EPHA3
EFNA2,EPHA1
MADCAM1,ITGA4
MADCAM1,CD44
MADCAM1,ITGB7
TCN2,LRP2
TCN2,CNR1
NID2,COL13A1
GZMB,CHRM3
F9,LRP1
TIMP1,CD63
MMP2,SDC2
CCL17,CCR8
TG,ASGR1
TG,LRP2
SFRP1,FZD2
SFRP1,FZD6
PLAT,ITGAM
PLAT,LRP1
PLAT,ITGB2
AMH,EGFR
TGFB1,ENG
TGFB1,ACVRL1
TGFB1,ITGAV
TGFB1,CAV1
TGFB1,SDC2
TGFB1,CXCR4
ICAM5,ITGAL
ICAM5,ITGB2
HGF,CD44
HGF,SDC1
HGF,SDC2
HGF,ST14
LAMB1,ITGA7
LAMB1,ITGAV
LAMB1,ITGB1
LAMB1,ITGA6
LAMB1,ITGA1
LAMB1,ITGA2
WNT16,FZD6
PON2,HTR2A
NPVF,NPFFR2
PDAP1,PDGFRB
SERPINE1,LRP2
SERPINE1,PLAUR
SERPINE1,ITGAV
SERPINE1,LRP1
SERPINE1,ITGB5
WNT3,RYK
WNT3,FZD1
WNT3,FZD7
WNT3,FZD8
WNT3,FZD5
CCL2,CCR1
CCL2,CCR10
CCL2,ACKR4
CCL13,ACKR4
CCL13,CCR9
COL1A1,ITGA5
COL1A1,CD93
COL1A1,FLT4
COL1A1,CD36
COL1A1,ITGA1
COL1A1,DDR2
COL1A1,CD44
COL1A1,ITGAV
COL1A1,ITGA11
COL1A1,TMPRSS6
COL1A1,ITGA2
EFNB3,EPHB6
EFNB3,EPHB4
EFNB3,RHBDL2
EFNB3,EPHB1
EFNB3,EPHB2
VTN,ITGA5
VTN,ITGA8
VTN,CD47
VTN,KDR
VTN,PLAUR
VTN,ITGA2B
VTN,ITGB3
VTN,ITGB6
VTN,TNFRSF11B
VTN,PVR
VTN,ITGB5
IBSP,ITGAV
IL2,CD53
APOC3,SDC2
APOC3,TLR2
SELPLG,ITGAM
SELPLG,ESAM
SELPLG,SELL
SELPLG,ITGB2
FGF6,SDC4
FGF6,FGFR1
FGF6,FGFR3
GNB3,TGFBR1
GNB3,GABBR2
LAMA4,ITGA6
LAMA4,ITGAV
LAMA4,ITGB1
HBEGF,CD44
HBEGF,CD9
HBEGF,PRLR
HBEGF,ERBB2
IL4,IL13RA2
IL4,CD53
SEMA3G,NRP2
LTF,LRP1
LTF,TFRC
HRG,FCGR1A
TFPI,LRP1
TFPI,SDC4
TFPI,F3
APOB,ITGAM
APOB,LRP6
APOB,OLR1
APOB,LRP2
APOB,CALCR
APOB,LSR
APOB,ITGB2
APOB,LRP8
PROC,ITGAM
PROC,ITGB2
PROC,THBD
FGF23,FGFR2
FGF23,PHEX
FGF23,FGFR4
FGF23,FGFR1
FGF23,FGFR3
TGFB3,ENG
TGFB3,ACVRL1
INHBA,ACVR1
INHBA,ENG
INHBA,BAMBI
INHA,ACVR1
PI3,PLD2
LYPD3,AGR2
EREG,ERBB2
EFNB2,EPHB6
EFNB2,PECAM1
EFNB2,RHBDL2
EFNB2,GRM5
EFNB2,EPHA4
EFNB2,EPHA6
EFNB2,GRM1
BMP4,HJV
PSPN,RET
PSPN,SDC3
PSPN,GFRA1
TNFSF9,TRAF2
C3,ITGAM
C3,CD19
C3,CD46
C3,C5AR2
C3,ITGAX
C3,IFITM1
C3,CR1
C3,ITGB2
C3,CD81
VASP,CXCR2
OMG,RTN4RL1
TPH1,HTR7
TPH1,HTR1A
TPH1,HTR1F
TPH1,HTR1D
TPH1,HTR2C
TPH1,HTR4
TPH1,HTR6
TPH1,HTR1B
TPH1,HTR2A
TPH1,HTR2B
TPH1,HTR5A
TPH1,HTR1E
AANAT,MTNR1B
AANAT,MTNR1A
APOE,LRP2
APOE,LDLR
APOE,LRP5
APOE,CHRNA4
APOE,SCARB1
APOE,LRP8
NCAN,CDH2
NCAN,SDC3
BMP15,BMPR1A
BMP15,BMPR1B
LAMA5,SDC1
LAMA5,ITGA6
LAMA5,BCAM
LAMA5,ITGB1
LAMA5,ITGA2
F12,GP1BA
JAG1,NOTCH4
CRP,OLR1
NTS,SORT1
FST,HJV
FST,BMPR2
FST,BMPR1B
GRP,BRS3
GRP,NMBR
SEMA6A,PLXNA4
SEMA6A,PLXNA2
LACRT,SDC1
GDF11,ACVR1B
LAMC1,ITGA6
LAMC1,ITGA1
LAMC1,ITGA7
LAMC1,ITGAV
LAMC1,ITGB1
LAMC1,ITGA2
IL1RN,IL1RL2
ORM1,CCR5
CCN3,PLXNA1
CCL21,CXCR3
CCL21,ACKR2
CCL27,ACKR2
MMP7,CD44
MMP7,CD151
MMP7,ERBB4
THBS1,ITGA4
THBS1,CD47
THBS1,SDC1
THBS1,ITGB1
THBS1,LRP5
THBS1,ITGA2B
THBS1,ITGB3
THBS1,SDC4
THBS1,SCARB1
THBS1,ITGA6
THBS1,TNFRSF11B
THBS1,CD36
ADAM10,EPHA3
ADAM10,AXL
COL8A1,ITGA1
COL8A1,ITGA2
LYZ,ITGAL
VWF,ITGA2B
VWF,SELP
VWF,SIRPA
VWF,TNFRSF11B
VWF,GP1BA
CDH1,EGFR
CDH1,LRP5
CDH1,IGF1R
CDH1,ITGB7
CDH1,ERBB3
CDH1,CDH2
CDH1,ITGAE
CDH1,PTPRM
CDH1,PTPRF
SEMA7A,ITGB1
SEMA7A,ITGA1
RIMS2,ABCA1
ANOS1,SDC2
ANOS1,FGFR1
TIMP2,ITGB1
LGALS3BP,ITGB1
IL1A,IL1R2
IL1B,ADRB2
MIA,CDH7
FARP2,PLXNA3
FARP2,PLXNA1
FARP2,PLXNA2
FARP2,PLXNA4
LAMC2,ITGA6
LAMC2,CD151
LAMC2,ITGB1
LAMC2,ITGA2
LAMC2,COL17A1
NID1,ITGB1
NID1,ITGB3
NID1,COL13A1
NID1,PTPRF
FGF2,SDC1
