pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
COL4A4 to ITGA1_ITGB1,75.0,61.0,23.0,70.0,52.0,19.0,cellchatdb
COL4A4 to ITGA2_ITGB1,217.0,245.0,18.0,142.0,144.0,15.0,cellchatdb
COL4A4 to ITGA9_ITGB1,126.0,106.0,23.0,109.0,90.0,19.0,cellchatdb
COL4A4 to ITGAV_ITGB8,140.0,127.0,21.0,117.0,105.0,17.0,cellchatdb
COL4A4 to SDC4,169.5,168.0,20.0,137.5,135.0,16.0,cellchatdb
COL4A5 to CD44,19.5,15.0,26.0,13.0,10.0,22.0,cellchatdb
COL4A5 to ITGA11_ITGB1,140.0,126.0,21.0,154.5,175.0,18.0,cellchatdb
COL4A5 to ITGA1_ITGB1,61.5,49.0,26.0,45.5,40.0,22.0,cellchatdb
COL4A5 to ITGA2_ITGB1,165.0,162.0,21.0,115.5,100.0,18.0,cellchatdb
COL4A5 to ITGA9_ITGB1,107.0,90.0,26.0,90.5,74.0,22.0,cellchatdb
COL4A5 to ITGAV_ITGB8,148.0,131.0,24.0,117.0,106.0,20.0,cellchatdb
COL4A5 to SDC4,164.0,161.0,23.0,121.0,111.0,19.0,cellchatdb
COL4A6 to CD44,175.5,176.0,22.0,121.0,112.0,19.0,cellchatdb
COL4A6 to ITGA11_ITGB1,222.0,253.0,19.0,183.0,213.0,16.0,cellchatdb
COL4A6 to ITGA1_ITGB1,202.5,220.0,22.0,133.0,125.0,19.0,cellchatdb
COL4A6 to ITGA2_ITGB1,264.5,287.0,18.0,163.5,188.0,16.0,cellchatdb
COL4A6 to ITGA9_ITGB1,198.5,211.0,22.0,151.0,163.0,19.0,cellchatdb
COL4A6 to ITGAV_ITGB8,230.0,262.0,21.0,158.5,181.0,18.0,cellchatdb
COL4A6 to SDC4,239.0,274.0,20.0,169.0,192.0,17.0,cellchatdb
COL6A1 to CD44,21.5,18.0,20.0,32.5,28.0,14.0,cellchatdb
COL6A1 to ITGA11_ITGB1,187.0,198.0,17.0,197.5,228.0,12.0,cellchatdb
COL6A1 to ITGA1_ITGB1,66.0,55.0,20.0,111.5,93.0,14.0,cellchatdb
COL6A1 to ITGA2_ITGB1,154.0,141.0,17.0,168.5,190.0,12.0,cellchatdb
COL6A1 to ITGA9_ITGB1,129.5,112.0,20.0,151.0,164.0,14.0,cellchatdb
COL6A1 to ITGAV_ITGB8,184.5,192.0,20.0,169.5,195.0,14.0,cellchatdb
COL6A1 to SDC4,233.0,267.0,19.0,175.0,205.0,13.0,cellchatdb
COL6A2 to CD44,4.0,2.0,21.0,13.0,11.0,15.0,cellchatdb
COL6A2 to ITGA11_ITGB1,186.0,196.0,17.0,196.0,226.0,13.0,cellchatdb
COL6A2 to ITGA1_ITGB1,29.0,30.0,21.0,78.0,62.0,15.0,cellchatdb
COL6A2 to ITGA2_ITGB1,178.0,181.0,18.0,162.0,186.0,13.0,cellchatdb
COL6A2 to ITGA9_ITGB1,82.0,69.0,21.0,129.0,119.0,15.0,cellchatdb
COL6A2 to ITGAV_ITGB8,194.0,206.0,21.0,152.0,167.0,15.0,cellchatdb
COL6A2 to SDC4,211.5,237.0,20.0,169.5,196.0,14.0,cellchatdb
COL9A2 to CD44,154.0,143.0,15.0,142.5,146.0,14.0,cellchatdb
COL9A2 to ITGA11_ITGB1,178.0,183.0,13.0,194.5,224.0,12.0,cellchatdb
COL9A2 to ITGA1_ITGB1,158.0,149.0,15.0,144.0,150.0,14.0,cellchatdb
COL9A2 to ITGA2_ITGB1,,,,185.0,218.0,11.0,cellchatdb
COL9A2 to ITGA9_ITGB1,182.0,188.0,15.0,184.0,216.0,14.0,cellchatdb
COL9A2 to ITGAV_ITGB8,305.0,303.0,14.0,183.0,214.0,13.0,cellchatdb
COL9A2 to SDC4,233.0,266.0,13.0,189.0,222.0,12.0,cellchatdb
DLL1 to NOTCH2,100.0,81.0,25.0,80.0,65.0,21.0,cellchatdb
DLL1 to NOTCH3,320.0,308.0,14.0,211.0,238.0,12.0,cellchatdb
EDN1 to EDNRA,129.0,110.0,22.0,98.0,77.0,18.0,cellchatdb
EDN2 to EDNRA,181.0,187.0,13.0,152.0,168.0,12.0,cellchatdb
EFNA1 to EPHA3,139.0,124.0,22.0,137.0,133.0,21.0,cellchatdb
EFNA4 to EPHA3,,,,211.0,239.0,11.0,cellchatdb
EFNA5 to EPHA3,84.0,70.0,22.0,76.0,56.0,21.0,cellchatdb
EFNA5 to EPHB2,151.0,138.0,23.0,177.0,208.0,19.0,cellchatdb
EFNB1 to EPHB2,199.0,213.0,17.0,206.0,234.0,15.0,cellchatdb
EFNB2 to EPHB2,156.0,147.0,23.0,182.0,211.0,18.0,cellchatdb
EREG to EGFR,131.5,114.0,22.0,135.0,128.0,19.0,cellchatdb
EREG to ERBB4,188.0,199.0,18.0,198.0,229.0,17.0,cellchatdb
F11R to JAM3,116.0,95.0,25.0,82.0,70.0,22.0,cellchatdb
FGF18 to FGFR1,182.0,189.0,17.0,182.0,212.0,15.0,cellchatdb
FGF2 to FGFR1,146.0,129.0,16.0,,,,cellchatdb
FN1 to CD44,6.5,3.0,26.0,4.5,1.0,22.0,cellchatdb
FN1 to ITGA5_ITGB1,62.0,50.0,24.0,64.5,51.0,20.0,cellchatdb
FN1 to ITGA8_ITGB1,27.0,25.0,23.0,28.0,23.0,19.0,cellchatdb
FN1 to ITGAV_ITGB1,26.5,23.0,26.0,23.0,19.0,22.0,cellchatdb
FN1 to ITGAV_ITGB8,117.0,97.0,24.0,114.0,99.0,20.0,cellchatdb
FN1 to SDC4,101.0,82.0,23.0,135.0,129.0,19.0,cellchatdb
FRAS1_FREM2_NPNT to ITGA8_ITGB1,276.0,292.0,19.0,188.5,221.0,16.0,cellchatdb
GAS6 to AXL,26.5,22.0,26.0,25.0,20.0,22.0,cellchatdb
GAS6 to MERTK,225.5,259.0,20.0,186.0,219.0,17.0,cellchatdb
GDF11 to ACVR2A_TGFBR1,205.0,225.0,13.0,,,,cellchatdb
GDF15 to TGFBR2,21.0,17.0,26.0,12.5,9.0,22.0,cellchatdb
GRN to SORT1,226.5,260.0,22.0,200.0,231.0,18.0,cellchatdb
HBEGF to EGFR,48.5,38.0,26.0,41.0,38.0,22.0,cellchatdb
HBEGF to ERBB4,133.0,116.0,21.0,175.0,206.0,19.0,cellchatdb
HLA-DMB to CD4,303.0,300.0,19.0,210.0,236.0,17.0,cellchatdb
HLA-DPA1 to CD4,178.0,182.0,23.0,139.0,137.0,19.0,cellchatdb
HLA-DPB1 to CD4,172.0,173.0,23.0,140.0,141.0,19.0,cellchatdb
HLA-DQA1 to CD4,203.5,224.0,20.0,153.0,171.0,17.0,cellchatdb
HLA-DQB1 to CD4,246.5,278.0,20.0,187.0,220.0,18.0,cellchatdb
HLA-DRA to CD4,164.0,160.0,23.0,141.0,142.0,19.0,cellchatdb
HLA-DRB1 to CD4,163.0,159.0,23.0,142.0,145.0,19.0,cellchatdb
HLA-DRB5 to CD4,199.0,212.0,21.0,154.0,174.0,17.0,cellchatdb
HSPG2 to DAG1,200.5,215.0,24.0,200.0,232.0,21.0,cellchatdb
IL16 to CD4,195.0,209.0,23.0,144.0,151.0,19.0,cellchatdb
IL6 to IL6R_IL6ST,233.0,268.0,15.0,240.0,266.0,11.0,cellchatdb
INHBB to ACVR1B_ACVR2A,186.0,197.0,23.0,168.5,191.0,20.0,cellchatdb
ITGA4_ITGB1 to VCAM1,337.0,311.0,14.0,232.0,250.0,13.0,cellchatdb
ITGA9_ITGB1 to VCAM1,277.0,293.0,14.0,233.0,252.0,13.0,cellchatdb
JAG1 to NOTCH2,66.5,56.0,26.0,78.5,63.0,22.0,cellchatdb
JAG1 to NOTCH3,266.5,289.0,14.0,256.5,279.0,12.0,cellchatdb
JAG2 to NOTCH2,165.0,163.0,18.0,217.0,245.0,16.0,cellchatdb
LAMA1 to CD44,192.0,202.0,25.0,163.0,187.0,21.0,cellchatdb
LAMA1 to DAG1,235.0,270.0,23.0,219.5,247.0,20.0,cellchatdb
LAMA1 to ITGA1_ITGB1,201.0,216.0,25.0,168.0,189.0,21.0,cellchatdb
LAMA1 to ITGA2_ITGB1,295.0,296.0,20.0,210.0,237.0,17.0,cellchatdb
LAMA1 to ITGA9_ITGB1,195.0,208.0,25.0,197.0,227.0,21.0,cellchatdb
LAMA1 to ITGAV_ITGB8,236.0,272.0,23.0,212.0,241.0,19.0,cellchatdb
LAMA1 to SV2C,194.0,205.0,25.0,169.0,193.0,21.0,cellchatdb
LAMA2 to CD44,20.0,16.0,26.0,16.5,14.0,22.0,cellchatdb
LAMA2 to DAG1,232.5,265.0,24.0,214.0,242.0,21.0,cellchatdb
LAMA2 to ITGA1_ITGB1,66.5,57.0,26.0,48.0,42.0,22.0,cellchatdb
LAMA2 to ITGA2_ITGB1,201.0,217.0,21.0,138.5,136.0,18.0,cellchatdb
LAMA2 to ITGA9_ITGB1,119.5,99.0,26.0,100.0,80.0,22.0,cellchatdb
LAMA2 to ITGAV_ITGB8,178.0,180.0,24.0,152.0,169.0,20.0,cellchatdb
LAMA2 to SV2C,64.0,52.0,26.0,54.0,46.0,22.0,cellchatdb
LAMA3 to CD44,15.5,12.0,26.0,10.0,6.0,22.0,cellchatdb
LAMA3 to DAG1,208.0,228.0,24.0,217.0,246.0,21.0,cellchatdb
LAMA3 to ITGA1_ITGB1,65.5,54.0,26.0,49.0,43.0,22.0,cellchatdb
LAMA3 to ITGA2_ITGB1,160.0,152.0,21.0,153.0,172.0,18.0,cellchatdb
LAMA3 to ITGA9_ITGB1,114.0,92.0,26.0,101.0,81.0,22.0,cellchatdb
LAMA3 to ITGAV_ITGB8,131.0,113.0,24.0,143.0,147.0,20.0,cellchatdb
LAMA3 to SV2C,58.5,47.0,26.0,46.0,41.0,22.0,cellchatdb
LAMA4 to CD44,27.5,26.0,24.0,176.0,207.0,20.0,cellchatdb
LAMA4 to DAG1,249.0,280.0,22.0,234.0,254.0,19.0,cellchatdb
LAMA4 to ITGA1_ITGB1,87.5,72.0,24.0,178.0,209.0,20.0,cellchatdb
LAMA4 to ITGA2_ITGB1,258.0,282.0,20.0,235.0,258.0,17.0,cellchatdb
LAMA4 to ITGA9_ITGB1,170.0,169.0,24.0,203.0,233.0,20.0,cellchatdb
LAMA4 to ITGAV_ITGB8,221.0,249.0,23.0,225.0,248.0,19.0,cellchatdb
LAMA4 to SV2C,98.0,78.0,24.0,183.0,215.0,20.0,cellchatdb
LAMA5 to CD44,25.0,21.0,26.0,17.5,16.0,22.0,cellchatdb
LAMA5 to DAG1,222.0,254.0,24.0,227.0,249.0,21.0,cellchatdb
LAMA5 to ITGA1_ITGB1,76.0,62.0,26.0,57.5,47.0,22.0,cellchatdb
LAMA5 to ITGA2_ITGB1,198.0,210.0,21.0,146.0,156.0,18.0,cellchatdb
LAMA5 to ITGA9_ITGB1,122.0,103.0,26.0,108.0,89.0,22.0,cellchatdb
LAMA5 to ITGAV_ITGB8,156.5,148.0,24.0,158.0,179.0,20.0,cellchatdb
LAMA5 to SV2C,68.5,58.0,26.0,59.0,48.0,22.0,cellchatdb
LAMB1 to CD44,31.0,31.0,21.0,94.5,75.0,18.0,cellchatdb
LAMB1 to DAG1,242.0,276.0,19.0,240.0,267.0,17.0,cellchatdb
LAMB1 to ITGA1_ITGB1,77.0,64.0,21.0,132.0,122.0,18.0,cellchatdb
LAMB1 to ITGA2_ITGB1,212.5,238.0,16.0,206.0,235.0,14.0,cellchatdb
LAMB1 to ITGA9_ITGB1,136.0,118.0,21.0,180.5,210.0,18.0,cellchatdb
LAMB1 to ITGAV_ITGB8,179.0,184.0,19.0,191.5,223.0,16.0,cellchatdb
LAMB1 to SV2C,79.0,66.0,21.0,115.5,101.0,18.0,cellchatdb
LAMB2 to CD44,28.0,29.0,25.0,29.0,24.0,22.0,cellchatdb
LAMB2 to DAG1,211.0,236.0,23.0,232.0,251.0,21.0,cellchatdb
LAMB2 to ITGA1_ITGB1,86.0,71.0,25.0,87.5,72.0,22.0,cellchatdb
LAMB2 to ITGA2_ITGB1,193.5,204.0,20.0,155.5,176.0,18.0,cellchatdb
LAMB2 to ITGA9_ITGB1,129.0,109.0,25.0,118.5,109.0,22.0,cellchatdb
LAMB2 to ITGAV_ITGB8,163.0,158.0,23.0,174.0,203.0,20.0,cellchatdb
LAMB2 to SV2C,81.0,67.0,25.0,80.5,67.0,22.0,cellchatdb
LAMB3 to CD44,9.0,5.0,26.0,5.0,2.0,22.0,cellchatdb
LAMB3 to DAG1,210.0,235.0,24.0,233.0,253.0,21.0,cellchatdb
LAMB3 to ITGA1_ITGB1,45.0,33.0,26.0,30.0,25.0,22.0,cellchatdb
LAMB3 to ITGA2_ITGB1,200.0,214.0,21.0,172.5,200.0,18.0,cellchatdb
LAMB3 to ITGA9_ITGB1,101.5,83.0,26.0,77.5,60.0,22.0,cellchatdb
LAMB3 to ITGAV_ITGB8,132.5,115.0,24.0,174.5,204.0,20.0,cellchatdb
LAMB3 to SV2C,52.0,42.0,26.0,32.0,27.0,22.0,cellchatdb
LAMC1 to CD44,12.0,9.0,26.0,10.5,8.0,22.0,cellchatdb
LAMC1 to DAG1,203.5,223.0,24.0,234.0,255.0,21.0,cellchatdb
LAMC1 to ITGA1_ITGB1,50.0,39.0,26.0,38.5,35.0,22.0,cellchatdb
LAMC1 to ITGA2_ITGB1,156.0,146.0,21.0,129.0,120.0,18.0,cellchatdb
LAMC1 to ITGA9_ITGB1,96.5,76.0,26.0,81.5,69.0,22.0,cellchatdb
LAMC1 to ITGAV_ITGB8,124.5,104.0,24.0,148.0,160.0,20.0,cellchatdb
LAMC1 to SV2C,54.0,45.0,26.0,44.5,39.0,22.0,cellchatdb
LAMC2 to CD44,11.0,8.0,26.0,6.5,4.0,22.0,cellchatdb
LAMC2 to DAG1,208.0,229.0,24.0,235.0,259.0,21.0,cellchatdb
LAMC2 to ITGA1_ITGB1,50.0,40.0,26.0,37.5,33.0,22.0,cellchatdb
LAMC2 to ITGA2_ITGB1,155.0,145.0,21.0,121.0,113.0,18.0,cellchatdb
LAMC2 to ITGA9_ITGB1,99.0,79.0,26.0,76.5,58.0,22.0,cellchatdb
LAMC2 to ITGAV_ITGB8,127.0,108.0,24.0,145.0,154.0,20.0,cellchatdb
LAMC2 to SV2C,53.5,43.0,26.0,38.0,34.0,22.0,cellchatdb
LGALS9 to CD44,73.0,60.0,23.0,62.0,50.0,20.0,cellchatdb
LIF to IL6ST_LIFR,172.5,174.0,18.0,253.0,276.0,16.0,cellchatdb
LRRC4C to NTNG1,286.0,294.0,16.0,255.0,277.0,12.0,cellchatdb
MDK to LRP1,10.5,7.0,26.0,6.0,3.0,22.0,cellchatdb
MDK to NCL,27.0,24.0,26.0,19.5,18.0,22.0,cellchatdb
MDK to SDC2,18.0,14.0,26.0,15.0,13.0,22.0,cellchatdb
MDK to SDC4,149.0,133.0,23.0,195.0,225.0,19.0,cellchatdb
NAMPT to INSR,43.5,32.0,26.0,30.0,26.0,22.0,cellchatdb
NAMPT to ITGA5_ITGB1,53.5,44.0,24.0,35.0,30.0,20.0,cellchatdb
NCAM1 to FGFR1,190.0,200.0,14.0,170.0,197.0,12.0,cellchatdb
NCAM1 to NCAM2,209.5,233.0,14.0,172.0,199.0,12.0,cellchatdb
NECTIN1 to CADM3,171.0,172.0,21.0,199.0,230.0,18.0,cellchatdb
NECTIN1 to NECTIN3,215.0,242.0,22.0,242.0,269.0,19.0,cellchatdb
NECTIN3 to NECTIN2,160.5,154.0,26.0,169.0,194.0,21.0,cellchatdb
NRG1 to ERBB4,104.0,84.0,21.0,211.0,240.0,19.0,cellchatdb
NRG2 to ERBB4,220.0,247.0,21.0,256.0,278.0,19.0,cellchatdb
NRG3 to ERBB4,154.0,142.0,16.0,247.0,273.0,14.0,cellchatdb
NRG4 to ERBB4,160.0,151.0,21.0,215.0,244.0,19.0,cellchatdb
NRXN1 to NLGN1,152.5,139.0,22.0,214.0,243.0,20.0,cellchatdb
NRXN3 to NLGN1,28.0,27.0,26.0,25.0,21.0,22.0,cellchatdb
NRXN3 to NLGN2,214.0,239.0,13.0,,,,cellchatdb
PDGFA to PDGFRB,100.0,80.0,25.0,111.5,94.0,20.0,cellchatdb
PDGFD to PDGFRB,137.0,122.0,15.0,173.0,201.0,13.0,cellchatdb
POSTN to ITGAV_ITGB5,,,,242.0,270.0,12.0,cellchatdb
PROS1 to AXL,47.0,37.0,26.0,33.5,29.0,22.0,cellchatdb
PTN to NCL,159.5,150.0,18.0,273.0,285.0,12.0,cellchatdb
PTN to SDC2,160.5,153.0,18.0,274.0,287.0,12.0,cellchatdb
PTN to SDC4,223.0,257.0,17.0,308.0,297.0,11.0,cellchatdb
PTPRC to MRC1,248.5,279.0,14.0,248.5,275.0,14.0,cellchatdb
SCGB3A2 to MARCO,127.0,107.0,19.0,239.0,264.0,15.0,cellchatdb
SEMA3A to NRP1_PLXNA2,114.0,93.0,25.0,125.0,117.0,21.0,cellchatdb
SEMA3A to NRP1_PLXNA4,182.5,190.0,22.0,236.0,261.0,20.0,cellchatdb
SEMA3B to NRP1_PLXNA2,97.5,77.0,24.0,97.5,76.0,20.0,cellchatdb
SEMA3B to NRP1_PLXNA4,169.0,167.0,21.0,235.0,260.0,19.0,cellchatdb
SEMA3B to NRP2_PLXNA2,170.0,171.0,19.0,158.0,180.0,17.0,cellchatdb
SEMA3B to NRP2_PLXNA4,291.0,295.0,16.0,270.0,282.0,14.0,cellchatdb
SEMA3C to NRP1_NRP2_PLXND1,307.5,305.0,16.0,298.0,295.0,15.0,cellchatdb
SEMA3C to NRP1_PLXNA2,52.0,41.0,25.0,40.0,36.0,21.0,cellchatdb
SEMA3C to NRP1_PLXNA4,185.5,195.0,22.0,234.5,257.0,20.0,cellchatdb
SEMA3C to NRP2_PLXNA2,133.5,117.0,20.0,156.5,178.0,18.0,cellchatdb
SEMA3C to NRP2_PLXNA4,317.5,307.0,16.0,274.0,288.0,14.0,cellchatdb
SEMA3C to PLXND1,263.0,285.0,19.0,276.0,290.0,17.0,cellchatdb
SEMA3E to PLXND1,264.0,286.0,19.0,280.0,291.0,17.0,cellchatdb
SEMA3F to NRP2_PLXNA2,325.0,310.0,14.0,292.5,294.0,12.0,cellchatdb
SEMA4A to NRP1_PLXNA2,82.0,68.0,25.0,81.0,68.0,21.0,cellchatdb
SEMA4A to NRP1_PLXNA4,177.5,179.0,22.0,239.0,265.0,20.0,cellchatdb
SEMA4A to PLXNB2,207.0,227.0,19.0,270.0,283.0,17.0,cellchatdb
SEMA4C to PLXNB2,259.5,284.0,16.0,271.5,284.0,14.0,cellchatdb
SEMA4D to PLXNB2,224.5,258.0,18.0,273.0,286.0,17.0,cellchatdb
SEMA6A to PLXNA2,176.0,177.0,23.0,258.0,281.0,20.0,cellchatdb
SEMA6A to PLXNA4,259.0,283.0,21.0,288.0,292.0,19.0,cellchatdb
SPP1 to CD44,65.0,53.0,19.0,51.0,44.0,17.0,cellchatdb
SPP1 to ITGA5_ITGB1,150.5,137.0,18.0,143.5,149.0,16.0,cellchatdb
SPP1 to ITGA8_ITGB1,121.0,100.0,17.0,80.0,66.0,15.0,cellchatdb
SPP1 to ITGA9_ITGB1,148.0,132.0,19.0,274.0,289.0,17.0,cellchatdb
SPP1 to ITGAV_ITGB1,105.0,85.0,19.0,76.0,57.0,17.0,cellchatdb
SPP1 to ITGAV_ITGB5,107.0,89.0,19.0,106.0,85.0,17.0,cellchatdb
TGFA to EGFR,115.5,94.0,24.0,136.0,132.0,21.0,cellchatdb
TGFB1 to ACVR1B_TGFBR2,139.5,125.0,24.0,257.0,280.0,21.0,cellchatdb
TGFB1 to ACVR1_TGFBR1_TGFBR2,173.0,175.0,23.0,247.5,274.0,20.0,cellchatdb
TGFB1 to TGFBR1_TGFBR2,116.5,96.0,26.0,112.0,95.0,22.0,cellchatdb
TGFB2 to ACVR1B_TGFBR2,139.0,123.0,24.0,246.0,272.0,20.0,cellchatdb
TGFB2 to ACVR1_TGFBR1_TGFBR2,184.0,191.0,23.0,238.0,263.0,19.0,cellchatdb
TGFB2 to TGFBR1_TGFBR2,105.0,87.0,26.0,125.0,118.0,21.0,cellchatdb
THBS1 to CD47,77.0,63.0,26.0,77.5,61.0,22.0,cellchatdb
THBS1 to SDC4,147.0,130.0,23.0,234.0,256.0,19.0,cellchatdb
THBS3 to CD47,203.5,222.0,24.0,240.0,268.0,21.0,cellchatdb
THBS3 to SDC4,235.0,271.0,21.0,291.5,293.0,18.0,cellchatdb
TNC to ITGA8_ITGB1,47.0,36.0,23.0,36.0,31.0,17.0,cellchatdb
TNC to ITGA9_ITGB1,109.5,91.0,26.0,90.0,73.0,20.0,cellchatdb
TNC to SDC4,150.0,136.0,23.0,237.0,262.0,17.0,cellchatdb
TNFSF12 to TNFRSF12A,231.0,264.0,13.0,,,,cellchatdb
TNFSF14 to LTBR,209.0,231.0,18.0,303.5,296.0,16.0,cellchatdb
