compartment,label,omitted_donor,direction,ligand,pearson,cohort,scope,rank,ranked_ligands
fibroblasts,Fibroblast,192C,up,TGFB1,0.0173697975491641,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,192C,up,VEGFA,0.0043995133008894,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,192C,up,WNT2B,0.0101385085770696,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,192C,up,WNT5B,0.0091678025886646,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,228I,up,AREG,0.0062263721939531,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,228I,up,CCL2,0.01459728437164,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,228I,up,HBEGF,-0.0018761291296411,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,228I,up,IL1A,0.0013566275362311,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,228I,up,IL1B,0.000836269486683,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,228I,up,TGFB1,0.035479538687568,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,228I,up,VEGFA,0.0320606590581146,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,228I,up,WNT2B,0.0165344584996816,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,228I,up,WNT5B,0.0180731818389006,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,__none__,up,AREG,-0.0066275370638059,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,__none__,up,CCL2,0.0210363980738992,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,__none__,up,HBEGF,-0.0006265951096858,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,__none__,up,IL1A,-0.0031622024080203,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,__none__,up,IL1B,0.0021463498628696,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,__none__,up,TGFB1,0.027839657408977,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,__none__,up,VEGFA,0.0097617459619216,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,__none__,up,WNT2B,0.0046013112510984,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,__none__,up,WNT5B,0.0043380334439576,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,down,AREG,0.0040242348901984,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,010I,down,CCL2,0.0302209966926594,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,010I,down,HBEGF,-0.0014933619060364,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,010I,down,IL1A,0.0550790700411582,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,010I,down,IL1B,0.0388305951895328,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,010I,down,TGFB1,0.0316561195152823,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,010I,down,VEGFA,0.0255039562032346,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,down,WNT2B,0.0169629012303498,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,010I,down,WNT5B,0.0190751551515054,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,021I,down,AREG,0.0178411548828476,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,021I,down,CCL2,0.0190450327495605,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,021I,down,HBEGF,0.010819964314556,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,021I,down,IL1A,0.0501596870562777,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,021I,down,IL1B,0.0459696853229992,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,021I,down,TGFB1,0.0399431423224947,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,021I,down,VEGFA,0.0216178108922539,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,021I,down,WNT2B,0.0111178470235291,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,021I,down,WNT5B,0.0130128322389599,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,022I,down,AREG,0.0010726146324361,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,022I,down,CCL2,0.0233125534754891,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,022I,down,HBEGF,-0.0018684369787694,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,022I,down,IL1A,0.0464757771010183,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,022I,down,IL1B,0.0336088990316716,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,022I,down,TGFB1,0.0360664407775071,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,022I,down,VEGFA,0.0239200627555303,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,022I,down,WNT2B,0.0294806517603724,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,022I,down,WNT5B,0.0317595329646458,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,040I,down,AREG,0.0064343236658236,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,040I,down,CCL2,0.0240554674143289,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,040I,down,HBEGF,-0.000188168141796,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,040I,down,IL1A,0.0510886245655358,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,040I,down,IL1B,0.0349497537679743,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,040I,down,TGFB1,0.0322825145413662,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,040I,down,VEGFA,0.0245350850110833,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,040I,down,WNT2B,0.0190959806145964,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,040I,down,WNT5B,0.0201393938579043,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,041I,down,AREG,0.006223861116489,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,041I,down,CCL2,0.0241763214544129,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,041I,down,HBEGF,0.0001773971690053,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,041I,down,IL1A,0.0515469301149755,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,041I,down,IL1B,0.0298934785190072,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,041I,down,TGFB1,0.0269233012131277,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,041I,down,VEGFA,0.0119082632933163,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,041I,down,WNT2B,0.0407603568944752,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,041I,down,WNT5B,0.0404181387561852,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,051I,down,AREG,-0.0004851777967261,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,051I,down,CCL2,0.0293639639644936,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,051I,down,HBEGF,-0.0034651594029399,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,051I,down,IL1A,0.060513085829915,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,051I,down,IL1B,0.0468366584902692,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,051I,down,TGFB1,0.0288709558219992,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,051I,down,VEGFA,0.0172014938894607,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,051I,down,WNT2B,0.0279398280291058,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,051I,down,WNT5B,0.0296309530937809,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,135I,down,AREG,0.0026656108893532,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,135I,down,CCL2,0.0273428134807925,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,135I,down,HBEGF,-0.0024449956289806,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,135I,down,IL1A,0.0512329601181083,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,135I,down,IL1B,0.0390194368385723,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,135I,down,TGFB1,0.0279462114542357,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,135I,down,VEGFA,0.0226876173426006,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,135I,down,WNT2B,0.0139950007756992,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,135I,down,WNT5B,0.0156427826220053,GSE136831,focused_triad,6.0,9
