config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,patient,case_score,reference_score,paired_difference,ligand_difference,receptor_difference
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,10,2.811541787655889,0.013781559078984928,2.7977602285769043,3.137748165781098,2.4577722913727102
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,11,4.71263179090578,1.239550105772275,3.473081685133505,7.28345446810911,-0.3372910978421002
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,12,1.23317931490423,0.93055953606121,0.30261977884302005,1.56210174909564,-0.9568621914095998
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,13,0.9533930737977052,0.9720255823165551,-0.0186325085188499,0.0,-0.0372650170376998
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,14,1.703649338620034,1.522221715440775,0.1814276231792591,2.279019894289838,-1.91616464793132
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,15,3.311382957487985,0.89809960453387,2.4132833529541147,4.53794468008279,0.2886220258254397
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,16,3.184288139359005,0.1956927025756101,2.9885954367833945,4.66415623188328,1.31303464168351
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,17,3.4563948638709148,2.391667157453281,1.0647277064176337,2.192972737521988,-0.06351732468672022
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,18,3.537003567875015,3.75061303628323,-0.21360946840821526,0.16218267300196976,-0.5894016098183998
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,19,3.395322521016,3.158961536232775,0.23636098478322465,0.01757375061800004,0.4551482189484499
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,20,2.9751145228144,0.6241652425999451,2.3509492802144547,3.77799264014276,0.9239059202861495
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,21,0.49957149155703395,4.14570285825539,-3.6461313666983566,-1.01457393819755,-6.277688795199162
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,22,3.078302368998515,2.2936537095328666,0.7846486594656485,1.427516566316677,0.1417807526146202
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,23,2.8708149905141793,3.277101277908115,-0.40628628739393546,-0.510297529964791,-0.3022750448230802
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,24,3.8776844359728,3.09710038089327,0.78058405507953,-0.15299683303410005,1.7141649431931603
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,normal,inhibitory_or_decoy_context_not_activation,25,3.01490586997683,2.4655700725340983,0.5493357974427315,1.4384965307497932,-0.33982493586433016
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,4,3.443363221633625,2.776534637389685,0.6668285842439401,0.3418201613501999,0.9918370071376801
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,6,2.7834332738159633,3.41264225395119,-0.6292089801352265,-1.2227383824234241,-0.0356795778470298
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,9,2.296538412085425,3.281570208641843,-0.9850317965564179,1.024152077188274,-2.9942156703011102
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,11,4.71263179090578,2.205292269939702,2.507339520966078,5.397485992197276,-0.38280695026512035
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,20,2.9751145228144,2.0955466858320797,0.8795678369823201,1.987321412489981,-0.2281857385253403
