patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
8,LUAD,Interstitial Mph perivascular,macrophages,subtype,3,3983,GSM9237920,1,0.2,pooled,unc20_pooled_0499
8,LUAD,Monocyte-derived Mph,macrophages,subtype,44,87852,GSM9237920,1,0.2,pooled,unc20_pooled_0503
8,LUAD,Myofibroblasts,fibroblasts,subtype,1,1808,GSM9237920,1,0.2,pooled,unc20_pooled_0506
8,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,46,98730,GSM9237920,1,0.2,pooled,unc20_pooled_0509
8,normal,AT2,AT2,subtype,211,292790,GSM9237918,1,0.2,pooled,unc20_pooled_0518
8,normal,Alveolar fibroblasts,fibroblasts,subtype,22,42460,GSM9237918,1,0.2,pooled,unc20_pooled_0519
8,normal,Alveolar macrophages,macrophages,subtype,2,2780,GSM9237918,1,0.2,pooled,unc20_pooled_0520
9,AAH,AT2,AT2,subtype,220,690945,GSM9237922,1,0.2,pooled,unc20_pooled_0532
9,AAH,Adventitial fibroblasts,fibroblasts,subtype,1,1408,GSM9237922,1,0.2,pooled,unc20_pooled_0533
9,AAH,Alveolar fibroblasts,fibroblasts,subtype,136,254917,GSM9237922,1,0.2,pooled,unc20_pooled_0534
9,AAH,Alveolar macrophages,macrophages,subtype,55,629497,GSM9237922,1,0.2,pooled,unc20_pooled_0535
9,AAH,Interstitial Mph perivascular,macrophages,subtype,3,4556,GSM9237922,1,0.2,pooled,unc20_pooled_0545
9,AAH,Monocyte-derived Mph,macrophages,subtype,2,2985,GSM9237922,1,0.2,pooled,unc20_pooled_0548
9,AAH,Myofibroblasts,fibroblasts,subtype,2,3448,GSM9237922,1,0.2,pooled,unc20_pooled_0550
9,AIS,AT2,AT2,subtype,657,2208389,GSM9237923,1,0.2,pooled,unc20_pooled_0559
9,AIS,AT2 proliferating,AT2,subtype,1,5519,GSM9237923,1,0.2,pooled,unc20_pooled_0560
9,AIS,Adventitial fibroblasts,fibroblasts,subtype,19,47700,GSM9237923,1,0.2,pooled,unc20_pooled_0561
9,AIS,Alveolar fibroblasts,fibroblasts,subtype,445,851579,GSM9237923,1,0.2,pooled,unc20_pooled_0562
9,AIS,Alveolar macrophages,macrophages,subtype,33,335113,GSM9237923,1,0.2,pooled,unc20_pooled_0563
9,AIS,Interstitial Mph perivascular,macrophages,subtype,8,12762,GSM9237923,1,0.2,pooled,unc20_pooled_0577
9,AIS,Monocyte-derived Mph,macrophages,subtype,14,30133,GSM9237923,1,0.2,pooled,unc20_pooled_0580
9,AIS,Myofibroblasts,fibroblasts,subtype,1,1305,GSM9237923,1,0.2,pooled,unc20_pooled_0583
9,AIS,Peribronchial fibroblasts,fibroblasts,subtype,1,2043,GSM9237923,1,0.2,pooled,unc20_pooled_0587
9,LUAD,AT2,AT2,subtype,677,1942718,GSM9237924,1,0.2,pooled,unc20_pooled_0595
9,LUAD,Adventitial fibroblasts,fibroblasts,subtype,138,296645,GSM9237924,1,0.2,pooled,unc20_pooled_0596
9,LUAD,Alveolar fibroblasts,fibroblasts,subtype,207,330535,GSM9237924,1,0.2,pooled,unc20_pooled_0597
9,LUAD,Alveolar macrophages,macrophages,subtype,34,257814,GSM9237924,1,0.2,pooled,unc20_pooled_0598
9,LUAD,Interstitial Mph perivascular,macrophages,subtype,35,60233,GSM9237924,1,0.2,pooled,unc20_pooled_0615
9,LUAD,Monocyte-derived Mph,macrophages,subtype,24,85120,GSM9237924,1,0.2,pooled,unc20_pooled_0621
9,LUAD,Myofibroblasts,fibroblasts,subtype,7,8921,GSM9237924,1,0.2,pooled,unc20_pooled_0623
9,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,4,7848,GSM9237924,1,0.2,pooled,unc20_pooled_0627
9,normal,AT2,AT2,subtype,279,973207,GSM9237921,1,0.2,pooled,unc20_pooled_0640
9,normal,Adventitial fibroblasts,fibroblasts,subtype,22,57414,GSM9237921,1,0.2,pooled,unc20_pooled_0641
9,normal,Alveolar fibroblasts,fibroblasts,subtype,221,522819,GSM9237921,1,0.2,pooled,unc20_pooled_0642
9,normal,Alveolar macrophages,macrophages,subtype,33,501719,GSM9237921,1,0.2,pooled,unc20_pooled_0643
9,normal,Interstitial Mph perivascular,macrophages,subtype,6,11750,GSM9237921,1,0.2,pooled,unc20_pooled_0655
9,normal,Monocyte-derived Mph,macrophages,subtype,1,1755,GSM9237921,1,0.2,pooled,unc20_pooled_0658
9,normal,Myofibroblasts,fibroblasts,subtype,3,3253,GSM9237921,1,0.2,pooled,unc20_pooled_0660
10,LUAD,AT2,AT2,subtype,774,2818939,GSM9237927,1,0.2,pooled,unc20_pooled_0673
10,LUAD,AT2 proliferating,AT2,subtype,7,276945,GSM9237927,1,0.2,pooled,unc20_pooled_0674
10,LUAD,Adventitial fibroblasts,fibroblasts,subtype,23,59739,GSM9237927,1,0.2,pooled,unc20_pooled_0675
10,LUAD,Alveolar fibroblasts,fibroblasts,subtype,514,1228852,GSM9237927,1,0.2,pooled,unc20_pooled_0676
10,LUAD,Alveolar macrophages,macrophages,subtype,138,1590772,GSM9237927,1,0.2,pooled,unc20_pooled_0677
