pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
COL24A1 to ITGA1_ITGB1,24,136.5,COL24A1,ITGA1_ITGB1,149,cellphonedb
NRG2 to ERBB4,21,137.0,NRG2,ERBB4,150,cellphonedb
COL8A1 to ITGA2_ITGB1,21,137.0,COL8A1,ITGA2_ITGB1,151,cellphonedb
COL1A1 to ITGA2_ITGB1,20,137.5,COL1A1,ITGA2_ITGB1,152,cellphonedb
FGFR2 to CD83,16,138.5,FGFR2,CD83,153,cellphonedb
TNFSF14 to LTBR,18,138.5,TNFSF14,LTBR,154,cellphonedb
COL5A1 to ITGA11_ITGB1,15,139.0,COL5A1,ITGA11_ITGB1,155,cellphonedb
IL15RA to AXL,22,140.0,IL15RA,AXL,156,cellphonedb
BTC to ERBB4,19,141.0,BTC,ERBB4,157,cellphonedb
COL5A2 to ITGA11_ITGB1,20,141.0,COL5A2,ITGA11_ITGB1,158,cellphonedb
COL4A4 to ITGA2_ITGB1,18,141.5,COL4A4,ITGA2_ITGB1,159,cellphonedb
GAS6 to MERTK,20,142.5,GAS6,MERTK,160,cellphonedb
BMP6 to ACVR2A_BMPR1A,21,143.0,BMP6,ACVR2A_BMPR1A,161,cellphonedb
GDF11 to ACVR2A_TGFBR1,13,144.0,GDF11,ACVR2A_TGFBR1,162,cellphonedb
COL9A2 to ITGA11_ITGB1,13,144.0,COL9A2,ITGA11_ITGB1,163,cellphonedb
INHBB to ACVR1_ACVR2A,22,144.0,INHBB,ACVR1_ACVR2A,164,cellphonedb
COL3A1 to ITGA11_ITGB1,16,144.5,COL3A1,ITGA11_ITGB1,165,cellphonedb
CCL4 to SLC7A1,14,146.5,CCL4,SLC7A1,166,cellphonedb
COL4A3 to ITGA2_ITGB1,20,147.5,COL4A3,ITGA2_ITGB1,167,cellphonedb
COL24A1 to ITGA11_ITGB1,19,148.0,COL24A1,ITGA11_ITGB1,168,cellphonedb
GDF11 to ANTXR1,14,148.5,GDF11,ANTXR1,169,cellphonedb
CSF1 to SIRPA,18,149.0,CSF1,SIRPA,170,cellphonedb
BMP7 to ACVR1_ACVR2A,17,149.0,BMP7,ACVR1_ACVR2A,171,cellphonedb
CKLF to LRP6,20,149.5,CKLF,LRP6,172,cellphonedb
GRN to SORT1,22,149.5,GRN,SORT1,173,cellphonedb
COL4A6 to ITGA11_ITGB1,19,150.0,COL4A6,ITGA11_ITGB1,174,cellphonedb
BMP7 to ACVR1_BMPR2,17,150.0,BMP7,ACVR1_BMPR2,175,cellphonedb
BMP7 to BMPR1B_BMPR2,14,151.0,BMP7,BMPR1B_BMPR2,176,cellphonedb
SEMA4D to PLXNB2,18,151.5,SEMA4D,PLXNB2,177,cellphonedb
CSF1 to SLC7A1,15,155.0,CSF1,SLC7A1,178,cellphonedb
COL16A1 to ITGA2_ITGB1,20,155.5,COL16A1,ITGA2_ITGB1,179,cellphonedb
COL17A1 to ITGA2_ITGB1,18,156.5,COL17A1,ITGA2_ITGB1,180,cellphonedb
FAM3C to CLEC2D,16,156.5,FAM3C,CLEC2D,181,cellphonedb
TNFSF12 to TNFRSF12A,13,157.0,TNFSF12,TNFRSF12A,182,cellphonedb
PTPRC to MRC1,14,158.0,PTPRC,MRC1,183,cellphonedb
C5 to C5AR1,18,158.5,C5,C5AR1,184,cellphonedb
GDF11 to ACVR1B_ACVR2A,13,159.0,GDF11,ACVR1B_ACVR2A,185,cellphonedb
BMP7 to ACVR2A_BMPR1B,13,161.0,BMP7,ACVR2A_BMPR1B,186,cellphonedb
PGF to NRP1,13,162.0,PGF,NRP1,187,cellphonedb
BMP6 to ACVR1_ACVR2A,19,162.0,BMP6,ACVR1_ACVR2A,188,cellphonedb
BMP6 to ACVR1_BMPR2,19,163.0,BMP6,ACVR1_BMPR2,189,cellphonedb
WNT7B to FZD1,19,164.0,WNT7B,FZD1,190,cellphonedb
BMP6 to BMPR1B_BMPR2,13,165.0,BMP6,BMPR1B_BMPR2,191,cellphonedb
COPA to SORT1,22,165.0,COPA,SORT1,192,cellphonedb
JAG1 to NOTCH3,14,166.0,JAG1,NOTCH3,193,cellphonedb
COL3A1 to ITGA2_ITGB1,18,166.5,COL3A1,ITGA2_ITGB1,194,cellphonedb
SEMA4A to PLXND1,19,167.0,SEMA4A,PLXND1,195,cellphonedb
COL4A6 to ITGA2_ITGB1,18,167.5,COL4A6,ITGA2_ITGB1,196,cellphonedb
BMP3 to ACVR1B_ACVR2A,16,168.0,BMP3,ACVR1B_ACVR2A,197,cellphonedb
IL6 to IL6_IL6R_IL6ST,14,168.5,IL6,IL6_IL6R_IL6ST,198,cellphonedb
COL27A1 to ITGA2_ITGB1,19,169.0,COL27A1,ITGA2_ITGB1,199,cellphonedb
COL14A1 to ITGA2_ITGB1,17,169.0,COL14A1,ITGA2_ITGB1,200,cellphonedb
COL19A1 to ITGA2_ITGB1,20,172.0,COL19A1,ITGA2_ITGB1,201,cellphonedb
COL5A2 to ITGA2_ITGB1,19,172.0,COL5A2,ITGA2_ITGB1,202,cellphonedb
COL1A2 to ITGA2_ITGB1,17,173.0,COL1A2,ITGA2_ITGB1,203,cellphonedb
TNFSF14 to TNFRSF14,13,174.0,TNFSF14,TNFRSF14,204,cellphonedb
WNT5A to FZD1,13,175.0,WNT5A,FZD1,205,cellphonedb
COL24A1 to ITGA2_ITGB1,20,181.5,COL24A1,ITGA2_ITGB1,206,cellphonedb
NRG1 to ADGRL1,14,184.0,NRG1,ADGRL1,207,cellphonedb
COL26A1 to ITGA2_ITGB1,16,186.0,COL26A1,ITGA2_ITGB1,208,cellphonedb
COL5A1 to ITGA2_ITGB1,15,188.0,COL5A1,ITGA2_ITGB1,209,cellphonedb
SCGB3A1 to NOTCH3,14,189.5,SCGB3A1,NOTCH3,210,cellphonedb
COL7A1 to ITGA2_ITGB1,16,193.5,COL7A1,ITGA2_ITGB1,211,cellphonedb
SEMA3E to PLXND1,19,194.0,SEMA3E,PLXND1,212,cellphonedb
FAM3B to LRP5,15,195.0,FAM3B,LRP5,213,cellphonedb
SEMA3F to NRP2,14,197.0,SEMA3F,NRP2,214,cellphonedb
DLL1 to NOTCH3,14,198.0,DLL1,NOTCH3,215,cellphonedb
PTN to PLXNB2,15,198.0,PTN,PLXNB2,216,cellphonedb
