pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
LAMA3 to ITGA9_ITGB1,26,114.0,LAMA3,ITGA9_ITGB1,92,cellchatdb
SEMA3A to NRP1_PLXNA2,25,114.0,SEMA3A,NRP1_PLXNA2,93,cellchatdb
TGFA to EGFR,24,115.5,TGFA,EGFR,94,cellchatdb
F11R to JAM3,25,116.0,F11R,JAM3,95,cellchatdb
TGFB1 to TGFBR1_TGFBR2,26,116.5,TGFB1,TGFBR1_TGFBR2,96,cellchatdb
FN1 to ITGAV_ITGB8,24,117.0,FN1,ITGAV_ITGB8,97,cellchatdb
COL4A2 to ITGA11_ITGB1,20,119.0,COL4A2,ITGA11_ITGB1,98,cellchatdb
LAMA2 to ITGA9_ITGB1,26,119.5,LAMA2,ITGA9_ITGB1,99,cellchatdb
SPP1 to ITGA8_ITGB1,17,121.0,SPP1,ITGA8_ITGB1,100,cellchatdb
COL4A1 to ITGA11_ITGB1,20,121.5,COL4A1,ITGA11_ITGB1,101,cellchatdb
COL4A3 to ITGA9_ITGB1,25,122.0,COL4A3,ITGA9_ITGB1,102,cellchatdb
LAMA5 to ITGA9_ITGB1,26,122.0,LAMA5,ITGA9_ITGB1,103,cellchatdb
LAMC1 to ITGAV_ITGB8,24,124.5,LAMC1,ITGAV_ITGB8,104,cellchatdb
TNXB to ITGA8_ITGB1,23,125.0,TNXB,ITGA8_ITGB1,105,cellchatdb
COL4A4 to ITGA9_ITGB1,23,126.0,COL4A4,ITGA9_ITGB1,106,cellchatdb
SCGB3A2 to MARCO,19,127.0,SCGB3A2,MARCO,107,cellchatdb
LAMC2 to ITGAV_ITGB8,24,127.0,LAMC2,ITGAV_ITGB8,108,cellchatdb
LAMB2 to ITGA9_ITGB1,25,129.0,LAMB2,ITGA9_ITGB1,109,cellchatdb
EDN1 to EDNRA,22,129.0,EDN1,EDNRA,110,cellchatdb
ANGPTL4 to ITGA5_ITGB1,24,129.0,ANGPTL4,ITGA5_ITGB1,111,cellchatdb
COL6A1 to ITGA9_ITGB1,20,129.5,COL6A1,ITGA9_ITGB1,112,cellchatdb
LAMA3 to ITGAV_ITGB8,24,131.0,LAMA3,ITGAV_ITGB8,113,cellchatdb
EREG to EGFR,22,131.5,EREG,EGFR,114,cellchatdb
LAMB3 to ITGAV_ITGB8,24,132.5,LAMB3,ITGAV_ITGB8,115,cellchatdb
HBEGF to ERBB4,21,133.0,HBEGF,ERBB4,116,cellchatdb
SEMA3C to NRP2_PLXNA2,20,133.5,SEMA3C,NRP2_PLXNA2,117,cellchatdb
LAMB1 to ITGA9_ITGB1,21,136.0,LAMB1,ITGA9_ITGB1,118,cellchatdb
COL4A2 to ITGAV_ITGB8,23,136.0,COL4A2,ITGAV_ITGB8,119,cellchatdb
BMP2 to BMPR1A_BMPR2,26,136.0,BMP2,BMPR1A_BMPR2,120,cellchatdb
COL4A1 to ITGAV_ITGB8,23,137.0,COL4A1,ITGAV_ITGB8,121,cellchatdb
PDGFD to PDGFRB,15,137.0,PDGFD,PDGFRB,122,cellchatdb
TGFB2 to ACVR1B_TGFBR2,24,139.0,TGFB2,ACVR1B_TGFBR2,123,cellchatdb
EFNA1 to EPHA3,22,139.0,EFNA1,EPHA3,124,cellchatdb
TGFB1 to ACVR1B_TGFBR2,24,139.5,TGFB1,ACVR1B_TGFBR2,125,cellchatdb
COL4A5 to ITGA11_ITGB1,21,140.0,COL4A5,ITGA11_ITGB1,126,cellchatdb
COL4A4 to ITGAV_ITGB8,21,140.0,COL4A4,ITGAV_ITGB8,127,cellchatdb
COL4A4 to ITGA11_ITGB1,19,145.0,COL4A4,ITGA11_ITGB1,128,cellchatdb
FGF2 to FGFR1,16,146.0,FGF2,FGFR1,129,cellchatdb
THBS1 to SDC4,23,147.0,THBS1,SDC4,130,cellchatdb
COL4A5 to ITGAV_ITGB8,24,148.0,COL4A5,ITGAV_ITGB8,131,cellchatdb
SPP1 to ITGA9_ITGB1,19,148.0,SPP1,ITGA9_ITGB1,132,cellchatdb
MDK to SDC4,23,149.0,MDK,SDC4,133,cellchatdb
COL4A2 to SDC4,22,149.5,COL4A2,SDC4,134,cellchatdb
COL4A3 to ITGAV_ITGB8,23,150.0,COL4A3,ITGAV_ITGB8,135,cellchatdb
TNC to SDC4,23,150.0,TNC,SDC4,136,cellchatdb
SPP1 to ITGA5_ITGB1,18,150.5,SPP1,ITGA5_ITGB1,137,cellchatdb
EFNA5 to EPHB2,23,151.0,EFNA5,EPHB2,138,cellchatdb
NRXN1 to NLGN1,22,152.5,NRXN1,NLGN1,139,cellchatdb
BMP2 to ACVR2A_BMPR1A,25,154.0,BMP2,ACVR2A_BMPR1A,140,cellchatdb
COL6A1 to ITGA2_ITGB1,17,154.0,COL6A1,ITGA2_ITGB1,141,cellchatdb
NRG3 to ERBB4,16,154.0,NRG3,ERBB4,142,cellchatdb
COL9A2 to CD44,15,154.0,COL9A2,CD44,143,cellchatdb
TNXB to ITGA9_ITGB1,26,154.5,TNXB,ITGA9_ITGB1,144,cellchatdb
LAMC2 to ITGA2_ITGB1,21,155.0,LAMC2,ITGA2_ITGB1,145,cellchatdb
LAMC1 to ITGA2_ITGB1,21,156.0,LAMC1,ITGA2_ITGB1,146,cellchatdb
EFNB2 to EPHB2,23,156.0,EFNB2,EPHB2,147,cellchatdb
LAMA5 to ITGAV_ITGB8,24,156.5,LAMA5,ITGAV_ITGB8,148,cellchatdb
COL9A2 to ITGA1_ITGB1,15,158.0,COL9A2,ITGA1_ITGB1,149,cellchatdb
PTN to NCL,18,159.5,PTN,NCL,150,cellchatdb
NRG4 to ERBB4,21,160.0,NRG4,ERBB4,151,cellchatdb
LAMA3 to ITGA2_ITGB1,21,160.0,LAMA3,ITGA2_ITGB1,152,cellchatdb
PTN to SDC2,18,160.5,PTN,SDC2,153,cellchatdb
NECTIN3 to NECTIN2,26,160.5,NECTIN3,NECTIN2,154,cellchatdb
COL4A2 to ITGA2_ITGB1,20,160.5,COL4A2,ITGA2_ITGB1,155,cellchatdb
COL4A1 to ITGA2_ITGB1,20,161.0,COL4A1,ITGA2_ITGB1,156,cellchatdb
BMP2 to BMPR1B_BMPR2,16,162.0,BMP2,BMPR1B_BMPR2,157,cellchatdb
LAMB2 to ITGAV_ITGB8,23,163.0,LAMB2,ITGAV_ITGB8,158,cellchatdb
HLA-DRB1 to CD4,23,163.0,HLA-DRB1,CD4,159,cellchatdb
HLA-DRA to CD4,23,164.0,HLA-DRA,CD4,160,cellchatdb
COL4A5 to SDC4,23,164.0,COL4A5,SDC4,161,cellchatdb
COL4A5 to ITGA2_ITGB1,21,165.0,COL4A5,ITGA2_ITGB1,162,cellchatdb
JAG2 to NOTCH2,18,165.0,JAG2,NOTCH2,163,cellchatdb
COL4A1 to SDC4,22,166.0,COL4A1,SDC4,164,cellchatdb
COL4A3 to ITGA11_ITGB1,20,166.5,COL4A3,ITGA11_ITGB1,165,cellchatdb
BMP2 to ACVR2A_BMPR1B,15,167.0,BMP2,ACVR2A_BMPR1B,166,cellchatdb
SEMA3B to NRP1_PLXNA4,21,169.0,SEMA3B,NRP1_PLXNA4,167,cellchatdb
COL4A4 to SDC4,20,169.5,COL4A4,SDC4,168,cellchatdb
LAMA4 to ITGA9_ITGB1,24,170.0,LAMA4,ITGA9_ITGB1,169,cellchatdb
COL1A1 to ITGA11_ITGB1,19,170.0,COL1A1,ITGA11_ITGB1,170,cellchatdb
SEMA3B to NRP2_PLXNA2,19,170.0,SEMA3B,NRP2_PLXNA2,171,cellchatdb
NECTIN1 to CADM3,21,171.0,NECTIN1,CADM3,172,cellchatdb
HLA-DPB1 to CD4,23,172.0,HLA-DPB1,CD4,173,cellchatdb
LIF to IL6ST_LIFR,18,172.5,LIF,IL6ST_LIFR,174,cellchatdb
TGFB1 to ACVR1_TGFBR1_TGFBR2,23,173.0,TGFB1,ACVR1_TGFBR1_TGFBR2,175,cellchatdb
COL4A6 to CD44,22,175.5,COL4A6,CD44,176,cellchatdb
SEMA6A to PLXNA2,23,176.0,SEMA6A,PLXNA2,177,cellchatdb
CDH1 to ITGA2_ITGB1,21,176.0,CDH1,ITGA2_ITGB1,178,cellchatdb
SEMA4A to NRP1_PLXNA4,22,177.5,SEMA4A,NRP1_PLXNA4,179,cellchatdb
LAMA2 to ITGAV_ITGB8,24,178.0,LAMA2,ITGAV_ITGB8,180,cellchatdb
COL6A2 to ITGA2_ITGB1,18,178.0,COL6A2,ITGA2_ITGB1,181,cellchatdb
HLA-DPA1 to CD4,23,178.0,HLA-DPA1,CD4,182,cellchatdb
COL9A2 to ITGA11_ITGB1,13,178.0,COL9A2,ITGA11_ITGB1,183,cellchatdb
LAMB1 to ITGAV_ITGB8,19,179.0,LAMB1,ITGAV_ITGB8,184,cellchatdb
ANGPTL4 to SDC4,23,179.0,ANGPTL4,SDC4,185,cellchatdb
TNXB to SDC4,23,180.0,TNXB,SDC4,186,cellchatdb
EDN2 to EDNRA,13,181.0,EDN2,EDNRA,187,cellchatdb
COL9A2 to ITGA9_ITGB1,15,182.0,COL9A2,ITGA9_ITGB1,188,cellchatdb
FGF18 to FGFR1,17,182.0,FGF18,FGFR1,189,cellchatdb
SEMA3A to NRP1_PLXNA4,22,182.5,SEMA3A,NRP1_PLXNA4,190,cellchatdb
TGFB2 to ACVR1_TGFBR1_TGFBR2,23,184.0,TGFB2,ACVR1_TGFBR1_TGFBR2,191,cellchatdb
COL6A1 to ITGAV_ITGB8,20,184.5,COL6A1,ITGAV_ITGB8,192,cellchatdb
BMP7 to BMPR1A_BMPR2,18,184.5,BMP7,BMPR1A_BMPR2,193,cellchatdb
BMP7 to ACVR2A_BMPR1A,18,184.5,BMP7,ACVR2A_BMPR1A,194,cellchatdb
SEMA3C to NRP1_PLXNA4,22,185.5,SEMA3C,NRP1_PLXNA4,195,cellchatdb
COL6A2 to ITGA11_ITGB1,17,186.0,COL6A2,ITGA11_ITGB1,196,cellchatdb
INHBB to ACVR1B_ACVR2A,23,186.0,INHBB,ACVR1B_ACVR2A,197,cellchatdb
COL6A1 to ITGA11_ITGB1,17,187.0,COL6A1,ITGA11_ITGB1,198,cellchatdb
EREG to ERBB4,18,188.0,EREG,ERBB4,199,cellchatdb
NCAM1 to FGFR1,14,190.0,NCAM1,FGFR1,200,cellchatdb
CD99 to CD99L2,22,192.0,CD99,CD99L2,201,cellchatdb
LAMA1 to CD44,25,192.0,LAMA1,CD44,202,cellchatdb
COL1A2 to ITGA11_ITGB1,15,193.0,COL1A2,ITGA11_ITGB1,203,cellchatdb
LAMB2 to ITGA2_ITGB1,20,193.5,LAMB2,ITGA2_ITGB1,204,cellchatdb
LAMA1 to SV2C,25,194.0,LAMA1,SV2C,205,cellchatdb
COL6A2 to ITGAV_ITGB8,21,194.0,COL6A2,ITGAV_ITGB8,206,cellchatdb
COL4A3 to SDC4,22,195.0,COL4A3,SDC4,207,cellchatdb
LAMA1 to ITGA9_ITGB1,25,195.0,LAMA1,ITGA9_ITGB1,208,cellchatdb
IL16 to CD4,23,195.0,IL16,CD4,209,cellchatdb
LAMA5 to ITGA2_ITGB1,21,198.0,LAMA5,ITGA2_ITGB1,210,cellchatdb
COL4A6 to ITGA9_ITGB1,22,198.5,COL4A6,ITGA9_ITGB1,211,cellchatdb
HLA-DRB5 to CD4,21,199.0,HLA-DRB5,CD4,212,cellchatdb
EFNB1 to EPHB2,17,199.0,EFNB1,EPHB2,213,cellchatdb
LAMB3 to ITGA2_ITGB1,21,200.0,LAMB3,ITGA2_ITGB1,214,cellchatdb
HSPG2 to DAG1,24,200.5,HSPG2,DAG1,215,cellchatdb
LAMA1 to ITGA1_ITGB1,25,201.0,LAMA1,ITGA1_ITGB1,216,cellchatdb
LAMA2 to ITGA2_ITGB1,21,201.0,LAMA2,ITGA2_ITGB1,217,cellchatdb
BTC to EGFR,22,201.5,BTC,EGFR,218,cellchatdb
COL1A2 to SDC4,19,202.0,COL1A2,SDC4,219,cellchatdb
COL4A6 to ITGA1_ITGB1,22,202.5,COL4A6,ITGA1_ITGB1,220,cellchatdb
BMP7 to ACVR2A_BMPR1B,13,203.0,BMP7,ACVR2A_BMPR1B,221,cellchatdb
THBS3 to CD47,24,203.5,THBS3,CD47,222,cellchatdb
LAMC1 to DAG1,24,203.5,LAMC1,DAG1,223,cellchatdb
HLA-DQA1 to CD4,20,203.5,HLA-DQA1,CD4,224,cellchatdb
GDF11 to ACVR2A_TGFBR1,13,205.0,GDF11,ACVR2A_TGFBR1,225,cellchatdb
BMP7 to BMPR1B_BMPR2,14,206.0,BMP7,BMPR1B_BMPR2,226,cellchatdb
SEMA4A to PLXNB2,19,207.0,SEMA4A,PLXNB2,227,cellchatdb
LAMA3 to DAG1,24,208.0,LAMA3,DAG1,228,cellchatdb
LAMC2 to DAG1,24,208.0,LAMC2,DAG1,229,cellchatdb
COL1A1 to SDC4,22,208.0,COL1A1,SDC4,230,cellchatdb
TNFSF14 to LTBR,18,209.0,TNFSF14,LTBR,231,cellchatdb
BMP6 to BMPR1A_BMPR2,22,209.5,BMP6,BMPR1A_BMPR2,232,cellchatdb
NCAM1 to NCAM2,14,209.5,NCAM1,NCAM2,233,cellchatdb
COL1A1 to ITGAV_ITGB8,23,210.0,COL1A1,ITGAV_ITGB8,234,cellchatdb
LAMB3 to DAG1,24,210.0,LAMB3,DAG1,235,cellchatdb
LAMB2 to DAG1,23,211.0,LAMB2,DAG1,236,cellchatdb
COL6A2 to SDC4,20,211.5,COL6A2,SDC4,237,cellchatdb
LAMB1 to ITGA2_ITGB1,16,212.5,LAMB1,ITGA2_ITGB1,238,cellchatdb
NRXN3 to NLGN2,13,214.0,NRXN3,NLGN2,239,cellchatdb
WNT5B to FZD7,16,214.5,WNT5B,FZD7,240,cellchatdb
BTC to ERBB4,19,215.0,BTC,ERBB4,241,cellchatdb
NECTIN1 to NECTIN3,22,215.0,NECTIN1,NECTIN3,242,cellchatdb
BMP6 to ACVR2A_BMPR1A,21,216.0,BMP6,ACVR2A_BMPR1A,243,cellchatdb
WNT5B to FZD6,18,217.0,WNT5B,FZD6,244,cellchatdb
COL4A4 to ITGA2_ITGB1,18,217.0,COL4A4,ITGA2_ITGB1,245,cellchatdb
BMP7 to ACVR1_ACVR2A,17,218.0,BMP7,ACVR1_ACVR2A,246,cellchatdb
NRG2 to ERBB4,21,220.0,NRG2,ERBB4,247,cellchatdb
C5 to C5AR1,18,220.5,C5,C5AR1,248,cellchatdb
LAMA4 to ITGAV_ITGB8,23,221.0,LAMA4,ITGAV_ITGB8,249,cellchatdb
BMP7 to ACVR1_BMPR2,17,221.0,BMP7,ACVR1_BMPR2,250,cellchatdb
ANGPT2 to ITGA5_ITGB1,14,221.0,ANGPT2,ITGA5_ITGB1,251,cellchatdb
AGRN to DAG1,24,221.5,AGRN,DAG1,252,cellchatdb
COL4A6 to ITGA11_ITGB1,19,222.0,COL4A6,ITGA11_ITGB1,253,cellchatdb
LAMA5 to DAG1,24,222.0,LAMA5,DAG1,254,cellchatdb
BMP6 to BMPR1B_BMPR2,13,222.0,BMP6,BMPR1B_BMPR2,255,cellchatdb
CD6 to ALCAM,17,223.0,CD6,ALCAM,256,cellchatdb
PTN to SDC4,17,223.0,PTN,SDC4,257,cellchatdb
SEMA4D to PLXNB2,18,224.5,SEMA4D,PLXNB2,258,cellchatdb
GAS6 to MERTK,20,225.5,GAS6,MERTK,259,cellchatdb
GRN to SORT1,22,226.5,GRN,SORT1,260,cellchatdb
COL1A2 to ITGAV_ITGB8,19,228.0,COL1A2,ITGAV_ITGB8,261,cellchatdb
COL4A6 to ITGAV_ITGB8,21,230.0,COL4A6,ITGAV_ITGB8,262,cellchatdb
COL1A1 to ITGA2_ITGB1,20,230.5,COL1A1,ITGA2_ITGB1,263,cellchatdb
TNFSF12 to TNFRSF12A,13,231.0,TNFSF12,TNFRSF12A,264,cellchatdb
LAMA2 to DAG1,24,232.5,LAMA2,DAG1,265,cellchatdb
COL9A2 to SDC4,13,233.0,COL9A2,SDC4,266,cellchatdb
COL6A1 to SDC4,19,233.0,COL6A1,SDC4,267,cellchatdb
IL6 to IL6R_IL6ST,15,233.0,IL6,IL6R_IL6ST,268,cellchatdb
BMP6 to ACVR1_BMPR2,19,235.0,BMP6,ACVR1_BMPR2,269,cellchatdb
LAMA1 to DAG1,23,235.0,LAMA1,DAG1,270,cellchatdb
THBS3 to SDC4,21,235.0,THBS3,SDC4,271,cellchatdb
LAMA1 to ITGAV_ITGB8,23,236.0,LAMA1,ITGAV_ITGB8,272,cellchatdb
BMP6 to ACVR1_ACVR2A,19,236.0,BMP6,ACVR1_ACVR2A,273,cellchatdb
COL4A6 to SDC4,20,239.0,COL4A6,SDC4,274,cellchatdb
COL4A3 to ITGA2_ITGB1,20,240.0,COL4A3,ITGA2_ITGB1,275,cellchatdb
LAMB1 to DAG1,19,242.0,LAMB1,DAG1,276,cellchatdb
TNFSF14 to TNFRSF14,13,245.0,TNFSF14,TNFRSF14,277,cellchatdb
HLA-DQB1 to CD4,20,246.5,HLA-DQB1,CD4,278,cellchatdb
PTPRC to MRC1,14,248.5,PTPRC,MRC1,279,cellchatdb
LAMA4 to DAG1,22,249.0,LAMA4,DAG1,280,cellchatdb
WNT5A to FZD1,13,253.0,WNT5A,FZD1,281,cellchatdb
LAMA4 to ITGA2_ITGB1,20,258.0,LAMA4,ITGA2_ITGB1,282,cellchatdb
SEMA6A to PLXNA4,21,259.0,SEMA6A,PLXNA4,283,cellchatdb
SEMA4C to PLXNB2,16,259.5,SEMA4C,PLXNB2,284,cellchatdb
SEMA3C to PLXND1,19,263.0,SEMA3C,PLXND1,285,cellchatdb
SEMA3E to PLXND1,19,264.0,SEMA3E,PLXND1,286,cellchatdb
COL4A6 to ITGA2_ITGB1,18,264.5,COL4A6,ITGA2_ITGB1,287,cellchatdb
COL1A2 to ITGA2_ITGB1,17,266.0,COL1A2,ITGA2_ITGB1,288,cellchatdb
JAG1 to NOTCH3,14,266.5,JAG1,NOTCH3,289,cellchatdb
WNT5B to FZD1,20,267.5,WNT5B,FZD1,290,cellchatdb
ANGPTL4 to SDC3,16,269.0,ANGPTL4,SDC3,291,cellchatdb
FRAS1_FREM2_NPNT to ITGA8_ITGB1,19,276.0,FRAS1_FREM2_NPNT,ITGA8_ITGB1,292,cellchatdb
ITGA9_ITGB1 to VCAM1,14,277.0,ITGA9_ITGB1,VCAM1,293,cellchatdb
LRRC4C to NTNG1,16,286.0,LRRC4C,NTNG1,294,cellchatdb
SEMA3B to NRP2_PLXNA4,16,291.0,SEMA3B,NRP2_PLXNA4,295,cellchatdb
LAMA1 to ITGA2_ITGB1,20,295.0,LAMA1,ITGA2_ITGB1,296,cellchatdb
WNT9A to FZD6_LRP6,16,295.5,WNT9A,FZD6_LRP6,297,cellchatdb
WNT7B to FZD6_LRP6,15,297.0,WNT7B,FZD6_LRP6,298,cellchatdb
WNT7B to FZD1_LRP6,15,301.0,WNT7B,FZD1_LRP6,299,cellchatdb
HLA-DMB to CD4,19,303.0,HLA-DMB,CD4,300,cellchatdb
WNT7B to FZD6_LRP5,13,304.0,WNT7B,FZD6_LRP5,301,cellchatdb
WNT7B to FZD1_LRP5,13,305.0,WNT7B,FZD1_LRP5,302,cellchatdb
COL9A2 to ITGAV_ITGB8,14,305.0,COL9A2,ITGAV_ITGB8,303,cellchatdb
WNT9A to FZD6_LRP5,14,306.5,WNT9A,FZD6_LRP5,304,cellchatdb
SEMA3C to NRP1_NRP2_PLXND1,16,307.5,SEMA3C,NRP1_NRP2_PLXND1,305,cellchatdb
WNT9A to FZD1_LRP5,14,312.5,WNT9A,FZD1_LRP5,306,cellchatdb
SEMA3C to NRP2_PLXNA4,16,317.5,SEMA3C,NRP2_PLXNA4,307,cellchatdb
DLL1 to NOTCH3,14,320.0,DLL1,NOTCH3,308,cellchatdb
WNT9A to FZD1_LRP6,16,321.5,WNT9A,FZD1_LRP6,309,cellchatdb
