donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
VUILD60,IPF,B Cells,27,8463,0.0031903580290677065
VUILD60,IPF,Basal,444,8463,0.05246366536689118
VUILD60,IPF,Ciliated,4210,8463,0.4974595297175942
VUILD60,IPF,Differentiating Ciliated,350,8463,0.0413564929693962
VUILD60,IPF,Endothelial Cells,190,8463,0.022450667611957936
VUILD60,IPF,Fibroblasts,2,8463,0.00023632281696797826
VUILD60,IPF,KRT5-/KRT17+,110,8463,0.012997754933238804
VUILD60,IPF,Lymphatic Endothelial Cells,25,8463,0.0029540352120997282
VUILD60,IPF,MUC5AC+ High,12,8463,0.0014179369018078695
VUILD60,IPF,MUC5B+,259,8463,0.030603804797353185
VUILD60,IPF,Macrophages,1011,8463,0.119461183977313
VUILD60,IPF,Mast Cells,65,8463,0.007680491551459293
VUILD60,IPF,Monocytes,100,8463,0.011816140848398913
VUILD60,IPF,Myofibroblasts,10,8463,0.0011816140848398913
VUILD60,IPF,NK Cells,107,8463,0.012643270707786838
VUILD60,IPF,Plasma Cells,2,8463,0.00023632281696797826
VUILD60,IPF,Proliferating Epithelial Cells,19,8463,0.0022450667611957935
VUILD60,IPF,Proliferating Macrophages,51,8463,0.006026231832683446
VUILD60,IPF,Proliferating T Cells,16,8463,0.001890582535743826
VUILD60,IPF,SCGB3A2+,439,8463,0.05187285832447123
VUILD60,IPF,SCGB3A2+ SCGB1A1+,161,8463,0.01902398676592225
VUILD60,IPF,Smooth Muscle Cells,14,8463,0.0016542597187758478
VUILD60,IPF,T Cells,529,8463,0.06250738508803025
VUILD60,IPF,Transitional AT2,18,8463,0.0021269053527118043
VUILD60,IPF,cDCs,119,8463,0.014061207609594707
VUILD61,IPF,AT1,20,8408,0.002378686964795433
VUILD61,IPF,AT2,395,8408,0.0469790675547098
VUILD61,IPF,B Cells,24,8408,0.0028544243577545195
VUILD61,IPF,Basal,84,8408,0.009990485252140819
VUILD61,IPF,Ciliated,4289,8408,0.5101094196003806
VUILD61,IPF,Differentiating Ciliated,296,8408,0.035204567078972404
VUILD61,IPF,Endothelial Cells,274,8408,0.03258801141769743
VUILD61,IPF,Fibroblasts,11,8408,0.001308277830637488
VUILD61,IPF,KRT5-/KRT17+,11,8408,0.001308277830637488
VUILD61,IPF,Lymphatic Endothelial Cells,3,8408,0.00035680304471931494
VUILD61,IPF,MUC5AC+ High,22,8408,0.002616555661274976
VUILD61,IPF,MUC5B+,457,8408,0.05435299714557564
VUILD61,IPF,Macrophages,971,8408,0.11548525214081827
VUILD61,IPF,Mast Cells,16,8408,0.0019029495718363464
VUILD61,IPF,Mesothelial Cells,49,8408,0.0058277830637488105
VUILD61,IPF,Monocytes,108,8408,0.012844909609895337
VUILD61,IPF,Myofibroblasts,20,8408,0.002378686964795433
VUILD61,IPF,NK Cells,124,8408,0.014747859181731684
VUILD61,IPF,PLIN2+ Fibroblasts,8,8408,0.0009514747859181732
VUILD61,IPF,Plasma Cells,9,8408,0.0010704091341579448
VUILD61,IPF,Proliferating Epithelial Cells,35,8408,0.004162702188392008
VUILD61,IPF,Proliferating Macrophages,22,8408,0.002616555661274976
VUILD61,IPF,Proliferating T Cells,6,8408,0.0007136060894386299
VUILD61,IPF,SCGB3A2+,663,8408,0.0788534728829686
VUILD61,IPF,SCGB3A2+ SCGB1A1+,150,8408,0.01784015223596575
VUILD61,IPF,Smooth Muscle Cells,13,8408,0.0015461465271170314
VUILD61,IPF,T Cells,206,8408,0.02450047573739296
VUILD61,IPF,Transitional AT2,12,8408,0.0014272121788772598
VUILD61,IPF,cDCs,85,8408,0.01010941960038059
VUILD61,IPF,pDCs,25,8408,0.002973358705994291
VUILD63,IPF,AT2,99,2124,0.046610169491525424
VUILD63,IPF,B Cells,41,2124,0.019303201506591337
VUILD63,IPF,Basal,15,2124,0.007062146892655367
VUILD63,IPF,Ciliated,186,2124,0.08757062146892655
VUILD63,IPF,Differentiating Ciliated,8,2124,0.003766478342749529
VUILD63,IPF,Endothelial Cells,167,2124,0.07862523540489642
VUILD63,IPF,KRT5-/KRT17+,7,2124,0.003295668549905838
VUILD63,IPF,Lymphatic Endothelial Cells,6,2124,0.002824858757062147
VUILD63,IPF,MUC5AC+ High,1,2124,0.00047080979284369113
VUILD63,IPF,MUC5B+,30,2124,0.014124293785310734
VUILD63,IPF,Macrophages,322,2124,0.15160075329566855
VUILD63,IPF,Mast Cells,1,2124,0.00047080979284369113
VUILD63,IPF,Mesothelial Cells,5,2124,0.0023540489642184556
VUILD63,IPF,Monocytes,79,2124,0.0371939736346516
VUILD63,IPF,Myofibroblasts,4,2124,0.0018832391713747645
VUILD63,IPF,NK Cells,593,2124,0.2791902071563089
VUILD63,IPF,Plasma Cells,2,2124,0.0009416195856873823
VUILD63,IPF,Proliferating Epithelial Cells,3,2124,0.0014124293785310734
VUILD63,IPF,Proliferating Macrophages,24,2124,0.011299435028248588
VUILD63,IPF,Proliferating T Cells,18,2124,0.00847457627118644
VUILD63,IPF,SCGB3A2+,17,2124,0.00800376647834275
VUILD63,IPF,SCGB3A2+ SCGB1A1+,33,2124,0.015536723163841809
VUILD63,IPF,Smooth Muscle Cells,4,2124,0.0018832391713747645
VUILD63,IPF,T Cells,386,2124,0.1817325800376648
VUILD63,IPF,Transitional AT2,8,2124,0.003766478342749529
VUILD63,IPF,cDCs,63,2124,0.029661016949152543
VUILD63,IPF,pDCs,2,2124,0.0009416195856873823
VUILD64,IPF,AT1,1,1419,0.0007047216349541931
VUILD64,IPF,AT2,428,1419,0.30162085976039466
VUILD64,IPF,B Cells,9,1419,0.006342494714587738
VUILD64,IPF,Basal,14,1419,0.009866102889358703
VUILD64,IPF,Ciliated,278,1419,0.1959126145172657
VUILD64,IPF,Differentiating Ciliated,27,1419,0.019027484143763214
VUILD64,IPF,Endothelial Cells,17,1419,0.011980267794221282
VUILD64,IPF,Fibroblasts,2,1419,0.0014094432699083862
VUILD64,IPF,KRT5-/KRT17+,127,1419,0.08949964763918253
VUILD64,IPF,Lymphatic Endothelial Cells,9,1419,0.006342494714587738
VUILD64,IPF,MUC5B+,59,1419,0.041578576462297394
VUILD64,IPF,Macrophages,135,1419,0.09513742071881606
VUILD64,IPF,Mast Cells,2,1419,0.0014094432699083862
VUILD64,IPF,Monocytes,20,1419,0.014094432699083862
VUILD64,IPF,Myofibroblasts,7,1419,0.004933051444679351
VUILD64,IPF,NK Cells,4,1419,0.0028188865398167725
VUILD64,IPF,Plasma Cells,4,1419,0.0028188865398167725
VUILD64,IPF,Proliferating Epithelial Cells,3,1419,0.0021141649048625794
VUILD64,IPF,Proliferating Macrophages,6,1419,0.004228329809725159
VUILD64,IPF,Proliferating T Cells,4,1419,0.0028188865398167725
VUILD64,IPF,SCGB3A2+,26,1419,0.018322762508809022
VUILD64,IPF,SCGB3A2+ SCGB1A1+,197,1419,0.13883016208597604
VUILD64,IPF,Smooth Muscle Cells,1,1419,0.0007047216349541931
VUILD64,IPF,T Cells,14,1419,0.009866102889358703
VUILD64,IPF,Transitional AT2,3,1419,0.0021141649048625794
VUILD64,IPF,cDCs,20,1419,0.014094432699083862
VUILD64,IPF,pDCs,2,1419,0.0014094432699083862
VUILD65,IPF,AT2,72,3190,0.0225705329153605
VUILD65,IPF,B Cells,72,3190,0.0225705329153605
VUILD65,IPF,Basal,288,3190,0.090282131661442
VUILD65,IPF,Ciliated,623,3190,0.19529780564263322
VUILD65,IPF,Differentiating Ciliated,70,3190,0.0219435736677116
VUILD65,IPF,Endothelial Cells,99,3190,0.03103448275862069
VUILD65,IPF,Fibroblasts,1,3190,0.00031347962382445143
VUILD65,IPF,KRT5-/KRT17+,4,3190,0.0012539184952978057
VUILD65,IPF,Lymphatic Endothelial Cells,11,3190,0.0034482758620689655
VUILD65,IPF,MUC5AC+ High,24,3190,0.007523510971786834
VUILD65,IPF,MUC5B+,372,3190,0.11661442006269593
VUILD65,IPF,Macrophages,801,3190,0.2510971786833856
VUILD65,IPF,Mast Cells,13,3190,0.0040752351097178684
VUILD65,IPF,Mesothelial Cells,1,3190,0.00031347962382445143
VUILD65,IPF,Monocytes,12,3190,0.003761755485893417
VUILD65,IPF,Myofibroblasts,7,3190,0.00219435736677116
VUILD65,IPF,NK Cells,9,3190,0.0028213166144200625
VUILD65,IPF,Plasma Cells,7,3190,0.00219435736677116
VUILD65,IPF,Proliferating Epithelial Cells,39,3190,0.012225705329153605
VUILD65,IPF,Proliferating Macrophages,46,3190,0.014420062695924765
VUILD65,IPF,Proliferating T Cells,2,3190,0.0006269592476489029
VUILD65,IPF,SCGB3A2+,371,3190,0.11630094043887147
VUILD65,IPF,SCGB3A2+ SCGB1A1+,48,3190,0.015047021943573668
VUILD65,IPF,Smooth Muscle Cells,6,3190,0.0018808777429467085
VUILD65,IPF,T Cells,27,3190,0.008463949843260187
VUILD65,IPF,Transitional AT2,20,3190,0.006269592476489028
VUILD65,IPF,cDCs,140,3190,0.0438871473354232
VUILD65,IPF,pDCs,5,3190,0.001567398119122257
