"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"fibroblasts","GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",26,0.0413718025152217,"Down",0.146508839612861,0.614992154694474,7,3,8,10280,"voom_TMM",0.614992154694474,"GSE135893",TRUE,0.61005320101093,TRUE,""
"fibroblasts","GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID",21,-0.00394687753572314,"Up",0.0478547647554939,0.478746064868008,7,3,8,10280,"voom_TMM",0.478746064868008,"GSE135893",TRUE,0.392100330577273,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS",22,-0.0264590165792565,"Up",0.790470703234891,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,0.951561889202191,TRUE,""
"fibroblasts","GOBP_ZYMOGEN_ACTIVATION",35,0.0642165909350068,"Down",0.830390259893745,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,0.969433140997359,TRUE,""
"fibroblasts","GOBP_PLASMINOGEN_ACTIVATION",16,0.112472471767183,"Down",0.93872359434488,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,1,TRUE,""
"fibroblasts","GOBP_DETOXIFICATION",84,0.032156737368854,"Down",0.436083121826202,0.799293302199632,7,3,8,10280,"voom_TMM",0.799293302199632,"GSE135893",TRUE,0.826605320476532,TRUE,""
"fibroblasts","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",90,0.00664784451435715,"Up",0.971821522370965,0.971821522370965,7,3,8,10280,"voom_TMM",0.971821522370965,"GSE135893",TRUE,1,TRUE,""
"fibroblasts","GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION",26,0.0358592431866168,"Up",0.0624451388958271,0.478746064868008,7,3,8,10280,"voom_TMM",0.478746064868008,"GSE135893",TRUE,0.440585146653891,TRUE,""
"macrophages","HALLMARK_E2F_TARGETS",194,0.112982334937014,"Up",0.0869051538862346,0.511774795107826,12,9,19,14203,"voom_TMM",0.511774795107826,"GSE135893",TRUE,0.513346722955897,TRUE,""
"macrophages","HALLMARK_MYC_TARGETS_V1",193,0.11922024328588,"Up",0.267293816842702,0.669024352724484,12,9,19,14203,"voom_TMM",0.669024352724484,"GSE135893",TRUE,0.681331876194416,TRUE,""
"macrophages","HALLMARK_OXIDATIVE_PHOSPHORYLATION",184,0.247977079508015,"Down",0.925191214464474,0.966209544169795,12,9,19,14203,"voom_TMM",0.966209544169795,"GSE135893",TRUE,1,TRUE,""
"macrophages","HALLMARK_MYC_TARGETS_V2",57,0.0464555865222825,"Up",0.0712006091832015,0.493802916443059,12,9,19,14203,"voom_TMM",0.493802916443059,"GSE135893",TRUE,0.485441473735992,TRUE,""
"macrophages","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",134,0.0581996461375588,"Up",0.0284145733238354,0.334660530258506,12,9,19,14203,"voom_TMM",0.334660530258506,"GSE135893",TRUE,0.328059164738827,TRUE,""
"macrophages","HALLMARK_G2M_CHECKPOINT",184,0.0565692424025657,"Up",0.0235394841574766,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.298951448799952,TRUE,""
"macrophages","HALLMARK_COAGULATION",94,0.032386098823278,"Up",0.020610417846203,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.298951448799952,TRUE,""
"macrophages","HALLMARK_DNA_REPAIR",142,0.0591614027200605,"Up",0.799262681705762,0.914621048611989,12,9,19,14203,"voom_TMM",0.914621048611989,"GSE135893",TRUE,0.956928270604864,TRUE,""
"macrophages","HALLMARK_MTORC1_SIGNALING",191,0.053551257801279,"Up",0.0997269821310154,0.51271617080643,12,9,19,14203,"voom_TMM",0.51271617080643,"GSE135893",TRUE,0.52653601368531,TRUE,""
"macrophages","HALLMARK_CHOLESTEROL_HOMEOSTASIS",68,0.0202547085783543,"Up",0.112187688702905,0.513873749646529,12,9,19,14203,"voom_TMM",0.513873749646529,"GSE135893",TRUE,0.538719060655383,TRUE,""
"macrophages","HALLMARK_GLYCOLYSIS",165,0.0191695440869882,"Up",0.19396873433775,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","HALLMARK_ESTROGEN_RESPONSE_LATE",149,0.020570237974489,"Up",0.0183996568528705,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.298951448799952,TRUE,""
"macrophages","HALLMARK_ADIPOGENESIS",177,0.0547264082195035,"Down",0.41617185924681,0.757456402695191,12,9,19,14203,"voom_TMM",0.757456402695191,"GSE135893",TRUE,0.798343359884228,TRUE,""
"macrophages","HALLMARK_FATTY_ACID_METABOLISM",136,0.093248367269109,"Down",0.543937553358178,0.854183417125434,12,9,19,14203,"voom_TMM",0.854183417125434,"GSE135893",TRUE,0.8863927116229,TRUE,""
"macrophages","HALLMARK_ANGIOGENESIS",23,0.146257966610036,"Up",0.109458003981667,0.513873749646529,12,9,19,14203,"voom_TMM",0.513873749646529,"GSE135893",TRUE,0.538719060655383,TRUE,""
"macrophages","HALLMARK_COMPLEMENT",172,0.0211117184798457,"Up",0.0364333680785864,0.39008627321378,12,9,19,14203,"voom_TMM",0.39008627321378,"GSE135893",TRUE,0.392100330577273,TRUE,""
