compartment,collection,set,discovery_nes,held_out_nes,discovery_fdr,held_out_fdr,replicates,discovery_eligible,discovery_Direction,discovery_Correlation,discovery_PValue,discovery_FDR_global,discovery_FDR_original_family,discovery_NGenes,discovery_n_first,discovery_n_second,discovery_residual_df,discovery_fixed001_eligible,discovery_fixed001_Direction,discovery_fixed001_PValue,discovery_fixed001_FDR_global,discovery_lodo_omissions,discovery_lodo_direction_reversals,discovery_lodo_min_p,discovery_lodo_max_p,discovery_lodo_max_FDR_candidate_family,discovery_lodo_below_floor_omissions,discovery_lodo_worst_donor,validation_eligible,validation_Direction,validation_Correlation,validation_PValue,validation_FDR_global,validation_FDR_original_family,validation_NGenes,validation_n_first,validation_n_second,validation_residual_df,validation_fixed001_eligible,validation_fixed001_Direction,validation_fixed001_PValue,validation_fixed001_FDR_global,validation_lodo_omissions,validation_lodo_direction_reversals,validation_lodo_min_p,validation_lodo_max_p,validation_lodo_max_FDR_candidate_family,validation_lodo_below_floor_omissions,validation_lodo_worst_donor,corrected_replicated,fixed001_replicated
fibroblasts,gobp,GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,-2.2867642779934134,-1.3720459851958788,0.0028145736683461,0.1706256792423536,False,True,Down,0.0486272283015335,0.0018902189151988,0.98466876614658,0.39077449478770954,23,18,4,20,True,Down,3.23740388707125e-06,0.0003649656275669,22,0,0.000487189211434,0.004878370878318,0.0147339019276026,0,098C,True,Down,0.0991415215861038,0.451774475156314,0.831526932534085,0.971821522370965,17.0,7.0,3.0,8.0,True,Down,0.237798898784702,0.447414224380105,10.0,0.0,0.0981356507206869,0.783783553186052,0.985456011234368,3.0,VUHD66,False,False
fibroblasts,gobp,GOBP_FOAM_CELL_DIFFERENTIATION,-2.2200355617036047,-1.132343750549379,0.0107891990619936,0.3701599130569787,False,True,Down,0.0366872721625662,0.004251015020796,0.98466876614658,0.4648973180178982,31,18,4,20,True,Down,4.19290628096079e-05,0.0029621485239561,22,0,0.0014084610056084,0.0098941488500926,0.0215872338547475,0,1372C,True,Down,0.0433210754631935,0.709191856142779,0.940704731361216,0.971821522370965,22.0,7.0,3.0,8.0,True,Down,0.627385631362765,0.762468662038958,10.0,1.0,0.195301999631277,0.938254775078922,0.985456011234368,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,-2.1539211037954606,1.9424269854639384,0.0175910854271635,0.0056823562837389,False,True,Down,0.027763434129163,0.0139258098980346,0.98466876614658,0.6413109230914695,25,18,4,20,True,Down,0.0017889121310803,0.0541631481515948,22,0,0.0040245724569881,0.0456656133799793,0.0576828800589213,0,192C,True,Up,0.0004294359340274,0.0102993741868426,0.291653744849021,0.1750893611763242,16.0,7.0,3.0,8.0,True,Up,0.0018092147591251,0.0139254711762964,10.0,0.0,0.0109539670623071,0.0304619617859824,0.592897291107785,3.0,VUHD66,False,False
fibroblasts,gobp,GOBP_REGULATION_OF_LIPID_STORAGE,-2.1359865060795777,-0.993007534528695,0.0191391009447539,0.5417637012886198,False,True,Down,0.0488348740874593,0.0125799178431799,0.98466876614658,0.6368355511047448,40,18,4,20,True,Down,7.49549219480593e-05,0.0047517685110576,22,0,0.002752720879316,0.0311162444190806,0.0414883258921075,0,1372C,True,Up,0.0261505458362269,0.931768336670415,1.0,0.971821522370965,32.0,7.0,3.0,8.0,True,Up,0.917299465054461,0.991464102654609,10.0,5.0,0.527221872863369,0.942610097702439,0.987336363629245,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY,2.1326217368468274,-1.1800209357655194,0.0026820561997926,0.3719531128706723,False,True,Up,0.0260517190890761,0.002654521023511,0.98466876614658,0.4602644413507296,30,18,4,20,True,Up,6.36636535721941e-05,0.0041389186313162,22,0,0.0008458885263346,0.0078361925765405,0.0219943603364217,0,222C,True,Down,0.0715814220187118,0.908344830591552,1.0,0.971821522370965,23.0,7.0,3.0,8.0,True,Down,0.863018485475738,0.944856445305335,10.0,2.0,0.576145791143013,0.995457936772648,0.995457936772648,3.0,VUILD59,False,False
fibroblasts,gobp,GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,2.0973701324839222,0.9770107377737052,0.0031290655664247,0.8171544022476877,False,True,Up,0.0189740637430034,0.0011797954551505,0.98466876614658,0.374638684076427,52,18,4,20,True,Up,1.6250149887382e-05,0.0013666891933062,22,0,9.3895270270438e-05,0.0061433780524303,0.0150127148173015,0,222C,True,Up,0.0392277759714897,0.57321684367305,0.893233609159232,0.971821522370965,42.0,7.0,3.0,8.0,True,Up,0.424760258742887,0.576947089415473,10.0,0.0,0.282582981995315,0.825926350559287,0.985456011234368,3.0,VUHD65,False,False
fibroblasts,gobp,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,2.0926324324146663,1.0627064659686625,0.0023840499553712,0.731887489345582,False,True,Up,0.0559845896541722,0.0194280974828652,0.98466876614658,0.703197065046863,61,18,4,20,True,Up,2.78369559821483e-05,0.0021070587324487,22,0,0.0047514504221999,0.0372221339354752,0.0470174323395476,0,098C,True,Down,0.0875014662741019,0.607101589699258,0.909371669445764,0.971821522370965,51.0,7.0,3.0,8.0,True,Down,0.311654873942103,0.502899133272092,10.0,0.0,0.467845134533051,0.773869334792144,0.985456011234368,3.0,VUHD65,False,False
fibroblasts,gobp,GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,-2.077145166326754,1.450444914549276,0.0403422225796284,0.1318780187517757,False,True,Down,-0.004348558477784,0.0001166104376463,0.915615838410594,0.3018067494166465,29,18,4,20,True,Down,2.48149570034093e-05,0.0019194459807673,22,0,7.03879624761123e-05,0.0004780879030944,0.0067234153865856,0,192C,True,Up,0.0638157651564992,0.544398673280206,0.8863927116229,0.971821522370965,24.0,7.0,3.0,8.0,True,Up,0.37017613852162,0.543495602222494,10.0,0.0,0.340397155172596,0.74760095258216,0.985456011234368,3.0,VUILD53,False,False
fibroblasts,gobp,GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,-2.057678658094101,-1.4571611617440638,0.0436258918593656,0.1570408321689179,False,True,Down,-0.0016647711211823,0.0053588542136952,0.98466876614658,0.5059048045523604,30,18,4,20,True,Down,0.0059633874975127,0.126895617090649,22,0,0.0021683843637724,0.0153623658395435,0.0352505656568877,0,222C,True,Down,0.0413718025152217,0.146508839612861,0.61005320101093,0.6226625683546593,26.0,7.0,3.0,8.0,True,Down,0.0403408854740289,0.136621132138711,10.0,0.0,0.0921591580413075,0.256087966934007,0.805572487537954,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID,-2.0443250070792502,1.648773195563851,0.0430981592965507,0.0451431638097042,False,True,Down,-0.0168544802184707,0.0007412166892113,0.981834156946612,0.32363373692688385,22,18,4,20,True,Down,0.0002995393410352,0.0140452141457982,22,0,0.0006418774812186,0.0023023736317643,0.0127469485076837,0,192C,True,Up,-0.0039468775357231,0.0478547647554939,0.392100330577273,0.35385578707635357,21.0,7.0,3.0,8.0,True,Up,0.0331053395565485,0.123658180108284,10.0,0.0,0.0290722725766727,0.0973046594250466,0.703482987734162,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,-2.0395346461970463,0.627682288449938,0.0411240485986134,0.9544464437920258,False,True,Down,0.0003001486541618,0.0037630182652223,0.98466876614658,0.4648973180178982,25,18,4,20,True,Down,0.0031354643294524,0.0820407790103881,22,0,0.0028722995963862,0.0146877356903699,0.0352505656568877,0,192C,True,Up,-0.0264590165792565,0.790470703234891,0.951561889202191,0.971821522370965,22.0,7.0,3.0,8.0,True,Up,0.802732586501106,0.890367148346204,10.0,1.0,0.474950276022411,0.961819773623785,0.987336363629245,3.0,TILD028,False,False
fibroblasts,gobp,GOBP_ZYMOGEN_ACTIVATION,-2.0387747842305064,0.7841868710166225,0.0372931011055867,0.8904462754259136,False,True,Down,0.0572811300547744,0.008740981484938,0.98466876614658,0.5871586216709314,40,18,4,20,True,Down,9.4928063522624e-06,0.0009228923753662,22,0,0.0042418239427036,0.0247320553779089,0.0370980830668634,0,192C,True,Down,0.0642165909350068,0.830390259893745,0.969433140997359,0.971821522370965,35.0,7.0,3.0,8.0,True,Down,0.733210550443033,0.835136680773678,10.0,2.0,0.525591403966971,0.982362147652167,0.985456011234368,3.0,TILD015,False,False
fibroblasts,gobp,GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE,-2.0241593146772683,,0.0402995775240474,,False,True,Down,0.0514372715855326,0.0108041264996605,0.98466876614658,0.6246305808057955,17,18,4,20,True,Down,0.0004285009094982,0.0193226559061836,22,0,0.0057206540105534,0.0231628284546489,0.0370605255274383,0,192C,False,,,,,,,,,,False,,,,,,,,,,,False,False
fibroblasts,gobp,GOBP_PLASMINOGEN_ACTIVATION,-2.010408287774501,0.9574708754674316,0.0419840572194969,0.6519320011364712,False,True,Down,0.176466323584034,0.0690996369595691,0.98466876614658,0.7996936708404295,16,18,4,20,True,Down,0.0006279663643679,0.0263026069691973,22,0,0.0220525058081785,0.188408224637264,0.215323685299731,0,192C,True,Down,0.112472471767183,0.93872359434488,1.0,0.971821522370965,16.0,7.0,3.0,8.0,True,Down,0.903529832612602,0.984963851860949,10.0,4.0,0.697492082142732,0.99785555313242,0.99785555313242,3.0,VUHD67,False,False
fibroblasts,gobp,GOBP_DETOXIFICATION,-1.992776593904396,-0.9594491745263836,0.0462239598609159,0.5232106815711846,False,True,Down,0.01639209705022,0.0028988885513072,0.98466876614658,0.4602644413507296,105,18,4,20,True,Down,9.52535028637605e-05,0.0058271221526234,22,0,0.0014289506127716,0.0102763190058916,0.0308289570176748,0,192C,True,Down,0.032156737368854,0.436083121826202,0.826605320476532,0.971821522370965,84.0,7.0,3.0,8.0,True,Down,0.24629381766219,0.454605325267239,10.0,0.0,0.218500929552388,0.789927227850054,0.955385933794522,3.0,TILD015,False,False
fibroblasts,gobp,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,-1.9920841763879655,0.9714914986436108,0.0433243303948999,0.7111063006507651,False,True,Down,0.0034707613082071,0.0002268642329529,0.915615838410594,0.3018067494166465,103,18,4,20,True,Down,0.0002391721123646,0.0118990933085811,22,0,3.57841980924687e-05,0.0005602846155488,0.0067234153865856,0,192C,True,Up,0.0066478445143571,0.971821522370965,1.0,0.971821522370965,90.0,7.0,3.0,8.0,True,Up,0.973309648301993,1.0,10.0,5.0,0.654646024090353,0.905626928857914,0.985456011234368,3.0,TILD001,False,False
fibroblasts,gobp,GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,1.935019297701464,1.8371708482403213,0.0482770115962672,0.0075764750449853,True,True,Up,0.0244149310377223,0.0927307388379675,0.98466876614658,0.8116042750081883,30,18,4,20,True,Up,0.0422478510310417,0.35503606453287,22,0,0.0543690591408208,0.172464566910502,0.179683127403227,0,222C,True,Up,0.0358592431866168,0.0624451388958271,0.440585146653891,0.35385578707635357,26.0,7.0,3.0,8.0,True,Up,0.0077341262455115,0.0427058275295639,10.0,0.0,0.0043285508722031,0.18764403607674,0.703482987734162,3.0,VUHD66,False,False
macrophages,hallmark,HALLMARK_E2F_TARGETS,3.830909006417469,2.482859963327551,0.0,0.0,True,True,Up,0.183537364484524,0.0028858133946183,0.98466876614658,0.144290669730915,196,32,27,57,True,Up,5.326945945701889e-28,5.6449646186603e-24,59,0,0.0012019158970237,0.0046027488266829,0.107112370508945,0,483C,True,Up,0.112982334937014,0.0869051538862346,0.513346722955897,0.18357985424111728,194.0,12.0,9.0,19.0,True,Up,5.06496666675967e-07,1.6081269166962e-05,21.0,0.0,0.0292210297678114,0.21933390861742,0.994247049154543,0.0,VUILD59,False,True
macrophages,hallmark,HALLMARK_MYC_TARGETS_V1,3.60130480046229,1.948835829382936,0.0,0.0005424954792043,True,True,Up,0.345289406962501,0.0376498151579776,0.98466876614658,0.21034803607430502,190,32,27,57,True,Up,2.78444624108018e-24,1.47533884083633e-20,59,0,0.0238818878592924,0.0450791171318028,0.112493773438458,0,483C,True,Up,0.11922024328588,0.267293816842702,0.681331876194416,0.370099131012972,193.0,12.0,9.0,19.0,True,Up,0.0011079784088148,0.0097043626151371,21.0,0.0,0.151111897165634,0.460854540900802,0.994247049154543,0.0,THD0005,False,True
macrophages,hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.309382674093213,-0.7986270408717373,0.0,0.9136887608069164,False,True,Up,0.404301435538828,0.112671733269704,0.98466876614658,0.30908284334104497,192,32,27,57,True,Up,7.65389614903233e-17,2.0277084372823899e-13,59,0,0.0773009097231694,0.127647498141825,0.151205419467345,0,084C,True,Down,0.247977079508015,0.925191214464474,1.0,0.949970894934875,184.0,12.0,9.0,19.0,True,Down,0.700715209268207,0.812701658238012,21.0,5.0,0.577850255451404,0.982867419749343,0.998854917801185,0.0,VUHD65,False,False
macrophages,hallmark,HALLMARK_MYC_TARGETS_V2,3.082729193161904,1.6967128569597505,0.0,0.0014918625678119,True,True,Up,0.275774406737229,0.027841723746257,0.98466876614658,0.21034803607430502,56,32,27,57,True,Up,3.30497630035385e-13,2.18892711592811e-10,59,0,0.0186989571774164,0.0337999636824597,0.107112370508945,0,218C,True,Up,0.0464555865222825,0.0712006091832015,0.485441473735992,0.18357985424111728,57.0,12.0,9.0,19.0,True,Up,0.0037180168537837,0.0242147764323352,21.0,0.0,0.0405229098617092,0.162129982906629,0.928960983140688,0.0,VUILD59,False,True
macrophages,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.701555682775603,2.2119859932648254,0.0,0.0,True,True,Up,0.0989442830266641,0.0924498045457032,0.98466876614658,0.30908284334104497,186,32,27,57,True,Up,8.66471167192655e-06,0.0008581303699757,59,0,0.0571687978636993,0.109945499181932,0.1310465753404,0,228I,True,Up,0.0581996461375588,0.0284145733238354,0.328059164738827,0.1278655799572593,134.0,12.0,9.0,19.0,True,Up,4.53247569086802e-06,0.0001046589841345,21.0,0.0,0.0078347037352981,0.0470019811261348,0.440575649018713,0.0,THD0005,False,True
macrophages,hallmark,HALLMARK_G2M_CHECKPOINT,2.5868807589730176,2.314860915871332,0.0,0.0,True,True,Up,0.0947279324976117,0.0095508754789936,0.98466876614658,0.1591812579832267,195,32,27,57,True,Up,6.204751469534499e-12,2.52891351240989e-09,59,0,0.0051868445609223,0.0200349043779869,0.107112370508945,0,483C,True,Up,0.0565692424025657,0.0235394841574766,0.298951448799952,0.1278655799572593,184.0,12.0,9.0,19.0,True,Up,8.62618988905628e-07,2.43450247980033e-05,21.0,0.0,0.0115255264370352,0.0826287856942146,0.604044916109431,0.0,VUILD59,False,True
macrophages,hallmark,HALLMARK_COAGULATION,2.5358675458240736,2.2042946678941973,0.0,0.0,True,True,Up,0.0371518105245934,0.0093330429916574,0.98466876614658,0.1591812579832267,123,32,27,57,True,Up,2.19169498810449e-05,0.001746270059319,59,0,0.0025091010959827,0.011765931073143,0.107112370508945,0,001C,True,Up,0.032386098823278,0.020610417846203,0.298951448799952,0.1278655799572593,94.0,12.0,9.0,19.0,True,Up,0.0002761354135173,0.0035069197516709,21.0,0.0,0.0054631529195796,0.03551331545708,0.418167120146778,0.0,THD0005,False,True
macrophages,hallmark,HALLMARK_DNA_REPAIR,2.324165589725913,1.3644321265896746,0.0,0.0420433996383363,True,True,Up,0.197296872650088,0.121256692364854,0.98466876614658,0.30908284334104497,143,32,27,57,True,Up,5.35539354952862e-08,9.95633428848329e-06,59,0,0.0786416342278339,0.147076965730277,0.163372149277983,0,084C,True,Up,0.0591614027200605,0.799262681705762,0.956928270604864,0.8991705169189822,142.0,12.0,9.0,19.0,True,Up,0.612193153665622,0.754840102092562,21.0,2.0,0.60532109231821,0.990153423716733,0.998854917801185,0.0,VUILD59,False,False
macrophages,hallmark,HALLMARK_MTORC1_SIGNALING,2.2578603965066493,1.7937772094929936,0.0,0.000508589511754,True,True,Up,0.127737427068881,0.0446763838267014,0.98466876614658,0.21034803607430502,193,32,27,57,True,Up,1.3585519409309e-09,3.51135973610848e-07,59,0,0.0233601930700793,0.0579332796060929,0.112493773438458,0,483C,True,Up,0.053551257801279,0.0997269821310154,0.52653601368531,0.18357985424111728,191.0,12.0,9.0,19.0,True,Up,0.0006974346777776,0.0070859363262213,21.0,0.0,0.049088010341273,0.221003546378483,0.994247049154543,0.0,VUILD59,False,True
macrophages,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.1319624326964,1.334011382872094,0.0005983928876731,0.0481464737793851,True,True,Up,0.0779907972248036,0.0238098883368547,0.98466876614658,0.21034803607430502,71,32,27,57,True,Up,6.09617338172624e-06,0.0006591954012872,59,0,0.0099990659580985,0.0299132840450665,0.107112370508945,0,228I,True,Up,0.0202547085783543,0.112187688702905,0.538719060655383,0.18357985424111728,68.0,12.0,9.0,19.0,True,Up,0.0479477522652465,0.154915266169783,21.0,0.0,0.0660556792891825,0.2484457920928,0.994247049154543,0.0,VUILD59,False,False
