"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
118,0.0260547740435854,"Up",0.00139686282747997,0.0560009918337446,"HALLMARK_COAGULATION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
143,0.158425587559632,"Up",0.13935458393046,0.15641841053419,"HALLMARK_DNA_REPAIR",32,27,57,23065,"voom_TMM",0.15641841053419,"GSE136831","macrophages","Macrophage",0.163273654306584
192,0.0996857103436106,"Up",0.0802573971132677,0.117710849099459,"HALLMARK_MTORC1_SIGNALING",32,27,57,23065,"voom_TMM",0.117710849099459,"GSE136831","macrophages","Macrophage",0.12297603377668
71,0.0484990980039988,"Up",0.0347168329937897,0.0840889997533259,"HALLMARK_CHOLESTEROL_HOMEOSTASIS",32,27,57,23065,"voom_TMM",0.0840889997533259,"GSE136831","macrophages","Macrophage",0.0795635944540482
178,0.0477348111517055,"Up",0.0140672477705163,0.06930577217364,"HALLMARK_GLYCOLYSIS",32,27,57,23065,"voom_TMM",0.06930577217364,"GSE136831","macrophages","Macrophage",0.0570682144996232
174,0.0281732830983896,"Up",0.0284459077147716,0.0813922017114734,"HALLMARK_ESTROGEN_RESPONSE_LATE",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.076235820750775
192,0.0893992008448717,"Up",0.073226005950163,0.110220581351557,"HALLMARK_ADIPOGENESIS",32,27,57,23065,"voom_TMM",0.110220581351557,"GSE136831","macrophages","Macrophage",0.116126090244198
142,0.104077941142191,"Up",0.0761587516340113,0.113208955131638,"HALLMARK_FATTY_ACID_METABOLISM",32,27,57,23065,"voom_TMM",0.113208955131638,"GSE136831","macrophages","Macrophage",0.118175005430083
30,0.100710356691666,"Up",0.308918032384021,0.31032861700678,"HALLMARK_ANGIOGENESIS",32,27,57,23065,"voom_TMM",0.31032861700678,"GSE136831","macrophages","Macrophage",0.316305202723639
186,0.0338949034515943,"Up",0.0863088891048863,0.120654718438594,"HALLMARK_COMPLEMENT",32,27,57,23065,"voom_TMM",0.120654718438594,"GSE136831","macrophages","Macrophage",0.124430194522773
178,0.0567172920133382,"Up",0.17647617374889,0.189389064511004,"HALLMARK_ALLOGRAFT_REJECTION",32,27,57,23065,"voom_TMM",0.189389064511004,"GSE136831","macrophages","Macrophage",0.196501838855147
51,0.0381418520507676,"Down",0.205268178197842,0.215898599055911,"HALLMARK_TGF_BETA_SIGNALING",32,27,57,23065,"voom_TMM",0.215898599055911,"GSE136831","macrophages","Macrophage",0.223799333174036
90,0.400279720716691,"Up",0.068460348032048,0.108354507676623,"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",32,27,57,23065,"voom_TMM",0.108354507676623,"GSE136831","macrophages","Macrophage",0.11313973306349
129,0.31136537076264,"Up",0.0638301055384695,0.105704782520137,"GOBP_OXIDATIVE_PHOSPHORYLATION",32,27,57,23065,"voom_TMM",0.105704782520137,"GSE136831","macrophages","Macrophage",0.109989494918049
63,0.480253099237139,"Up",0.0829455515323024,0.118493645046146,"GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",32,27,57,23065,"voom_TMM",0.118493645046146,"GSE136831","macrophages","Macrophage",0.123240866787743
