disease,label,gene,donors,mean_of_donor_expression,mean_of_donor_detection,cohort
IPF,ATII,ERBB3,3,0.3715633345446318,0.13871759472311698,GSE136831
IPF,ATII,ERBB4,3,6.685343108124144,0.7111801401032878,GSE136831
IPF,ATII,FGF10,3,0.0,0.0,GSE136831
IPF,ATII,FGF7,3,0.19455058625641833,0.07076494349849156,GSE136831
IPF,ATII,FGFR1,3,0.5747706184344678,0.1708646520427468,GSE136831
IPF,ATII,FGFR2,3,1.3262897367224442,0.28509229431916955,GSE136831
IPF,ATII,FGFR3,3,0.0245708283019123,0.020708697653014235,GSE136831
IPF,ATII,FGFR4,3,0.004219254398678166,0.002710027100271,GSE136831
IPF,ATII,FGFRL1,3,0.0068436164913029335,0.005420054200542,GSE136831
IPF,ATII,FLT1,3,0.04166413325099486,0.035997341105486504,GSE136831
IPF,ATII,FZD1,3,0.0017791669513333667,0.002710027100271,GSE136831
IPF,ATII,FZD10,3,0.0,0.0,GSE136831
IPF,ATII,FZD2,3,0.0,0.0,GSE136831
IPF,ATII,FZD3,3,0.0632582904002659,0.02341872475328523,GSE136831
IPF,ATII,FZD4,3,0.003002773060921733,0.0062893081761006,GSE136831
IPF,ATII,FZD5,3,0.10695605287085473,0.08220330316510707,GSE136831
IPF,ATII,FZD6,3,0.414702645739012,0.15707675001278312,GSE136831
IPF,ATII,FZD7,3,0.031472597928014996,0.0198394436774556,GSE136831
IPF,ATII,FZD8,3,0.02203499666669673,0.020708697653014235,GSE136831
IPF,ATII,FZD9,3,0.0,0.0,GSE136831
IPF,ATII,GPC1,3,0.09803316688424026,0.05965383238738043,GSE136831
IPF,ATII,GRIN2B,3,0.0430021823547625,0.027133507184128398,GSE136831
IPF,ATII,GRM7,3,0.10630250807370556,0.04697295086158404,GSE136831
IPF,ATII,GSDMD,3,0.17104395040185086,0.05092549982103591,GSE136831
IPF,ATII,HBEGF,3,0.6245367374802594,0.17263639617528248,GSE136831
IPF,ATII,IL1A,3,0.0626466385641196,0.018134171907756767,GSE136831
IPF,ATII,IL1B,3,0.0,0.0,GSE136831
IPF,ATII,IL1R1,3,1.9019400803739142,0.36389528046223857,GSE136831
IPF,ATII,IL1R2,3,0.003002773060921733,0.0062893081761006,GSE136831
IPF,ATII,IL1RAP,3,0.2272991659343254,0.0962826609398169,GSE136831
IPF,ATII,IL1RN,3,0.06023584845057423,0.017264917932198132,GSE136831
IPF,ATII,IL6,3,0.07655623995610467,0.0244234800838574,GSE136831
IPF,ATII,ITGA4,3,0.002389373214839533,0.0062893081761006,GSE136831
IPF,ATII,ITGA5,3,0.0056376681927834335,0.002710027100271,GSE136831
IPF,ATII,ITGA9,3,0.438708526086155,0.18233624789078082,GSE136831
IPF,ATII,ITGAV,3,1.271176276958276,0.26360126808815254,GSE136831
IPF,ATII,ITGB1,3,0.986347893803376,0.3290816587411157,GSE136831
IPF,ATII,ITGB3,3,0.0061055316727508,0.0062893081761006,GSE136831
IPF,ATII,ITGB5,3,0.1861927653771518,0.0731017027151403,GSE136831
IPF,ATII,ITGB6,3,2.4556869587964023,0.5211305414940942,GSE136831
IPF,ATII,ITGB8,3,0.11421397151570818,0.043529171140767965,GSE136831
IPF,ATII,KDR,3,0.0,0.0,GSE136831
IPF,ATII,KLRG2,3,0.0048245690212493,0.0062893081761006,GSE136831
IPF,ATII,LDLR,3,5.655841043479282,0.662333179935573,GSE136831
IPF,ATII,LGR5,3,0.05992838910022457,0.0062893081761006,GSE136831
IPF,ATII,LPP,3,6.891085696303182,0.732520325203252,GSE136831
IPF,ATII,LRP1,3,0.062094297217289325,0.028105026333282133,GSE136831
IPF,ATII,LRP2,3,1.850228661510057,0.3320856982154727,GSE136831
IPF,ATII,LRP5,3,0.20634809922725125,0.10860305772869046,GSE136831
IPF,ATII,LRP6,3,0.5889279446965526,0.19138160249527023,GSE136831
IPF,ATII,MCAM,3,0.0056376681927834335,0.002710027100271,GSE136831
IPF,ATII,MUSK,3,0.025017849258084132,0.017998670552743234,GSE136831
IPF,ATII,NLRP3,3,0.006012404097554766,0.0089993352763716,GSE136831
IPF,ATII,NOTCH1,3,0.18446493144152687,0.1075983023981183,GSE136831
IPF,ATII,NRP1,3,0.4334041363016938,0.1264994631078386,GSE136831
IPF,ATII,NRP2,3,0.5929121568329841,0.19910517973104255,GSE136831
IPF,ATII,PRLR,3,0.04214084929451647,0.020708697653014235,GSE136831
IPF,ATII,PTK7,3,0.5617889085632897,0.2180753694329396,GSE136831
IPF,ATII,PTPRK,3,4.879684761348056,0.69685023265327,GSE136831
IPF,ATII,PYCARD,3,0.18237293335883908,0.0797642787748632,GSE136831
IPF,ATII,RECK,3,0.11502961085530879,0.05165925244158096,GSE136831
IPF,ATII,RET,3,0.0,0.0,GSE136831
IPF,ATII,ROR1,3,1.382859608025167,0.27905864907705674,GSE136831
IPF,ATII,ROR2,3,0.05032505750448133,0.02157795162857287,GSE136831
IPF,ATII,RYK,3,0.34717743679890184,0.16691210308329496,GSE136831
IPF,ATII,SDC2,3,0.2911190005114462,0.11047706703482126,GSE136831
IPF,ATII,SDC4,3,4.475340363979432,0.5758730889195683,GSE136831
IPF,ATII,SIGIRR,3,0.25450176130051,0.06992892570435133,GSE136831
IPF,ATII,SIRPA,3,0.010229679525319333,0.008130081300813,GSE136831
IPF,ATII,SMO,3,0.0,0.0,GSE136831
IPF,ATII,SPP1,3,0.18493103820704648,0.08578258424093671,GSE136831
IPF,ATII,TGFB1,3,0.6685199103175484,0.17337014879582754,GSE136831
IPF,ATII,TGFBR1,3,0.14445406994523788,0.0731017027151403,GSE136831
IPF,ATII,TGFBR2,3,2.71734912414319,0.527499105179731,GSE136831
IPF,ATII,TGFBR3,3,0.10173975015989194,0.07066267832489644,GSE136831
IPF,ATII,TMED5,3,0.5619776337634835,0.21402055529989253,GSE136831
IPF,ATII,TNF,3,0.0,0.0,GSE136831
IPF,ATII,TYRO3,3,0.007634965221136567,0.0089993352763716,GSE136831
IPF,ATII,VANGL2,3,0.0011284256746631335,0.002710027100271,GSE136831
IPF,ATII,VASN,3,0.010710036002850268,0.014419389476913602,GSE136831
IPF,ATII,VEGFA,3,0.4002314702161162,0.15336196758193996,GSE136831
IPF,ATII,WNT1,3,0.0,0.0,GSE136831
IPF,ATII,WNT10A,3,0.0,0.0,GSE136831
IPF,ATII,WNT10B,3,0.0,0.0,GSE136831
IPF,ATII,WNT11,3,0.0,0.0,GSE136831
IPF,ATII,WNT16,3,0.0,0.0,GSE136831
IPF,ATII,WNT2,3,0.0,0.0,GSE136831
IPF,ATII,WNT2B,3,0.050235916887661526,0.0171294165771846,GSE136831
IPF,ATII,WNT3,3,0.0345772747534179,0.026998005829114866,GSE136831
IPF,ATII,WNT3A,3,0.0052524704994994335,0.0062893081761006,GSE136831
IPF,ATII,WNT4,3,0.022889356782623067,0.017998670552743234,GSE136831
IPF,ATII,WNT5A,3,0.037794249144043605,0.0171294165771846,GSE136831
IPF,ATII,WNT5B,3,0.023045169879468464,0.014419389476913602,GSE136831
IPF,ATII,WNT6,3,0.0,0.0,GSE136831
IPF,ATII,WNT7A,3,0.0,0.0,GSE136831
IPF,ATII,WNT7B,3,0.1792115354882363,0.05165925244158096,GSE136831
IPF,ATII,WNT8A,3,0.0,0.0,GSE136831
IPF,ATII,WNT8B,3,0.010685417488489333,0.015288643452472236,GSE136831
IPF,ATII,WNT9A,3,0.0012605363506539666,0.002710027100271,GSE136831
IPF,ATII,WNT9B,3,0.0,0.0,GSE136831
IPF,ATII,XCR1,3,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,ACKR1,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,ACKR2,2,0.020296897070013,0.0314258911819887,GSE136831
IPF,Aberrant_Basaloid,ACKR3,2,0.020165810481889,0.0436210131332082,GSE136831
IPF,Aberrant_Basaloid,ACKR4,2,0.0175131972389998,0.0186053783614759,GSE136831
IPF,Aberrant_Basaloid,ACVR1,2,0.7016946406449034,0.532051282051282,GSE136831
IPF,Aberrant_Basaloid,ACVR1B,2,0.15533336235846645,0.18058161350844276,GSE136831
IPF,Aberrant_Basaloid,ACVR1C,2,0.02599188094715345,0.04330831769856155,GSE136831
IPF,Aberrant_Basaloid,ACVRL1,2,0.0114179564533985,0.0128205128205128,GSE136831
IPF,Aberrant_Basaloid,ADGRA2,2,0.5836700385410202,0.23436522826766729,GSE136831
IPF,Aberrant_Basaloid,ADRA2A,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,ADRB2,2,0.1184164281527364,0.19981238273921198,GSE136831
IPF,Aberrant_Basaloid,ANTXR1,2,0.25389340716758557,0.2928392745465916,GSE136831
IPF,Aberrant_Basaloid,APCDD1,2,0.0687240763246617,0.10553470919324574,GSE136831
IPF,Aberrant_Basaloid,AREG,2,2.2369652164891036,0.6552532833020638,GSE136831
IPF,Aberrant_Basaloid,ATP6AP2,2,0.5456275366741747,0.4996873045653533,GSE136831
IPF,Aberrant_Basaloid,AVPR1A,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CASP1,2,0.027752060901772048,0.0429956222639149,GSE136831
IPF,Aberrant_Basaloid,CAV1,2,0.5088174570146988,0.4079111944965603,GSE136831
IPF,Aberrant_Basaloid,CCL2,2,3.019678062060188,0.40056285178236395,GSE136831
IPF,Aberrant_Basaloid,CCR1,2,0.01180101567894515,0.0121951219512195,GSE136831
IPF,Aberrant_Basaloid,CCR10,2,0.012542810339830299,0.0186053783614759,GSE136831
IPF,Aberrant_Basaloid,CCR2,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CCR3,2,0.02584441324432615,0.0372107567229518,GSE136831
IPF,Aberrant_Basaloid,CCR4,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CCR5,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CD36,2,0.0400055053413688,0.0625390869293308,GSE136831
IPF,Aberrant_Basaloid,CD4,2,0.03762534966889795,0.0436210131332082,GSE136831
IPF,Aberrant_Basaloid,CD44,2,1.754465437816748,0.7376485303314572,GSE136831
IPF,Aberrant_Basaloid,CD82,2,0.3975429846269516,0.4313633520950594,GSE136831
IPF,Aberrant_Basaloid,CD9,2,10.424740862728084,0.950281425891182,GSE136831
IPF,Aberrant_Basaloid,CSF1,2,0.03087403093435185,0.055816135084427704,GSE136831
IPF,Aberrant_Basaloid,CSF1R,2,0.0232268682950806,0.02532833020637895,GSE136831
IPF,Aberrant_Basaloid,CXCL1,2,1.2022381629455081,0.46028767979987495,GSE136831
IPF,Aberrant_Basaloid,CXCL12,2,0.07592682677347096,0.09974984365228265,GSE136831
IPF,Aberrant_Basaloid,CXCL2,2,3.7485227035798796,0.6375859912445279,GSE136831
IPF,Aberrant_Basaloid,CXCR1,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CXCR2,2,0.00513695111677315,0.00609756097560975,GSE136831
IPF,Aberrant_Basaloid,CXCR3,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,CXCR4,2,0.12009512963505059,0.15587867417135703,GSE136831
IPF,Aberrant_Basaloid,DPP4,2,0.06350685007668355,0.11835522201375855,GSE136831
IPF,Aberrant_Basaloid,EGFR,2,0.6151751175166796,0.5253283302063789,GSE136831
IPF,Aberrant_Basaloid,ENG,2,0.112439529554598,0.1430581613508442,GSE136831
IPF,Aberrant_Basaloid,EPHA7,2,0.03337549474620845,0.0567542213883677,GSE136831
IPF,Aberrant_Basaloid,EPHB2,2,1.9295743647525725,0.8062851782363978,GSE136831
IPF,Aberrant_Basaloid,ERBB2,2,0.4700079317094753,0.4441838649155722,GSE136831
IPF,Aberrant_Basaloid,ERBB3,2,0.8409231391547002,0.6375859912445279,GSE136831
IPF,Aberrant_Basaloid,ERBB4,2,0.6186408658698929,0.3556910569105691,GSE136831
IPF,Aberrant_Basaloid,FGF10,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,FGF7,2,0.02087943519883585,0.0378361475922451,GSE136831
IPF,Aberrant_Basaloid,FGFR1,2,0.3153748747744311,0.274859287054409,GSE136831
IPF,Aberrant_Basaloid,FGFR2,2,0.6390358181011488,0.430737961225766,GSE136831
IPF,Aberrant_Basaloid,FGFR3,2,0.029913033000591747,0.04971857410881795,GSE136831
IPF,Aberrant_Basaloid,FGFR4,2,0.008463884859071449,0.02532833020637895,GSE136831
IPF,Aberrant_Basaloid,FGFRL1,2,0.0729406126737125,0.1318011257035647,GSE136831
IPF,Aberrant_Basaloid,FLT1,2,0.031885451700839396,0.04393370856785485,GSE136831
IPF,Aberrant_Basaloid,FZD1,2,0.043563807862693205,0.074108818011257,GSE136831
IPF,Aberrant_Basaloid,FZD10,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,FZD2,2,0.04757726118051415,0.0891181988742964,GSE136831
IPF,Aberrant_Basaloid,FZD3,2,0.1891849228832092,0.2754846779237023,GSE136831
IPF,Aberrant_Basaloid,FZD4,2,0.0176997376526343,0.0192307692307692,GSE136831
IPF,Aberrant_Basaloid,FZD5,2,0.07512113169325191,0.1375859912445278,GSE136831
IPF,Aberrant_Basaloid,FZD6,2,0.4713029399139102,0.4881175734834271,GSE136831
IPF,Aberrant_Basaloid,FZD7,2,0.01855862532931435,0.03111319574734205,GSE136831
IPF,Aberrant_Basaloid,FZD8,2,0.0030247528406937,0.0121951219512195,GSE136831
IPF,Aberrant_Basaloid,FZD9,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,GPC1,2,0.5246375536382196,0.4640400250156348,GSE136831
IPF,Aberrant_Basaloid,GRIN2B,2,0.029256587074303647,0.0436210131332082,GSE136831
IPF,Aberrant_Basaloid,GRM7,2,0.07166524653165965,0.11835522201375855,GSE136831
IPF,Aberrant_Basaloid,GSDMD,2,0.2705415575020505,0.34318323952470287,GSE136831
IPF,Aberrant_Basaloid,HBEGF,2,0.3019699514451756,0.34896810506566606,GSE136831
IPF,Aberrant_Basaloid,IL1A,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,IL1B,2,0.0191369273796893,0.025015634771732298,GSE136831
IPF,Aberrant_Basaloid,IL1R1,2,1.1725203190487143,0.4871794871794871,GSE136831
IPF,Aberrant_Basaloid,IL1R2,2,0.033389018582232755,0.050031269543464596,GSE136831
IPF,Aberrant_Basaloid,IL1RAP,2,0.17981988143817446,0.24218261413383363,GSE136831
IPF,Aberrant_Basaloid,IL1RN,2,0.1317431693772761,0.18605378361475922,GSE136831
IPF,Aberrant_Basaloid,IL6,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,ITGA4,2,0.033577108713732345,0.05644152595372105,GSE136831
IPF,Aberrant_Basaloid,ITGA5,2,0.0940639871199627,0.1375859912445278,GSE136831
IPF,Aberrant_Basaloid,ITGA9,2,0.2980580121281594,0.23733583489681045,GSE136831
IPF,Aberrant_Basaloid,ITGAV,2,2.759719120162167,0.8316135084427767,GSE136831
IPF,Aberrant_Basaloid,ITGB1,2,2.146482901104248,0.7931519699812383,GSE136831
IPF,Aberrant_Basaloid,ITGB3,2,0.1807431778364425,0.2342088805503439,GSE136831
IPF,Aberrant_Basaloid,ITGB5,2,0.5237946212532036,0.432614133833646,GSE136831
IPF,Aberrant_Basaloid,ITGB6,2,3.986995301994219,0.8700750469043153,GSE136831
IPF,Aberrant_Basaloid,ITGB8,2,9.75783056476771,0.9368355222013758,GSE136831
IPF,Aberrant_Basaloid,KDR,2,1.2277830015030298,0.5725453408380238,GSE136831
IPF,Aberrant_Basaloid,KLRG2,2,0.01512266198109165,0.02470293933708565,GSE136831
IPF,Aberrant_Basaloid,LDLR,2,2.341445855535007,0.7379612257661038,GSE136831
IPF,Aberrant_Basaloid,LGR5,2,0.1266309992716762,0.1485303314571607,GSE136831
IPF,Aberrant_Basaloid,LPP,2,11.729668716872803,0.9939024390243902,GSE136831
IPF,Aberrant_Basaloid,LRP1,2,0.2177843349036525,0.2675109443402126,GSE136831
IPF,Aberrant_Basaloid,LRP2,2,0.013700207343089101,0.02470293933708565,GSE136831
IPF,Aberrant_Basaloid,LRP5,2,0.4076863111403204,0.41275797373358347,GSE136831
IPF,Aberrant_Basaloid,LRP6,2,0.1888988562131773,0.2565666041275797,GSE136831
IPF,Aberrant_Basaloid,MCAM,2,0.0746851199344932,0.1308630393996247,GSE136831
IPF,Aberrant_Basaloid,MUSK,2,0.01466404264266615,0.01829268292682925,GSE136831
IPF,Aberrant_Basaloid,NLRP3,2,0.09292036322053171,0.0811444652908067,GSE136831
IPF,Aberrant_Basaloid,NOTCH1,2,0.17983186199085516,0.23186366479049403,GSE136831
IPF,Aberrant_Basaloid,NRP1,2,0.6142623810921688,0.4563789868667917,GSE136831
IPF,Aberrant_Basaloid,NRP2,2,0.6899212997386176,0.4124452782989368,GSE136831
IPF,Aberrant_Basaloid,PRLR,2,0.03293499565048525,0.050031269543464596,GSE136831
IPF,Aberrant_Basaloid,PTK7,2,0.7873322544839724,0.6375859912445279,GSE136831
IPF,Aberrant_Basaloid,PTPRK,2,9.027513297382601,0.9749843652282677,GSE136831
IPF,Aberrant_Basaloid,PYCARD,2,0.4412552320586691,0.4255784865540963,GSE136831
IPF,Aberrant_Basaloid,RECK,2,0.2994368730345758,0.2803314571607254,GSE136831
IPF,Aberrant_Basaloid,RET,2,0.00263052673667375,0.00609756097560975,GSE136831
IPF,Aberrant_Basaloid,ROR1,2,1.200506308063125,0.5933395872420262,GSE136831
IPF,Aberrant_Basaloid,ROR2,2,0.09956053960437194,0.1006879299562226,GSE136831
IPF,Aberrant_Basaloid,RYK,2,0.6940739835866225,0.5811444652908067,GSE136831
IPF,Aberrant_Basaloid,SDC2,2,0.20861526088799603,0.22545340838023759,GSE136831
IPF,Aberrant_Basaloid,SDC4,2,2.9964061028751625,0.8441213258286429,GSE136831
IPF,Aberrant_Basaloid,SIGIRR,2,0.2968418166648953,0.38039399624765474,GSE136831
IPF,Aberrant_Basaloid,SIRPA,2,0.07163146831910575,0.10616010006253905,GSE136831
IPF,Aberrant_Basaloid,SMO,2,0.0370355668172577,0.06316447779862411,GSE136831
IPF,Aberrant_Basaloid,SPP1,2,0.5576135864654466,0.4554409005628518,GSE136831
IPF,Aberrant_Basaloid,TGFB1,2,0.8406393245603262,0.6067854909318324,GSE136831
IPF,Aberrant_Basaloid,TGFBR1,2,1.0043033913093211,0.6067854909318324,GSE136831
IPF,Aberrant_Basaloid,TGFBR2,2,1.6813471218695635,0.7611006879299562,GSE136831
IPF,Aberrant_Basaloid,TGFBR3,2,0.49061800187506566,0.35662914321450906,GSE136831
IPF,Aberrant_Basaloid,TMED5,2,0.3616634846058746,0.3755472170106316,GSE136831
IPF,Aberrant_Basaloid,TNF,2,0.10088749770603014,0.08692933083176985,GSE136831
IPF,Aberrant_Basaloid,TYRO3,2,0.03165616576564705,0.0622263914946841,GSE136831
IPF,Aberrant_Basaloid,VANGL2,2,0.13303315359247558,0.18058161350844276,GSE136831
IPF,Aberrant_Basaloid,VASN,2,0.17648310674803797,0.2120075046904315,GSE136831
IPF,Aberrant_Basaloid,VEGFA,2,0.23830153421061684,0.2376485303314571,GSE136831
IPF,Aberrant_Basaloid,WNT1,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,WNT10A,2,0.25689256926896215,0.27454659161976236,GSE136831
IPF,Aberrant_Basaloid,WNT10B,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,WNT11,2,0.0035823496201276,0.0064102564102564,GSE136831
IPF,Aberrant_Basaloid,WNT16,2,0.01617447409394475,0.012507817385866149,GSE136831
IPF,Aberrant_Basaloid,WNT2,2,0.00494542231928435,0.0064102564102564,GSE136831
IPF,Aberrant_Basaloid,WNT2B,2,0.14218545838216395,0.1202313946216385,GSE136831
IPF,Aberrant_Basaloid,WNT3,2,0.0212412151211046,0.0308005003126954,GSE136831
IPF,Aberrant_Basaloid,WNT3A,2,0.00407284859918445,0.0064102564102564,GSE136831
IPF,Aberrant_Basaloid,WNT4,2,0.06292650714749125,0.0872420262664165,GSE136831
IPF,Aberrant_Basaloid,WNT5A,2,0.0543462264459583,0.06832395247029385,GSE136831
IPF,Aberrant_Basaloid,WNT5B,2,0.7117839644760113,0.5423702313946216,GSE136831
IPF,Aberrant_Basaloid,WNT6,2,0.008671207887927,0.0186053783614759,GSE136831
IPF,Aberrant_Basaloid,WNT7A,2,0.38905854911159743,0.4002501563477173,GSE136831
IPF,Aberrant_Basaloid,WNT7B,2,0.4456343585230079,0.42432770481550963,GSE136831
IPF,Aberrant_Basaloid,WNT8A,2,0.0,0.0,GSE136831
IPF,Aberrant_Basaloid,WNT8B,2,0.0042804920853701,0.00609756097560975,GSE136831
IPF,Aberrant_Basaloid,WNT9A,2,0.26803446150759713,0.23092557848655404,GSE136831
IPF,Aberrant_Basaloid,WNT9B,2,0.00284634625916095,0.0064102564102564,GSE136831
IPF,Aberrant_Basaloid,XCR1,2,0.0,0.0,GSE136831
IPF,B,ACKR1,22,0.013061863110074963,0.005317445937352786,GSE136831
IPF,B,ACKR2,22,0.005949892941813682,0.002254929975418568,GSE136831
IPF,B,ACKR3,22,0.01074694143884069,0.004051679712467654,GSE136831
IPF,B,ACKR4,22,0.0009159454960445636,0.0004752514040620773,GSE136831
IPF,B,ACVR1,22,0.07370941384563597,0.02418357224669374,GSE136831
IPF,B,ACVR1B,22,0.056289333910910185,0.016816865350839236,GSE136831
IPF,B,ACVR1C,22,0.04980192471102293,0.012987676580225005,GSE136831
IPF,B,ACVRL1,22,0.006595919177801605,0.002243063443855468,GSE136831
IPF,B,ADGRA2,22,0.01499288718998728,0.005585286160563182,GSE136831
IPF,B,ADRA2A,22,0.0,0.0,GSE136831
IPF,B,ADRB2,22,0.031261001382408504,0.011699802030191652,GSE136831
IPF,B,ANTXR1,22,0.023331030656890402,0.007800970167228227,GSE136831
IPF,B,APCDD1,22,0.004790072835263396,0.002318519270582541,GSE136831
IPF,B,AREG,22,1.0396128972411485,0.21613960450896796,GSE136831
IPF,B,ATP6AP2,22,0.25892812390202097,0.0870545504107891,GSE136831
IPF,B,AVPR1A,22,0.0,0.0,GSE136831
IPF,B,CASP1,22,0.13972647411037337,0.046921554948542214,GSE136831
IPF,B,CAV1,22,0.023301739928133048,0.006919894156140773,GSE136831
IPF,B,CCL2,22,0.0777803062924789,0.024322854456123165,GSE136831
IPF,B,CCR1,22,0.02281534193331082,0.01039609446425811,GSE136831
IPF,B,CCR10,22,0.012410608443607868,0.004404000398462073,GSE136831
IPF,B,CCR2,22,0.007311505915196223,0.0024298684818638543,GSE136831
IPF,B,CCR3,22,0.006666478591325528,0.0020693946828582274,GSE136831
IPF,B,CCR4,22,0.0010153893466382637,0.00038681843625168184,GSE136831
IPF,B,CCR5,22,0.0020259338622593452,0.0012010317089995455,GSE136831
IPF,B,CD36,22,0.09428997866756772,0.03054126491164658,GSE136831
IPF,B,CD4,22,0.03778225796815137,0.0125996241712734,GSE136831
IPF,B,CD44,22,4.778844321626547,0.6409447102560356,GSE136831
IPF,B,CD82,22,0.7320272518356028,0.20229839352102125,GSE136831
IPF,B,CD9,22,0.21031377414467656,0.07080829292035308,GSE136831
IPF,B,CSF1,22,0.02348766160299107,0.008369548529898274,GSE136831
IPF,B,CSF1R,22,0.02430678512189255,0.00974434184625145,GSE136831
IPF,B,CXCL1,22,0.032753028428529014,0.008343671084669518,GSE136831
IPF,B,CXCL12,22,0.004020782093151441,0.0018708410061323408,GSE136831
IPF,B,CXCL2,22,0.11190304679870651,0.03450985008475692,GSE136831
IPF,B,CXCR1,22,0.0,0.0,GSE136831
IPF,B,CXCR2,22,0.0028363624689445952,0.0011271851506072363,GSE136831
IPF,B,CXCR3,22,0.034042346582160314,0.013627630236369027,GSE136831
IPF,B,CXCR4,22,9.384444320477657,0.828838743793965,GSE136831
IPF,B,DPP4,22,0.0037425768700444857,0.0019437232940677862,GSE136831
IPF,B,EGFR,22,0.011555296444055414,0.0036265079904886682,GSE136831
IPF,B,ENG,22,0.10472494819496027,0.03453714126495769,GSE136831
IPF,B,EPHA7,22,0.01066333577428326,0.003491134821718991,GSE136831
IPF,B,EPHB2,22,0.0380697006197711,0.011796380565021124,GSE136831
IPF,B,ERBB2,22,0.016195226015884936,0.006473242618846477,GSE136831
IPF,B,ERBB3,22,0.008498330280743432,0.003771363702770618,GSE136831
IPF,B,ERBB4,22,0.23786788460564814,0.07552560399107672,GSE136831
IPF,B,FGF10,22,0.003040479549627882,0.001014051937874541,GSE136831
