cohort,resource,donor,config,primary_pair_eligible,primary_edges,alternative_edges,common_edges,union_edges,availability_jaccard,common_edge_rank_spearman
GSE136831,cellchatdb,228I,floor30,True,72.0,72,72.0,72.0,1.0,0.9999999999999999
GSE136831,cellchatdb,228I,floor100,True,72.0,39,39.0,72.0,0.5416666666666666,0.9999999999999998
GSE136831,cellchatdb,228I,expression005,True,72.0,124,72.0,124.0,0.5806451612903226,0.9999999999999999
GSE136831,cellchatdb,228I,expression020,True,72.0,30,30.0,72.0,0.4166666666666667,1.0
GSE136831,cellchatdb,296C,cap500_seed1,True,16.0,19,16.0,19.0,0.8421052631578947,1.0
GSE136831,cellchatdb,296C,cap500_seed2,True,16.0,16,16.0,16.0,1.0,1.0
GSE136831,cellchatdb,296C,floor30,True,16.0,16,16.0,16.0,1.0,1.0
GSE136831,cellchatdb,296C,expression005,True,16.0,39,16.0,39.0,0.41025641025641024,1.0
GSE136831,cellchatdb,296C,expression020,True,16.0,6,6.0,16.0,0.375,1.0
GSE136831,cellchatdb,388C,floor30,False,,11,,,,
GSE136831,cellchatdb,396C,cap500_seed1,True,5.0,5,5.0,5.0,1.0,1.0
GSE136831,cellchatdb,396C,cap500_seed2,True,5.0,5,5.0,5.0,1.0,1.0
GSE136831,cellchatdb,396C,floor30,True,5.0,5,5.0,5.0,1.0,1.0
GSE136831,cellchatdb,396C,floor100,True,5.0,5,5.0,5.0,1.0,1.0
GSE136831,cellchatdb,396C,expression005,True,5.0,16,5.0,16.0,0.3125,1.0
GSE136831,cellchatdb,396C,expression020,True,5.0,5,5.0,5.0,1.0,1.0
GSE136831,cellchatdb,454C,cap500_seed1,True,13.0,13,13.0,13.0,1.0,0.9999999999999999
GSE136831,cellchatdb,454C,cap500_seed2,True,13.0,13,13.0,13.0,1.0,0.9999999999999999
GSE136831,cellchatdb,454C,floor30,True,13.0,13,13.0,13.0,1.0,0.9999999999999999
GSE136831,cellchatdb,454C,expression005,True,13.0,26,13.0,26.0,0.5,0.9999999999999999
GSE136831,cellchatdb,454C,expression020,True,13.0,6,6.0,13.0,0.46153846153846156,1.0
GSE136831,cellchatdb,49I,cap500_seed1,True,35.0,34,34.0,35.0,0.9714285714285714,0.9981645763230346
GSE136831,cellchatdb,49I,cap500_seed2,True,35.0,38,33.0,40.0,0.825,0.9999999999999999
GSE136831,cellchatdb,49I,floor30,True,35.0,35,35.0,35.0,1.0,1.0
GSE136831,cellchatdb,49I,expression005,True,35.0,63,35.0,63.0,0.5555555555555556,1.0
GSE136831,cellchatdb,49I,expression020,True,35.0,11,11.0,35.0,0.3142857142857143,1.0
GSE136831,cellchatdb,59I,floor30,False,,48,,,,
GSE136831,consensus,010I,cap500_seed1,True,106.0,106,106.0,106.0,1.0,0.9952764513481465
GSE136831,consensus,010I,cap500_seed2,True,106.0,108,106.0,108.0,0.9814814814814815,0.999723631255002
GSE136831,consensus,010I,floor30,True,106.0,228,106.0,228.0,0.4649122807017544,1.0
GSE136831,consensus,010I,expression005,True,106.0,140,106.0,140.0,0.7571428571428571,1.0
GSE136831,consensus,010I,expression020,True,106.0,59,59.0,106.0,0.5566037735849056,0.9999999999999998
GSE136831,consensus,021I,cap500_seed1,True,252.0,252,252.0,252.0,1.0,0.9999851253253321
GSE136831,consensus,021I,cap500_seed2,True,252.0,252,252.0,252.0,1.0,0.9999619869425148
GSE136831,consensus,021I,floor30,True,252.0,252,252.0,252.0,1.0,1.0
GSE136831,consensus,021I,floor100,True,252.0,252,252.0,252.0,1.0,1.0
GSE136831,consensus,021I,expression005,True,252.0,402,252.0,402.0,0.6268656716417911,1.0
GSE136831,consensus,021I,expression020,True,252.0,172,172.0,252.0,0.6825396825396826,1.0
GSE136831,consensus,022I,cap500_seed1,True,380.0,380,380.0,380.0,1.0,0.9480406328757136
GSE136831,consensus,022I,cap500_seed2,True,380.0,380,380.0,380.0,1.0,0.997753691393031
GSE136831,consensus,022I,floor30,True,380.0,380,380.0,380.0,1.0,1.0
GSE136831,consensus,022I,floor100,True,380.0,207,207.0,380.0,0.5447368421052632,1.0
GSE136831,consensus,022I,expression005,True,380.0,644,380.0,644.0,0.5900621118012422,1.0
GSE136831,consensus,022I,expression020,True,380.0,235,235.0,380.0,0.618421052631579,1.0
GSE136831,consensus,034I,cap500_seed1,True,49.0,49,49.0,49.0,1.0,0.9993874050477827
GSE136831,consensus,034I,cap500_seed2,True,49.0,49,49.0,49.0,1.0,0.9993874050477827
GSE136831,consensus,034I,floor30,True,49.0,99,49.0,99.0,0.494949494949495,1.0
GSE136831,consensus,034I,floor100,True,49.0,49,49.0,49.0,1.0,1.0
GSE136831,consensus,034I,expression005,True,49.0,94,49.0,94.0,0.5212765957446809,1.0
GSE136831,consensus,034I,expression020,True,49.0,28,28.0,49.0,0.5714285714285714,1.0
GSE136831,consensus,040I,cap500_seed1,True,233.0,231,231.0,233.0,0.9914163090128756,0.9973973980694198
GSE136831,consensus,040I,cap500_seed2,True,233.0,240,233.0,240.0,0.9708333333333333,0.9901060324984743
GSE136831,consensus,040I,floor30,True,233.0,233,233.0,233.0,1.0,1.0
GSE136831,consensus,040I,floor100,True,233.0,233,233.0,233.0,1.0,1.0
GSE136831,consensus,040I,expression005,True,233.0,344,233.0,344.0,0.6773255813953488,1.0
GSE136831,consensus,040I,expression020,True,233.0,145,145.0,233.0,0.6223175965665236,0.9999999999999998
GSE136831,consensus,041I,cap500_seed1,True,124.0,124,124.0,124.0,1.0,0.9989263459748168
GSE136831,consensus,041I,cap500_seed2,True,124.0,125,124.0,125.0,0.992,0.9990486609903441
GSE136831,consensus,041I,floor30,True,124.0,237,124.0,237.0,0.5232067510548524,1.0
GSE136831,consensus,041I,expression005,True,124.0,180,124.0,180.0,0.6888888888888889,1.0
GSE136831,consensus,041I,expression020,True,124.0,100,100.0,124.0,0.8064516129032258,0.9999999999999999
GSE136831,consensus,051I,cap500_seed1,True,223.0,221,221.0,223.0,0.9910313901345291,0.9964428541748994
GSE136831,consensus,051I,cap500_seed2,True,223.0,221,221.0,223.0,0.9910313901345291,0.9942114362425335
GSE136831,consensus,051I,floor30,True,223.0,223,223.0,223.0,1.0,1.0
GSE136831,consensus,051I,floor100,True,223.0,109,109.0,223.0,0.48878923766816146,1.0
GSE136831,consensus,051I,expression005,True,223.0,323,223.0,323.0,0.6904024767801857,1.0
GSE136831,consensus,051I,expression020,True,223.0,159,159.0,223.0,0.7130044843049327,1.0
GSE136831,consensus,063I,cap500_seed1,True,96.0,98,96.0,98.0,0.9795918367346939,0.9997685331313259
GSE136831,consensus,063I,cap500_seed2,True,96.0,96,96.0,96.0,1.0,0.999452896492225
GSE136831,consensus,063I,floor30,True,96.0,96,96.0,96.0,1.0,1.0
GSE136831,consensus,063I,floor100,True,96.0,96,96.0,96.0,1.0,1.0
GSE136831,consensus,063I,expression005,True,96.0,146,96.0,146.0,0.6575342465753424,1.0
GSE136831,consensus,063I,expression020,True,96.0,53,53.0,96.0,0.5520833333333334,1.0
GSE136831,consensus,098C,cap500_seed1,True,155.0,157,155.0,157.0,0.9872611464968153,0.9999631200442558
GSE136831,consensus,098C,cap500_seed2,True,155.0,155,154.0,156.0,0.9871794871794872,0.9999501099140954
GSE136831,consensus,098C,floor30,True,155.0,155,155.0,155.0,1.0,1.0
GSE136831,consensus,098C,floor100,True,155.0,155,155.0,155.0,1.0,1.0
GSE136831,consensus,098C,expression005,True,155.0,284,155.0,284.0,0.545774647887324,1.0
GSE136831,consensus,098C,expression020,True,155.0,52,52.0,155.0,0.33548387096774196,0.9999999999999999
GSE136831,consensus,123I,floor30,False,,120,,,,
GSE136831,consensus,133C,cap500_seed1,True,50.0,50,50.0,50.0,1.0,0.9650063142156188
GSE136831,consensus,133C,cap500_seed2,True,50.0,50,50.0,50.0,1.0,0.9880857401202064
GSE136831,consensus,133C,floor30,True,50.0,50,50.0,50.0,1.0,1.0
GSE136831,consensus,133C,floor100,True,50.0,50,50.0,50.0,1.0,1.0
GSE136831,consensus,133C,expression005,True,50.0,85,50.0,85.0,0.5882352941176471,1.0
GSE136831,consensus,133C,expression020,True,50.0,33,33.0,50.0,0.66,1.0
GSE136831,consensus,135I,cap500_seed1,True,109.0,109,109.0,109.0,1.0,0.9998523641608323
GSE136831,consensus,135I,cap500_seed2,True,109.0,110,109.0,110.0,0.990909090909091,0.9986939906535158
GSE136831,consensus,135I,floor30,True,109.0,109,109.0,109.0,1.0,1.0
GSE136831,consensus,135I,expression005,True,109.0,145,109.0,145.0,0.7517241379310344,1.0
GSE136831,consensus,135I,expression020,True,109.0,70,70.0,109.0,0.6422018348623854,1.0
GSE136831,consensus,1372C,cap500_seed1,True,217.0,221,217.0,221.0,0.9819004524886877,0.987641118728868
GSE136831,consensus,1372C,cap500_seed2,True,217.0,222,217.0,222.0,0.9774774774774775,0.9749951575651014
GSE136831,consensus,1372C,floor30,True,217.0,217,217.0,217.0,1.0,1.0
GSE136831,consensus,1372C,floor100,True,217.0,217,217.0,217.0,1.0,1.0
GSE136831,consensus,1372C,expression005,True,217.0,374,217.0,374.0,0.5802139037433155,1.0
GSE136831,consensus,1372C,expression020,True,217.0,147,147.0,217.0,0.6774193548387096,1.0
GSE136831,consensus,138I,cap500_seed1,True,143.0,143,143.0,143.0,1.0,0.9946326028038347
GSE136831,consensus,138I,cap500_seed2,True,143.0,143,143.0,143.0,1.0,0.9998086860961508
GSE136831,consensus,138I,floor30,True,143.0,269,143.0,269.0,0.5315985130111525,1.0
GSE136831,consensus,138I,floor100,True,143.0,74,74.0,143.0,0.5174825174825175,1.0
GSE136831,consensus,138I,expression005,True,143.0,209,143.0,209.0,0.6842105263157895,1.0
GSE136831,consensus,138I,expression020,True,143.0,103,103.0,143.0,0.7202797202797203,1.0
GSE136831,consensus,157I,floor30,False,,62,,,,
GSE136831,consensus,158I,cap500_seed1,True,33.0,33,33.0,33.0,1.0,1.0
GSE136831,consensus,158I,cap500_seed2,True,33.0,33,33.0,33.0,1.0,1.0
GSE136831,consensus,158I,floor30,True,33.0,33,33.0,33.0,1.0,1.0
GSE136831,consensus,158I,floor100,True,33.0,33,33.0,33.0,1.0,1.0
GSE136831,consensus,158I,expression005,True,33.0,63,33.0,63.0,0.5238095238095238,1.0
GSE136831,consensus,158I,expression020,True,33.0,16,16.0,33.0,0.48484848484848486,1.0
GSE136831,consensus,160C,cap500_seed1,True,35.0,35,35.0,35.0,1.0,0.9985714285714287
GSE136831,consensus,160C,cap500_seed2,True,35.0,35,35.0,35.0,1.0,0.9957142857142859
GSE136831,consensus,160C,floor30,True,35.0,195,35.0,195.0,0.1794871794871795,1.0
GSE136831,consensus,160C,expression005,True,35.0,70,35.0,70.0,0.5,1.0
GSE136831,consensus,160C,expression020,True,35.0,19,19.0,35.0,0.5428571428571428,1.0
GSE136831,consensus,166I,floor30,False,,165,,,,
GSE136831,consensus,174I,cap500_seed1,True,104.0,104,104.0,104.0,1.0,0.999788285109386
GSE136831,consensus,174I,cap500_seed2,True,104.0,106,103.0,107.0,0.9626168224299065,0.9987140958215337
GSE136831,consensus,174I,floor30,True,104.0,104,104.0,104.0,1.0,1.0
GSE136831,consensus,174I,expression005,True,104.0,170,104.0,170.0,0.611764705882353,1.0
GSE136831,consensus,174I,expression020,True,104.0,56,56.0,104.0,0.5384615384615384,1.0
GSE136831,consensus,177I,floor30,False,,77,,,,
GSE136831,consensus,192C,cap500_seed1,True,292.0,292,292.0,292.0,1.0,0.9992613165664764
GSE136831,consensus,192C,cap500_seed2,True,292.0,292,292.0,292.0,1.0,0.9997732438345689
