config,histology,comp,label,gene,patients,cells,detection_fraction,pseudobulk_CPM
unc20_pooled,AAH,AT2,__broad__,COL3A1,8,8476,0.2195611137328929,68.87279053128532
unc20_pooled,AAH,AT2,__broad__,DCN,8,8476,0.35795186408683344,129.70674759499389
unc20_pooled,AAH,AT2,__broad__,LUM,8,8476,0.23395469561113733,69.24590094539225
unc20_pooled,AAH,AT2,__broad__,PDGFRA,8,8476,0.03728173666823974,7.038219175199066
unc20_pooled,AAH,AT2,__broad__,PI16,8,8476,0.008376592732420952,1.5772394778156942
unc20_pooled,AAH,AT2,__broad__,ACTA2,8,8476,0.1523124115148655,33.93608811945381
unc20_pooled,AAH,AT2,__broad__,TAGLN,8,8476,0.34344030202925907,105.33585372809975
unc20_pooled,AAH,AT2,__broad__,MYH11,8,8476,0.09686172722982539,20.5380323401592
unc20_pooled,AAH,AT2,__broad__,PECAM1,8,8476,0.2886974988201982,80.11698164732623
unc20_pooled,AAH,AT2,__broad__,VWF,8,8476,0.10358659745162813,26.151648116040867
unc20_pooled,AAH,AT2,__broad__,MKI67,8,8476,0.01368570080226522,4.952192769055728
unc20_pooled,AAH,AT2,__broad__,CLDN4,8,8476,0.6097215667767815,358.55910795676783
unc20_pooled,AAH,AT2,__broad__,KRT17,8,8476,0.009674374705049551,6.207200525597249
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,EPCAM,8,311,0.06109324758842444,40.276189592282385
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,KRT8,8,311,0.13504823151125403,67.41883910012486
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,SFTPC,8,311,0.7717041800643086,3870.892047553922
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,SFTPA1,8,311,0.6591639871382636,1678.4664227914202
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,ABCA3,8,311,0.18971061093247588,167.23374374186815
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,AGER,8,311,0.2604501607717042,180.36728382630807
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,HOPX,8,311,0.10289389067524116,64.79213108323688
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,SCGB1A1,8,311,0.24758842443729903,123.45527679373514
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,FOXJ1,8,311,0.01607717041800643,4.377846694813303
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,PTPRC,8,311,0.03858520900321544,13.133540084439906
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,LST1,8,311,0.03858520900321544,12.257970745477246
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,TYROBP,8,311,0.10932475884244373,49.031882981908986
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,C1QA,8,311,0.18006430868167203,108.5705980313699
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,C1QB,8,311,0.12861736334405144,82.30351786249008
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,CD68,8,311,0.18971061093247588,82.30351786249008
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,CSF1R,8,311,0.05466237942122187,35.89834289746908
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,PPARG,8,311,0.012861736334405145,8.755693389626606
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,FABP4,8,311,0.01929260450160772,10.506832067551926
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,COL1A1,8,311,0.932475884244373,2796.5684686467375
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,COL1A2,8,311,0.9678456591639871,5304.199055435797
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,COL3A1,8,311,0.8842443729903537,2487.492491992918
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,DCN,8,311,0.9903536977491961,16667.337936493204
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,LUM,8,311,0.8167202572347267,3045.2301609121328
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,PDGFRA,8,311,0.5530546623794212,414.14429732933843
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,PI16,8,311,0.7556270096463023,2232.7018143547843
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,ACTA2,8,311,0.17363344051446947,95.43705794693
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,TAGLN,8,311,0.5562700964630225,622.5298000024516
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,MYH11,8,311,0.08360128617363344,36.77391223643174
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,PECAM1,8,311,0.1414790996784566,81.42794852352743
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,VWF,8,311,0.08681672025723473,30.644926863693115
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,MKI67,8,311,0.003215434083601286,0.8755693389626604
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,CLDN4,8,311,0.05466237942122187,23.640372151991834
unc20_pooled,AAH,fibroblasts,Adventitial fibroblasts,KRT17,8,311,0.003215434083601286,0.8755693389626604
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,EPCAM,8,4642,0.1066350710900474,57.40042201268601
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,KRT8,8,4642,0.13787160706591986,84.90479089376471
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,SFTPC,8,4642,0.7582938388625592,4112.0739823105905
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,SFTPA1,8,4642,0.6917277035760449,1814.8612596778862
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,ABCA3,8,4642,0.1066350710900474,84.99020818842645
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,AGER,8,4642,0.4080137871607066,627.2191947011211
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,HOPX,8,4642,0.14648858250753985,100.87782499550919
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,SCGB1A1,8,4642,0.16544592847910383,127.4426036353088
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,FOXJ1,8,4642,0.006031882809133994,2.733353429175524
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,PTPRC,8,4642,0.024989228780697974,12.214673136628123
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,LST1,8,4642,0.03166738474795347,14.350105503171502
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,TYROBP,8,4642,0.0954330030159414,61.073365683140615
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,C1QA,8,4642,0.14735028005170187,123.34257349154551
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,C1QB,8,4642,0.12903920723825937,107.9674604524332
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,CD68,8,4642,0.1928048255062473,135.7280812174971
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,CSF1R,8,4642,0.05299439896596295,37.66902694582519
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,PPARG,8,4642,0.052563550193881946,29.298132068975146
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,FABP4,8,4642,0.024558380008616976,12.983428788583739
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,COL1A1,8,4642,0.8601895734597157,1805.3799399704337
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,COL1A2,8,4642,0.9233089185695821,2679.7113681279543
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,COL3A1,8,4642,0.8259370960792761,1728.2481228908869
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,DCN,8,4642,0.9476518741921586,3844.7178500193595
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,LUM,8,4642,0.8806548901335631,2559.614651833555
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,PDGFRA,8,4642,0.5850926324859974,570.160441867082
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,PI16,8,4642,0.016156828953037484,15.631364923097529
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,ACTA2,8,4642,0.1994829814735028,152.3844536765355
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,TAGLN,8,4642,0.3940112020680741,407.0988263578296
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,MYH11,8,4642,0.08013787160706592,52.53163621696711
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,PECAM1,8,4642,0.14390348987505386,159.13241995481255
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,VWF,8,4642,0.08035329599310642,69.27342597066719
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,MKI67,8,4642,0.006031882809133994,3.2458571971459347
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,CLDN4,8,4642,0.054502369668246446,30.92106066754812
unc20_pooled,AAH,fibroblasts,Alveolar fibroblasts,KRT17,8,4642,0.003231365790607497,1.366676714587762
unc20_pooled,AAH,fibroblasts,Myofibroblasts,EPCAM,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,KRT8,8,25,0.16,110.67578635146204
unc20_pooled,AAH,fibroblasts,Myofibroblasts,SFTPC,8,25,0.52,575.5140890276025
unc20_pooled,AAH,fibroblasts,Myofibroblasts,SFTPA1,8,25,0.44,464.83830267614053
unc20_pooled,AAH,fibroblasts,Myofibroblasts,ABCA3,8,25,0.08,88.54062908116961
unc20_pooled,AAH,fibroblasts,Myofibroblasts,AGER,8,25,0.4,619.7844035681874
unc20_pooled,AAH,fibroblasts,Myofibroblasts,HOPX,8,25,0.08,66.40547181087722
unc20_pooled,AAH,fibroblasts,Myofibroblasts,SCGB1A1,8,25,0.16,88.54062908116961
unc20_pooled,AAH,fibroblasts,Myofibroblasts,FOXJ1,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,PTPRC,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,LST1,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,TYROBP,8,25,0.08,44.270314540584806
unc20_pooled,AAH,fibroblasts,Myofibroblasts,C1QA,8,25,0.08,44.270314540584806
unc20_pooled,AAH,fibroblasts,Myofibroblasts,C1QB,8,25,0.08,44.270314540584806
unc20_pooled,AAH,fibroblasts,Myofibroblasts,CD68,8,25,0.04,22.135157270292403
unc20_pooled,AAH,fibroblasts,Myofibroblasts,CSF1R,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,PPARG,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,FABP4,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,COL1A1,8,25,0.96,2722.624344245966
unc20_pooled,AAH,fibroblasts,Myofibroblasts,COL1A2,8,25,0.96,2811.1649733271356
unc20_pooled,AAH,fibroblasts,Myofibroblasts,COL3A1,8,25,0.8,2346.326670650995
unc20_pooled,AAH,fibroblasts,Myofibroblasts,DCN,8,25,0.8,2656.2188724350885
unc20_pooled,AAH,fibroblasts,Myofibroblasts,LUM,8,25,0.2,243.48672997321646
unc20_pooled,AAH,fibroblasts,Myofibroblasts,PDGFRA,8,25,0.6,774.7305044602342
unc20_pooled,AAH,fibroblasts,Myofibroblasts,PI16,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,ACTA2,8,25,0.88,1881.4883679748546
