unit_id,gsm,patient,histology,uncertainty_cutoff,label,compartment,lineage,cells,full_library_sum,panel_gene_coverage
GSM9237902_unc20_5,GSM9237902,3,AIS,0.2,Basal resting,Epithelial,Airway epithelium,21,28250,0.8655
GSM9237902_unc20_6,GSM9237902,3,AIS,0.2,CD4 T cells,Immune,Lymphoid,28,41614,0.8655
GSM9237902_unc20_7,GSM9237902,3,AIS,0.2,CD8 T cells,Immune,Lymphoid,11,19472,0.8655
GSM9237902_unc20_8,GSM9237902,3,AIS,0.2,Classical monocytes,Immune,Myeloid,2,2313,0.8655
GSM9237902_unc20_9,GSM9237902,3,AIS,0.2,EC aerocyte capillary,Endothelial,Blood vessels,5,5985,0.8655
GSM9237902_unc20_10,GSM9237902,3,AIS,0.2,EC arterial,Endothelial,Blood vessels,14,17889,0.8655
GSM9237902_unc20_11,GSM9237902,3,AIS,0.2,EC general capillary,Endothelial,Blood vessels,4,4417,0.8655
GSM9237902_unc20_12,GSM9237902,3,AIS,0.2,EC venous pulmonary,Endothelial,Blood vessels,10,12379,0.8655
GSM9237902_unc20_13,GSM9237902,3,AIS,0.2,EC venous systemic,Endothelial,Blood vessels,2,2735,0.8655
GSM9237902_unc20_14,GSM9237902,3,AIS,0.2,Goblet (bronchial),Epithelial,Airway epithelium,1,1733,0.8655
GSM9237902_unc20_15,GSM9237902,3,AIS,0.2,Goblet (nasal),Epithelial,Airway epithelium,11,43951,0.8655
GSM9237902_unc20_16,GSM9237902,3,AIS,0.2,Lymphatic EC differentiating,Endothelial,Lymphatic EC,16,22611,0.8655
GSM9237902_unc20_17,GSM9237902,3,AIS,0.2,Lymphatic EC mature,Endothelial,Lymphatic EC,1,1957,0.8655
GSM9237902_unc20_18,GSM9237902,3,AIS,0.2,Mast cells,Immune,Myeloid,10,14634,0.8655
GSM9237902_unc20_19,GSM9237902,3,AIS,0.2,Monocyte-derived Mph,Immune,Myeloid,31,76794,0.8655
GSM9237902_unc20_20,GSM9237902,3,AIS,0.2,Multiciliated (non-nasal),Epithelial,Airway epithelium,110,388615,0.8655
GSM9237902_unc20_21,GSM9237902,3,AIS,0.2,Non-classical monocytes,Immune,Myeloid,16,22836,0.8655
GSM9237902_unc20_22,GSM9237902,3,AIS,0.2,Pericytes,Stroma,Fibroblast lineage,6,7503,0.8655
GSM9237902_unc20_23,GSM9237902,3,AIS,0.2,Plasma cells,Immune,Lymphoid,6,8109,0.8655
GSM9237902_unc30_0,GSM9237902,3,AIS,0.3,AT1,Epithelial,Alveolar epithelium,164,323051,0.8655
GSM9237902_unc30_1,GSM9237902,3,AIS,0.3,AT2,Epithelial,Alveolar epithelium,773,1793891,0.8655
GSM9237902_unc30_2,GSM9237902,3,AIS,0.3,Adventitial fibroblasts,Stroma,Fibroblast lineage,33,54822,0.8655
GSM9237902_unc30_3,GSM9237902,3,AIS,0.3,Alveolar fibroblasts,Stroma,Fibroblast lineage,173,268857,0.8655
GSM9237902_unc30_4,GSM9237902,3,AIS,0.3,Alveolar macrophages,Immune,Myeloid,2,5606,0.8655
GSM9237902_unc30_5,GSM9237902,3,AIS,0.3,B cells,Immune,Lymphoid,13,20499,0.8655
GSM9237902_unc30_6,GSM9237902,3,AIS,0.3,Basal resting,Epithelial,Airway epithelium,23,30765,0.8655
GSM9237902_unc30_7,GSM9237902,3,AIS,0.3,CD4 T cells,Immune,Lymphoid,42,61224,0.8655
GSM9237902_unc30_8,GSM9237902,3,AIS,0.3,CD8 T cells,Immune,Lymphoid,21,36023,0.8655
GSM9237902_unc30_9,GSM9237902,3,AIS,0.3,Classical monocytes,Immune,Myeloid,7,8539,0.8655
GSM9237902_unc30_10,GSM9237902,3,AIS,0.3,EC aerocyte capillary,Endothelial,Blood vessels,5,5985,0.8655
GSM9237902_unc30_11,GSM9237902,3,AIS,0.3,EC arterial,Endothelial,Blood vessels,18,22099,0.8655
GSM9237902_unc30_12,GSM9237902,3,AIS,0.3,EC general capillary,Endothelial,Blood vessels,8,8828,0.8655
GSM9237902_unc30_13,GSM9237902,3,AIS,0.3,EC venous pulmonary,Endothelial,Blood vessels,21,29798,0.8655
GSM9237902_unc30_14,GSM9237902,3,AIS,0.3,EC venous systemic,Endothelial,Blood vessels,8,11961,0.8655
GSM9237902_unc30_15,GSM9237902,3,AIS,0.3,Goblet (bronchial),Epithelial,Airway epithelium,2,4387,0.8655
GSM9237902_unc30_16,GSM9237902,3,AIS,0.3,Goblet (nasal),Epithelial,Airway epithelium,29,127320,0.8655
GSM9237902_unc30_17,GSM9237902,3,AIS,0.3,Lymphatic EC differentiating,Endothelial,Lymphatic EC,23,33629,0.8655
GSM9237902_unc30_18,GSM9237902,3,AIS,0.3,Lymphatic EC mature,Endothelial,Lymphatic EC,3,5270,0.8655
GSM9237902_unc30_19,GSM9237902,3,AIS,0.3,Mast cells,Immune,Myeloid,11,16539,0.8655
GSM9237902_unc30_20,GSM9237902,3,AIS,0.3,Monocyte-derived Mph,Immune,Myeloid,85,194089,0.8655
GSM9237902_unc30_21,GSM9237902,3,AIS,0.3,Multiciliated (non-nasal),Epithelial,Airway epithelium,113,393808,0.8655
GSM9237902_unc30_22,GSM9237902,3,AIS,0.3,Non-classical monocytes,Immune,Myeloid,21,31062,0.8655
GSM9237902_unc30_23,GSM9237902,3,AIS,0.3,Pericytes,Stroma,Fibroblast lineage,6,7503,0.8655
GSM9237902_unc30_24,GSM9237902,3,AIS,0.3,Plasma cells,Immune,Lymphoid,7,9335,0.8655
GSM9237902_unc30_25,GSM9237902,3,AIS,0.3,Suprabasal,Epithelial,Airway epithelium,1,1909,0.8655
GSM9237902_unc30_26,GSM9237902,3,AIS,0.3,pre-TB secretory,Epithelial,Airway epithelium,1,1685,0.8655
GSM9237903_unc20_0,GSM9237903,3,LUAD,0.2,AT1,Epithelial,Alveolar epithelium,179,338280,0.8655
GSM9237903_unc20_1,GSM9237903,3,LUAD,0.2,AT2,Epithelial,Alveolar epithelium,310,934100,0.8655
GSM9237903_unc20_2,GSM9237903,3,LUAD,0.2,Adventitial fibroblasts,Stroma,Fibroblast lineage,3,7185,0.8655
GSM9237903_unc20_3,GSM9237903,3,LUAD,0.2,Alveolar fibroblasts,Stroma,Fibroblast lineage,77,120106,0.8655
GSM9237903_unc20_4,GSM9237903,3,LUAD,0.2,B cells,Immune,Lymphoid,10,14676,0.8655
GSM9237903_unc20_5,GSM9237903,3,LUAD,0.2,Basal resting,Epithelial,Airway epithelium,28,43128,0.8655
GSM9237903_unc20_6,GSM9237903,3,LUAD,0.2,CD4 T cells,Immune,Lymphoid,42,61106,0.8655
GSM9237903_unc20_7,GSM9237903,3,LUAD,0.2,CD8 T cells,Immune,Lymphoid,13,16259,0.8655
GSM9237903_unc20_8,GSM9237903,3,LUAD,0.2,Classical monocytes,Immune,Myeloid,2,2716,0.8655
GSM9237903_unc20_9,GSM9237903,3,LUAD,0.2,EC aerocyte capillary,Endothelial,Blood vessels,4,4446,0.8655
GSM9237903_unc20_10,GSM9237903,3,LUAD,0.2,EC arterial,Endothelial,Blood vessels,14,18624,0.8655
GSM9237903_unc20_11,GSM9237903,3,LUAD,0.2,EC general capillary,Endothelial,Blood vessels,11,13773,0.8655
GSM9237903_unc20_12,GSM9237903,3,LUAD,0.2,EC venous pulmonary,Endothelial,Blood vessels,27,31857,0.8655
GSM9237903_unc20_13,GSM9237903,3,LUAD,0.2,Goblet (bronchial),Epithelial,Airway epithelium,1,3260,0.8655
GSM9237903_unc20_14,GSM9237903,3,LUAD,0.2,Goblet (nasal),Epithelial,Airway epithelium,2,11076,0.8655
GSM9237903_unc20_15,GSM9237903,3,LUAD,0.2,Lymphatic EC differentiating,Endothelial,Lymphatic EC,10,13464,0.8655
GSM9237903_unc20_16,GSM9237903,3,LUAD,0.2,Mast cells,Immune,Myeloid,20,28134,0.8655
GSM9237903_unc20_17,GSM9237903,3,LUAD,0.2,Monocyte-derived Mph,Immune,Myeloid,23,57365,0.8655
GSM9237903_unc20_18,GSM9237903,3,LUAD,0.2,Multiciliated (non-nasal),Epithelial,Airway epithelium,150,741963,0.8655
GSM9237903_unc20_19,GSM9237903,3,LUAD,0.2,NK cells,Immune,Lymphoid,1,1040,0.8655
GSM9237903_unc20_20,GSM9237903,3,LUAD,0.2,Neuroendocrine,Epithelial,Airway epithelium,2,5519,0.8655
GSM9237903_unc20_21,GSM9237903,3,LUAD,0.2,Non-classical monocytes,Immune,Myeloid,9,13197,0.8655
GSM9237903_unc20_22,GSM9237903,3,LUAD,0.2,Pericytes,Stroma,Fibroblast lineage,5,6300,0.8655
GSM9237903_unc20_23,GSM9237903,3,LUAD,0.2,Plasma cells,Immune,Lymphoid,5,7920,0.8655
GSM9237903_unc20_24,GSM9237903,3,LUAD,0.2,Plasmacytoid DCs,Immune,Myeloid,1,1609,0.8655
GSM9237903_unc20_25,GSM9237903,3,LUAD,0.2,SMG serous (bronchial),Epithelial,Submucosal Gland,1,2919,0.8655
GSM9237903_unc20_26,GSM9237903,3,LUAD,0.2,Smooth muscle,Stroma,Smooth muscle,2,2197,0.8655
GSM9237903_unc20_27,GSM9237903,3,LUAD,0.2,Suprabasal,Epithelial,Airway epithelium,2,3848,0.8655
GSM9237903_unc30_0,GSM9237903,3,LUAD,0.3,AT1,Epithelial,Alveolar epithelium,190,358740,0.8655
GSM9237903_unc30_1,GSM9237903,3,LUAD,0.3,AT2,Epithelial,Alveolar epithelium,344,1086108,0.8655
GSM9237903_unc30_2,GSM9237903,3,LUAD,0.3,Adventitial fibroblasts,Stroma,Fibroblast lineage,13,20549,0.8655
GSM9237903_unc30_3,GSM9237903,3,LUAD,0.3,Alveolar fibroblasts,Stroma,Fibroblast lineage,123,191308,0.8655
GSM9237903_unc30_4,GSM9237903,3,LUAD,0.3,Alveolar macrophages,Immune,Myeloid,1,5737,0.8655
GSM9237903_unc30_5,GSM9237903,3,LUAD,0.3,B cells,Immune,Lymphoid,10,14676,0.8655
GSM9237903_unc30_6,GSM9237903,3,LUAD,0.3,Basal resting,Epithelial,Airway epithelium,31,49769,0.8655
GSM9237903_unc30_7,GSM9237903,3,LUAD,0.3,CD4 T cells,Immune,Lymphoid,62,101333,0.8655
GSM9237903_unc30_8,GSM9237903,3,LUAD,0.3,CD8 T cells,Immune,Lymphoid,17,24869,0.8655
GSM9237903_unc30_9,GSM9237903,3,LUAD,0.3,Classical monocytes,Immune,Myeloid,6,8226,0.8655
GSM9237903_unc30_10,GSM9237903,3,LUAD,0.3,Club (non-nasal),Epithelial,Airway epithelium,1,2737,0.8655
GSM9237903_unc30_11,GSM9237903,3,LUAD,0.3,EC aerocyte capillary,Endothelial,Blood vessels,5,8161,0.8655
GSM9237903_unc30_12,GSM9237903,3,LUAD,0.3,EC arterial,Endothelial,Blood vessels,17,21931,0.8655
GSM9237903_unc30_13,GSM9237903,3,LUAD,0.3,EC general capillary,Endothelial,Blood vessels,19,23211,0.8655
GSM9237903_unc30_14,GSM9237903,3,LUAD,0.3,EC venous pulmonary,Endothelial,Blood vessels,38,48088,0.8655
GSM9237903_unc30_15,GSM9237903,3,LUAD,0.3,Goblet (bronchial),Epithelial,Airway epithelium,3,7400,0.8655
GSM9237903_unc30_16,GSM9237903,3,LUAD,0.3,Goblet (nasal),Epithelial,Airway epithelium,3,13817,0.8655
GSM9237903_unc30_17,GSM9237903,3,LUAD,0.3,Lymphatic EC differentiating,Endothelial,Lymphatic EC,11,15469,0.8655
GSM9237903_unc30_18,GSM9237903,3,LUAD,0.3,Mast cells,Immune,Myeloid,21,29924,0.8655
GSM9237903_unc30_19,GSM9237903,3,LUAD,0.3,Monocyte-derived Mph,Immune,Myeloid,55,145050,0.8655
GSM9237903_unc30_20,GSM9237903,3,LUAD,0.3,Multiciliated (non-nasal),Epithelial,Airway epithelium,153,750149,0.8655
GSM9237903_unc30_21,GSM9237903,3,LUAD,0.3,Myofibroblasts,Stroma,Fibroblast lineage,1,1476,0.8655
GSM9237903_unc30_22,GSM9237903,3,LUAD,0.3,NK cells,Immune,Lymphoid,1,1040,0.8655
GSM9237903_unc30_23,GSM9237903,3,LUAD,0.3,Neuroendocrine,Epithelial,Airway epithelium,2,5519,0.8655
GSM9237903_unc30_24,GSM9237903,3,LUAD,0.3,Non-classical monocytes,Immune,Myeloid,12,17999,0.8655
GSM9237903_unc30_25,GSM9237903,3,LUAD,0.3,Pericytes,Stroma,Fibroblast lineage,6,8434,0.8655
GSM9237903_unc30_26,GSM9237903,3,LUAD,0.3,Plasma cells,Immune,Lymphoid,5,7920,0.8655
GSM9237903_unc30_27,GSM9237903,3,LUAD,0.3,Plasmacytoid DCs,Immune,Myeloid,1,1609,0.8655
GSM9237903_unc30_28,GSM9237903,3,LUAD,0.3,SMG serous (bronchial),Epithelial,Submucosal Gland,2,26125,0.8655
GSM9237903_unc30_29,GSM9237903,3,LUAD,0.3,SMG serous (nasal),Epithelial,Submucosal Gland,1,3484,0.8655
GSM9237903_unc30_30,GSM9237903,3,LUAD,0.3,Smooth muscle,Stroma,Smooth muscle,2,2197,0.8655
GSM9237903_unc30_31,GSM9237903,3,LUAD,0.3,Suprabasal,Epithelial,Airway epithelium,4,6621,0.8655
GSM9237903_unc30_32,GSM9237903,3,LUAD,0.3,pre-TB secretory,Epithelial,Airway epithelium,2,6572,0.8655
GSM9237904_unc20_0,GSM9237904,4,normal,0.2,AT0,Epithelial,Airway epithelium,56,293144,0.8655
GSM9237904_unc20_1,GSM9237904,4,normal,0.2,AT1,Epithelial,Alveolar epithelium,1650,4532485,0.8655
GSM9237904_unc20_2,GSM9237904,4,normal,0.2,AT2,Epithelial,Alveolar epithelium,4520,20532915,0.8655
GSM9237904_unc20_3,GSM9237904,4,normal,0.2,AT2 proliferating,Epithelial,Alveolar epithelium,8,65895,0.8655
GSM9237904_unc20_4,GSM9237904,4,normal,0.2,Adventitial fibroblasts,Stroma,Fibroblast lineage,89,286489,0.8655
GSM9237904_unc20_5,GSM9237904,4,normal,0.2,Alveolar Mph proliferating,Immune,Myeloid,2,8422,0.8655
GSM9237904_unc20_6,GSM9237904,4,normal,0.2,Alveolar fibroblasts,Stroma,Fibroblast lineage,2286,5987712,0.8655
GSM9237904_unc20_7,GSM9237904,4,normal,0.2,Alveolar macrophages,Immune,Myeloid,1281,16534639,0.8655
GSM9237904_unc20_8,GSM9237904,4,normal,0.2,B cells,Immune,Lymphoid,79,104854,0.8655
GSM9237904_unc20_9,GSM9237904,4,normal,0.2,Basal resting,Epithelial,Airway epithelium,62,146803,0.8655
GSM9237904_unc20_10,GSM9237904,4,normal,0.2,CD4 T cells,Immune,Lymphoid,1115,1851111,0.8655
GSM9237904_unc20_11,GSM9237904,4,normal,0.2,CD8 T cells,Immune,Lymphoid,1296,2000568,0.8655
GSM9237904_unc20_12,GSM9237904,4,normal,0.2,Classical monocytes,Immune,Myeloid,44,110937,0.8655
GSM9237904_unc20_13,GSM9237904,4,normal,0.2,EC aerocyte capillary,Endothelial,Blood vessels,305,525336,0.8655
GSM9237904_unc20_14,GSM9237904,4,normal,0.2,EC arterial,Endothelial,Blood vessels,170,330973,0.8655
GSM9237904_unc20_15,GSM9237904,4,normal,0.2,EC general capillary,Endothelial,Blood vessels,164,242713,0.8655
GSM9237904_unc20_16,GSM9237904,4,normal,0.2,EC venous pulmonary,Endothelial,Blood vessels,252,484476,0.8655
GSM9237904_unc20_17,GSM9237904,4,normal,0.2,EC venous systemic,Endothelial,Blood vessels,3,7551,0.8655
GSM9237904_unc20_18,GSM9237904,4,normal,0.2,Goblet (nasal),Epithelial,Airway epithelium,6,26065,0.8655
GSM9237904_unc20_19,GSM9237904,4,normal,0.2,Goblet (subsegmental),Epithelial,Airway epithelium,2,7516,0.8655
GSM9237904_unc20_20,GSM9237904,4,normal,0.2,Interstitial Mph perivascular,Immune,Myeloid,71,167886,0.8655
GSM9237904_unc20_21,GSM9237904,4,normal,0.2,Lymphatic EC differentiating,Endothelial,Lymphatic EC,128,212844,0.8655
GSM9237904_unc20_22,GSM9237904,4,normal,0.2,Mast cells,Immune,Myeloid,453,762127,0.8655
GSM9237904_unc20_23,GSM9237904,4,normal,0.2,Migratory DCs,Immune,Myeloid,30,99220,0.8655
GSM9237904_unc20_24,GSM9237904,4,normal,0.2,Monocyte-derived Mph,Immune,Myeloid,99,441590,0.8655
GSM9237904_unc20_25,GSM9237904,4,normal,0.2,Multiciliated (non-nasal),Epithelial,Airway epithelium,266,1830323,0.8655
GSM9237904_unc20_26,GSM9237904,4,normal,0.2,Myofibroblasts,Stroma,Fibroblast lineage,3,4310,0.8655
GSM9237904_unc20_27,GSM9237904,4,normal,0.2,NK cells,Immune,Lymphoid,152,227093,0.8655
GSM9237904_unc20_28,GSM9237904,4,normal,0.2,Neuroendocrine,Epithelial,Airway epithelium,3,12391,0.8655
GSM9237904_unc20_29,GSM9237904,4,normal,0.2,Non-classical monocytes,Immune,Myeloid,97,241322,0.8655
GSM9237904_unc20_30,GSM9237904,4,normal,0.2,Peribronchial fibroblasts,Stroma,Fibroblast lineage,9,34261,0.8655
GSM9237904_unc20_31,GSM9237904,4,normal,0.2,Pericytes,Stroma,Fibroblast lineage,96,351283,0.8655
GSM9237904_unc20_32,GSM9237904,4,normal,0.2,Plasma cells,Immune,Lymphoid,500,2523879,0.8655
GSM9237904_unc20_33,GSM9237904,4,normal,0.2,Plasmacytoid DCs,Immune,Myeloid,41,104719,0.8655
GSM9237904_unc20_34,GSM9237904,4,normal,0.2,SM activated stress response,Stroma,Smooth muscle,2,3278,0.8655
GSM9237904_unc20_35,GSM9237904,4,normal,0.2,Smooth muscle,Stroma,Smooth muscle,42,92591,0.8655
GSM9237904_unc20_36,GSM9237904,4,normal,0.2,Suprabasal,Epithelial,Airway epithelium,1,3032,0.8655
GSM9237904_unc20_37,GSM9237904,4,normal,0.2,T cells proliferating,Immune,Lymphoid,22,121815,0.8655
GSM9237904_unc20_38,GSM9237904,4,normal,0.2,pre-TB secretory,Epithelial,Airway epithelium,16,48516,0.8655
GSM9237904_unc30_0,GSM9237904,4,normal,0.3,AT0,Epithelial,Airway epithelium,100,486528,0.8655
GSM9237904_unc30_1,GSM9237904,4,normal,0.3,AT1,Epithelial,Alveolar epithelium,1771,5024753,0.8655
GSM9237904_unc30_2,GSM9237904,4,normal,0.3,AT2,Epithelial,Alveolar epithelium,4884,22377159,0.8655
GSM9237904_unc30_3,GSM9237904,4,normal,0.3,AT2 proliferating,Epithelial,Alveolar epithelium,11,91865,0.8655
GSM9237904_unc30_4,GSM9237904,4,normal,0.3,Adventitial fibroblasts,Stroma,Fibroblast lineage,140,422899,0.8655
GSM9237904_unc30_5,GSM9237904,4,normal,0.3,Alveolar Mph proliferating,Immune,Myeloid,2,8422,0.8655
GSM9237904_unc30_6,GSM9237904,4,normal,0.3,Alveolar fibroblasts,Stroma,Fibroblast lineage,2542,6952023,0.8655
GSM9237904_unc30_7,GSM9237904,4,normal,0.3,Alveolar macrophages,Immune,Myeloid,1618,19182214,0.8655
GSM9237904_unc30_8,GSM9237904,4,normal,0.3,B cells,Immune,Lymphoid,88,117190,0.8655
GSM9237904_unc30_9,GSM9237904,4,normal,0.3,Basal resting,Epithelial,Airway epithelium,81,210531,0.8655
GSM9237904_unc30_10,GSM9237904,4,normal,0.3,CD4 T cells,Immune,Lymphoid,1683,2761051,0.8655
GSM9237904_unc30_11,GSM9237904,4,normal,0.3,CD8 T cells,Immune,Lymphoid,1979,3068621,0.8655
GSM9237904_unc30_12,GSM9237904,4,normal,0.3,Classical monocytes,Immune,Myeloid,58,146066,0.8655
GSM9237904_unc30_13,GSM9237904,4,normal,0.3,DC2,Immune,Myeloid,2,8048,0.8655
GSM9237904_unc30_14,GSM9237904,4,normal,0.3,Deuterosomal,Epithelial,Airway epithelium,1,1146,0.8655
GSM9237904_unc30_15,GSM9237904,4,normal,0.3,EC aerocyte capillary,Endothelial,Blood vessels,341,614200,0.8655
GSM9237904_unc30_16,GSM9237904,4,normal,0.3,EC arterial,Endothelial,Blood vessels,186,355154,0.8655
GSM9237904_unc30_17,GSM9237904,4,normal,0.3,EC general capillary,Endothelial,Blood vessels,210,325439,0.8655
GSM9237904_unc30_18,GSM9237904,4,normal,0.3,EC venous pulmonary,Endothelial,Blood vessels,293,571275,0.8655
GSM9237904_unc30_19,GSM9237904,4,normal,0.3,EC venous systemic,Endothelial,Blood vessels,3,7551,0.8655
GSM9237904_unc30_20,GSM9237904,4,normal,0.3,Goblet (nasal),Epithelial,Airway epithelium,15,86049,0.8655
GSM9237904_unc30_21,GSM9237904,4,normal,0.3,Goblet (subsegmental),Epithelial,Airway epithelium,2,7516,0.8655
GSM9237904_unc30_22,GSM9237904,4,normal,0.3,Interstitial Mph perivascular,Immune,Myeloid,152,359529,0.8655
GSM9237904_unc30_23,GSM9237904,4,normal,0.3,Lymphatic EC differentiating,Endothelial,Lymphatic EC,139,229429,0.8655
GSM9237904_unc30_24,GSM9237904,4,normal,0.3,Mast cells,Immune,Myeloid,464,790821,0.8655
