experiment	gsm	library_name	attributes	original_files
SRX25477437	GSM8422172	GSM8422172	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:40:05"", ""filename"": ""HTS053_23_OG5_CD44minus_S23_R1_001.fastq.gz"", ""md5"": ""c044d1f9fcd3e4bc30c98310808752a2"", ""semantic_name"": ""fastq"", ""size"": ""654189536"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:40:08"", ""filename"": ""HTS053_23_OG5_CD44minus_S23_R2_001.fastq.gz"", ""md5"": ""f2b94bc383a3d28a810eba3f4cf133cf"", ""semantic_name"": ""fastq"", ""size"": ""678128373"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477438	GSM8422173	GSM8422173	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:41:46"", ""filename"": ""HTS053_21_OG3_CD44minus_S21_R1_001.fastq.gz"", ""md5"": ""881a9d6ae33fa7102287789a8d7b98bd"", ""semantic_name"": ""fastq"", ""size"": ""935900558"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:41:49"", ""filename"": ""HTS053_21_OG3_CD44minus_S21_R2_001.fastq.gz"", ""md5"": ""f07143bffd778dd21cd255519fcd558f"", ""semantic_name"": ""fastq"", ""size"": ""940629075"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477439	GSM8422174	GSM8422174	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:40:53"", ""filename"": ""HTS053_28_OG7_CD44plus_S28_R1_001.fastq.gz"", ""md5"": ""787040965434d3b5f6e4261421d1cd12"", ""semantic_name"": ""fastq"", ""size"": ""790882212"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:40:51"", ""filename"": ""HTS053_28_OG7_CD44plus_S28_R2_001.fastq.gz"", ""md5"": ""c7041210de8a870f51afc1886210c3e3"", ""semantic_name"": ""fastq"", ""size"": ""717784481"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477440	GSM8422175	GSM8422175	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:40:02"", ""filename"": ""HTS053_26_OG6_CD44plus_S26_R1_001.fastq.gz"", ""md5"": ""5faba54fd98385517c150ad6ed2ff38c"", ""semantic_name"": ""fastq"", ""size"": ""741286607"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:40:00"", ""filename"": ""HTS053_26_OG6_CD44plus_S26_R2_001.fastq.gz"", ""md5"": ""0c8c0047a83f0a9ea64ce906442d6e95"", ""semantic_name"": ""fastq"", ""size"": ""774730748"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477441	GSM8422176	GSM8422176	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:40:36"", ""filename"": ""HTS053_24_OG5_CD44plus_S24_R1_001.fastq.gz"", ""md5"": ""ce43004f252733cec8103c7ec23aa492"", ""semantic_name"": ""fastq"", ""size"": ""887576291"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:40:39"", ""filename"": ""HTS053_24_OG5_CD44plus_S24_R2_001.fastq.gz"", ""md5"": ""1c83f547ba0c6a013ba3efde715bd325"", ""semantic_name"": ""fastq"", ""size"": ""924494467"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX25477442	GSM8422177	GSM8422177	"{""cell type"": ""AT2"", ""collection_date"": ""missing"", ""genotype"": ""SP-C Mutant"", ""geo_loc_name"": ""missing"", ""source_name"": ""Lung"", ""tissue"": ""Lung"", ""treatment"": ""OG TMX""}"	"[{""cluster"": ""public"", ""date"": ""2024-07-25 17:40:27"", ""filename"": ""HTS053_22_OG3_CD44plus_S22_R1_001.fastq.gz"", ""md5"": ""d6ae46d6c2e78fa52563c1ba8aedb621"", ""semantic_name"": ""fastq"", ""size"": ""871063111"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2024-07-25 17:40:24"", ""filename"": ""HTS053_22_OG3_CD44plus_S22_R2_001.fastq.gz"", ""md5"": ""30b60e3165caaee8ee633099d4fb5af5"", ""semantic_name"": ""fastq"", ""size"": ""854583261"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806123	GSM4685043		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Negative""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:38:26"", ""filename"": ""YY1181_Tigit_Neg_S1_R1_001.fastq.gz"", ""md5"": ""8179120610d053bf63dcd7bcbe5bad72"", ""semantic_name"": ""fastq"", ""size"": ""1432793241"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:38:34"", ""filename"": ""YY1181_Tigit_Neg_S1_R2_001.fastq.gz"", ""md5"": ""a940f8febd6e57908418ba7bbd1ffc36"", ""semantic_name"": ""fastq"", ""size"": ""1447709861"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806124	GSM4685044		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Positive""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:42:44"", ""filename"": ""YY1181_Tigit_Pos_S2_R1_001.fastq.gz"", ""md5"": ""b4b0812c6d0db2837c33a646746a7e9e"", ""semantic_name"": ""fastq"", ""size"": ""1355972147"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:42:14"", ""filename"": ""YY1181_Tigit_Pos_S2_R2_001.fastq.gz"", ""md5"": ""e63eaf236bdf4c4eea9a412aa0714147"", ""semantic_name"": ""fastq"", ""size"": ""1373690117"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806125	GSM4685045		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Negative""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:39:04"", ""filename"": ""YY1916_Tigit_Neg_S3_R1_001.fastq.gz"", ""md5"": ""6d7f70dd19d8d233085803a368217b4f"", ""semantic_name"": ""fastq"", ""size"": ""1537876761"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:38:49"", ""filename"": ""YY1916_Tigit_Neg_S3_R2_001.fastq.gz"", ""md5"": ""db801af2d9ecd2789a558122f099d61b"", ""semantic_name"": ""fastq"", ""size"": ""1565523199"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806126	GSM4685046		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Positive""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:49:16"", ""filename"": ""YY1916_Tigit_Pos_S4_R1_001.fastq.gz"", ""md5"": ""7af21af13b4cbef569ca95dfca8c3289"", ""semantic_name"": ""fastq"", ""size"": ""1358754212"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:49:43"", ""filename"": ""YY1916_Tigit_Pos_S4_R2_001.fastq.gz"", ""md5"": ""8239261eb49231549df0f751d505a8a0"", ""semantic_name"": ""fastq"", ""size"": ""1371663238"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806127	GSM4685047		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Negative""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:46:54"", ""filename"": ""106621_106642_Tigit_Neg_S5_R1_001.fastq.gz"", ""md5"": ""39bed2cc0475a12be399cf8780e893fd"", ""semantic_name"": ""fastq"", ""size"": ""1684374093"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:47:11"", ""filename"": ""106621_106642_Tigit_Neg_S5_R2_001.fastq.gz"", ""md5"": ""491a355ce758929695b7f83e237357f0"", ""semantic_name"": ""fastq"", ""size"": ""1707455860"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806128	GSM4685048		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Positive""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:43:43"", ""filename"": ""106621_106642_Tigit_Pos_S6_R1_001.fastq.gz"", ""md5"": ""ec82a04d57f91732c5b975f5a63c30b3"", ""semantic_name"": ""fastq"", ""size"": ""1443178317"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:44:10"", ""filename"": ""106621_106642_Tigit_Pos_S6_R2_001.fastq.gz"", ""md5"": ""b6a40cb03378b2526c915acba7c2bb66"", ""semantic_name"": ""fastq"", ""size"": ""1461111909"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806129	GSM4685049		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Negative""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:38:59"", ""filename"": ""106623_Tigit_Neg_S7_R1_001.fastq.gz"", ""md5"": ""586f19725ad15c3053d9243bf543b8cc"", ""semantic_name"": ""fastq"", ""size"": ""1442274373"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:39:12"", ""filename"": ""106623_Tigit_Neg_S7_R2_001.fastq.gz"", ""md5"": ""1ecf6389ad7655edabcde0d088ceb815"", ""semantic_name"": ""fastq"", ""size"": ""1456257534"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
SRX8806130	GSM4685050		"{""genotype"": ""Kras mut, Trp53 null"", ""source_name"": ""Lung tissue, AT2 cells"", ""tigit"": ""Positive""}"	"[{""cluster"": ""public"", ""date"": ""2020-07-23 11:44:46"", ""filename"": ""106623_Tigit_Pos_S8_R1_001.fastq.gz"", ""md5"": ""d0652e98ce416061b503d6896e93066e"", ""semantic_name"": ""fastq"", ""size"": ""1605124206"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}, {""cluster"": ""public"", ""date"": ""2020-07-23 11:44:16"", ""filename"": ""106623_Tigit_Pos_S8_R2_001.fastq.gz"", ""md5"": ""1f86a774753a02f49435ab4c1e3ab272"", ""semantic_name"": ""fastq"", ""size"": ""1634201400"", ""sratoolkit"": ""0"", ""supertype"": ""Original"", ""version"": ""1""}]"
