cohort,unit,module,difference_17,difference_29,both_seeds_evaluable,same_direction
GSE247130,SeV_Cebpa_mutant,AT1_published_holdout,0.0456232876860829,0.0445542367607366,True,True
GSE247130,SeV_Cebpa_mutant,HALLMARK_HYPOXIA,0.0169304372133392,0.0170560680908512,True,True
GSE247130,SeV_Cebpa_mutant,HALLMARK_INFLAMMATORY_RESPONSE,0.0077889384291823,0.0084855669705591,True,True
GSE247130,SeV_Cebpa_mutant,HALLMARK_P53_PATHWAY,0.0160570636398162,0.0167327096362558,True,True
GSE310539,wildtype_PBS,DATP_marker_panel,0.3889836407935955,0.3662238144996766,False,True
GSE310539,wildtype_PBS,AT1_early_panel,0.147914491240283,-0.0249788525650594,False,False
GSE310539,wildtype_PBS,AT1_late_panel,-0.073290114862513,-0.2055717271234513,False,True
GSE310539,wildtype_PBS,DATP_figure7_panel,0.4638734191901612,0.3006087144018178,False,True
GSE310539,wildtype_PBS,DATP_label_free_panel,0.0645956607495069,0.0300293576155645,False,True
GSE310539,wildtype_PBS,AT2_common_panel,-0.0965671771667247,-0.0583078320147286,False,True
GSE310539,wildtype_PBS,DATP_PATS_holdout_panel,0.1885949646130641,0.106060606060606,False,True
GSE310539,wildtype_PBS,ADI_published_400,0.0576711083841821,0.0337288893763208,False,True
GSE310539,wildtype_PBS,ADI_published_holdout,0.0534767776022562,0.0294376759894001,False,True
GSE310539,wildtype_PBS,AT2_published_400,-0.059036275834473,-0.0120743135948132,False,True
GSE310539,wildtype_PBS,AT2_published_holdout,-0.0589561213628478,-0.011725847318605,False,True
GSE310539,wildtype_PBS,AT1_published_400,0.0427654747223405,-0.0007865247804024,False,False
GSE310539,wildtype_PBS,AT1_published_holdout,0.0409061026746582,-0.0027334704171678,False,False
GSE310539,wildtype_PBS,HALLMARK_HYPOXIA,-0.0020301034840392,-0.0037826692824067,False,True
GSE310539,wildtype_PBS,HALLMARK_INFLAMMATORY_RESPONSE,-0.0004350852767142,-0.0104323114527196,False,True
GSE310539,wildtype_PBS,HALLMARK_P53_PATHWAY,0.0180806790171689,0.01327109437595,False,True
GSE310539,wildtype_SeV,DATP_marker_panel,0.3706619002153785,0.379288237950607,True,True
GSE310539,wildtype_SeV,AT1_early_panel,0.1478586742258834,0.1768444645156973,True,True
