cohort,unit,unit_type,genotype,stage,injury,independence_two_marker,seed,group_two_marker,n_two_marker,module,kind,n_genes_two_marker,total_genes_two_marker,coverage_two_marker,score_two_marker,interpretable_two_marker,label_overlap_two_marker,independence_reference,group_reference,n_reference,n_genes_reference,total_genes_reference,coverage_reference,score_reference,interpretable_reference,label_overlap_reference,difference,interpretable
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3068224651338108,True,,same-laboratory studies; not independent replication,reference,10880,379,398,0.9522613065326633,0.35274401482228773,True,,-0.04592154968847695,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.2983817748830804,True,Krt8,same-laboratory studies; not independent replication,reference,10880,383,400,0.9575,0.30129516395330974,True,Krt8,-0.0029133890702293663,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.29654507795869056,True,,same-laboratory studies; not independent replication,reference,10880,382,399,0.9573934837092731,0.30117247651678475,True,,-0.004627398558094187,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.12333351927260558,True,,same-laboratory studies; not independent replication,reference,10880,197,199,0.9899497487437185,0.11808422290235888,True,,0.005249296370246695,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06778425655976676,True,,same-laboratory studies; not independent replication,reference,10880,196,197,0.9949238578680203,0.06658069477791118,True,,0.001203561781855586,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.12413097106974658,True,,same-laboratory studies; not independent replication,reference,10880,196,200,0.98,0.11695631377551019,True,,0.007174657294236386,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4133971291866028,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10853,5,5,1.0,0.07957246844190546,True,Cldn4;Krt8,0.33382466074469735,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT1_early_panel,paper_marker_panel,3,3,1.0,0.2902711323763955,True,,same-laboratory studies; not independent replication,reference,10853,3,3,1.0,0.28449890967167296,True,,0.005772222704722552,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT1_late_panel,paper_marker_panel,4,4,1.0,0.11244019138755981,True,,same-laboratory studies; not independent replication,reference,10853,4,4,1.0,0.17403022205841703,True,,-0.06159003067085722,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.3620414673046252,True,Cldn4,same-laboratory studies; not independent replication,reference,10853,3,3,1.0,0.030222058417027547,True,Cldn4,0.33181940888759764,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.022328548644338118,True,,same-laboratory studies; not independent replication,reference,10853,3,3,1.0,0.008968334408304923,True,,0.013360214236033195,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT2_common_panel,repository_marker_panel,8,8,1.0,0.6435406698564593,True,,same-laboratory studies; not independent replication,reference,10853,8,8,1.0,0.731733161337879,True,,-0.08819249148141972,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.08931419457735247,True,,same-laboratory studies; not independent replication,reference,10853,6,6,1.0,0.043367425289474494,True,,0.04594676928787798,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.3475246557953324,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10853,392,400,0.98,0.3313223842932547,True,Cldn4;Krt8,0.016202271502077703,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3441786283891547,True,,same-laboratory studies; not independent replication,reference,10853,390,398,0.9798994974874372,0.3320703007794134,True,,0.012108327609741287,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.30616986273844954,True,Sftpc,same-laboratory studies; not independent replication,reference,10853,381,400,0.9525,0.35402865252734406,True,Sftpc,-0.04785878978889452,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3048566486977819,True,,same-laboratory studies; not independent replication,reference,10853,379,398,0.9522613065326633,0.35278525422612134,True,,-0.04792860552833944,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.3005109498169825,True,Krt8,same-laboratory studies; not independent replication,reference,10853,383,400,0.9575,0.3013602861308938,True,Krt8,-0.0008493363139112642,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.29867982664896414,True,,same-laboratory studies; not independent replication,reference,10853,382,399,0.9573934837092731,0.301226094746404,True,,-0.002546268097439852,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.12148738250795424,True,,same-laboratory studies; not independent replication,reference,10853,197,199,0.9899497487437185,0.1180431058150896,True,,0.0034442766928646368,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06989063568010936,True,,same-laboratory studies; not independent replication,reference,10853,196,197,0.9949238578680203,0.06641585040908467,True,,0.003474785271024697,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,209,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.12540279269602578,True,,same-laboratory studies; not independent replication,reference,10853,196,200,0.98,0.11690504083325026,True,,0.008497751862775516,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4077669902912621,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10258,5,5,1.0,0.09344901540261259,True,Cldn4;Krt8,0.31431797488864954,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT1_early_panel,paper_marker_panel,3,3,1.0,0.32281553398058255,True,,same-laboratory studies; not independent replication,reference,10258,3,3,1.0,0.31026190940404236,True,,0.01255362457654019,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT1_late_panel,paper_marker_panel,4,4,1.0,0.1699029126213592,True,,same-laboratory studies; not independent replication,reference,10258,4,4,1.0,0.1805176447650614,True,,-0.010614732143702205,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.35275080906148876,True,Cldn4,same-laboratory studies; not independent replication,reference,10258,3,3,1.0,0.02872554754013128,True,Cldn4,0.32402526152135747,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.012944983818770225,True,,same-laboratory studies; not independent replication,reference,10258,3,3,1.0,0.005101709235068565,True,,0.00784327458370166,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT2_common_panel,repository_marker_panel,8,8,1.0,0.5476334951456311,True,,same-laboratory studies; not independent replication,reference,10258,8,8,1.0,0.5882238253070774,True,,-0.04059033016144631,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.08495145631067962,True,,same-laboratory studies; not independent replication,reference,10258,6,6,1.0,0.04334828101644245,True,,0.04160317529423717,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.36826951654448187,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10258,392,400,0.98,0.3382434714966119,True,Cldn4;Krt8,0.030026045047869987,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.36502987303958173,True,,same-laboratory studies; not independent replication,reference,10258,390,398,0.9798994974874372,0.3388192330188821,True,,0.026210640020699616,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.31451469051805414,True,Sftpc,same-laboratory studies; not independent replication,reference,10258,381,400,0.9525,0.32145322593108305,True,Sftpc,-0.006938535413028912,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3135038553167508,True,,same-laboratory studies; not independent replication,reference,10258,379,398,0.9522613065326633,0.3204773312906948,True,,-0.006973475973943988,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.33697305381631976,True,Krt8,same-laboratory studies; not independent replication,reference,10258,383,400,0.9575,0.31906804445310977,True,Krt8,0.01790500936320999,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.3352373811823311,True,,same-laboratory studies; not independent replication,reference,10258,382,399,0.9573934837092731,0.318799578211974,True,,0.016437802970357074,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11948647183480361,True,,same-laboratory studies; not independent replication,reference,10258,197,199,0.9899497487437185,0.11184980794981854,True,,0.007636663884985073,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06867941351297802,True,,same-laboratory studies; not independent replication,reference,10258,196,197,0.9949238578680203,0.06249527496707397,True,,0.006184138545904043,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,412,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11194769169803843,True,,same-laboratory studies; not independent replication,reference,10258,196,200,0.98,0.10687328158013061,True,,0.005074410117907824,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4076233183856502,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10224,5,5,1.0,0.09497261345852895,True,Cldn4;Krt8,0.3126507049271212,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT1_early_panel,paper_marker_panel,3,3,1.0,0.31539611360239167,True,,same-laboratory studies; not independent replication,reference,10224,3,3,1.0,0.3083920187793427,True,,0.007004094823048979,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT1_late_panel,paper_marker_panel,4,4,1.0,0.1726457399103139,True,,same-laboratory studies; not independent replication,reference,10224,4,4,1.0,0.1792351330203443,True,,-0.0065893931100304,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.35201793721973096,True,Cldn4,same-laboratory studies; not independent replication,reference,10224,3,3,1.0,0.029147104851330204,True,Cldn4,0.32287083236840075,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.012705530642750373,True,,same-laboratory studies; not independent replication,reference,10224,3,3,1.0,0.00528169014084507,True,,0.007423840501905303,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT2_common_panel,repository_marker_panel,8,8,1.0,0.5725896860986547,True,,same-laboratory studies; not independent replication,reference,10224,8,8,1.0,0.5872946009389671,True,,-0.014704914840312444,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.08370702541106127,True,,same-laboratory studies; not independent replication,reference,10224,6,6,1.0,0.04342723004694835,True,,0.04027979536411292,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.3704356181934657,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10224,392,400,0.98,0.3378218218038389,True,Cldn4;Krt8,0.032613796389626803,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.36720708290215015,True,,same-laboratory studies; not independent replication,reference,10224,390,398,0.9798994974874372,0.3383772721800891,True,,0.028829810722061033,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.3180737497498911,True,Sftpc,same-laboratory studies; not independent replication,reference,10224,381,400,0.9525,0.32114493610833855,True,Sftpc,-0.003071186358447442,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.31707230498006317,True,,same-laboratory studies; not independent replication,reference,10224,379,398,0.9522613065326633,0.3201683348404705,True,,-0.0030960298604073566,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.3347071151752157,True,Krt8,same-laboratory studies; not independent replication,reference,10224,383,400,0.9575,0.31886039912232317,True,Krt8,0.015846716052892507,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.3329655107646796,True,,same-laboratory studies; not independent replication,reference,10224,382,399,0.9573934837092731,0.3185682594695573,True,,0.014397251295122315,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11934624752452712,True,,same-laboratory studies; not independent replication,reference,10224,197,199,0.9899497487437185,0.1115455422892686,True,,0.007800705235258512,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06831701290381624,True,,same-laboratory studies; not independent replication,reference,10224,196,197,0.9949238578680203,0.06239969579381048,True,,0.00591731711000576,True
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,same-laboratory studies; not independent replication,29,two_marker,446,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11221057929898416,True,,same-laboratory studies; not independent replication,reference,10224,196,200,0.98,0.10658494618504678,True,,0.005625633113937378,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.42666666666666664,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,6863,5,5,1.0,0.05930351158385545,True,Cldn4;Krt8,0.3673631550828112,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT1_early_panel,paper_marker_panel,3,3,1.0,0.37777777777777777,True,,same-laboratory studies; not independent replication,reference,6863,3,3,1.0,0.2591189470105396,True,,0.11865883076723815,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT1_late_panel,paper_marker_panel,4,4,1.0,0.10833333333333334,True,,same-laboratory studies; not independent replication,reference,6863,4,4,1.0,0.15281218126183882,True,,-0.04447884792850548,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.41111111111111115,True,Cldn4,same-laboratory studies; not independent replication,reference,6863,3,3,1.0,0.024770508523969104,True,Cldn4,0.38634060258714203,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.044444444444444446,True,,same-laboratory studies; not independent replication,reference,6863,3,3,1.0,0.007285443683520326,True,,0.03715900076092412,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT2_common_panel,repository_marker_panel,8,8,1.0,0.6083333333333334,True,,same-laboratory studies; not independent replication,reference,6863,8,8,1.0,0.7616384962844238,True,,-0.15330516295109042,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.15,True,,same-laboratory studies; not independent replication,reference,6863,6,6,1.0,0.03470299674583515,True,,0.11529700325416484,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.3008503401360544,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,6863,392,400,0.98,0.26608596228816456,True,Cldn4;Krt8,0.03476437784788983,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2972649572649573,True,,same-laboratory studies; not independent replication,reference,6863,390,398,0.9798994974874372,0.2667462461284405,True,,0.030518711136516774,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.2922134733158355,True,Sftpc,same-laboratory studies; not independent replication,reference,6863,381,400,0.9525,0.37524930176384225,True,Sftpc,-0.08303582844800672,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.29085312225153914,True,,same-laboratory studies; not independent replication,reference,6863,379,398,0.9522613065326633,0.3742499741453252,True,,-0.08339685189378604,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.28276762402088773,True,Krt8,same-laboratory studies; not independent replication,reference,6863,383,400,0.9575,0.2714487837113458,True,Krt8,0.011318840309541944,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.28089005235602094,True,,same-laboratory studies; not independent replication,reference,6863,382,399,0.9573934837092731,0.27145029153217837,True,,0.009439760823842569,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.1155668358714044,True,,same-laboratory studies; not independent replication,reference,6863,197,199,0.9899497487437185,0.10286898553340171,True,,0.012697850338002692,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06649659863945578,True,,same-laboratory studies; not independent replication,reference,6863,196,197,0.9949238578680203,0.06457356365247542,True,,0.0019230349869803626,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,17,two_marker,30,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.1151360544217687,True,,same-laboratory studies; not independent replication,reference,6863,196,200,0.98,0.0999741292407973,True,,0.015161925180971411,True
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,26,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4153846153846154,False,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,6868,5,5,1.0,0.059813628421665696,True,Cldn4;Krt8,0.3555709869629497,False
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,26,AT1_early_panel,paper_marker_panel,3,3,1.0,0.3205128205128205,False,,same-laboratory studies; not independent replication,reference,6868,3,3,1.0,0.2593185789167152,True,,0.06119424159610526,False
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,26,AT1_late_panel,paper_marker_panel,4,4,1.0,0.125,False,,same-laboratory studies; not independent replication,reference,6868,4,4,1.0,0.14913366336633666,True,,-0.024133663366336655,False
