setting	scale	evaluation	comparison	fold	relative_error_reduction
primary	inherited_log2	within_group	proliferation_over_remaining	plate1-rep1	0.138331068196
primary	inherited_log2	within_group	proliferation_over_remaining	plate1-rep2	0.181920266294
primary	inherited_log2	within_group	proliferation_over_remaining	plate1-rep3	-0.00126279812957
primary	inherited_log2	within_group	proliferation_over_remaining	plate1-rep4	0.0408008800876
primary	inherited_log2	within_group	proliferation_over_remaining	plate2-rep2	-0.186507973452
primary	inherited_log2	within_group	proliferation_over_remaining	plate2-rep3	-0.0254472710729
primary	inherited_log2	within_group	proliferation_over_remaining	plate2-rep4	-0.0171026969696
primary	inherited_log2	within_group	proliferation_over_remaining	plate3-rep1	0.105050787305
primary	inherited_log2	within_group	proliferation_over_remaining	plate3-rep2	0.214317310235
primary	inherited_log2	within_group	proliferation_over_remaining	plate3-rep3	-0.0188286370243
primary	inherited_log2	within_group	proliferation_over_remaining	plate3-rep4	0.056607708325
primary	inherited_log2	within_group	proliferation_over_remaining	plate4-rep1	0.0969781870991
primary	inherited_log2	within_group	proliferation_over_remaining	plate4-rep2	0.0392649938748
primary	inherited_log2	within_group	proliferation_over_remaining	plate4-rep3	-0.356583709031
primary	inherited_log2	within_group	proliferation_over_remaining	plate4-rep4	0.0761307727078
primary	inherited_log2	within_group	full_growth_over_baseline	plate1-rep1	0.139998435802
primary	inherited_log2	within_group	full_growth_over_baseline	plate1-rep2	0.231914472561
primary	inherited_log2	within_group	full_growth_over_baseline	plate1-rep3	-0.000189895967269
primary	inherited_log2	within_group	full_growth_over_baseline	plate1-rep4	0.0553550150326
primary	inherited_log2	within_group	full_growth_over_baseline	plate2-rep2	-0.148990051922
primary	inherited_log2	within_group	full_growth_over_baseline	plate2-rep3	-0.0695905269587
primary	inherited_log2	within_group	full_growth_over_baseline	plate2-rep4	0.0426262674379
primary	inherited_log2	within_group	full_growth_over_baseline	plate3-rep1	0.106822368558
primary	inherited_log2	within_group	full_growth_over_baseline	plate3-rep2	0.247848582879
primary	inherited_log2	within_group	full_growth_over_baseline	plate3-rep3	-0.0210073225784
primary	inherited_log2	within_group	full_growth_over_baseline	plate3-rep4	0.0955740472991
primary	inherited_log2	within_group	full_growth_over_baseline	plate4-rep1	0.00826904575532
primary	inherited_log2	within_group	full_growth_over_baseline	plate4-rep2	-0.0865018221897
primary	inherited_log2	within_group	full_growth_over_baseline	plate4-rep3	-0.441354720858
primary	inherited_log2	within_group	full_growth_over_baseline	plate4-rep4	-0.00792803675664
primary	inherited_log2	plate_shift	proliferation_over_baseline	plate1	-0.0423867964257
primary	inherited_log2	plate_shift	proliferation_over_baseline	plate2	0.00558015698998
primary	inherited_log2	plate_shift	proliferation_over_baseline	plate3	0.0963259313302
primary	inherited_log2	plate_shift	proliferation_over_baseline	plate4	0.242478465391
primary	inherited_log2	plate_shift	remaining_over_proliferation	plate1	0.425826248892
primary	inherited_log2	plate_shift	remaining_over_proliferation	plate2	0.554745123501
primary	inherited_log2	plate_shift	remaining_over_proliferation	plate3	0.299212980905
primary	inherited_log2	plate_shift	remaining_over_proliferation	plate4	0.254935809302
primary	inherited_log2	plate_shift	proliferation_over_remaining	plate1	0.431254077473
primary	inherited_log2	plate_shift	proliferation_over_remaining	plate2	0.507656588659
primary	inherited_log2	plate_shift	proliferation_over_remaining	plate3	0.539936195156
primary	inherited_log2	plate_shift	proliferation_over_remaining	plate4	0.524363717586
primary	inherited_log2	plate_shift	full_growth_over_baseline	plate1	0.401488862991
primary	inherited_log2	plate_shift	full_growth_over_baseline	plate2	0.557229715612
primary	inherited_log2	plate_shift	full_growth_over_baseline	plate3	0.366716943184
primary	inherited_log2	plate_shift	full_growth_over_baseline	plate4	0.43559783088
primary	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep1	0.0303694020219
primary	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep2	0.0921029847549
primary	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep3	0.0125821494011
primary	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep4	0.0415337032501
primary	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep2	-0.156996120125
primary	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep3	-0.0749223634517
primary	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep4	0.0362010384251
primary	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep1	0.0303924892435
primary	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep2	0.0812627976624
primary	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep3	0.0549201945246
primary	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep4	0.0464187720708
primary	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep1	-0.115913396926
primary	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep2	-0.00508600911953
primary	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep3	-0.206325468139
primary	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep4	-0.0652452736815
primary	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep1	0.110858925922
primary	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep2	0.155302337339
primary	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep3	-0.00610038886588
primary	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep4	0.020868201636
primary	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep2	0.0154972640636
primary	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep3	0.00608899302301
primary	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep4	0.00805516947845
primary	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep1	0.0767350643712
primary	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep2	0.178662870504
primary	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep3	-0.0882796762662
primary	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep4	0.0509376064626
primary	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep1	0.101286236483
primary	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep2	-0.0833907299583
primary	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep3	-0.164309268087
primary	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep4	0.0469006392518
primary	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep1	0.134849514978
primary	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep2	0.181476369436
primary	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep3	0.00455020757587
primary	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep4	0.0462737183207
primary	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep2	-0.179599374772
primary	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep3	-0.0248994839501
primary	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep4	-0.0150227559597
primary	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep1	0.102007712983
primary	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep2	0.212841073901
primary	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep3	-0.0277454569681
primary	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep4	0.0540616292217
primary	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep1	0.0838756639796
primary	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep2	0.0373414198313
primary	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep3	-0.326052052723
primary	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep4	0.0689698364549
primary	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep1	0.137861608655
primary	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep2	0.233101513286
primary	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep3	0.00655851653938
primary	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep4	0.0615351711921
primary	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep2	-0.139065845731
primary	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep3	-0.0683771686804
primary	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep4	0.0439646024038
primary	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep1	0.104795383996
primary	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep2	0.245407023471
primary	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep3	-0.0285111447485
primary	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep4	0.0949919173892
primary	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep1	-0.00288672871088
primary	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep2	-0.0889008650909
primary	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep3	-0.404535922884
primary	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep4	-0.0152845893859
primary	deposited_numeric	plate_shift	proliferation_over_baseline	plate1	-0.0451167215143
primary	deposited_numeric	plate_shift	proliferation_over_baseline	plate2	0.00276873876701
primary	deposited_numeric	plate_shift	proliferation_over_baseline	plate3	0.0884205258307
primary	deposited_numeric	plate_shift	proliferation_over_baseline	plate4	0.239923863384
primary	deposited_numeric	plate_shift	remaining_over_proliferation	plate1	0.430934079061
primary	deposited_numeric	plate_shift	remaining_over_proliferation	plate2	0.559230369244
primary	deposited_numeric	plate_shift	remaining_over_proliferation	plate3	0.294099038699
primary	deposited_numeric	plate_shift	remaining_over_proliferation	plate4	0.256792645267
primary	deposited_numeric	plate_shift	proliferation_over_remaining	plate1	0.432244729189
primary	deposited_numeric	plate_shift	proliferation_over_remaining	plate2	0.508353369932
primary	deposited_numeric	plate_shift	proliferation_over_remaining	plate3	0.55331530046
primary	deposited_numeric	plate_shift	proliferation_over_remaining	plate4	0.521642254018
primary	deposited_numeric	plate_shift	full_growth_over_baseline	plate1	0.405259690383
primary	deposited_numeric	plate_shift	full_growth_over_baseline	plate2	0.560450745208
primary	deposited_numeric	plate_shift	full_growth_over_baseline	plate3	0.356515172882
primary	deposited_numeric	plate_shift	full_growth_over_baseline	plate4	0.43510582511
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate1-rep1	0.0259747402627
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate1-rep2	0.100846613247
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate1-rep3	0.013157733073
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate1-rep4	0.040123137615
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate2-rep2	-0.149536818844
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate2-rep3	-0.0890559981642
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate2-rep4	0.0473956147585
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate3-rep1	0.0263710571573
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate3-rep2	0.0762424808935
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate3-rep3	0.0609082659078
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate3-rep4	0.0484200850886
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate4-rep1	-0.104587514418
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate4-rep2	-0.0126146350023
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate4-rep3	-0.214169295069
drop_TIGIT	inherited_log2	within_group	proliferation_over_baseline	plate4-rep4	-0.0696484035756
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate1-rep1	0.107409472166
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate1-rep2	0.142478757617
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate1-rep3	-0.0238865647996
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate1-rep4	0.0194460844841
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate2-rep2	-0.00975251905375
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate2-rep3	0.069225230662
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate2-rep4	0.0257042489687
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate3-rep1	0.0725267191218
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate3-rep2	0.18160069895
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate3-rep3	-0.0866445393576
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate3-rep4	0.0388111846289
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate4-rep1	0.134700255843
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate4-rep2	-0.0948223400763
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate4-rep3	-0.176585217984
drop_TIGIT	inherited_log2	within_group	remaining_over_proliferation	plate4-rep4	0.0420242781839
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate1-rep1	0.12709814738
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate1-rep2	0.171486091487
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate1-rep3	-0.0150301946371
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate1-rep4	0.0389708248645
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate2-rep2	-0.221993588183
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate2-rep3	0.00367127720548
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate2-rep4	-0.0277937561658
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate3-rep1	0.0946138547895
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate3-rep2	0.206180267944
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate3-rep3	-0.015785286634
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate3-rep4	0.0428295783455
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate4-rep1	0.0971450258266
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate4-rep2	0.0539044229869
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate4-rep3	-0.35982680289
drop_TIGIT	inherited_log2	within_group	proliferation_over_remaining	plate4-rep4	0.0724387354163
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate1-rep1	0.130594279287
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate1-rep2	0.228956870699
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate1-rep3	-0.0104145386829
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate1-rep4	0.0587889841752
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate2-rep2	-0.160747698573
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate2-rep3	-0.0136658454874
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate2-rep4	0.0718815950454
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate3-rep1	0.0969851700237
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate3-rep2	0.243997492024
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate3-rep3	-0.0204589048072
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate3-rep4	0.0853520288554
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate4-rep1	0.0442007063757
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate4-rep2	-0.108633124289
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate4-rep3	-0.428573644708
drop_TIGIT	inherited_log2	within_group	full_growth_over_baseline	plate4-rep4	-0.0246972015047
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_baseline	plate1	-0.0482150884114
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_baseline	plate2	-0.0125965372609
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_baseline	plate3	0.0895218055645
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_baseline	plate4	0.24654182264
drop_TIGIT	inherited_log2	plate_shift	remaining_over_proliferation	plate1	0.411044945613
drop_TIGIT	inherited_log2	plate_shift	remaining_over_proliferation	plate2	0.566482520518
drop_TIGIT	inherited_log2	plate_shift	remaining_over_proliferation	plate3	0.29178856863
drop_TIGIT	inherited_log2	plate_shift	remaining_over_proliferation	plate4	0.243764373402
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_remaining	plate1	0.418653393663
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_remaining	plate2	0.500402443849
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_remaining	plate3	0.517335012616
drop_TIGIT	inherited_log2	plate_shift	proliferation_over_remaining	plate4	0.51764211504
drop_TIGIT	inherited_log2	plate_shift	full_growth_over_baseline	plate1	0.382648425596
drop_TIGIT	inherited_log2	plate_shift	full_growth_over_baseline	plate2	0.561021701435
drop_TIGIT	inherited_log2	plate_shift	full_growth_over_baseline	plate3	0.355188934687
drop_TIGIT	inherited_log2	plate_shift	full_growth_over_baseline	plate4	0.430208083129
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep1	0.0235815406747
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep2	0.0957153305325
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep3	0.015219359751
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep4	0.0402577336966
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep2	-0.143724115061
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep3	-0.084820897789
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep4	0.0487645381351
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep1	0.0258792537272
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep2	0.0737623880164
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep3	0.0591572608814
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep4	0.0459237474
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep1	-0.105119096454
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep2	-0.0142421559669
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep3	-0.197551471754
drop_TIGIT	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep4	-0.0670134974638
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep1	0.107816061472
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep2	0.148868355809
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep3	-0.019282672773
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep4	0.0248652798285
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep2	-0.00630023759558
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep3	0.0665312218192
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep4	0.0278509757406
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep1	0.0706289712844
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep2	0.18052627423
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep3	-0.0908456881627
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep4	0.0415053320908
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep1	0.124132975863
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep2	-0.0970440031655
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep3	-0.161154623478
drop_TIGIT	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep4	0.0320483240603
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep1	0.123949387614
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep2	0.171331693126
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep3	-0.00907732035957
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep4	0.0439662364715
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep2	-0.215067282904
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep3	0.00368148698012
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep4	-0.0241735345542
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep1	0.090693722266
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep2	0.204741114098
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep3	-0.0245140894687
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep4	0.0402860709458
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep1	0.082166353267
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep2	0.0508888148093
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep3	-0.327320949402
drop_TIGIT	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep4	0.0644475634483
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep1	0.128855133308
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep2	0.23033470246
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep3	-0.00376984308813
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep4	0.0641219937114
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep2	-0.150929848729
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep3	-0.012646438004
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep4	0.0752573739071
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep1	0.0946803999433
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep2	0.240972613159
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep3	-0.0263142452068
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep4	0.0855229991041
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep1	0.0320626256713
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep2	-0.112668274961
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep3	-0.39054242828
drop_TIGIT	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep4	-0.0328175031203
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_baseline	plate1	-0.0506081237011
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_baseline	plate2	-0.0154115540602
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_baseline	plate3	0.0814741622607
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_baseline	plate4	0.243949148748
drop_TIGIT	deposited_numeric	plate_shift	remaining_over_proliferation	plate1	0.417204181527
drop_TIGIT	deposited_numeric	plate_shift	remaining_over_proliferation	plate2	0.569649305949
drop_TIGIT	deposited_numeric	plate_shift	remaining_over_proliferation	plate3	0.288157854097
drop_TIGIT	deposited_numeric	plate_shift	remaining_over_proliferation	plate4	0.245860741869
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_remaining	plate1	0.420332540988
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_remaining	plate2	0.4997813941
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_remaining	plate3	0.531865131442
drop_TIGIT	deposited_numeric	plate_shift	proliferation_over_remaining	plate4	0.515037910659
drop_TIGIT	deposited_numeric	plate_shift	full_growth_over_baseline	plate1	0.387709978653
drop_TIGIT	deposited_numeric	plate_shift	full_growth_over_baseline	plate2	0.563016932963
drop_TIGIT	deposited_numeric	plate_shift	full_growth_over_baseline	plate3	0.346154596597
drop_TIGIT	deposited_numeric	plate_shift	full_growth_over_baseline	plate4	0.429832371927
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate1-rep1	0.0524456513146
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate1-rep2	0.104909553128
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate1-rep3	0.0166144728853
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate1-rep4	0.0346632038066
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate2-rep2	-0.158088378886
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate2-rep3	-0.129524383781
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate2-rep4	-0.0119931634712
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate3-rep1	0.0223952834914
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate3-rep2	0.0834689925231
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate3-rep3	0.114145223655
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate3-rep4	0.059578633916
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate4-rep1	-0.123833832435
