setting	scale	plate	model	wells	sse	rmse	r2_against_heldout_mean
primary	inherited_log2	plate2	baseline+proliferation	174	0.340466950536	0.0442346765816	-3.76855922609
primary	inherited_log2	plate2	baseline+remaining_growth	174	0.307904130579	0.0420661855752	-3.31248636707
primary	inherited_log2	plate2	baseline+proliferation+remaining_growth	174	0.151594570014	0.029516659042	-1.1232242493
primary	inherited_log2	plate3	baseline	239	0.675975104026	0.0531822123984	-0.278467103557
primary	inherited_log2	plate3	baseline+proliferation	239	0.610861172583	0.0505559540291	-0.155317569148
primary	inherited_log2	plate3	baseline+remaining_growth	239	0.930487414366	0.062395935603	-0.759824500128
primary	inherited_log2	plate3	baseline+proliferation+remaining_growth	239	0.428083580216	0.0423219173372	0.190368444608
primary	inherited_log2	plate4	baseline	240	0.686732353225	0.0534919134552	-11.7074630519
primary	inherited_log2	plate4	baseline+proliferation	240	0.520214546091	0.0465570683002	-8.62617691228
primary	inherited_log2	plate4	baseline+remaining_growth	240	0.814894161987	0.0582699952086	-14.0790004374
primary	inherited_log2	plate4	baseline+proliferation+remaining_growth	240	0.38759322978	0.040186711619	-6.17211971079
