field	value	sample_count
!Sample_characteristics_ch1	genotype: Bdnf CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Becn1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Bmp10 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Bmp2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Cacna2d3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Capn1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Ccbe1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ccn2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Cd36 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Cd81 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Cdkn2b CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Celsr1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Celsr2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Celsr3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Chat CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Chrm3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Chrna3 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Chrna5 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Cish CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Creld1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Crispld2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Csf1r CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Csf3r CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Csnk1a1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Csnk2a1 CRISPR/Cas9 knockout	8
!Sample_characteristics_ch1	genotype: Ctcf CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ctnnb1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ctsh CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Cxadr CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Dmbt1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Dram1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Dsp CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Dvl1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Dvl2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Dvl3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Egfl6 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Egfr CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Eif2ak3 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Eif2b1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Elf5 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Elovl1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Epcam CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Erbb2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Erbb3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Erbb4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ern1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Etv5 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Fam13a CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Fbxw11 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Fgf7 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Fgfr2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Fzd1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Fzd4 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Fzd5 CRISPR/Cas9 knockout	2
!Sample_characteristics_ch1	genotype: Fzd6 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Fzd7 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Gdf2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Glis3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Gnai1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Gnai2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Gpr37 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Gsk3b CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Hbegf CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Hhip CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Hif1a CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Hlf CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Hopx CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Huwe1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Il1a CRISPR/Cas9 knockout	8
!Sample_characteristics_ch1	genotype: Il4ra CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Inhba CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Irf4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Irx1 CRISPR/Cas9 knockout	2
!Sample_characteristics_ch1	genotype: Itgb6 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ivd CRISPR/Cas9 knockout	2
!Sample_characteristics_ch1	genotype: Jup CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Kcnj15 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Keap1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Kidins220 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Lamp2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Lgr4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Lgr5 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Lgr6 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Liph CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Lnx2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Lrg1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Lrp2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Lrp5 CRISPR/Cas9 knockout	2
!Sample_characteristics_ch1	genotype: Lrp6 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Manf CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map2k1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map2k2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map2k3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map2k4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map3k1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map3k2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map3k5 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map3k7 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map4k3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Map4k4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Mapk1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Mapk3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Marcks CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Mecom CRISPR/Cas9 knockout	7
!Sample_characteristics_ch1	genotype: Megf6 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Met CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Mlc1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Mtus1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Myo5c CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Myrf CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Nav2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Nfe2l2 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Nkd1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Nkd2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Nkx21 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Npnt CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Npr1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Nr1d1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Nr1d2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ociad2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Patj CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Pde7b CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Pdlim2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Pi4k2b CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Pid1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Pink1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Pla2g15 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Porcn CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Prkn CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Rad21 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Rbms3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Rbpjl CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Rnf43 CRISPR/Cas9 knockout	12
!Sample_characteristics_ch1	genotype: Ror1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Ros1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Ryk CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Sdc1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Sema3e CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Serpina1a CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Sftpd CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Sh2b1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Sh3rf1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Siah1a CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Slc22a3 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Slc34a2 CRISPR/Cas9 knockout	8
!Sample_characteristics_ch1	genotype: Slc39a8 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Slc45a4 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Slc6a14 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Snx30 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Soat1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Socs2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Sox4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Spns1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Spry1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Spry2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Spry4 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Syt11 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Syt4 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Tdtomato CRISPR/Cas9 knockout	30
!Sample_characteristics_ch1	genotype: Tead1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Terf1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tert CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Tfcp2l1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tfeb CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tgif1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tigit CRISPR/Cas9 knockout	87
!Sample_characteristics_ch1	genotype: Tinag CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tln1 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Tlr2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tns1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tollip CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Trib3 CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Trp53 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Trp63 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Tspan11 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ttf1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Twist1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Ulk1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Usp30 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Usp6nl CRISPR/Cas9 knockout	8
!Sample_characteristics_ch1	genotype: Vangl1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Vangl2 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Wif1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Wnt7b CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Wnt9b CRISPR/Cas9 knockout	3
!Sample_characteristics_ch1	genotype: Xbp1 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Zfp365 CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Zfp385b CRISPR/Cas9 knockout	4
!Sample_characteristics_ch1	genotype: Znrf3 CRISPR/Cas9 knockout	4
!Sample_data_processing	Assembly: GRCm38.p5, GRCh38.p10	886
!Sample_data_processing	Supplementary files format and content: gene_counts.xlsx provides gene-level counts of reads unambiguously mapping to exons. There is one table for the reads assigned by Xenome to the Mus Musculus genome (originating from the mouse alveolar type 2 cells of the organoids in the well), and one table for the reads assigned to the Homo Sapiens genome (originating from the human fibroblasts of the organoids in the well).	886
!Sample_data_processing	Supplementary files format and content: imaging_outputs.csv contains the main outputs of the image analysis performed on each well at day 7 and day 14, in terms of number or organoids in the well, average area of the organoids in the well, and estimate of the percentage of the well covered by organoids.	886
!Sample_data_processing	Supplementary files format and content: plate_design.csv contains the sgRNA sequences used to target each gene and their location on the four plates.	886
!Sample_data_processing	Supplementary files format and content: xenome_stats.csv contains the summary of the sequencing read assignment made by Xenome (Conway et al., 2012).	886
!Sample_data_processing	The sequencing reads in each fastq file were first split between mouse and human using Xenome (Conway et al., 2012). Only reads unambiguously assigned to either mouse or human were kept and respectively aligned to their reference genome (mouse: GRCm38.p5, human: GRCh38.p10) through the HTSeqGenie v4.35 Bioconductor package (Pau and Reeder, 2012, https://doi.org/10.18129/B9.bioc.HTSeqGenie). First, reads with low nucleotide qualities (70% of bases with quality <23) or matches to rRNA and adapter sequences were removed. Then, reads were aligned using GSNAP (Wu et al., 2010; Wu et al., 2016) version ‘2013-10-10-v2’, allowing maximum of two mismatches per 75 base sequence (parameters: ‘-M 2 -n 10 -B 2 -i 1 -N 1 -w 200000 -E 1 --pairmax-rna=200000 --clip-overlap'). Transcript annotation was based on the Gencode genes database (human: GENCODE 27, mouse: GENCODE M15). Reads unambiguously mapping to exons were counted to get gene-level read counts.	886
!Sample_description	Library name: 1-1_B02_MET	1
!Sample_description	Library name: 1-1_B03_GLIS3	1
!Sample_description	Library name: 1-1_B04_TIGIT	1
!Sample_description	Library name: 1-1_B05_TDTOMATO	1
!Sample_description	Library name: 1-1_B06_TRP53	1
!Sample_description	Library name: 1-1_B07_ACP6	1
!Sample_description	Library name: 1-1_B08_PINK1	1
!Sample_description	Library name: 1-1_B09_EIF2AK3	1
!Sample_description	Library name: 1-1_B10_CCBE1	1
!Sample_description	Library name: 1-1_B11_GDF2	1
!Sample_description	Library name: 1-1_C02_TEAD1	1
!Sample_description	Library name: 1-1_C03_MECOM	1
!Sample_description	Library name: 1-1_C04_HUWE1	1
!Sample_description	Library name: 1-1_C05_SFTPD	1
!Sample_description	Library name: 1-1_C06_TRP63	1
!Sample_description	Library name: 1-1_C07_IL1A	1
!Sample_description	Library name: 1-1_C08_PRKN	1
!Sample_description	Library name: 1-1_C09_TIGIT	1
!Sample_description	Library name: 1-1_C10_BMP10	1
!Sample_description	Library name: 1-1_C11_PLA2G15	1
!Sample_description	Library name: 1-1_D02_ROR1	1
!Sample_description	Library name: 1-1_D03_NPNT	1
!Sample_description	Library name: 1-1_D04_RNF43	1
!Sample_description	Library name: 1-1_D05_TNS1	1
!Sample_description	Library name: 1-1_D06_TTF1	1
!Sample_description	Library name: 1-1_D07_TIGIT	1
!Sample_description	Library name: 1-1_D08_KEAP1	1
!Sample_description	Library name: 1-1_D09_TFEB	1
!Sample_description	Library name: 1-1_D10_FGF7	1
!Sample_description	Library name: 1-1_D11_IL1A	1
!Sample_description	Library name: 1-1_E02_TFCP2L1	1
!Sample_description	Library name: 1-1_E03_TIGIT	1
!Sample_description	Library name: 1-1_E04_SOX4	1
!Sample_description	Library name: 1-1_E05_TWIST1	1
!Sample_description	Library name: 1-1_E06_NKX21	1
!Sample_description	Library name: 1-1_E07_USP30	1
!Sample_description	Library name: 1-1_E08_NFE2L2	1
!Sample_description	Library name: 1-1_E09_ULK1	1
!Sample_description	Library name: 1-1_E10_INHBA	1
!Sample_description	Library name: 1-1_E11_MANF	1
!Sample_description	Library name: 1-1_F02_TIGIT	1
!Sample_description	Library name: 1-1_F03_RBMS3	1
!Sample_description	Library name: 1-1_F04_AGER	1
!Sample_description	Library name: 1-1_F05_TERF1	1
!Sample_description	Library name: 1-1_F06_FAM13A	1
!Sample_description	Library name: 1-1_F07_NR1D1	1
!Sample_description	Library name: 1-1_F08_EIF2B1	1
!Sample_description	Library name: 1-1_F09_ATG16L1	1
!Sample_description	Library name: 1-1_F10_XBP1	1
!Sample_description	Library name: 1-1_F11_RAD21	1
!Sample_description	Library name: 1-1_G02_PID1	1
!Sample_description	Library name: 1-1_G03_SERPINA1A	1
!Sample_description	Library name: 1-1_G04_CACNA2D3	1
!Sample_description	Library name: 1-1_G05_CHRM3	1
!Sample_description	Library name: 1-1_G06_HHIP	1
!Sample_description	Library name: 1-1_G07_NR1D2	1
!Sample_description	Library name: 1-1_G08_ERN1	1
!Sample_description	Library name: 1-1_G09_BECLN1	1
!Sample_description	Library name: 1-1_G10_TDTOMATO	1
!Sample_description	Library name: 1-1_G11_TIGIT	1
!Sample_description	Library name: 1-2_B02_MET	1
!Sample_description	Library name: 1-2_B03_GLIS3	1
!Sample_description	Library name: 1-2_B05_TDTOMATO	1
!Sample_description	Library name: 1-2_B06_TRP53	1
!Sample_description	Library name: 1-2_B07_ACP6	1
!Sample_description	Library name: 1-2_B08_PINK1	1
!Sample_description	Library name: 1-2_B09_EIF2AK3	1
!Sample_description	Library name: 1-2_B10_CCBE1	1
!Sample_description	Library name: 1-2_B11_GDF2	1
!Sample_description	Library name: 1-2_C02_TEAD1	1
!Sample_description	Library name: 1-2_C03_MECOM	1
!Sample_description	Library name: 1-2_C04_HUWE1	1
!Sample_description	Library name: 1-2_C05_SFTPD	1
!Sample_description	Library name: 1-2_C06_TRP63	1
!Sample_description	Library name: 1-2_C07_IL1A	1
!Sample_description	Library name: 1-2_C08_PRKN	1
!Sample_description	Library name: 1-2_C09_TIGIT	1
!Sample_description	Library name: 1-2_C10_BMP10	1
!Sample_description	Library name: 1-2_C11_PLA2G15	1
!Sample_description	Library name: 1-2_D02_ROR1	1
!Sample_description	Library name: 1-2_D03_NPNT	1
!Sample_description	Library name: 1-2_D04_RNF43	1
!Sample_description	Library name: 1-2_D05_TNS1	1
!Sample_description	Library name: 1-2_D06_TTF1	1
!Sample_description	Library name: 1-2_D07_TIGIT	1
!Sample_description	Library name: 1-2_D08_KEAP1	1
!Sample_description	Library name: 1-2_D09_TFEB	1
!Sample_description	Library name: 1-2_D10_FGF7	1
!Sample_description	Library name: 1-2_D11_IL1A	1
!Sample_description	Library name: 1-2_E02_TFCP2L1	1
!Sample_description	Library name: 1-2_E03_TIGIT	1
!Sample_description	Library name: 1-2_E04_SOX4	1
!Sample_description	Library name: 1-2_E05_TWIST1	1
!Sample_description	Library name: 1-2_E06_NKX21	1
!Sample_description	Library name: 1-2_E07_USP30	1
!Sample_description	Library name: 1-2_E08_NFE2L2	1
!Sample_description	Library name: 1-2_E09_ULK1	1
!Sample_description	Library name: 1-2_E10_INHBA	1
!Sample_description	Library name: 1-2_E11_MANF	1
!Sample_description	Library name: 1-2_F02_TIGIT	1
!Sample_description	Library name: 1-2_F03_RBMS3	1
!Sample_description	Library name: 1-2_F04_AGER	1
!Sample_description	Library name: 1-2_F05_TERF1	1
!Sample_description	Library name: 1-2_F06_FAM13A	1
!Sample_description	Library name: 1-2_F07_NR1D1	1
!Sample_description	Library name: 1-2_F08_EIF2B1	1
!Sample_description	Library name: 1-2_F09_ATG16L1	1
!Sample_description	Library name: 1-2_F10_XBP1	1
!Sample_description	Library name: 1-2_F11_RAD21	1
!Sample_description	Library name: 1-2_G02_PID1	1
!Sample_description	Library name: 1-2_G03_SERPINA1A	1
!Sample_description	Library name: 1-2_G04_CACNA2D3	1
!Sample_description	Library name: 1-2_G05_CHRM3	1
!Sample_description	Library name: 1-2_G06_HHIP	1
!Sample_description	Library name: 1-2_G07_NR1D2	1
!Sample_description	Library name: 1-2_G08_ERN1	1
!Sample_description	Library name: 1-2_G09_BECLN1	1
!Sample_description	Library name: 1-2_G10_TDTOMATO	1
!Sample_description	Library name: 1-3_B02_MET	1
!Sample_description	Library name: 1-3_B03_GLIS3	1
!Sample_description	Library name: 1-3_B04_TIGIT	1
!Sample_description	Library name: 1-3_B05_TDTOMATO	1
!Sample_description	Library name: 1-3_B06_TRP53	1
!Sample_description	Library name: 1-3_B07_ACP6	1
!Sample_description	Library name: 1-3_B08_PINK1	1
!Sample_description	Library name: 1-3_B09_EIF2AK3	1
!Sample_description	Library name: 1-3_B10_CCBE1	1
!Sample_description	Library name: 1-3_B11_GDF2	1
!Sample_description	Library name: 1-3_C02_TEAD1	1
!Sample_description	Library name: 1-3_C03_MECOM	1
!Sample_description	Library name: 1-3_C04_HUWE1	1
!Sample_description	Library name: 1-3_C05_SFTPD	1
!Sample_description	Library name: 1-3_C06_TRP63	1
!Sample_description	Library name: 1-3_C07_IL1A	1
!Sample_description	Library name: 1-3_C08_PRKN	1
!Sample_description	Library name: 1-3_C09_TIGIT	1
!Sample_description	Library name: 1-3_C10_BMP10	1
!Sample_description	Library name: 1-3_D03_NPNT	1
!Sample_description	Library name: 1-3_D04_RNF43	1
!Sample_description	Library name: 1-3_D05_TNS1	1
!Sample_description	Library name: 1-3_D06_TTF1	1
!Sample_description	Library name: 1-3_D07_TIGIT	1
!Sample_description	Library name: 1-3_D09_TFEB	1
!Sample_description	Library name: 1-3_D10_FGF7	1
!Sample_description	Library name: 1-3_D11_IL1A	1
!Sample_description	Library name: 1-3_E02_TFCP2L1	1
!Sample_description	Library name: 1-3_E03_TIGIT	1
!Sample_description	Library name: 1-3_E04_SOX4	1
!Sample_description	Library name: 1-3_E05_TWIST1	1
!Sample_description	Library name: 1-3_E06_NKX21	1
!Sample_description	Library name: 1-3_E07_USP30	1
!Sample_description	Library name: 1-3_E09_ULK1	1
!Sample_description	Library name: 1-3_E10_INHBA	1
!Sample_description	Library name: 1-3_E11_MANF	1
!Sample_description	Library name: 1-3_F02_TIGIT	1
!Sample_description	Library name: 1-3_F03_RBMS3	1
!Sample_description	Library name: 1-3_F04_AGER	1
!Sample_description	Library name: 1-3_F05_TERF1	1
!Sample_description	Library name: 1-3_F06_FAM13A	1
!Sample_description	Library name: 1-3_F07_NR1D1	1
!Sample_description	Library name: 1-3_F08_EIF2B1	1
!Sample_description	Library name: 1-3_F09_ATG16L1	1
!Sample_description	Library name: 1-3_F10_XBP1	1
!Sample_description	Library name: 1-3_F11_RAD21	1
!Sample_description	Library name: 1-3_G02_PID1	1
!Sample_description	Library name: 1-3_G03_SERPINA1A	1
!Sample_description	Library name: 1-3_G04_CACNA2D3	1
!Sample_description	Library name: 1-3_G05_CHRM3	1
!Sample_description	Library name: 1-3_G06_HHIP	1
