setting	scale	evaluation	fold	model	wells	sse	mse	heldout_targets	unseen_targets	wells_with_unseen_target
drop_both	deposited_numeric	plate_shift	plate4	baseline	208	26.8708023452	0.129186549736	49	48	200
drop_both	deposited_numeric	plate_shift	plate1	baseline+proliferation	202	28.419832924	0.140692242198	51	49	194
drop_both	deposited_numeric	plate_shift	plate2	baseline+proliferation	151	13.0198928328	0.0862244558463	52	51	148
drop_both	deposited_numeric	plate_shift	plate3	baseline+proliferation	208	21.5216120068	0.103469288494	51	51	208
drop_both	deposited_numeric	plate_shift	plate4	baseline+proliferation	208	19.8251552223	0.0953132462613	49	48	200
drop_both	deposited_numeric	plate_shift	plate1	baseline+remaining_growth	202	28.3335832489	0.140265263608	51	49	194
drop_both	deposited_numeric	plate_shift	plate2	baseline+remaining_growth	151	11.140308557	0.0737768778611	52	51	148
drop_both	deposited_numeric	plate_shift	plate3	baseline+remaining_growth	208	35.9251063589	0.172716857495	51	51	208
drop_both	deposited_numeric	plate_shift	plate4	baseline+remaining_growth	208	30.7873454387	0.14801608384	49	48	200
drop_both	deposited_numeric	plate_shift	plate1	baseline+proliferation+remaining_growth	202	16.2179325889	0.0802867949944	51	49	194
drop_both	deposited_numeric	plate_shift	plate2	baseline+proliferation+remaining_growth	151	4.9983814838	0.0331018641311	52	51	148
drop_both	deposited_numeric	plate_shift	plate3	baseline+proliferation+remaining_growth	208	14.8271587523	0.0712844170784	51	51	208
drop_both	deposited_numeric	plate_shift	plate4	baseline+proliferation+remaining_growth	208	13.8841664277	0.0667508001332	49	48	200
