gene	gene_group	mark	window	contrast	CUT1_log2_ratio_difference	CUT2_log2_ratio_difference	both_eligible	direction_concordant	CUT1_raw_mark_log2_ratio	CUT2_raw_mark_log2_ratio	CUT1_H3_log2_ratio	CUT2_H3_log2_ratio
KRT19	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.0286438217461955	-1.4844223910404422	True	True	-0.0670475749430272	-0.2332923812139476	0.9615962468031686	1.2511300098264944
CDKN1A	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	0.8374601501951453	1.272704470262073	True	True	0.8205704048598909	0.4915129897631649	-0.0168897453352547	-0.7811914804989081
CDKN1A	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	0.264579641695299	0.2356271857472398	True	True	0.7366503786444093	0.5365250851312074	0.4720707369491094	0.3008978993839677
CDKN1A	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.1369242692690502	0.6557903655626842	True	False	0.7625029332611284	0.7402454879320008	0.8994272025301786	0.0844551223693168
CDKN1A	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.5690458511669405	-0.1187373439984891	True	True	0.8344684692153337	0.7618509397178717	1.4035143203822742	0.8805882837163608
SFN	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	-0.4101498924618427	0.0380763378310791	True	False	0.5320173168345058	0.6396738120722187	0.9421672092963485	0.6015974742411393
SFN	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	-0.5559576650038052	-0.0796880904497405	True	True	0.3555316097076268	0.6000027763838055	0.9114892747114316	0.679690866833546
SFN	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.3999085948047607	-0.0300811658194803	True	True	0.3905389287956159	0.3571819985775725	0.7904475236003768	0.3872631643970531
SFN	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.8164798450443456	-0.274332928498648	True	True	0.2264894872167839	0.241650363013073	1.0429693322611298	0.515983291511721
ITGB6	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	0.6291526219074539	-0.0111515556090875	True	False	0.8540617780360391	0.8036804390291554	0.224909156128585	0.8148319946382433
ITGB6	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	-0.718156888577461	0.6700778353809742	True	False	0.2822153782678647	0.4870372168276233	1.0003722668453252	-0.1830406185533507
ITGB6	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	0.8697025900058613	0.5786770735693589	True	True	0.8379141827064208	0.7889077808253059	-0.0317884072994407	0.210230707255947
ITGB6	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.784336270393224	0.3276477020812209	True	False	0.3958121063333868	0.727571299761416	1.1801483767266108	0.3999235976801948
KRT17	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	1.2705973134932158	1.4059300942184385	True	True	2.2041462635687004	2.0063323058183657	0.9335489500754844	0.6004022115999271
KRT17	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	0.39734195911941	-0.3788381591340057	True	False	1.849003063119346	1.2639366492019568	1.451661103999936	1.6427748083359623
KRT17	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	1.8092906919730856	1.810492573440332	True	True	2.145733278894663	1.9825541766998047	0.3364425869215774	0.1720616032594736
KRT17	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	1.313553476661439	0.5527605116250109	True	True	2.155081189034788	1.404832175473659	0.8415277123733489	0.8520716638486479
TP63	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2		0.5589883239834919	False			-0.5247806486079432	0.8175878412678612	-1.0837689725914348
TP63	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	-2.203361949605002	-0.9334345590511576	True	True	-2.068706139759068	-1.4381402697777252	0.1346558098459342	-0.504705710726567
TP63	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	0.1012335877845194	1.0983669218428234	True	True	0.753425944683757	0.413819552767434	0.6521923568992375	-0.68454736907539
TP63	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.9813980333724248	-0.4100830334167722	True	True	-1.4048280712309915	-0.5211352160329412	0.5765699621414332	-0.1110521826161694
COL1A1	transition_stress	H3K27ac	promoter	iATCs_minus_iAT2	0.4227318397408266	0.3265589016854586	True	True	0.7950235045121082	0.7593712889950086	0.3722916647712815	0.4328123873095503
COL1A1	transition_stress	H3K27ac	promoter	iATCs_minus_iAT1	-0.422631446159442	0.5019279155668908	True	False	0.7484237494699348	0.89300433556733	1.1710551956293769	0.3910764200004394
COL1A1	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT2	0.7835553906263775	0.8443245064478115	True	True	0.9951216712499028	1.0160817399654185	0.2115662806235254	0.1717572335176072
COL1A1	transition_stress	H3K27ac	broad_promoter	iATCs_minus_iAT1	0.1594482827241994	0.485453825961297	True	True	1.2096460649401286	1.1022884369860908	1.050197782215929	0.6168346110247935
ATF3	regulators	H3K27ac	promoter	iATCs_minus_iAT2	-1.27970605058654	-1.202383799009667	True	True	-1.1645262446434763	-0.5977540089389464	0.1151798059430633	0.6046297900707203
ATF3	regulators	H3K27ac	promoter	iATCs_minus_iAT1	-1.608428299401077	-0.207945940131063	True	True	-0.4132186168035065	0.2706085431349913	1.1952096825975704	0.4785544832660541
ATF3	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT2	-1.8549045648664957	-0.697902896699482	True	True	-0.5432578496257139	-0.5954429918656479	1.3116467152407816	0.1024599048338341
ATF3	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.4230517028193743	0.4385285772675347	True	False	0.1025804861109503	0.3570086036199039	0.5256321889303247	-0.0815199736476308
HNF1B	regulators	H3K27ac	promoter	iATCs_minus_iAT2	-0.6002701399561348	0.2828840205566107	True	False	0.1875958728840545	0.3649082025900591	0.7878660128401888	0.0820241820334477
HNF1B	regulators	H3K27ac	promoter	iATCs_minus_iAT1	-2.1185990208988343	-0.1053433082114372	True	True	-0.0719612696792657	-0.1197798103016343	2.0466377512195684	-0.0144365020901977
HNF1B	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT2	-1.1484046092447988	-0.1439692538572856	True	True	0.2116489906480004	0.4964209470416396	1.3600535998927992	0.6403902008989258
HNF1B	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.2579026113275995	-0.6459469379333616	True	True	0.0015072917380867	0.0194903958974086	1.259409903065687	0.6654373338307705
TP53	regulators	H3K27ac	promoter	iATCs_minus_iAT2	-0.4273579428442065	-0.4600146573546948	True	True	0.0426797151925568	0.1545575001273681	0.4700376580367633	0.614572157482063
TP53	regulators	H3K27ac	promoter	iATCs_minus_iAT1	-0.7765809781979613	-0.8774675212265524	True	True	-0.0041836353154141	0.0213130243659865	0.7723973428825474	0.8987805455925387
TP53	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.2916626258050918	-0.5018580908910142	True	True	0.0596535501617293	0.2074749519541372	0.3513161759668212	0.7093330428451518
TP53	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT1	-1.0295350240080894	-0.7160800655375166	True	True	0.1563570428611905	0.2409772395706833	1.1858920668692798	0.9570573051082002
CEBPA	regulators	H3K27ac	promoter	iATCs_minus_iAT2	-0.0903505969090172	-0.4097637561848204	True	True	-0.2094738857401999	-0.3549631994175029	-0.1191232888311823	0.0548005567673176
CEBPA	regulators	H3K27ac	promoter	iATCs_minus_iAT1	-0.6739524896308333	-0.7200481204812204	True	True	0.0381727915373518	-0.3207374828425102	0.7121252811681851	0.3993106376387104
CEBPA	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT2	-0.4910392708237934	-0.8451269850059537	True	True	-0.3796763313714895	-0.6670523808855361	0.1113629394523036	0.1780746041204176
CEBPA	regulators	H3K27ac	broad_promoter	iATCs_minus_iAT1	-0.4284446721102801	-0.8298458010702618	True	True	0.1928872597638654	-0.2828243872234039	0.6213319318741455	0.547021413846858
SFTPC	AT2	H3K4me3	promoter	iATCs_minus_iAT2	-1.4639869304429691	-2.5531287920839585	True	True	-1.2362721833014498	-1.833549139472018	0.2277147471415196	0.71957965261194
SFTPC	AT2	H3K4me3	promoter	iATCs_minus_iAT1	-1.9492496454675683	-1.6227768654604295	True	True	-1.4586179204548249	-0.8143110510213987	0.4906317250127434	0.8084658144390308
SFTPC	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT2	-0.9861319271234988	-1.6019673249276134	True	True	-0.8239292756369603	-1.343549582511952	0.1622026514865385	0.2584177424156615
SFTPC	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT1	-0.956953993650724	-0.5869193348826593	True	True	-0.9431126553373768	-0.3842341522784138	0.0138413383133471	0.2026851826042456
ABCA3	AT2	H3K4me3	promoter	iATCs_minus_iAT2	-1.713752961356278	-1.9926366507526112	True	True	-0.94892499126633	-1.6445853432166635	0.7648279700899481	0.3480513075359478
ABCA3	AT2	H3K4me3	promoter	iATCs_minus_iAT1	-2.831783723361507	-2.3167930815866478	True	True	-1.5201851152777217	-1.587792441845121	1.3115986080837851	0.7290006397415264
ABCA3	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT2	-1.913333932418621	-2.0910270015559584	True	True	-1.0610681703437777	-1.634653743495338	0.8522657620748433	0.4563732580606207
ABCA3	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT1	-2.825092646196227	-2.3559964093102463	True	True	-1.501114531319678	-1.5371319565286157	1.3239781148765486	0.8188644527816309
NKX2-1	AT2	H3K4me3	promoter	iATCs_minus_iAT2	-0.9273334221400223	-3.3460403711003988	True	True	-1.0629759817368136	-2.31311556008576	-0.1356425595967909	1.0329248110146396
NKX2-1	AT2	H3K4me3	promoter	iATCs_minus_iAT1	-1.3983273279744406	-2.80459995751127	True	True	-1.0342192035513953	-2.0727536824388704	0.3641081244230451	0.7318462750723994
NKX2-1	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT2	-1.427556155669615	-2.9563328166798684	True	True	-0.9741246391052868	-1.9765967126624768	0.4534315165643286	0.9797361040173912
NKX2-1	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT1	-1.3607884026574073	-2.664277054023949	True	True	-0.8121258147287939	-1.7287706448278577	0.5486625879286134	0.9355064091960912
ETV5	AT2	H3K4me3	promoter	iATCs_minus_iAT2	-1.291847477252336	-0.5273093315473174	True	True	-0.3288047140514183	-0.3278610148625028	0.963042763200918	0.199448316684815
ETV5	AT2	H3K4me3	promoter	iATCs_minus_iAT1	0.7863490538495661	0.4490070442365694	True	True	1.682466104852218	1.5288147449981289	0.8961170510026522	1.0798077007615592
ETV5	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT2	-1.250012525856116	-0.752183700747572	True	True	-0.4975819408209779	-0.406271127771024	0.7524305850351383	0.3459125729765476
ETV5	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT1	0.5600035987375986	0.7197235495009804	True	True	1.507270567551474	1.5988335690228956	0.9472669688138752	0.8791100195219153
SFTPB	AT2	H3K4me3	promoter	iATCs_minus_iAT2	-4.254486533113554	-5.145279432481971	True	True	-5.217421605030355	-5.605915418861051	-0.9629350719168	-0.460635986379081
SFTPB	AT2	H3K4me3	promoter	iATCs_minus_iAT1	-4.869873156038856	-3.9023153114101152	True	True	-5.060425305573272	-4.334105728734121	-0.1905521495344163	-0.4317904173240058
SFTPB	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT2	-5.899397336742793	-6.735993048347045	True	True	-5.379549861465003	-6.416798461341344	0.5198474752777896	0.3191945870057013
SFTPB	AT2	H3K4me3	broad_promoter	iATCs_minus_iAT1	-5.239357342845072	-5.711294266845968	True	True	-4.708184106728335	-5.332637310748966	0.531173236116737	0.3786569560970019
AGER	AT1	H3K4me3	promoter	iATCs_minus_iAT2	-3.2886246997746222	-0.154327075954995	True	True	-2.152700153446072	2.2312649628331216	1.1359245463285506	2.385592038788116
AGER	AT1	H3K4me3	promoter	iATCs_minus_iAT1	-2.185906064443568	-2.662049816884924	True	True	-2.597983570423393	-1.4742359856320035	-0.4120775059798253	1.18781383125292
AGER	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT2	-0.3434553377630522	-0.1923605984011414	True	True	0.0865574350595444	0.7357858078727675	0.4300127728225966	0.9281464062739092
AGER	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT1	-0.6820740582645093	-1.1111528987328732	True	True	-0.0642071770127577	-0.0728636191686968	0.6178668812517514	1.0382892795641765
PDPN	AT1	H3K4me3	promoter	iATCs_minus_iAT2	-2.7123494289773924	0.202928104026653	True	False	-2.213211090649377	0.7559867775737474	0.499138338328015	0.5530586735470944
PDPN	AT1	H3K4me3	promoter	iATCs_minus_iAT1	-4.896017911128272	-4.43526003877667	True	True	-3.498966206121501	-2.918648062212947	1.3970517050067714	1.5166119765637232
PDPN	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT2	-2.199436520025061	-0.6974756238413786	True	True	-1.8532174321726809	-0.1874298524909601	0.3462190878523801	0.5100457713504184
PDPN	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT1	-4.400155683694479	-4.035618137610939	True	True	-3.1819009771486133	-2.814311381190794	1.218254706545865	1.2213067564201443
HOPX	AT1	H3K4me3	promoter	iATCs_minus_iAT2	-2.558849107631283	-3.241804017907672	True	True	-2.529559450870696	-3.5414625332502645	0.0292896567605874	-0.2996585153425925
HOPX	AT1	H3K4me3	promoter	iATCs_minus_iAT1	-3.3469007583949173	-5.36669251954278	True	True	-3.3785434327413317	-4.536291240472553	-0.0316426743464136	0.8304012790702264
HOPX	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT2	-2.543894329822689	-3.673592793680154	True	True	-2.358360784074613	-3.622526087437524	0.1855335457480762	0.0510667062426304
HOPX	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT1	-3.360903983569635	-6.129741991474583	True	True	-3.378414474146784	-4.5795908024472	-0.0175104905771484	1.5501511890273822
CAV1	AT1	H3K4me3	promoter	iATCs_minus_iAT2	-1.8284118042916129	-0.3967948545827584	True	True	-2.263281063929534	-0.8793008869309099	-0.4348692596379211	-0.4825060323481516
CAV1	AT1	H3K4me3	promoter	iATCs_minus_iAT1	-3.5065680410325677	-2.4683212337588945	True	True	-3.7338216416524177	-3.3935788362279733	-0.2272536006198503	-0.9252576024690786
