sample_id,cluster,pct,condition
EEM-scRNA-127,17,2.03,H1N1_infected
EEM-scRNA-158,17,3.505,homeostasis
EEM-scRNA-162,17,0.232,H1N1_infected
EEM-scRNA-166,17,2.719,homeostasis
EEM-scRNA-167,17,2.602,H1N1_infected
EEM-scRNA-170,17,6.498,H1N1_infected
EEM-scRNA-172,17,4.259,H1N1_infected
EEM-scRNA-179,17,7.197,H1N1_infected
EEM-scRNA-180,17,7.705,H1N1_infected
EEM-scRNA-181,17,4.344,H1N1_infected
EEM-scRNA-182,17,7.265,H1N1_infected
EEM-scRNA-236,17,2.006,H1N1_infected
EEM-scRNA-237,17,3.034,H1N1_infected
EEM-scRNA-238,17,2.58,H1N1_infected
EEM-scRNA-239,17,3.784,H1N1_infected
EEM-scRNA-249,17,5.062,unannotated
EEM-scRNA-250,17,3.413,unannotated
EEM-scRNA-251,17,3.573,unannotated
EEM-scRNA-288,17,3.68,unannotated
EEM-scRNA-289,17,1.688,unannotated
EEM-scRNA-290,17,5.675,unannotated
EEM-scRNA-291,17,4.668,unannotated
EEM-scRNA-292,17,4.403,unannotated
EEM-scRNA-310,17,2.804,H1N1_infected
EEM-scRNA-311,17,2.616,H1N1_infected
EEM-scRNA-312,17,4.077,H1N1_infected
EEM-scRNA-113,18,1.998,H1N1_infected
EEM-scRNA-116,18,1.134,H1N1_infected
EEM-scRNA-117,18,1.003,H1N1_infected
EEM-scRNA-118,18,1.279,H1N1_infected
EEM-scRNA-124,18,1.035,H1N1_infected
EEM-scRNA-125,18,1.077,H1N1_infected
EEM-scRNA-126,18,0.321,H1N1_infected
EEM-scRNA-127,18,0.816,H1N1_infected
EEM-scRNA-158,18,0.701,homeostasis
EEM-scRNA-162,18,0.518,H1N1_infected
EEM-scRNA-166,18,0.657,homeostasis
EEM-scRNA-167,18,0.831,H1N1_infected
EEM-scRNA-170,18,1.647,H1N1_infected
EEM-scRNA-172,18,1.392,H1N1_infected
EEM-scRNA-179,18,0.424,H1N1_infected
EEM-scRNA-180,18,0.131,H1N1_infected
EEM-scRNA-181,18,0.574,H1N1_infected
EEM-scRNA-182,18,0.674,H1N1_infected
EEM-scRNA-236,18,1.016,H1N1_infected
EEM-scRNA-237,18,0.746,H1N1_infected
EEM-scRNA-238,18,0.645,H1N1_infected
EEM-scRNA-239,18,1.214,H1N1_infected
EEM-scRNA-249,18,0.524,unannotated
EEM-scRNA-250,18,0.678,unannotated
EEM-scRNA-251,18,1.168,unannotated
EEM-scRNA-288,18,1.431,unannotated
EEM-scRNA-289,18,0.458,unannotated
EEM-scRNA-290,18,1.077,unannotated
EEM-scRNA-291,18,1.653,unannotated
EEM-scRNA-292,18,1.554,unannotated
EEM-scRNA-310,18,2.077,H1N1_infected
EEM-scRNA-311,18,3.048,H1N1_infected
EEM-scRNA-312,18,3.042,H1N1_infected
EEM-scRNA-113,19,0.094,H1N1_infected
EEM-scRNA-116,19,0.133,H1N1_infected
EEM-scRNA-117,19,1.024,H1N1_infected
EEM-scRNA-118,19,0.294,H1N1_infected
EEM-scRNA-124,19,0.354,H1N1_infected
EEM-scRNA-125,19,1.293,H1N1_infected
