leiden_cluster,cluster_label,n_cells,gene,mean_log1p_cp10k,median_log1p_cp10k,q25_log1p_cp10k,q75_log1p_cp10k,q95_log1p_cp10k,pct_expressing
13,L13  Neuroendocrine,31,KRT17,0.34036773443222046,0.0,0.0,0.0,2.403329849243164,22.58064516129032
13,L13  Neuroendocrine,31,SFN,0.11582618951797485,0.0,0.0,0.0,0.747943639755249,19.35483870967742
1,L1  Basal (BC-like),487,KRT8,1.7846957445144653,1.7867769002914429,1.4238907098770142,2.1802306175231934,2.663654088973999,98.76796714579056
1,L1  Basal (BC-like),487,CLDN4,1.1467819213867188,1.1434427499771118,0.6486698389053345,1.636764645576477,2.3110361099243164,87.47433264887063
1,L1  Basal (BC-like),487,KRT17,3.5436325073242188,3.668841600418091,3.1240365505218506,4.049803733825684,4.463472843170166,100.0
1,L1  Basal (BC-like),487,SFN,1.7563507556915283,1.777206540107727,1.4713122844696045,2.077087163925171,2.5355124473571777,98.97330595482546
5,L5  Distal-BC-1-like,258,KRT8,1.7465342283248901,1.779349446296692,1.4530129432678223,2.0972580909729004,2.4093120098114014,98.83720930232558
5,L5  Distal-BC-1-like,258,CLDN4,1.660065770149231,1.6963248252868652,1.3052666187286377,2.129040241241455,2.5741477012634277,96.51162790697676
5,L5  Distal-BC-1-like,258,KRT17,3.448887348175049,3.563793182373047,3.0388829708099365,3.9457578659057617,4.410378456115723,99.6124031007752
5,L5  Distal-BC-1-like,258,SFN,1.460890531539917,1.526035189628601,1.1783612966537476,1.7959109544754028,2.140878200531006,96.51162790697676
15,L15  Differentiating basal,498,KRT8,1.5940830707550049,1.665292739868164,1.2562878131866455,2.0112485885620117,2.4764997959136963,93.77510040160642
15,L15  Differentiating basal,498,CLDN4,1.3276925086975098,1.376254916191101,0.7426207065582275,1.9607995748519897,2.793396234512329,83.93574297188755
15,L15  Differentiating basal,498,KRT17,3.5086987018585205,3.545274257659912,2.992337942123413,4.1861891746521,4.852563858032227,98.59437751004016
15,L15  Differentiating basal,498,SFN,0.7697441577911377,0.8176199197769165,0.0,1.2634644508361816,1.9078744649887085,64.45783132530121
16,L16  pre-TRB-SC-like,463,KRT8,1.9868801832199097,2.019042491912842,1.70550537109375,2.273542881011963,2.7186973094940186,99.35205183585313
16,L16  pre-TRB-SC-like,463,CLDN4,2.326026678085327,2.3559341430664062,2.067479133605957,2.6463844776153564,3.031499147415161,99.35205183585313
16,L16  pre-TRB-SC-like,463,KRT17,1.2658027410507202,1.291769027709961,0.2570428252220154,2.018279790878296,2.866641044616699,76.67386609071274
16,L16  pre-TRB-SC-like,463,SFN,0.34182581305503845,0.22622056305408478,0.0,0.5313175916671753,1.2258788347244263,53.77969762419006
17,L17  Secretory,547,KRT8,1.4761489629745483,1.5174121856689453,1.1817736625671387,1.8453502655029297,2.269516944885254,95.97806215722122
17,L17  Secretory,547,CLDN4,2.16945481300354,2.19964599609375,1.775018572807312,2.576110601425171,3.1075265407562256,99.45155393053017
17,L17  Secretory,547,KRT17,1.1011840105056763,0.9262297749519348,0.0,1.9184973239898682,3.146069049835205,63.07129798903108
17,L17  Secretory,547,SFN,0.2945230305194855,0.0,0.0,0.5392407178878784,1.2107375860214233,38.02559414990859
3,L3  TRB-SC-like,644,KRT8,1.7285364866256714,1.7688090801239014,1.4136282205581665,2.1123716831207275,2.551039457321167,97.82608695652173
3,L3  TRB-SC-like,644,CLDN4,1.8556082248687744,1.9024956226348877,1.5659377574920654,2.1824755668640137,2.582213878631592,98.6024844720497
3,L3  TRB-SC-like,644,KRT17,0.6228830814361572,0.0,0.0,0.9679035544395447,2.4267711639404297,48.13664596273292
3,L3  TRB-SC-like,644,SFN,0.385698139667511,0.0,0.0,0.7088991403579712,1.3019495010375977,47.36024844720497
4,L4  AT0 candidate,328,KRT8,1.4024956226348877,1.4819766283035278,1.0263011455535889,1.8892822265625,2.420656204223633,90.2439024390244
4,L4  AT0 candidate,328,CLDN4,1.982883334159851,2.0783190727233887,1.5443542003631592,2.5715320110321045,3.0881123542785645,95.1219512195122
4,L4  AT0 candidate,328,KRT17,0.4031875431537628,0.0,0.0,0.5123510956764221,2.3588030338287354,29.878048780487802
4,L4  AT0 candidate,328,SFN,0.4129600524902344,0.0,0.0,0.7855459451675415,1.4119640588760376,48.170731707317074
0,L0  AT2 candidate,354,KRT8,1.524407148361206,1.5085495710372925,1.1902027130126953,1.9326345920562744,2.6043155193328857,97.17514124293785
0,L0  AT2 candidate,354,CLDN4,1.1183769702911377,1.170880675315857,0.8376540541648865,1.4595701694488525,1.7762813568115234,96.89265536723164
0,L0  AT2 candidate,354,KRT17,0.037494104355573654,0.0,0.0,0.0,0.29228851199150085,11.299435028248588
0,L0  AT2 candidate,354,SFN,0.5830058455467224,0.4850826561450958,0.0,0.9320437908172607,1.597923755645752,72.03389830508475
18,L18  AT1 candidate,159,KRT8,1.5274852514266968,1.7653791904449463,0.9997193813323975,2.2542924880981445,2.737231969833374,76.10062893081762
18,L18  AT1 candidate,159,CLDN4,0.8649578094482422,0.8671306371688843,0.0,1.6580321788787842,2.3629114627838135,54.71698113207547
18,L18  AT1 candidate,159,KRT17,0.057406309992074966,0.0,0.0,0.0,0.0,3.1446540880503147
18,L18  AT1 candidate,159,SFN,0.11274313926696777,0.0,0.0,0.0,0.9676886200904846,10.69182389937107
