cohort,donor,disease,celltype,n_cells,det_AREG,det_HBEGF,det_EREG,det_EGF,det_EGFR,det_TGFA,det_BTC,det_EPGN,evaluable
E2_GSE136831,001C,Control,T_Regulatory,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,VE_Arterial,4,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,VE_Capillary_A,4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,VE_Capillary_B,6,0.0,0.0,0.0,0.1667,0.3333,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,VE_Venous,6,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,001C,Control,cDC2,25,0.8,0.16,0.2,0.0,0.0,0.08,0.0,0.0,True
E2_GSE136831,001C,Control,cMonocyte,601,0.7338,0.3428,0.4393,0.0017,0.0033,0.01,0.0017,0.03,True
E2_GSE136831,001C,Control,ncMonocyte,17,0.5294,0.2353,0.2941,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,ATII,4,0.25,0.5,0.0,0.5,0.5,0.5,0.25,0.0,False
E2_GSE136831,002C,Control,B,17,0.0588,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,Ciliated,15,0.0,0.0,0.0,0.0667,0.2667,0.2667,0.1333,0.0,False
E2_GSE136831,002C,Control,DC_Langerhans,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,ILC_A,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,Macrophage,436,0.6078,0.3647,0.3876,0.0092,0.0138,0.0413,0.0046,0.0092,True
E2_GSE136831,002C,Control,Macrophage_Alveolar,142,0.3662,0.4014,0.2254,0.0141,0.0,0.0563,0.007,0.007,True
E2_GSE136831,002C,Control,Mast,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,Multiplet,7,0.1429,0.0,0.0,0.1429,0.1429,0.1429,0.2857,0.0,False
E2_GSE136831,002C,Control,NK,8,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,T,20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,002C,Control,T_Cytotoxic,12,0.3333,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,T_Regulatory,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,VE_Capillary_B,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,cDC1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,cDC2,6,0.8333,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,002C,Control,cMonocyte,20,0.95,0.45,0.55,0.0,0.0,0.1,0.0,0.1,True
E2_GSE136831,002C,Control,ncMonocyte,3,1.0,0.6667,1.0,0.3333,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,ATI,3,0.0,0.3333,0.0,0.0,0.6667,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,ATII,15,0.6,0.2667,0.0667,0.0667,0.4667,0.1333,0.0,0.0,False
E2_GSE136831,003C,Control,B,122,0.1148,0.0328,0.0164,0.0,0.0082,0.0,0.0,0.0,True
E2_GSE136831,003C,Control,B_Plasma,21,0.1905,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,003C,Control,Ciliated,26,0.1538,0.0385,0.0,0.0,0.3077,0.0769,0.2692,0.0,True
E2_GSE136831,003C,Control,Club,17,0.1176,0.2353,0.0588,0.0588,0.1765,0.2353,0.0588,0.0,False
E2_GSE136831,003C,Control,DC_Langerhans,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,DC_Mature,8,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,False
E2_GSE136831,003C,Control,Fibroblast,24,0.0,0.0,0.0,0.0,0.2917,0.0417,0.0,0.0,True
E2_GSE136831,003C,Control,Goblet,4,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,False
E2_GSE136831,003C,Control,ILC_A,13,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,ILC_B,6,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,Lymphatic,40,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,True
E2_GSE136831,003C,Control,Macrophage,1097,0.4649,0.6345,0.2954,0.0018,0.0,0.1194,0.0027,0.0064,True
E2_GSE136831,003C,Control,Macrophage_Alveolar,953,0.1626,0.68,0.1333,0.0042,0.0042,0.0997,0.001,0.0042,True
E2_GSE136831,003C,Control,Mast,10,0.6,0.1,0.1,0.0,0.0,0.1,0.0,0.0,False
E2_GSE136831,003C,Control,Multiplet,45,0.3111,0.2444,0.1111,0.0222,0.0444,0.0444,0.0222,0.0,True
E2_GSE136831,003C,Control,Myofibroblast,16,0.0,0.0625,0.0625,0.0,0.25,0.0,0.0625,0.0,False
E2_GSE136831,003C,Control,NK,70,0.3143,0.0143,0.0143,0.0,0.0,0.0286,0.0,0.0,True
E2_GSE136831,003C,Control,Pericyte,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,SMC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,T,83,0.1566,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,003C,Control,T_Cytotoxic,146,0.2329,0.0342,0.0137,0.0,0.0137,0.0,0.0,0.0,True
E2_GSE136831,003C,Control,T_Regulatory,14,0.0714,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,False
E2_GSE136831,003C,Control,VE_Arterial,6,0.0,0.1667,0.0,0.0,0.3333,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,VE_Capillary_A,12,0.0,0.0833,0.0833,0.0,0.0833,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,VE_Capillary_B,18,0.0,0.0556,0.0,0.0,0.0556,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,VE_Peribronchial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,VE_Venous,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,003C,Control,cDC1,22,0.6364,0.0909,0.0,0.0,0.0,0.1364,0.0,0.0,True
E2_GSE136831,003C,Control,cDC2,96,0.5417,0.4792,0.1042,0.0104,0.0104,0.1979,0.0104,0.0104,True
E2_GSE136831,003C,Control,cMonocyte,451,0.5055,0.541,0.5011,0.0022,0.0022,0.051,0.0,0.0266,True
E2_GSE136831,003C,Control,ncMonocyte,78,0.1026,0.5,0.1538,0.0,0.0,0.0385,0.0,0.0,True
E2_GSE136831,003C,Control,pDC,35,0.4,0.0286,0.0,0.0,0.0,0.0286,0.0,0.0,True
E2_GSE136831,010I,IPF,ATI,11,0.6364,0.3636,0.2727,0.0,0.4545,0.1818,0.0909,0.0,False
E2_GSE136831,010I,IPF,ATII,31,0.7742,0.2581,0.0968,0.1935,0.4839,0.1613,0.1613,0.0323,True
E2_GSE136831,010I,IPF,Aberrant_Basaloid,26,0.8846,0.5385,0.3077,0.2308,0.7308,0.4615,0.1154,0.0,True
E2_GSE136831,010I,IPF,B,98,0.1837,0.0,0.0102,0.0102,0.0102,0.0102,0.0,0.0,True
E2_GSE136831,010I,IPF,B_Plasma,5,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,Basal,40,0.35,0.175,0.025,0.0,0.7,0.1,0.025,0.025,True
E2_GSE136831,010I,IPF,Ciliated,424,0.2901,0.0377,0.0354,0.0071,0.3019,0.2311,0.1486,0.0047,True
E2_GSE136831,010I,IPF,Club,144,0.4931,0.0833,0.1458,0.0347,0.4167,0.1389,0.0903,0.0,True
E2_GSE136831,010I,IPF,DC_Langerhans,7,1.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,False
E2_GSE136831,010I,IPF,DC_Mature,8,0.75,0.0,0.125,0.0,0.0,0.125,0.0,0.0,False
E2_GSE136831,010I,IPF,Fibroblast,55,0.1273,0.0364,0.0,0.0,0.8909,0.0364,0.0,0.0,True
E2_GSE136831,010I,IPF,Goblet,76,0.3816,0.1842,0.0789,0.0,0.4868,0.1579,0.1316,0.0,True
E2_GSE136831,010I,IPF,ILC_A,5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,ILC_B,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,Ionocyte,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,Lymphatic,12,0.0,0.1667,0.0,0.0,0.0833,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,Macrophage,2031,0.678,0.3348,0.3919,0.0039,0.0103,0.0404,0.0059,0.0069,True
E2_GSE136831,010I,IPF,Macrophage_Alveolar,771,0.5149,0.415,0.2348,0.0026,0.013,0.0363,0.0039,0.0,True
E2_GSE136831,010I,IPF,Mast,22,0.9091,0.0,0.0455,0.0,0.0,0.0455,0.0,0.0,True
E2_GSE136831,010I,IPF,Mesothelial,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,Multiplet,146,0.7466,0.2671,0.2192,0.0411,0.3151,0.1507,0.1575,0.0205,True
E2_GSE136831,010I,IPF,Myofibroblast,12,0.1667,0.1667,0.0833,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,NK,24,0.7917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,010I,IPF,Pericyte,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,SMC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,T,349,0.3496,0.0143,0.0115,0.0029,0.0086,0.0057,0.0,0.0115,True
E2_GSE136831,010I,IPF,T_Cytotoxic,142,0.5,0.007,0.007,0.0,0.0,0.007,0.0,0.0,True
E2_GSE136831,010I,IPF,T_Regulatory,50,0.24,0.0,0.04,0.0,0.0,0.0,0.02,0.0,True
E2_GSE136831,010I,IPF,VE_Arterial,8,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,VE_Capillary_A,3,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,VE_Capillary_B,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,VE_Peribronchial,17,0.1765,0.1176,0.0,0.0,0.2941,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,VE_Venous,13,0.2308,0.0769,0.0,0.0769,0.2308,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,cDC1,17,0.7059,0.2941,0.0588,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,cDC2,120,0.9667,0.4333,0.35,0.0,0.0333,0.125,0.0,0.0167,True
E2_GSE136831,010I,IPF,cMonocyte,165,0.8909,0.3515,0.6242,0.0,0.0,0.0242,0.0,0.0,True
E2_GSE136831,010I,IPF,ncMonocyte,15,0.7333,0.1333,0.3333,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,010I,IPF,pDC,10,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,ATI,31,0.8387,0.4839,0.0,0.0323,0.6129,0.2581,0.0968,0.0,True
E2_GSE136831,021I,IPF,ATII,20,0.8,0.35,0.1,0.15,0.65,0.15,0.1,0.0,True
E2_GSE136831,021I,IPF,Aberrant_Basaloid,17,0.9412,0.6471,0.1765,0.1176,0.7059,0.5882,0.0588,0.0,False
E2_GSE136831,021I,IPF,B,9,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,B_Plasma,4,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,Basal,39,0.7692,0.4359,0.3333,0.0256,0.8205,0.359,0.0769,0.0256,True
E2_GSE136831,021I,IPF,Ciliated,144,0.25,0.0417,0.0556,0.0139,0.3333,0.1597,0.1181,0.0,True
E2_GSE136831,021I,IPF,Club,41,0.4146,0.0,0.2195,0.0732,0.2927,0.0732,0.0488,0.0,True
E2_GSE136831,021I,IPF,DC_Langerhans,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,DC_Mature,8,0.875,0.25,0.375,0.0,0.0,0.125,0.0,0.125,False
E2_GSE136831,021I,IPF,Fibroblast,120,0.1333,0.0333,0.0167,0.0083,0.775,0.0,0.0083,0.0,True
E2_GSE136831,021I,IPF,Goblet,21,0.4286,0.1905,0.1429,0.0,0.4762,0.2381,0.0476,0.0,True
E2_GSE136831,021I,IPF,ILC_A,15,0.8,0.0,0.0667,0.0,0.0,0.0,0.0,0.0667,False
E2_GSE136831,021I,IPF,ILC_B,11,0.8182,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,Lymphatic,83,0.0843,0.0843,0.0482,0.012,0.0361,0.0361,0.012,0.0,True
E2_GSE136831,021I,IPF,Macrophage,612,0.683,0.3758,0.5458,0.0082,0.0261,0.0801,0.0033,0.0425,True
E2_GSE136831,021I,IPF,Macrophage_Alveolar,210,0.4095,0.4667,0.3095,0.0048,0.0238,0.0476,0.0143,0.0,True
E2_GSE136831,021I,IPF,Mast,4,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,False
E2_GSE136831,021I,IPF,Mesothelial,9,0.5556,0.2222,0.1111,0.0,0.7778,0.1111,0.0,0.1111,False
E2_GSE136831,021I,IPF,Multiplet,57,0.6667,0.2456,0.2632,0.0,0.3333,0.1228,0.0351,0.0,True
E2_GSE136831,021I,IPF,Myofibroblast,286,0.1643,0.0699,0.042,0.014,0.5455,0.0105,0.021,0.0035,True
E2_GSE136831,021I,IPF,NK,164,0.6707,0.0122,0.0122,0.0,0.0122,0.0122,0.0,0.0,True
E2_GSE136831,021I,IPF,Pericyte,39,0.1282,0.0513,0.0769,0.0,0.359,0.0,0.0,0.0,True
E2_GSE136831,021I,IPF,SMC,55,0.1091,0.1091,0.0182,0.0,0.2545,0.0,0.0727,0.0,True
E2_GSE136831,021I,IPF,T,255,0.2431,0.0314,0.0235,0.0,0.0078,0.0078,0.0078,0.0039,True
E2_GSE136831,021I,IPF,T_Cytotoxic,196,0.1735,0.0051,0.0153,0.0102,0.0051,0.0051,0.0051,0.0,True
E2_GSE136831,021I,IPF,T_Regulatory,25,0.08,0.0,0.04,0.0,0.0,0.04,0.0,0.0,True
E2_GSE136831,021I,IPF,VE_Arterial,15,0.2,0.0667,0.0,0.0,0.4,0.0,0.0,0.0,False
E2_GSE136831,021I,IPF,VE_Capillary_A,15,0.2,0.0,0.0667,0.0,0.3333,0.1333,0.0,0.0,False
E2_GSE136831,021I,IPF,VE_Capillary_B,28,0.1786,0.0714,0.0,0.0357,0.2143,0.0,0.0,0.0,True
E2_GSE136831,021I,IPF,VE_Peribronchial,217,0.1567,0.2166,0.0369,0.0184,0.2028,0.0138,0.0046,0.0046,True
E2_GSE136831,021I,IPF,VE_Venous,27,0.1481,0.037,0.0,0.037,0.2222,0.0,0.0,0.0,True
E2_GSE136831,021I,IPF,cDC1,9,0.8889,0.2222,0.2222,0.0,0.0,0.1111,0.0,0.0,False
E2_GSE136831,021I,IPF,cDC2,53,0.9623,0.4528,0.6226,0.0,0.0189,0.2453,0.0189,0.1509,True
E2_GSE136831,021I,IPF,cMonocyte,145,0.869,0.3379,0.7241,0.0,0.0069,0.0276,0.0138,0.0897,True
E2_GSE136831,021I,IPF,ncMonocyte,125,0.576,0.328,0.184,0.0,0.024,0.024,0.0,0.016,True
E2_GSE136831,021I,IPF,pDC,12,1.0,0.0833,0.0,0.0,0.0,0.0,0.0833,0.0,False
E2_GSE136831,022I,IPF,ATI,19,0.4737,0.4737,0.1053,0.0,0.5263,0.1053,0.0526,0.0,False
E2_GSE136831,022I,IPF,ATII,53,0.7547,0.3208,0.1698,0.1321,0.434,0.0943,0.0943,0.0,True
E2_GSE136831,022I,IPF,Aberrant_Basaloid,4,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,B,107,0.2243,0.0187,0.0467,0.0,0.0187,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,B_Plasma,14,0.5,0.0714,0.0714,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,Basal,93,0.5161,0.2043,0.1828,0.0,0.7742,0.0645,0.0538,0.043,True
E2_GSE136831,022I,IPF,Ciliated,110,0.3273,0.0273,0.0455,0.0091,0.3909,0.1636,0.1636,0.0091,True
E2_GSE136831,022I,IPF,Club,58,0.4138,0.069,0.2759,0.0,0.3103,0.1207,0.1379,0.0172,True
E2_GSE136831,022I,IPF,DC_Langerhans,4,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,DC_Mature,21,0.7619,0.0476,0.1905,0.0,0.1429,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,Fibroblast,134,0.0746,0.0522,0.0149,0.0,0.7612,0.0,0.0075,0.0,True
E2_GSE136831,022I,IPF,Goblet,21,0.2857,0.2381,0.1429,0.0952,0.5238,0.1429,0.0476,0.0,True
E2_GSE136831,022I,IPF,ILC_A,9,1.0,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,ILC_B,4,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,Ionocyte,2,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,False
E2_GSE136831,022I,IPF,Lymphatic,40,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,Macrophage,1145,0.5502,0.29,0.3528,0.0026,0.0122,0.0192,0.0009,0.0131,True
E2_GSE136831,022I,IPF,Macrophage_Alveolar,1079,0.3003,0.3698,0.2187,0.0065,0.0167,0.0195,0.0056,0.0009,True
E2_GSE136831,022I,IPF,Mast,25,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,Mesothelial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,Multiplet,109,0.4404,0.2294,0.1468,0.0092,0.3211,0.0734,0.0183,0.0092,True
E2_GSE136831,022I,IPF,Myofibroblast,291,0.11,0.0275,0.0172,0.0137,0.5223,0.0103,0.0034,0.0,True
E2_GSE136831,022I,IPF,NK,90,0.8222,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,True
E2_GSE136831,022I,IPF,PNEC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,Pericyte,78,0.0897,0.0256,0.0128,0.0,0.359,0.0,0.0,0.0128,True
E2_GSE136831,022I,IPF,SMC,76,0.1316,0.0,0.0263,0.0,0.3158,0.0,0.0921,0.0,True
E2_GSE136831,022I,IPF,T,319,0.1097,0.0157,0.0094,0.0,0.0125,0.0,0.0,0.0063,True
E2_GSE136831,022I,IPF,T_Cytotoxic,159,0.1698,0.0063,0.0126,0.0,0.0063,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,T_Regulatory,19,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,VE_Arterial,21,0.0952,0.1429,0.0,0.0,0.4286,0.0476,0.0,0.0,True
E2_GSE136831,022I,IPF,VE_Capillary_A,30,0.4333,0.0667,0.0,0.0,0.3333,0.0,0.0,0.0,True
E2_GSE136831,022I,IPF,VE_Capillary_B,58,0.1379,0.1034,0.0345,0.0,0.4828,0.0,0.0172,0.0,True
E2_GSE136831,022I,IPF,VE_Peribronchial,238,0.1092,0.2899,0.021,0.0042,0.1807,0.021,0.0084,0.0,True
E2_GSE136831,022I,IPF,VE_Venous,19,0.0526,0.0526,0.0,0.1053,0.1579,0.0,0.0,0.0,False
E2_GSE136831,022I,IPF,cDC1,13,0.7692,0.3077,0.0,0.0,0.0,0.0769,0.0,0.0,False
E2_GSE136831,022I,IPF,cDC2,92,0.8478,0.3152,0.4565,0.0,0.0652,0.1196,0.0,0.0109,True
E2_GSE136831,022I,IPF,cMonocyte,150,0.8733,0.3067,0.6133,0.0,0.0067,0.0067,0.0,0.0267,True
E2_GSE136831,022I,IPF,ncMonocyte,121,0.5702,0.1901,0.2231,0.0,0.0083,0.0083,0.0,0.0,True
E2_GSE136831,022I,IPF,pDC,15,0.7333,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,ATI,3,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,ATII,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,Aberrant_Basaloid,3,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,B,19,0.2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,B_Plasma,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,Basal,12,0.3333,0.25,0.0,0.0,0.3333,0.1667,0.0,0.0,False
E2_GSE136831,025I,IPF,Ciliated,114,0.2456,0.0439,0.0175,0.0088,0.193,0.1228,0.1316,0.0,True
E2_GSE136831,025I,IPF,Club,20,0.5,0.15,0.1,0.05,0.4,0.15,0.0,0.0,True
E2_GSE136831,025I,IPF,DC_Langerhans,7,0.1429,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,False
E2_GSE136831,025I,IPF,DC_Mature,4,0.5,0.0,0.75,0.0,0.0,0.25,0.0,0.0,False
E2_GSE136831,025I,IPF,Fibroblast,16,0.0625,0.0625,0.0,0.0,0.625,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,Goblet,45,0.3111,0.2222,0.1556,0.0,0.4667,0.1778,0.1333,0.0,True
E2_GSE136831,025I,IPF,ILC_A,5,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,False
E2_GSE136831,025I,IPF,ILC_B,3,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,Lymphatic,40,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.0,True
E2_GSE136831,025I,IPF,Macrophage,845,0.5006,0.4675,0.3822,0.0095,0.0166,0.0237,0.0,0.0166,True
E2_GSE136831,025I,IPF,Macrophage_Alveolar,1761,0.2726,0.5923,0.1522,0.0062,0.0119,0.0369,0.0028,0.0,True
E2_GSE136831,025I,IPF,Mesothelial,5,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,Multiplet,31,0.4516,0.4516,0.1613,0.0,0.3871,0.0645,0.129,0.0,True
E2_GSE136831,025I,IPF,Myofibroblast,16,0.125,0.0625,0.0625,0.0,0.4375,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,NK,27,0.4815,0.037,0.0,0.0,0.037,0.0,0.0,0.0,True
E2_GSE136831,025I,IPF,Pericyte,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,SMC,11,0.0,0.0,0.0,0.0,0.3636,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,T,21,0.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,025I,IPF,T_Cytotoxic,29,0.1034,0.0345,0.0,0.0,0.0345,0.0,0.0,0.0,True
E2_GSE136831,025I,IPF,T_Regulatory,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,VE_Arterial,8,0.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,VE_Capillary_A,3,0.3333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,VE_Capillary_B,5,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,VE_Peribronchial,18,0.0,0.3333,0.0,0.0,0.1111,0.0556,0.0,0.0,False
E2_GSE136831,025I,IPF,VE_Venous,4,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,False
E2_GSE136831,025I,IPF,cDC1,19,0.4211,0.2105,0.0526,0.0,0.0526,0.0,0.0,0.0,False
