library	mouse_total_counts	human_total_counts
1-2_G08_ERN1	1441060	383128
1-2_G09_BECLN1	4282059	376214
1-2_G10_TDTOMATO	1613435	387139
1-3_B02_MET	219666	277267
1-3_B03_GLIS3	694845	376796
1-3_B04_TIGIT	819980	495102
1-3_B05_TDTOMATO	1055200	565753
1-3_B06_TRP53	946367	224778
1-3_B07_ACP6	559346	329528
1-3_B08_PINK1	777259	400420
1-3_B09_EIF2AK3	770486	457461
1-3_B10_CCBE1	721607	434639
1-3_B11_GDF2	725033	445337
1-3_C02_TEAD1	645151	358171
1-3_C03_MECOM	614746	393359
1-3_C04_HUWE1	363960	493061
1-3_C05_SFTPD	75247	39226
1-3_C06_TRP63	941172	514680
1-3_C07_IL1A	84069	41427
1-3_C08_PRKN	778710	420835
1-3_C09_TIGIT	884013	477805
1-3_C10_BMP10	678899	326743
1-3_D03_NPNT	313938	182706
1-3_D04_RNF43	561260	254205
1-3_D05_TNS1	781724	390950
1-3_D06_TTF1	802251	454638
1-3_D07_TIGIT	838416	425508
1-3_D09_TFEB	492137	303520
1-3_D10_FGF7	48904	25123
1-3_D11_IL1A	900873	459712
1-3_E02_TFCP2L1	572619	328714
1-3_E03_TIGIT	769170	479869
1-3_E04_SOX4	34285	21414
1-3_E05_TWIST1	454533	258862
1-3_E06_NKX21	1321933	112347
1-3_E07_USP30	652010	323726
1-3_E09_ULK1	964059	510709
1-3_E10_INHBA	676629	399512
1-3_E11_MANF	660517	382224
1-3_F02_TIGIT	51424	33833
1-3_F03_RBMS3	761170	426497
1-3_F04_AGER	2271	713
1-3_F05_TERF1	745937	427095
1-3_F06_FAM13A	650445	256422
1-3_F07_NR1D1	639938	320108
1-3_F08_EIF2B1	564037	382838
1-3_F09_ATG16L1	240184	107282
1-3_F10_XBP1	26216	15102
1-3_F11_RAD21	517232	540306
1-3_G02_PID1	478364	329510
1-3_G03_SERPINA1A	675726	374373
1-3_G04_CACNA2D3	453181	295367
1-3_G05_CHRM3	31064	15517
1-3_G06_HHIP	503553	275244
1-3_G07_NR1D2	590898	336266
1-3_G08_ERN1	92	42
1-3_G09_BECLN1	729697	164958
1-3_G10_TDTOMATO	740652	433235
1-3_G11_TIGIT	46920	27096
1-4_B02_MET	906858	795295
1-4_B03_GLIS3	791464	327545
1-4_B04_TIGIT	1444141	653715
1-4_B05_TDTOMATO	1712244	750650
1-4_B06_TRP53	13236235	2293570
1-4_B07_ACP6	940237	442301
1-4_B08_PINK1	1851243	545564
1-4_B10_CCBE1	2951796	1420619
1-4_B11_GDF2	2124500	710503
1-4_C02_TEAD1	1251813	553797
1-4_C03_MECOM	900753	350468
1-4_C05_SFTPD	980396	279298
1-4_C06_TRP63	2604990	584945
1-4_C07_IL1A	481323	105648
1-4_C08_PRKN	195462	53846
1-4_C09_TIGIT	1626264	390067
1-4_C10_BMP10	923213	255759
1-4_C11_PLA2G15	10697	3745
1-4_D02_ROR1	645330	194183
1-4_D03_NPNT	533656	201992
1-4_D04_RNF43	3895027	485887
1-4_D05_TNS1	2605698	886804
1-4_D06_TTF1	1941704	597763
1-4_D07_TIGIT	1129603	307673
1-4_D08_KEAP1	2302319	454866
1-4_D09_TFEB	2329002	613646
1-4_D10_FGF7	1598311	533242
1-4_D11_IL1A	1888812	559497
1-4_E02_TFCP2L1	91549	28942
1-4_E03_TIGIT	220239	88700
1-4_E04_SOX4	1496431	513419
1-4_E05_TWIST1	2002936	387573
1-4_E06_NKX21	4188596	247767
1-4_E07_USP30	1684003	367639
1-4_E08_NFE2L2	941150	228087
1-4_E09_ULK1	1996847	432035
1-4_E10_INHBA	1354387	486927
1-4_E11_MANF	2446656	997498
1-4_F02_TIGIT	2664312	1176117
1-4_F03_RBMS3	1279104	356238
1-4_F04_AGER	2030669	543051
1-4_F05_TERF1	592035	195249
1-4_F06_FAM13A	2001892	500301
1-4_F07_NR1D1	2742248	808110
1-4_F08_EIF2B1	801911	181483
1-4_F09_ATG16L1	1393173	389598
1-4_F10_XBP1	3095792	1052173
1-4_F11_RAD21	1112319	719587
1-4_G02_PID1	2875741	580734
1-4_G03_SERPINA1A	1372438	521372
1-4_G04_CACNA2D3	2587746	672403
1-4_G05_CHRM3	2162455	596506
1-4_G06_HHIP	1911953	471203
1-4_G07_NR1D2	1424981	489152
1-4_G08_ERN1	802177	335440
1-4_G09_BECLN1	4588219	560448
1-4_G10_TDTOMATO	2540887	614521
1-4_G11_TIGIT	2908177	983996
2-2_B02_IVD	1228357	464117
2-2_B03_ACOXL	2191373	687140
2-2_B04_TIGIT	878888	383481
2-2_B05_TDTOMATO	2042340	744192
2-2_B06_LNX2	2762201	1224799
2-2_B07_CHRNA5	7961317	2601123
2-2_B08_MARCKS	936255	488988
2-2_B09_TRIB3	3352784	1494467
2-2_B10_IL4RA	1466770	759148
2-2_B11_ATP6V1C2	1275068	700358
2-2_C02_NAV2	1215845	625396
2-2_C03_ATP11A	746660	409355
2-2_C04_PATJ	1548593	664361
2-2_C05_MEGF6	206750	83055
2-2_C06_SNX30	2360810	1045648
2-2_C07_CHAT	904328	273841
2-2_C08_WNT7B	1217724	636287
2-2_C09_TIGIT	1590665	542610
2-2_C10_HLF	1933380	869332
2-2_C11_IRX1	1952590	651434
2-2_D02_CAPN1	823183	429116
2-2_D03_GPR37	289327	130375
2-2_D04_SDC1	2048644	753942
2-2_D05_SLC45A4	1716195	828659
2-2_D06_LIPH	1423120	797333
2-2_D07_TIGIT	4846028	1230257
2-2_D08_WNT9B	3107514	1167886
2-2_D09_SPNS1	2019528	381204
2-2_D10_HIF1A	997753	352013
2-2_D11_ETV5	211793	55284
2-2_E02_MECOM	678834	613839
2-2_E03_TIGIT	1230250	711595
2-2_E04_TOLLIP	16875	8677
2-2_E05_CXADR	543653	187460
2-2_E06_FGFR2	785201	448723
2-2_E07_LRP6	2314634	966901
2-2_E08_CHRNA3	1197947	497424
2-2_E09_SH2B1	2512404	1056276
2-2_E10_ROS1	2114364	835744
2-2_E11_CSF3R	758	282
2-2_F02_TIGIT	74266	47060
2-2_F03_DSP	1157591	770312
2-2_F04_MTUS1	865777	401616
2-2_F05_EPCAM	594659	283815
2-2_F06_FZD7	745861	352552
2-2_F07_FZD1	1181729	542012
2-2_F08_SYT4	967732	529223
2-2_F09_TLN1	532139	171037
2-2_F10_LRP2	476408	74221
2-2_F11_BAP1	64761	39762
2-2_G02_TERT	969227	561472
2-2_G03_LRP5	1164143	694644
2-2_G04_FZD5	541885	208935
2-2_G05_FZD6	72117	38875
2-2_G06_MYRF	1292963	568096
2-2_G07_FZD4	1059991	559756
2-2_G08_SYT11	774116	395429
2-2_G09_DMBT1	929311	457128
2-2_G10_TDTOMATO	59057	34892
2-3_B02_IVD	2337423	868759
2-3_B04_TIGIT	2990561	1298893
2-3_B05_TDTOMATO	3146547	1074861
2-3_B06_LNX2	11387171	5999239
2-3_B07_CHRNA5	13249748	6940253
2-3_B08_MARCKS	3408820	1611091
2-3_B09_TRIB3	3942852	1827071
2-3_B10_IL4RA	3175085	1614299
2-3_B11_ATP6V1C2	2224227	1118165
2-3_C02_NAV2	2113155	1061316
2-3_C03_ATP11A	83090	26597
2-3_C04_PATJ	1895966	826531
2-3_C05_MEGF6	175710	63615
2-3_C06_SNX30	7945326	3841837
2-3_C07_CHAT	2287742	933121
2-3_C08_WNT7B	2573944	1260775
2-3_C09_TIGIT	2926407	1080770
2-3_C10_HLF	551129	186470
2-3_D02_CAPN1	2556916	1418451
2-3_D03_GPR37	927682	452184
2-3_D04_SDC1	3311153	1316862
2-3_D05_SLC45A4	1703525	787715
2-3_D06_LIPH	7782238	4602530
2-3_D07_TIGIT	10848587	6036705
2-3_D08_WNT9B	3507387	1651326
2-3_D09_SPNS1	3130066	1345596
2-3_D10_HIF1A	3936330	2070923
2-3_D11_ETV5	1659740	914207
2-3_E02_MECOM	1491424	1239845
2-3_E03_TIGIT	1049716	559984
2-3_E04_TOLLIP	1364494	671280
2-3_E05_CXADR	2471223	1148340
2-3_E06_FGFR2	7089752	4407722
2-3_E07_LRP6	10577206	5064721
2-3_E08_CHRNA3	1913666	928974
2-3_E09_SH2B1	2563441	1229978
2-3_E10_ROS1	3271676	1571779
2-3_E11_CSF3R	2607085	1281446
2-3_F02_TIGIT	1153919	683945
2-3_F03_DSP	1639919	1004711
2-3_F04_MTUS1	2109488	945318
2-3_F05_EPCAM	1532857	723039
2-3_F06_FZD7	9713107	4654322
2-3_F07_FZD1	12573062	5790625
2-3_F08_SYT4	2588006	1373410
2-3_F09_TLN1	2286482	1140229
2-3_F10_LRP2	3826595	1933358
2-3_F11_BAP1	2494021	1345838
2-3_G02_TERT	2071220	1227458
2-3_G03_LRP5	1651001	921944
2-3_G05_FZD6	1967044	1125137
2-3_G06_MYRF	12185961	5611970
2-3_G07_FZD4	13178637	7261526
2-3_G08_SYT11	2924540	1469982
2-3_G09_DMBT1	2973454	1579715
2-3_G10_TDTOMATO	2619743	1429177
2-3_G11_TIGIT	3861471	589527
2-4_B03_ACOXL	519947	224250
2-4_B04_TIGIT	1115163	433002
2-4_B05_TDTOMATO	787804	271307
2-4_B06_LNX2	581584	195992
2-4_B07_CHRNA5	3015472	928192
2-4_B08_MARCKS	810051	375233
2-4_B09_TRIB3	391005	94259
2-4_B10_IL4RA	1972807	651087
2-4_B11_ATP6V1C2	225412	71530
2-4_C02_NAV2	3629811	1612137
2-4_C03_ATP11A	1070804	320537
2-4_C04_PATJ	1095153	386542
2-4_C05_MEGF6	482392	155403
2-4_C06_SNX30	1805644	749123
2-4_C07_CHAT	465982	191485
2-4_C08_WNT7B	995710	301956
2-4_C09_TIGIT	1354209	238645
2-4_C10_HLF	153260	30121
2-4_C11_IRX1	442699	100235
2-4_D02_CAPN1	3975359	1662759
2-4_D03_GPR37	1547342	372782
2-4_D04_SDC1	3524735	1052667
2-4_D05_SLC45A4	699969	151289
2-4_D06_LIPH	713912	188812
2-4_D07_TIGIT	1487761	262561
2-4_D08_WNT9B	795309	293208
2-4_D09_SPNS1	905761	135224
2-4_D10_HIF1A	1191133	264301
2-4_D11_ETV5	4200	1599
2-4_E02_MECOM	721458	363109
2-4_E03_TIGIT	3959690	634410
2-4_E04_TOLLIP	1587549	377028
2-4_E05_CXADR	1457659	493456
2-4_E06_FGFR2	214499	65004
2-4_E07_LRP6	1081255	295066
2-4_E08_CHRNA3	2302905	549345
2-4_E09_SH2B1	641439	203880
2-4_E10_ROS1	33691	9372
2-4_E11_CSF3R	405	111
2-4_F02_TIGIT	694345	139556
2-4_F03_DSP	1732083	424720
2-4_F04_MTUS1	3712481	991872
2-4_F05_EPCAM	971128	196426
2-4_F06_FZD7	798350	268374
2-4_F07_FZD1	1394522	349389
2-4_F08_SYT4	839565	212740
2-4_F09_TLN1	625756	174496
2-4_F10_LRP2	2262176	785768
2-4_F11_BAP1	235617	67509
2-4_G02_TERT	1240631	196855
2-4_G04_FZD5	1706011	511617
2-4_G05_FZD6	1335165	318914
2-4_G06_MYRF	3379094	750015
2-4_G07_FZD4	3883764	1349873
2-4_G08_SYT11	2111958	547030
2-4_G09_DMBT1	970175	201780
2-4_G10_TDTOMATO	6279	2924
2-4_G11_TIGIT	1032980	333447
3-1_B02_KIDINS220	706525	399216
3-1_B03_CD81	2548415	726678
3-1_B04_TIGIT	1042267	344241
3-1_B05_TDTOMATO	2049562	372007
3-1_B06_TGIF1	530827	268173
3-1_B07_CELSR1	898815	268830
3-1_B08_PI4K2B	1717101	327203
3-1_B09_MAP2K2	916768	295241
3-1_B10_MAP3K5	101103	16984
3-1_B11_MAPK3	79918	18892
3-1_C02_ITGB6	4672438	856721
3-1_C03_EGFR	719452	186908
3-1_C04_DRAM1	457246	307126
3-1_C05_CSNK1A1	658178	488960
3-1_C06_ADK	49682	8429
3-1_C07_GNAI2	103430	15266
3-1_C08_OCIAD2	94964	26665
3-1_C09_TIGIT	115959	37243
3-1_C10_MAP3K7	1158771	276567
3-1_C11_CISH	809906	186429
3-1_D02_SLC22A3	305658	67898
3-1_D03_ERBB2	5893	1759
3-1_D04_EGFL6	200119	41145
3-1_D05_CSNK2A1	265240	95402
3-1_D06_ANK3	144456	26079
3-1_D07_TIGIT	218614	34438
3-1_D08_ELOVL1	205598	47305
3-1_D09_MAP2K3	69883	16940
3-1_D10_MAP4K3	179634	25309
3-1_D11_ELF5	362723	64696
3-1_E02_TLR2	100547	29502
3-1_E03_TIGIT	11379	2604
3-1_E04_CTSH	38132	12219
3-1_E05_CSNK2A1	560203	174213
3-1_E06_MYO5C	367273	71054
3-1_E07_GNAI1	28225	5784
3-1_E08_ANTXR1	40866	10674
3-1_E09_MAP2K4	8743	1651
3-1_E10_MAP4K4	252398	25512
3-1_E11_CCN2	2061585	246760
3-1_F02_TIGIT	365082	96818
3-1_F03_ERBB4	387322	82689
3-1_F04_SLC39A8	411007	115933
3-1_F05_VANGL1	350068	84440
3-1_F06_TINAG	909208	202229
3-1_F07_AREG	1571370	408995
3-1_F08_TSPAN11	827670	192912
3-1_F09_MAP3K1	1768188	388304
3-1_F10_MAPK1	1721378	345733
3-1_F11_BMP2	3290897	556018
3-1_G02_ERBB3	1972636	1267758
3-1_G03_SOCS2	3822973	870807
3-1_G04_SOAT1	5660367	1427638
3-1_G05_VANGL2	1842624	318124
3-1_G06_IRF4	3139244	648031
3-1_G07_ATP6V0E	1376705	641482
3-1_G08_MAP2K1	1217720	129789
3-1_G09_MAP3K2	1860510	460363
3-1_G10_TDTOMATO	37256	11417
3-1_G11_TIGIT	3368491	600353
3-2_B02_KIDINS220	1375282	387769
3-2_B03_CD81	92809	27794
3-2_B04_TIGIT	304969	59249
3-2_B05_TDTOMATO	4634460	1176571
3-2_B06_TGIF1	1891298	398863
3-2_B07_CELSR1	2915830	820814
3-2_B08_PI4K2B	4682123	560240
3-2_B09_MAP2K2	314061	75248
3-2_B10_MAP3K5	927915	176549
3-2_B11_MAPK3	1545	302
3-2_C02_ITGB6	3106391	650042
3-2_C03_EGFR	485955	51605
3-2_C04_DRAM1	402022	205777
3-2_C05_CSNK1A1	549121	324446
3-2_C06_ADK	2591732	528625
3-2_C07_GNAI2	4664960	592908
3-2_C08_OCIAD2	1612621	263957
3-2_C09_TIGIT	1413675	376068
3-2_C10_MAP3K7	959181	141779
3-2_C11_CISH	6916215	2061123
3-2_D02_SLC22A3	4659854	762910
3-2_D03_ERBB2	496243	97637
3-2_D04_EGFL6	3435545	968637
3-2_D05_CSNK2A1	1641474	436469
3-2_D06_ANK3	1936415	222096
3-2_D07_TIGIT	2658978	529523
3-2_D08_ELOVL1	1722794	228644
3-2_D09_MAP2K3	2283663	610592
3-2_D10_MAP4K3	1220181	248483
3-2_D11_ELF5	2633176	701390
3-2_E02_TLR2	3221033	344011
3-2_E03_TIGIT	1224540	113520
3-2_E04_CTSH	5275484	1478858
3-2_E05_CSNK2A1	2394070	294706
3-2_E06_MYO5C	4509615	1303213
3-2_E07_GNAI1	1450744	189688
3-2_E08_ANTXR1	806942	97636
3-2_E09_MAP2K4	546536	48491
3-2_E10_MAP4K4	1976898	361624
3-2_E11_CCN2	3522960	476971
3-2_F02_TIGIT	3298497	874233
3-2_F03_ERBB4	2612091	376011
3-2_F04_SLC39A8	2381992	709913
3-2_F05_VANGL1	1201139	197157
3-2_F06_TINAG	2404134	333711
3-2_F07_AREG	3638917	993663
3-2_F08_TSPAN11	2250273	531168
3-2_F09_MAP3K1	223014	33356
3-2_F10_MAPK1	203348	51264
3-2_F11_BMP2	3807558	887094
3-2_G02_ERBB3	1559163	843540
3-2_G03_SOCS2	2259776	630535
3-2_G04_SOAT1	5159421	1581504
3-2_G05_VANGL2	5546858	1414571
3-2_G06_IRF4	2761455	550210
3-2_G07_ATP6V0E	702445	132832
3-2_G08_MAP2K1	653230	116063
3-2_G09_MAP3K2	134330	19261
3-2_G10_TDTOMATO	42750	14219
3-2_G11_TIGIT	4876049	1646992
3-3_B02_KIDINS220	13292	21586
3-3_B03_CD81	68183	29143
3-3_B04_TIGIT	815472	325890
3-3_B05_TDTOMATO	23425	10231
3-3_B06_TGIF1	179316	120448
3-3_B07_CELSR1	618818	246053
3-3_B08_PI4K2B	36051	19256
3-3_B09_MAP2K2	38655	19332
3-3_B10_MAP3K5	765748	371222
3-3_B11_MAPK3	7766	3678
3-3_C02_ITGB6	11289	4865
3-3_C03_EGFR	394594	191302
3-3_C04_DRAM1	330140	276461
3-3_C05_CSNK1A1	146999	303928
3-3_C06_ADK	258440	120382
3-3_C07_GNAI2	55386	24515
3-3_C08_OCIAD2	4	1
3-3_C09_TIGIT	1499167	692172
3-3_C10_MAP3K7	754422	303674
3-3_C11_CISH	168713	86782
3-3_D02_SLC22A3	80540	35766
3-3_D03_ERBB2	86112	68491
3-3_D04_EGFL6	664192	283051
3-3_D05_CSNK2A1	85278	49722
3-3_D06_ANK3	278623	163853
3-3_D07_TIGIT	631676	260319
3-3_D08_ELOVL1	928529	378838
3-3_D09_MAP2K3	146983	74183
3-3_D10_MAP4K3	151632	65766
3-3_D11_ELF5	161581	76830
3-3_E02_TLR2	323497	137870
3-3_E03_TIGIT	304720	129225
3-3_E04_CTSH	878537	334835
3-3_E05_CSNK2A1	40922	23005
3-3_E06_MYO5C	80394	35630
3-3_E07_GNAI1	796423	339997
3-3_E08_ANTXR1	848162	368084
3-3_E09_MAP2K4	191954	68265
3-3_E10_MAP4K4	144202	53802
3-3_E11_CCN2	151260	72613
3-3_F02_TIGIT	75972	34871
3-3_F03_ERBB4	702875	321068
3-3_F04_SLC39A8	882787	277491
3-3_F05_VANGL1	197204	96848
3-3_F06_TINAG	255498	127306
3-3_F07_AREG	494777	202922
3-3_F08_TSPAN11	165474	69201
3-3_F09_MAP3K1	119652	47484
3-3_F10_MAPK1	301067	166555
3-3_F11_BMP2	221518	102205
3-3_G02_ERBB3	143949	149605
3-3_G03_SOCS2	750516	277755
3-3_G04_SOAT1	964860	461522
3-3_G05_VANGL2	188548	86221
3-3_G06_IRF4	109649	52587
3-3_G07_ATP6V0E	548390	429922
3-3_G08_MAP2K1	966744	445643
3-3_G09_MAP3K2	11144	5349
3-3_G10_TDTOMATO	32548	17021
3-3_G11_TIGIT	245066	122242
3-4_B02_KIDINS220	4931356	4409390
3-4_B03_CD81	6704185	1893552
3-4_B04_TIGIT	1557594	418856
3-4_B05_TDTOMATO	945840	100609
3-4_B06_TGIF1	1576764	387886
3-4_B07_CELSR1	6285672	1778721
3-4_B08_PI4K2B	6788090	2109875
3-4_B09_MAP2K2	7211559	2494568
3-4_B10_MAP3K5	6922624	880420
3-4_B11_MAPK3	6415681	1792829
3-4_C02_ITGB6	1935033	232512
3-4_C03_EGFR	1741491	231560
3-4_C04_DRAM1	120057	77285
3-4_C05_CSNK1A1	17970	20340
3-4_C06_ADK	1453334	517028
3-4_C07_GNAI2	1048161	243818
3-4_C08_OCIAD2	3754330	971570
3-4_C09_TIGIT	3597413	889529
3-4_C10_MAP3K7	1695904	318572
3-4_C11_CISH	73101	22794
3-4_D02_SLC22A3	3138693	694844
3-4_D03_ERBB2	2216488	1340076
3-4_D04_EGFL6	3042736	778228
3-4_D05_CSNK2A1	4373459	1644301
3-4_D06_ANK3	562093	221122
3-4_D07_TIGIT	2854251	1067038
3-4_D08_ELOVL1	3606465	523631
3-4_D09_MAP2K3	3534024	938875
3-4_D10_MAP4K3	2143428	430981
3-4_D11_ELF5	1644695	391680
3-4_E02_TLR2	2824584	594057
3-4_E03_TIGIT	2745141	576372
3-4_E04_CTSH	2493107	385131
3-4_E05_CSNK2A1	1622834	276968
3-4_E06_MYO5C	2049084	369621
3-4_E07_GNAI1	2296457	364382
3-4_E08_ANTXR1	4058279	1210292
3-4_E09_MAP2K4	3265861	394007
3-4_E10_MAP4K4	1366285	189276
3-4_E11_CCN2	4134641	613708
3-4_F02_TIGIT	4460171	1406932
3-4_F03_ERBB4	869010	163817
3-4_F04_SLC39A8	3908249	1219901
3-4_F05_VANGL1	3344054	898688
3-4_F06_TINAG	2673002	384126
3-4_F07_AREG	3880659	1006613
3-4_F08_TSPAN11	3926334	679229
3-4_F09_MAP3K1	7343280	695146
3-4_F10_MAPK1	2662581	868685
3-4_F11_BMP2	3446327	857521
3-4_G02_ERBB3	2338692	2885965
3-4_G03_SOCS2	7344909	2511550
3-4_G04_SOAT1	6857224	2508304
3-4_G05_VANGL2	5338841	1761555
3-4_G06_IRF4	3592573	528951
3-4_G07_ATP6V0E	3885885	1882086
3-4_G08_MAP2K1	4763841	738296
3-4_G09_MAP3K2	3559054	1494346
3-4_G10_TDTOMATO	2676637	543071
3-4_G11_TIGIT	5879818	787450
4-1_B02_ATF6	6068393	1918559
4-1_B03_CTCF	5187744	1578383
4-1_B04_TIGIT	4797891	1484863
4-1_B05_TDTOMATO	2165810	658594
4-1_B06_RYK	2802825	911752
4-1_B07_RNF43	3032973	748072
4-1_B08_NKD1	4331646	1099593
4-1_B09_SLC34A2	3402045	1059698
4-1_B10_RBPJL	3359511	1087513
4-1_B11_SLC6A14	882545	379063
4-1_C02_LAMP2	2410008	714255
4-1_C03_LGR5	4311519	1335027
4-1_C04_CTNNB1	2368578	523418
4-1_C05_DVL3	712175	173292
4-1_C06_DVL2	565992	127103
4-1_C07_SPRY4	2317308	590419
4-1_C08_NKD2	1848783	505921
4-1_C09_TIGIT	1896478	504959
4-1_C10_HOPX	677504	206707
4-1_C11_CD36	690866	237361
4-1_D02_CRELD1	2897623	882190
4-1_D03_LGR6	698578	131134
4-1_D04_PORCN	797709	249107
4-1_D05_WIF1	1538051	456871
4-1_D06_GSK3B	702383	219907
4-1_D07_TIGIT	1047215	204741
4-1_D08_FBXW11	2244965	613770
4-1_D09_PDE7B	4336505	1283003
4-1_D10_HBEGF	1430253	431253
4-1_D11_KCNJ15	1947741	641625
4-1_E02_CRISPLD2	1831526	513370
4-1_E03_TIGIT	468142	128960
4-1_E04_SIAH1A	775236	230928
4-1_E05_JUP	1969797	592308
4-1_E06_CELSR2	1097868	350646
4-1_E07_APC	3064366	219076
4-1_E08_MLC1	1066557	253400
4-1_E09_CDKN2B	1247488	166923
4-1_E10_SEMA3E	1163844	361218
4-1_E11_SLC34A2	1432807	545353
4-1_F02_TIGIT	1363326	177130
4-1_F03_ZNRF3	658266	164983
4-1_F04_USP6NL	1889034	324046
4-1_F05_SH3RF1	1483207	458283
4-1_F06_CELSR3	2322263	780324
4-1_F07_SPRY1	1252615	334400
4-1_F08_ZFP385B	1611865	534577
4-1_F09_BDNF	2589749	801478
4-1_F10_ZFP365	993337	232357
4-1_F11_NPR1	1720640	652430
4-1_G02_RNF43	1431711	452547
4-1_G03_LGR4	4983745	1674807
4-1_G04_DVL1	3104671	1004531
4-1_G05_PDLIM2	1101409	221470
4-1_G06_USP6NL	577521	143756
4-1_G07_SPRY2	1827562	573080
4-1_G08_LRG1	3948947	1350091
4-1_G09_CSF1R	1277748	277150
4-1_G10_TDTOMATO	597733	129912
4-1_G11_TIGIT	1272344	397275
4-2_B02_ATF6	6749171	2259341
4-2_B03_CTCF	2826521	641238
4-2_B04_TIGIT	3089979	681706
4-2_B05_TDTOMATO	3189953	841250
4-2_B06_RYK	3273281	766841
4-2_B07_RNF43	4530287	1039582
4-2_B08_NKD1	1260095	332290
4-2_B09_SLC34A2	7545237	2294482
