library name	plate	unit	well_key	crispr_target	gene_name	gene_id	organoids_area_mean_day07	organoids_area_mean_day14	organoids_area_prop_day07	organoids_area_prop_day14	organoids_count_day07	organoids_count_day14
1-1_C04_HUWE1	plate1	plate1-rep1	C04	HUWE1	Huwe1	ENSMUSG00000025261	6.26258732828959	7.59224066837651	0.0159706369326894	0.0456359850062474	57.0	61.0
1-1_C05_SFTPD	plate1	plate1-rep1	C05	SFTPD	Sftpd	ENSMUSG00000021795	6.74041776647749	8.13735953164242	0.0449625553019092	0.107542357351104	106.0	103.0
1-1_C06_TRP63	plate1	plate1-rep1	C06	TRP63	Trp63	ENSMUSG00000022510	6.90488769883687	8.19701382828794	0.0559106126132327	0.12665306122449	134.0	144.0
1-1_C07_IL1A	plate1	plate1-rep1	C07	IL1A	Il1a	ENSMUSG00000027399	6.8091849678994	8.17837333538544	0.0630740500690198	0.121622490628905	115.0	126.0
1-1_C08_PRKN	plate1	plate1-rep1	C08	PRKN	Prkn	ENSMUSG00000023826	6.78920577933355	8.14953152292808	0.0420578906312734	0.115040899625156	122.0	126.0
1-1_C09_TIGIT	plate1	plate1-rep1	C09	TIGIT	Tigit	ENSMUSG00000071552	6.80248169267648	8.26149593551044	0.0475507993683059	0.123168346522282	114.0	121.0
1-1_C10_BMP10	plate1	plate1-rep1	C10	BMP10	Bmp10	ENSMUSG00000030046	6.9899920713536	8.14709017908499	0.0898266473946444	0.112616243231987	116.0	112.0
1-1_C11_PLA2G15	plate1	plate1-rep1	C11	PLA2G15	Pla2g15	ENSMUSG00000031903	6.88413968414092	8.18370194903312	0.0444477743490913	0.130180591420242	97.0	127.0
1-1_D02_ROR1	plate1	plate1-rep1	D02	ROR1	Ror1	ENSMUSG00000035305	6.81822974434867	8.27856386149848	0.0501708288881496	0.145584173261141	105.0	149.0
1-1_D03_NPNT	plate1	plate1-rep1	D03	NPNT	Npnt	ENSMUSG00000040998	6.83235916096815	8.20186438178465	0.0466010595788451	0.119689129529363	142.0	128.0
1-1_D04_RNF43	plate1	plate1-rep1	D04	RNF43	Rnf43	ENSMUSG00000034177	6.78546821014765	8.35841305969946	0.042764818235004	0.149439400249896	114.0	133.0
1-1_D05_TNS1	plate1	plate1-rep1	D05	TNS1	Tns1	ENSMUSG00000055322	7.32241975622526	8.56838831563753	0.158037513526742	0.196995251978342	154.0	138.0
1-1_D06_TTF1	plate1	plate1-rep1	D06	TTF1	Ttf1	ENSMUSG00000026803	6.2882809614008	8.49490910726841	0.0127574382740833	0.0818290712203249	57.0	63.0
1-1_D07_TIGIT	plate1	plate1-rep1	D07	TIGIT	Tigit	ENSMUSG00000071552	7.0055255258041	8.24690009642197	0.0535981611278722	0.133327113702624	110.0	139.0
1-1_D08_KEAP1	plate1	plate1-rep1	D08	KEAP1	Keap1	ENSMUSG00000003308	6.44703340887939	8.31839209320643	0.0224030089591961	0.107549354435652	68.0	90.0
1-1_D09_TFEB	plate1	plate1-rep1	D09	TFEB	Tfeb	ENSMUSG00000023990	6.74249036188957	8.17570012417015	0.0670273957150341	0.119863723448563	99.0	119.0
1-1_D10_FGF7	plate1	plate1-rep1	D10	FGF7	Fgf7	ENSMUSG00000027208	6.95053527609713	8.2369760370679	0.0457887381031589	0.116202748854644	99.0	108.0
1-1_D11_IL1A	plate1	plate1-rep1	D11	IL1A	Il1a	ENSMUSG00000027399	6.86528974387485	8.47633377812563	0.0528252727335299	0.143436901291129	107.0	120.0
1-1_E02_TFCP2L1	plate1	plate1-rep1	E02	TFCP2L1	Tfcp2l1	ENSMUSG00000026380	6.74740319300751	8.31063332413937	0.0315409683426443	0.137199833402749	96.0	126.0
1-1_E03_TIGIT	plate1	plate1-rep1	E03	TIGIT	Tigit	ENSMUSG00000071552	6.83604137943415	8.31516254191538	0.0595126453527277	0.130021657642649	103.0	116.0
1-1_E04_SOX4	plate1	plate1-rep1	E04	SOX4	Sox4	ENSMUSG00000076431	6.63002265986137	8.24544069111394	0.0289025367181734	0.123416076634736	75.0	107.0
1-1_E05_TWIST1	plate1	plate1-rep1	E05	TWIST1	Twist1	ENSMUSG00000035799	6.91205943209925	8.28472854170554	0.116086211709283	0.153484881299459	110.0	130.0
1-1_E06_NKX21	plate1	plate1-rep1	E06	NKX21	Nkx2-1	ENSMUSG00000001496	8.131859545277	9.78836221103578	0.374417585337968	0.694069970845481	259.0	180.0
1-1_E07_USP30	plate1	plate1-rep1	E07	USP30	Usp30	ENSMUSG00000029592	6.86191363873399	8.39148211200559	0.0683927362830234	0.131112869637651	96.0	111.0
1-1_E08_NFE2L2	plate1	plate1-rep1	E08	NFE2L2	Nfe2l2	ENSMUSG00000015839	6.61961734608987	8.45377887268477	0.0408543451909804	0.13371345272803	96.0	104.0
1-1_E09_ULK1	plate1	plate1-rep1	E09	ULK1	Ulk1	ENSMUSG00000029512	6.6865014806815	8.2909867452861	0.0444004546514785	0.122153769262807	121.0	124.0
1-1_E10_INHBA	plate1	plate1-rep1	E10	INHBA	Inhba	ENSMUSG00000041324	6.72247003478537	8.36956018063466	0.0335439298865474	0.132183090379009	86.0	118.0
1-1_E11_MANF	plate1	plate1-rep1	E11	MANF	Manf	ENSMUSG00000032575	6.72101328940222	8.295447878057	0.0343258998390174	0.130948771345273	85.0	114.0
1-1_F02_TIGIT	plate1	plate1-rep1	F02	TIGIT	Tigit	ENSMUSG00000071552	6.59351134587954	8.26547617185102	0.0290989851597781	0.120459475218659	93.0	111.0
1-1_F03_RBMS3	plate1	plate1-rep1	F03	RBMS3	Rbms3	ENSMUSG00000039607	6.89077383654017	8.29838302687414	0.0488719270875156	0.123817076218242	96.0	118.0
1-1_F04_AGER	plate1	plate1-rep1	F04	AGER	Ager	ENSMUSG00000015452	6.77041952620824	8.27079602787121	0.0381604682642561	0.123851728446481	108.0	127.0
1-1_F05_TERF1	plate1	plate1-rep1	F05	TERF1	Terf1	ENSMUSG00000025925	6.57509754776155	8.23927853439321	0.0284668609164152	0.108264889629321	91.0	93.0
1-1_F06_FAM13A	plate1	plate1-rep1	F06	FAM13A	Fam13a	ENSMUSG00000037709	6.90627305121532	8.24060621402579	0.0709372454773841	0.135408579758434	117.0	126.0
1-1_F07_NR1D1	plate1	plate1-rep1	F07	NR1D1	Nr1d1	ENSMUSG00000020889	6.77635358976513	8.26109586217366	0.0807269261506812	0.125947022074136	100.0	121.0
1-1_F08_EIF2B1	plate1	plate1-rep1	F08	EIF2B1	Eif2b1	ENSMUSG00000029388	6.84110299006742	8.53235581350085	0.0611356153854978	0.118615910037484	68.0	74.0
1-1_F09_ATG16L1	plate1	plate1-rep1	F09	ATG16L1	Atg16l1	ENSMUSG00000026289	6.77278462303793	8.41775834618004	0.0356752281860974	0.135035068721366	89.0	123.0
1-1_F10_XBP1	plate1	plate1-rep1	F10	XBP1	Xbp1	ENSMUSG00000020484	6.96368788443623	8.36282299917576	0.0572690225184403	0.149923865056227	94.0	121.0
1-1_F11_RAD21	plate1	plate1-rep1	F11	RAD21	Rad21	ENSMUSG00000022314	6.24611996391465	8.96955446667044	0.0149893506781534	0.0903325281132861	48.0	33.0
1-1_G02_PID1	plate1	plate1-rep1	G02	PID1	Pid1	ENSMUSG00000045658	6.74991642808097	8.30534356552686	0.0268828459882456	0.128357017909205	84.0	120.0
1-1_G03_SERPINA1A	plate1	plate1-rep1	G03	SERPINA1A	Serpina1a	ENSMUSG00000066366	6.90602815881159	8.47518248967265	0.0462179612188789	0.143919033735943	105.0	117.0
1-1_G04_CACNA2D3	plate1	plate1-rep1	G04	CACNA2D3	Cacna2d3	ENSMUSG00000021991	7.1239402615768	8.40084757261569	0.0549661305679511	0.141855393586006	133.0	131.0
1-1_G05_CHRM3	plate1	plate1-rep1	G05	CHRM3	Chrm3	ENSMUSG00000046159	6.84090314469677	8.41698187248675	0.0394997590997212	0.143396917950854	97.0	125.0
1-1_G06_HHIP	plate1	plate1-rep1	G06	HHIP	Hhip	ENSMUSG00000064325	7.08878549132744	8.42821374810516	0.142920065081313	0.140087963348605	83.0	124.0
1-1_G07_NR1D2	plate1	plate1-rep1	G07	NR1D2	Nr1d2	ENSMUSG00000021775	6.92183173548035	8.33085142872095	0.0530291298146597	0.14323631820075	102.0	106.0
1-1_G08_ERN1	plate1	plate1-rep1	G08	ERN1	Ern1	ENSMUSG00000020715	6.71240706545914	8.4211729147956	0.0542525112898107	0.160983590170762	105.0	131.0
1-1_G09_BECLN1	plate1	plate1-rep1	G09	BECN1	Becn1	ENSMUSG00000035086	7.1656029135846	8.83415045211564	0.0775545945036498	0.297848563098709	116.0	100.0
1-1_G10_TDTOMATO	plate1	plate1-rep1	G10	TDTOMATO	nan	nan	6.44035124379278	8.82156222691272	0.0036687104952221	0.0169869221157851	17.0	10.0
1-1_G11_TIGIT	plate1	plate1-rep1	G11	TIGIT	Tigit	ENSMUSG00000071552	7.5011262789084	8.39301873423326	0.0799925148841958	0.142788504789671	131.0	110.0
1-2_B02_MET	plate1	plate1-rep2	B02	MET	Met	ENSMUSG00000009376	6.3482577437168	7.82174512964967	0.0129003533204088	0.0657597667638484	37.0	87.0
1-2_B03_GLIS3	plate1	plate1-rep2	B03	GLIS3	Glis3	ENSMUSG00000052942	6.89264175772797	8.3287603519221	0.0479214703329395	0.152399333610995	111.0	143.0
1-2_B05_TDTOMATO	plate1	plate1-rep2	B05	TDTOMATO	nan	nan	6.36642819041612	8.38238916006403	0.0088538022093997	0.0360569762598917	36.0	24.0
1-2_B06_TRP53	plate1	plate1-rep2	B06	TRP53	Trp53	ENSMUSG00000059552	7.63423052750464	8.6606711387691	0.156508704912454	0.282980758017493	245.0	203.0
1-2_B07_ACP6	plate1	plate1-rep2	B07	ACP6	Acp6	ENSMUSG00000028093	6.87538446143488	8.16200467053992	0.059471778341153	0.134718200749688	125.0	132.0
1-2_B08_PINK1	plate1	plate1-rep2	B08	PINK1	Pink1	ENSMUSG00000028756	6.85296259664638	8.13364935873465	0.136244163903961	0.101575177009579	116.0	113.0
1-2_B09_EIF2AK3	plate1	plate1-rep2	B09	EIF2AK3	Eif2ak3	ENSMUSG00000031668	6.6314241410602	8.16313337094219	0.0252610708973344	0.0995658475635152	83.0	109.0
1-2_B10_CCBE1	plate1	plate1-rep2	B10	CCBE1	Ccbe1	ENSMUSG00000046318	6.76713571957299	8.25205353343981	0.0544850469755544	0.106425156184923	91.0	107.0
1-2_B11_GDF2	plate1	plate1-rep2	B11	GDF2	Gdf2	ENSMUSG00000072625	6.73239043175989	8.11637999828957	0.0291950584852343	0.0923125364431487	93.0	111.0
1-2_C02_TEAD1	plate1	plate1-rep2	C02	TEAD1	Tead1	ENSMUSG00000055320	6.89340668978614	8.29928411851753	0.0487189745295753	0.142032653061224	102.0	125.0
1-2_C03_MECOM	plate1	plate1-rep2	C03	MECOM	Mecom	ENSMUSG00000027684	6.82684005396897	8.2405370133475	0.041250109934651	0.141315618492295	107.0	146.0
1-2_C04_HUWE1	plate1	plate1-rep2	C04	HUWE1	Huwe1	ENSMUSG00000025261	6.19661098425849	7.37441771882202	0.0145835484228679	0.0445820907955019	75.0	56.0
1-2_C05_SFTPD	plate1	plate1-rep2	C05	SFTPD	Sftpd	ENSMUSG00000021795	6.88508493879263	8.23434797730886	0.140346638293967	0.136994752186589	142.0	134.0
1-2_C06_TRP63	plate1	plate1-rep2	C06	TRP63	Trp63	ENSMUSG00000022510	6.86643267679362	8.11562500062331	0.0762014423426214	0.108693544356518	109.0	114.0
1-2_C07_IL1A	plate1	plate1-rep2	C07	IL1A	Il1a	ENSMUSG00000027399	6.72262155582949	8.13824768406208	0.043789839361576	0.0990024156601416	135.0	106.0
1-2_C08_PRKN	plate1	plate1-rep2	C08	PRKN	Prkn	ENSMUSG00000023826	6.70834283645307	8.15517668051381	0.0665618463668032	0.108580258225739	118.0	130.0
1-2_C09_TIGIT	plate1	plate1-rep2	C09	TIGIT	Tigit	ENSMUSG00000071552	6.79586722019116	8.13847241676756	0.0429211166301492	0.115132694710537	122.0	126.0
1-2_C10_BMP10	plate1	plate1-rep2	C10	BMP10	Bmp10	ENSMUSG00000030046	6.7345526679846	8.14179341736468	0.0656501057284557	0.115958017492711	117.0	124.0
1-2_C11_PLA2G15	plate1	plate1-rep2	C11	PLA2G15	Pla2g15	ENSMUSG00000031903	6.81241432365743	8.2324218351066	0.0464433272534692	0.134560599750104	116.0	121.0
1-2_D02_ROR1	plate1	plate1-rep2	D02	ROR1	Ror1	ENSMUSG00000035305	6.81654040993674	8.15558586554177	0.0382173474967402	0.110684214910454	95.0	105.0
1-2_D03_NPNT	plate1	plate1-rep2	D03	NPNT	Npnt	ENSMUSG00000040998	6.86613140672458	8.31278563358061	0.0492270638079834	0.166939441899209	120.0	162.0
1-2_D04_RNF43	plate1	plate1-rep2	D04	RNF43	Rnf43	ENSMUSG00000034177	6.83062206981229	8.37274150110814	0.051705851200104	0.162785672636402	130.0	152.0
1-2_D05_TNS1	plate1	plate1-rep2	D05	TNS1	Tns1	ENSMUSG00000055322	6.83896945106668	8.36621860242371	0.0487027233202941	0.142107455226989	116.0	121.0
1-2_D06_TTF1	plate1	plate1-rep2	D06	TTF1	Ttf1	ENSMUSG00000026803	6.63330047576378	8.42006350708227	0.0224859379242044	0.0973969179508538	63.0	85.0
1-2_D07_TIGIT	plate1	plate1-rep2	D07	TIGIT	Tigit	ENSMUSG00000071552	6.98635806684456	8.20460725076629	0.053448315418765	0.124776343190337	102.0	113.0
1-2_D08_KEAP1	plate1	plate1-rep2	D08	KEAP1	Keap1	ENSMUSG00000003308	6.43080874975065	8.12657228285547	0.0189517778822954	0.0761082882132445	66.0	71.0
1-2_D09_TFEB	plate1	plate1-rep2	D09	TFEB	Tfeb	ENSMUSG00000023990	7.13305415477964	8.2369444784081	0.145857710147255	0.133514868804665	116.0	134.0
1-2_D10_FGF7	plate1	plate1-rep2	D10	FGF7	Fgf7	ENSMUSG00000027208	6.80023781375388	8.43299163238496	0.0597640611198422	0.139094377342774	103.0	116.0
1-2_D11_IL1A	plate1	plate1-rep2	D11	IL1A	Il1a	ENSMUSG00000027399	6.85387217184777	8.32441149927419	0.0489720632152922	0.144388004997918	107.0	119.0
1-2_E02_TFCP2L1	plate1	plate1-rep2	E02	TFCP2L1	Tfcp2l1	ENSMUSG00000026380	6.92572352675517	8.20549811447277	0.0493126216450812	0.108355518533944	108.0	111.0
1-2_E03_TIGIT	plate1	plate1-rep2	E03	TIGIT	Tigit	ENSMUSG00000071552	6.73151593279576	8.43067353028428	0.0360695589995373	0.14483348604748	108.0	136.0
1-2_E04_SOX4	plate1	plate1-rep2	E04	SOX4	Sox4	ENSMUSG00000076431	6.65797164516536	8.22203985774871	0.0347881033500434	0.0926285714285714	92.0	104.0
1-2_E05_TWIST1	plate1	plate1-rep2	E05	TWIST1	Twist1	ENSMUSG00000035799	6.95361990856989	8.36064707339571	0.158923443420937	0.140512286547272	120.0	132.0
1-2_E06_NKX21	plate1	plate1-rep2	E06	NKX21	Nkx2-1	ENSMUSG00000001496	8.08491337248978	9.7719442051694	0.27509951475801	0.714879133694294	188.0	167.0
1-2_E07_USP30	plate1	plate1-rep2	E07	USP30	Usp30	ENSMUSG00000029592	7.09739279702145	8.2428233466826	0.0616915023382622	0.13502840483132	100.0	129.0
1-2_E08_NFE2L2	plate1	plate1-rep2	E08	NFE2L2	Nfe2l2	ENSMUSG00000015839	6.61088997497684	8.19422400291692	0.0416977351549983	0.11656443148688	93.0	113.0
1-2_E09_ULK1	plate1	plate1-rep2	E09	ULK1	Ulk1	ENSMUSG00000029512	6.71298063877867	8.30687372659966	0.0443712980701211	0.132210745522699	110.0	115.0
1-2_E10_INHBA	plate1	plate1-rep2	E10	INHBA	Inhba	ENSMUSG00000041324	6.80736752009965	8.13060240047059	0.0667845835293038	0.10643631820075	91.0	121.0
1-2_E11_MANF	plate1	plate1-rep2	E11	MANF	Manf	ENSMUSG00000032575	6.98910654214106	8.3464821197541	0.0481296292047614	0.147851895043732	87.0	131.0
1-2_F02_TIGIT	plate1	plate1-rep2	F02	TIGIT	Tigit	ENSMUSG00000071552	6.71113085655495	8.24080069120986	0.03914414440251	0.115799083715119	94.0	120.0
1-2_F03_RBMS3	plate1	plate1-rep2	F03	RBMS3	Rbms3	ENSMUSG00000039607	6.787202481428	8.30027179188634	0.0390029022747869	0.123107205331112	111.0	120.0
1-2_F04_AGER	plate1	plate1-rep2	F04	AGER	Ager	ENSMUSG00000015452	6.90834153935856	8.44116159358354	0.0627645601275624	0.149729779258642	111.0	129.0
1-2_F05_TERF1	plate1	plate1-rep2	F05	TERF1	Terf1	ENSMUSG00000025925	6.55146225009458	8.45004283909211	0.0291709206596844	0.133283298625573	81.0	118.0
1-2_F06_FAM13A	plate1	plate1-rep2	F06	FAM13A	Fam13a	ENSMUSG00000037709	7.25736767815741	8.44564335160339	0.217714821867627	0.138403998334028	87.0	120.0
1-2_F07_NR1D1	plate1	plate1-rep2	F07	NR1D1	Nr1d1	ENSMUSG00000020889	6.92975210291366	8.28873059134022	0.0556094872647876	0.133085214493961	112.0	129.0
1-2_F08_EIF2B1	plate1	plate1-rep2	F08	EIF2B1	Eif2b1	ENSMUSG00000029388	6.48209712848405	8.5774220024538	0.0559089396946302	0.0888284881299459	76.0	62.0
1-2_F09_ATG16L1	plate1	plate1-rep2	F09	ATG16L1	Atg16l1	ENSMUSG00000026289	6.87331900179763	8.47269989946552	0.048647039029669	0.17301957517701	117.0	155.0
1-2_F10_XBP1	plate1	plate1-rep2	F10	XBP1	Xbp1	ENSMUSG00000020484	6.79029589401058	8.38263040457944	0.0929540492277808	0.143364764681383	98.0	125.0
1-2_F11_RAD21	plate1	plate1-rep2	F11	RAD21	Rad21	ENSMUSG00000022314	6.08598795745337	8.61858811045338	0.0150536385501627	0.0880778009162849	77.0	43.0
1-2_G02_PID1	plate1	plate1-rep2	G02	PID1	Pid1	ENSMUSG00000045658	6.7926924220434	8.35295845300313	0.0466820766368792	0.135047396917951	100.0	105.0
1-2_G03_SERPINA1A	plate1	plate1-rep2	G03	SERPINA1A	Serpina1a	ENSMUSG00000066366	6.6677175509281	8.48687841501082	0.0389806763562112	0.142316034985423	105.0	125.0
1-2_G04_CACNA2D3	plate1	plate1-rep2	G04	CACNA2D3	Cacna2d3	ENSMUSG00000021991	6.82086093202399	8.30164557522589	0.0568245041469262	0.143983673469388	94.0	116.0
1-2_G05_CHRM3	plate1	plate1-rep2	G05	CHRM3	Chrm3	ENSMUSG00000046159	6.86580371286633	8.55478753299709	0.048916378924667	0.157365597667638	122.0	119.0
1-2_G06_HHIP	plate1	plate1-rep2	G06	HHIP	Hhip	ENSMUSG00000064325	7.19661725101393	8.42862772753259	0.0758902794825615	0.154750187421908	137.0	122.0
1-2_G07_NR1D2	plate1	plate1-rep2	G07	NR1D2	Nr1d2	ENSMUSG00000021775	6.85037987401095	8.28124455156968	0.0657595624027317	0.147029737609329	111.0	135.0
1-2_G08_ERN1	plate1	plate1-rep2	G08	ERN1	Ern1	ENSMUSG00000020715	6.62542491454767	8.36069179416827	0.0325330090739105	0.113745272802999	89.0	101.0
1-2_G09_BECLN1	plate1	plate1-rep2	G09	BECN1	Becn1	ENSMUSG00000035086	7.01140124217625	8.64600641227542	0.146858354459905	0.19561016243232	105.0	103.0
1-2_G10_TDTOMATO	plate1	plate1-rep2	G10	TDTOMATO	nan	nan	6.85811477316234	8.71582576789049	0.0105193121723469	0.0842522282382341	25.0	45.0
1-3_B02_MET	plate1	plate1-rep3	B02	MET	Met	ENSMUSG00000009376	6.24528168620114	7.70626083112822	0.0124250054489349	0.056019491878384	62.0	84.0
1-3_B03_GLIS3	plate1	plate1-rep3	B03	GLIS3	Glis3	ENSMUSG00000052942	6.61638866893539	8.34687267046538	0.0289761451366822	0.147772594752187	91.0	143.0
1-3_B04_TIGIT	plate1	plate1-rep3	B04	TIGIT	Tigit	ENSMUSG00000071552	6.6508836329103	8.17170177941213	0.0323064480974614	0.119317950853811	110.0	121.0
1-3_B05_TDTOMATO	plate1	plate1-rep3	B05	TDTOMATO	nan	nan	6.60744441639775	8.42383494484086	0.0082020809195507	0.0441361099541858	23.0	22.0
1-3_B06_TRP53	plate1	plate1-rep3	B06	TRP53	Trp53	ENSMUSG00000059552	7.76951624255474	8.72209809821902	0.189617197985615	0.289184173261141	244.0	183.0
1-3_B07_ACP6	plate1	plate1-rep3	B07	ACP6	Acp6	ENSMUSG00000028093	6.6649019221125	8.1382401744707	0.0333687514100314	0.105680799666805	109.0	113.0
1-3_B08_PINK1	plate1	plate1-rep3	B08	PINK1	Pink1	ENSMUSG00000028756	6.76280029297819	8.21812007118743	0.0516621163280679	0.121225322782174	102.0	113.0
1-3_B09_EIF2AK3	plate1	plate1-rep3	B09	EIF2AK3	Eif2ak3	ENSMUSG00000031668	6.77096601678527	8.36527063583011	0.0401082234942777	0.118339691795085	94.0	108.0
1-3_B10_CCBE1	plate1	plate1-rep3	B10	CCBE1	Ccbe1	ENSMUSG00000046318	6.77474866290179	8.31358636008213	0.0358616391160872	0.133849729279467	81.0	117.0
1-3_B11_GDF2	plate1	plate1-rep3	B11	GDF2	Gdf2	ENSMUSG00000072625	6.67656771779339	8.18658691254549	0.0468682485784972	0.115242648896293	111.0	108.0
1-3_C02_TEAD1	plate1	plate1-rep3	C02	TEAD1	Tead1	ENSMUSG00000055320	6.83936930057397	8.18117328780323	0.0511568949101213	0.109609496043315	99.0	119.0
1-3_C03_MECOM	plate1	plate1-rep3	C03	MECOM	Mecom	ENSMUSG00000027684	6.87210673699169	8.23613275257318	0.0453609489176695	0.127071553519367	120.0	128.0
1-3_C04_HUWE1	plate1	plate1-rep3	C04	HUWE1	Huwe1	ENSMUSG00000025261	6.39875952097296	7.99678951592081	0.012717288227624	0.0475145356101624	45.0	41.0
1-3_C05_SFTPD	plate1	plate1-rep3	C05	SFTPD	Sftpd	ENSMUSG00000021795	7.05091544929036	8.13799348907241	0.0727600097889637	0.13345739275302	144.0	148.0
1-3_C06_TRP63	plate1	plate1-rep3	C06	TRP63	Trp63	ENSMUSG00000022510	6.87917576177425	8.26821991002252	0.0402465977615393	0.137302957101208	108.0	133.0
1-3_C07_IL1A	plate1	plate1-rep3	C07	IL1A	Il1a	ENSMUSG00000027399	6.7839407011564	8.04421146682093	0.0565501454961207	0.105207496876302	120.0	133.0
1-3_C08_PRKN	plate1	plate1-rep3	C08	PRKN	Prkn	ENSMUSG00000023826	6.82814540362668	8.17037899848203	0.0468469786134086	0.117073219491878	113.0	126.0
1-3_C09_TIGIT	plate1	plate1-rep3	C09	TIGIT	Tigit	ENSMUSG00000071552	6.81553277098992	8.39912616249569	0.0387703665890432	0.15048429820908	100.0	139.0
1-3_C10_BMP10	plate1	plate1-rep3	C10	BMP10	Bmp10	ENSMUSG00000030046	6.6714417802177	8.35134515291677	0.0328248138758561	0.130440483132028	103.0	103.0
1-3_D03_NPNT	plate1	plate1-rep3	D03	NPNT	Npnt	ENSMUSG00000040998	6.9463707915665	8.2889786354092	0.0502069161322887	0.143476051645148	111.0	135.0
1-3_D04_RNF43	plate1	plate1-rep3	D04	RNF43	Rnf43	ENSMUSG00000034177	6.85827761854273	8.41550287089004	0.0621059081749318	0.138313702623907	118.0	129.0
1-3_D05_TNS1	plate1	plate1-rep3	D05	TNS1	Tns1	ENSMUSG00000055322	7.26017202409767	8.52293595625376	0.0549080563936081	0.193364931278634	141.0	161.0
1-3_D06_TTF1	plate1	plate1-rep3	D06	TTF1	Ttf1	ENSMUSG00000026803	6.53531446252592	8.49656480678052	0.0240245450617355	0.128073469387755	69.0	94.0
1-3_D07_TIGIT	plate1	plate1-rep3	D07	TIGIT	Tigit	ENSMUSG00000071552	7.04119503741987	8.24771005488812	0.0635967176381066	0.125825905872553	141.0	119.0
1-3_D09_TFEB	plate1	plate1-rep3	D09	TFEB	Tfeb	ENSMUSG00000023990	7.03677821728753	8.19877731364994	0.0487541058202272	0.128044481466056	151.0	146.0
1-3_D10_FGF7	plate1	plate1-rep3	D10	FGF7	Fgf7	ENSMUSG00000027208	6.84109711872067	8.34353936479974	0.0472568436710143	0.149756268221574	98.0	124.0
1-3_D11_IL1A	plate1	plate1-rep3	D11	IL1A	Il1a	ENSMUSG00000027399	6.88143326792041	8.52179394093826	0.0350144253381207	0.135550853810912	89.0	95.0
1-3_E02_TFCP2L1	plate1	plate1-rep3	E02	TFCP2L1	Tfcp2l1	ENSMUSG00000026380	6.72402341452575	8.27524972900268	0.0334755792122179	0.131433402748855	99.0	130.0
1-3_E03_TIGIT	plate1	plate1-rep3	E03	TIGIT	Tigit	ENSMUSG00000071552	6.85953342690006	8.30209144545689	0.0641380263001923	0.138962432319867	115.0	132.0
1-3_E04_SOX4	plate1	plate1-rep3	E04	SOX4	Sox4	ENSMUSG00000076431	6.64161500281881	8.31282182118046	0.0344891288969444	0.108834152436485	100.0	100.0
1-3_E05_TWIST1	plate1	plate1-rep3	E05	TWIST1	Twist1	ENSMUSG00000035799	6.74312197536	8.39475387582782	0.0453470875921061	0.156291711786756	110.0	153.0
1-3_E06_NKX21	plate1	plate1-rep3	E06	NKX21	Nkx2-1	ENSMUSG00000001496	8.46507053444079	9.7268053146696	0.337818667094934	0.489300957934194	210.0	126.0
1-3_E07_USP30	plate1	plate1-rep3	E07	USP30	Usp30	ENSMUSG00000029592	6.81325620493312	8.38955063602489	0.0403873619125188	0.125618992086631	106.0	120.0
