resource,ligand,receptor,human_ligand,human_receptor,family
consensus,Wnt2,Fzd5_Lrp6,WNT2,FZD5_LRP6,exploratory
consensus,Wnt2,Fzd2_Lrp6,WNT2,FZD2_LRP6,exploratory
consensus,Wnt2,Fzd8_Lrp6,WNT2,FZD8_LRP6,exploratory
consensus,Wnt2,Fzd3_Lrp6,WNT2,FZD3_LRP6,exploratory
consensus,Wnt2,Fzd4_Lrp6,WNT2,FZD4_LRP6,exploratory
consensus,Wnt2,Fzd10_Lrp6,WNT2,FZD10_LRP6,exploratory
consensus,Wnt2,Fzd1_Lrp6,WNT2,FZD1_LRP6,exploratory
consensus,Areg,Egfr_Erbb2,AREG,EGFR_ERBB2,core
consensus,Areg,Erbb3,AREG,ERBB3,core
consensus,Vegfa,Flt1_Kdr,VEGFA,FLT1_KDR,exploratory
consensus,Vegfa,Nrp1,VEGFA,NRP1,exploratory
consensus,Vegfa,Nrp2,VEGFA,NRP2,exploratory
consensus,Vegfa,Egfr,VEGFA,EGFR,exploratory
consensus,Vegfa,Itgb3,VEGFA,ITGB3,exploratory
consensus,Vegfa,Itgb1,VEGFA,ITGB1,exploratory
consensus,Vegfa,Itgav,VEGFA,ITGAV,exploratory
consensus,Vegfa,Ret,VEGFA,RET,exploratory
consensus,Vegfa,Ephb2,VEGFA,EPHB2,exploratory
consensus,Vegfa,Gpc1,VEGFA,GPC1,exploratory
consensus,Vegfa,Tyro3,VEGFA,TYRO3,exploratory
consensus,Vegfa,Itga9,VEGFA,ITGA9,exploratory
consensus,Fgf7,Nrp1,FGF7,NRP1,exploratory
consensus,Fgf7,Fgfr1,FGF7,FGFR1,exploratory
consensus,Fgf7,Fgfr2,FGF7,FGFR2,exploratory
consensus,Fgf7,Fgfr4,FGF7,FGFR4,exploratory
consensus,Fgf7,Fgfr3,FGF7,FGFR3,exploratory
consensus,Wnt5a,Fzd9,WNT5A,FZD9,exploratory
consensus,Wnt5a,Fzd6,WNT5A,FZD6,exploratory
consensus,Wnt5a,Fzd7,WNT5A,FZD7,exploratory
consensus,Wnt5a,Lrp5,WNT5A,LRP5,exploratory
consensus,Wnt5a,Lrp6,WNT5A,LRP6,exploratory
consensus,Wnt5a,Ldlr,WNT5A,LDLR,exploratory
consensus,Wnt5a,Adrb2,WNT5A,ADRB2,exploratory
consensus,Wnt5a,Ryk,WNT5A,RYK,exploratory
consensus,Wnt5a,Mcam,WNT5A,MCAM,exploratory
consensus,Wnt5a,Lrp2,WNT5A,LRP2,exploratory
consensus,Wnt5a,Ror1,WNT5A,ROR1,exploratory
consensus,Wnt5a,Ror2,WNT5A,ROR2,exploratory
consensus,Wnt5a,Ptk7,WNT5A,PTK7,exploratory
consensus,Wnt5a,Fzd5,WNT5A,FZD5,exploratory
consensus,Wnt5a,Fzd2,WNT5A,FZD2,exploratory
consensus,Wnt5a,Ptprk,WNT5A,PTPRK,exploratory
consensus,Wnt5a,Epha7,WNT5A,EPHA7,exploratory
consensus,Wnt5a,Fzd8,WNT5A,FZD8,exploratory
consensus,Wnt5a,Antxr1,WNT5A,ANTXR1,exploratory
consensus,Wnt5a,Fzd3,WNT5A,FZD3,exploratory
consensus,Wnt5a,Fzd4,WNT5A,FZD4,exploratory
consensus,Wnt5a,Fzd10,WNT5A,FZD10,exploratory
consensus,Cxcl12,Cd4,CXCL12,CD4,exploratory
consensus,Cxcl12,Itgb3,CXCL12,ITGB3,exploratory
consensus,Cxcl12,Itgb1,CXCL12,ITGB1,exploratory
consensus,Cxcl12,Itgav,CXCL12,ITGAV,exploratory
consensus,Cxcl12,Itga5,CXCL12,ITGA5,exploratory
consensus,Cxcl12,Itga4,CXCL12,ITGA4,exploratory
consensus,Cxcl12,Ackr3,CXCL12,ACKR3,exploratory
consensus,Cxcl12,Avpr1a,CXCL12,AVPR1A,exploratory
consensus,Cxcl12,Mtnr1a,CXCL12,MTNR1A,exploratory
consensus,Cxcl12,Cxcr3,CXCL12,CXCR3,exploratory
consensus,Cxcl12,Ccr4,CXCL12,CCR4,exploratory
consensus,Cxcl12,Cxcr4,CXCL12,CXCR4,exploratory
consensus,Cxcl12,Grm7,CXCL12,GRM7,exploratory
consensus,Wnt3,Fzd9_Lrp5,WNT3,FZD9_LRP5,exploratory
consensus,Wnt3,Fzd9_Lrp6,WNT3,FZD9_LRP6,exploratory
consensus,Wnt3,Fzd6_Lrp5,WNT3,FZD6_LRP5,exploratory
consensus,Wnt3,Fzd6_Lrp6,WNT3,FZD6_LRP6,exploratory
consensus,Wnt3,Fzd7_Lrp5,WNT3,FZD7_LRP5,exploratory
consensus,Wnt3,Fzd7_Lrp6,WNT3,FZD7_LRP6,exploratory
consensus,Wnt3,Fzd5_Lrp5,WNT3,FZD5_LRP5,exploratory
