sample_id,day,tam,lineage,n_scored,n_traced,pct_traced,phase,window,series
EEM-scRNA-180,42,7,Mesenchyme,776,104,13.402,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Myeloid,652,250,38.344,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-126,42,14,Endothelium,1897,396,20.875,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-126,42,14,Epithelium,527,110,20.873,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-126,42,14,Lymphoid,131,39,29.771,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-126,42,14,Mesenchyme,966,79,8.178,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-126,42,14,Myeloid,239,74,30.962,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-181,42,14,Endothelium,2423,190,7.842,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-181,42,14,Epithelium,215,10,4.651,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-181,42,14,Lymphoid,408,156,38.235,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-181,42,14,Mesenchyme,1020,61,5.98,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-181,42,14,Myeloid,474,165,34.81,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-127,42,21,Endothelium,2671,73,2.733,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-127,42,21,Epithelium,163,18,11.043,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-127,42,21,Lymphoid,185,77,41.622,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-127,42,21,Mesenchyme,863,44,5.098,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-127,42,21,Myeloid,198,126,63.636,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-182,42,21,Endothelium,1988,46,2.314,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-182,42,21,Epithelium,310,30,9.677,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-182,42,21,Lymphoid,314,103,32.803,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-182,42,21,Mesenchyme,1103,47,4.261,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-182,42,21,Myeloid,611,232,37.971,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-236,90,2,Endothelium,1566,18,1.149,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-236,90,2,Epithelium,358,110,30.726,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-236,90,2,Lymphoid,179,69,38.547,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-236,90,2,Mesenchyme,928,52,5.603,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-236,90,2,Myeloid,209,96,45.933,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-237,90,7,Endothelium,2124,152,7.156,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-237,90,7,Epithelium,323,216,66.873,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-237,90,7,Lymphoid,198,58,29.293,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-237,90,7,Mesenchyme,1976,297,15.03,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-237,90,7,Myeloid,411,162,39.416,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-238,90,14,Endothelium,2218,433,19.522,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-238,90,14,Epithelium,450,66,14.667,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-238,90,14,Lymphoid,98,33,33.673,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-238,90,14,Mesenchyme,997,72,7.222,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-238,90,14,Myeloid,253,78,30.83,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-239,90,21,Endothelium,2480,58,2.339,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-239,90,21,Epithelium,498,30,6.024,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-239,90,21,Lymphoid,231,40,17.316,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-239,90,21,Mesenchyme,2017,50,2.479,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-239,90,21,Myeloid,498,121,24.297,injury resolution,tamoxifen 21 dpi,later_harvest
EEM-scRNA-312,366,7,Endothelium,1114,153,13.734,long-term homeostasis,tamoxifen 7 dpi,later_harvest
EEM-scRNA-312,366,7,Epithelium,340,107,31.471,long-term homeostasis,tamoxifen 7 dpi,later_harvest
EEM-scRNA-312,366,7,Lymphoid,142,12,8.451,long-term homeostasis,tamoxifen 7 dpi,later_harvest
EEM-scRNA-312,366,7,Mesenchyme,749,116,15.487,long-term homeostasis,tamoxifen 7 dpi,later_harvest
EEM-scRNA-312,366,7,Myeloid,219,59,26.941,long-term homeostasis,tamoxifen 7 dpi,later_harvest
EEM-scRNA-310,366,14,Endothelium,1979,528,26.68,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-310,366,14,Epithelium,559,189,33.81,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-310,366,14,Lymphoid,85,28,32.941,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-310,366,14,Mesenchyme,805,86,10.683,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-310,366,14,Myeloid,226,67,29.646,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-311,366,14,Endothelium,1634,382,23.378,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-311,366,14,Epithelium,505,278,55.05,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-311,366,14,Lymphoid,200,45,22.5,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-311,366,14,Mesenchyme,787,121,15.375,long-term homeostasis,tamoxifen 14 dpi,later_harvest
EEM-scRNA-311,366,14,Myeloid,211,50,23.697,long-term homeostasis,tamoxifen 14 dpi,later_harvest
