"config","comp","label","cell_floor","case","reference","n_patients","genes_tested","residual_df","patient_ids"
"unc20_pooled","AT2","__broad__",50,"LUAD","AAH",8,12906,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",50,"LUAD","AIS",12,13105,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",50,"LUAD","MIA",4,12050,3,"10;13;15;18"
"unc20_pooled","AT2","__broad__",30,"AAH","normal",8,12269,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",30,"AIS","normal",12,12705,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",30,"MIA","normal",4,11425,3,"10;13;15;18"
"unc20_pooled","AT2","__broad__",30,"LUAD","normal",23,13388,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","AT2","__broad__",30,"LUAD","AAH",8,12906,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",30,"LUAD","AIS",12,13105,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",30,"LUAD","MIA",4,12050,3,"10;13;15;18"
"unc20_pooled","AT2","__broad__",100,"AAH","normal",8,12269,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",100,"AIS","normal",11,12663,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",100,"MIA","normal",3,11523,2,"10;15;18"
"unc20_pooled","AT2","__broad__",100,"LUAD","normal",22,13502,21,"3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","AT2","__broad__",100,"LUAD","AAH",8,12906,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","AT2","__broad__",100,"LUAD","AIS",11,13299,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","AT2","__broad__",100,"LUAD","MIA",4,12050,3,"10;13;15;18"
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","AIS",3,8722,2,"19;22;23"
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"AIS","normal",3,6751,2,"17;19;23"
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","normal",4,8870,3,"4;17;19;23"
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","AIS",4,8986,3,"17;19;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"AAH","normal",8,12110,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"AIS","normal",11,11920,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"MIA","normal",4,9635,3,"10;13;15;18"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","normal",22,12294,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AAH",8,12327,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AIS",11,11558,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","MIA",4,10819,3,"10;13;15;18"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"AAH","normal",8,12110,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"AIS","normal",11,11920,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"MIA","normal",4,9635,3,"10;13;15;18"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","normal",22,12294,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","AAH",8,12327,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","AIS",11,11558,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","MIA",4,10819,3,"10;13;15;18"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"AAH","normal",8,12110,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"AIS","normal",10,12074,9,"3;5;9;12;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"MIA","normal",3,10460,2,"10;15;18"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","normal",18,13104,17,"4;5;6;7;9;10;11;12;15;16;17;18;19;20;22;23;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","AAH",8,12327,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","AIS",9,11651,8,"5;9;12;14;16;17;19;22;23"
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","MIA",4,10819,3,"10;13;15;18"
"unc20_pooled","fibroblasts","__broad__",50,"AAH","normal",8,12187,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",50,"AIS","normal",11,11942,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",50,"MIA","normal",4,9731,3,"10;13;15;18"
"unc20_pooled","fibroblasts","__broad__",50,"LUAD","normal",22,13153,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","fibroblasts","__broad__",50,"LUAD","AAH",8,13234,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",50,"LUAD","AIS",11,11964,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",50,"LUAD","MIA",4,11378,3,"10;13;15;18"
"unc20_pooled","fibroblasts","__broad__",30,"AAH","normal",8,12187,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",30,"AIS","normal",11,11942,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",30,"MIA","normal",4,9731,3,"10;13;15;18"
"unc20_pooled","fibroblasts","__broad__",30,"LUAD","normal",22,13153,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","fibroblasts","__broad__",30,"LUAD","AAH",8,13234,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",30,"LUAD","AIS",11,11964,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",30,"LUAD","MIA",4,11378,3,"10;13;15;18"
"unc20_pooled","fibroblasts","__broad__",100,"AAH","normal",8,12187,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",100,"AIS","normal",10,12213,9,"3;5;9;12;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",100,"MIA","normal",3,10574,2,"10;15;18"
"unc20_pooled","fibroblasts","__broad__",100,"LUAD","normal",19,13697,18,"4;5;6;7;9;10;11;12;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","fibroblasts","__broad__",100,"LUAD","AAH",8,13234,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","fibroblasts","__broad__",100,"LUAD","AIS",10,12664,9,"5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","fibroblasts","__broad__",100,"LUAD","MIA",4,11378,3,"10;13;15;18"
"unc20_pooled","macrophages","Monocyte-derived Mph",30,"LUAD","normal",3,7349,2,"4;24;25"
"unc20_pooled","macrophages","Alveolar macrophages",50,"AAH","normal",3,11273,2,"4;6;22"
"unc20_pooled","macrophages","Alveolar macrophages",50,"AIS","normal",5,10743,4,"14;17;19;21;22"
"unc20_pooled","macrophages","Alveolar macrophages",50,"LUAD","normal",9,11471,8,"4;5;6;7;14;17;18;19;22"
"unc20_pooled","macrophages","Alveolar macrophages",50,"LUAD","AAH",5,11349,4,"4;6;11;20;22"
"unc20_pooled","macrophages","Alveolar macrophages",50,"LUAD","AIS",5,11304,4,"14;17;19;22;23"
"unc20_pooled","macrophages","Alveolar macrophages",30,"AAH","normal",5,9326,4,"4;6;9;22;25"
"unc20_pooled","macrophages","Alveolar macrophages",30,"AIS","normal",9,10096,8,"5;9;12;14;16;17;19;21;22"
"unc20_pooled","macrophages","Alveolar macrophages",30,"LUAD","normal",13,10689,12,"4;5;6;7;9;12;14;15;17;18;19;22;25"
"unc20_pooled","macrophages","Alveolar macrophages",30,"LUAD","AAH",7,10791,6,"4;6;9;11;20;22;25"
"unc20_pooled","macrophages","Alveolar macrophages",30,"LUAD","AIS",8,10848,7,"5;9;12;14;17;19;22;23"
"unc20_pooled","macrophages","Alveolar macrophages",30,"LUAD","MIA",3,9217,2,"13;15;18"
"unc20_pooled","macrophages","Alveolar macrophages",100,"AIS","normal",3,10672,2,"19;21;22"
"unc20_pooled","macrophages","Alveolar macrophages",100,"LUAD","normal",5,11857,4,"4;5;18;19;22"
"unc20_pooled","macrophages","Alveolar macrophages",100,"LUAD","AAH",3,11737,2,"4;20;22"
"unc20_pooled","macrophages","Interstitial Mph perivascular",30,"LUAD","normal",3,5283,2,"4;17;22"
"unc20_pooled","macrophages","Interstitial Mph perivascular",30,"LUAD","AAH",3,3828,2,"4;20;22"
"unc20_pooled","macrophages","Interstitial Mph perivascular",30,"LUAD","AIS",3,4591,2,"17;19;22"
"unc20_pooled","macrophages","__broad__",50,"AAH","normal",5,10182,4,"4;6;22;24;25"
"unc20_pooled","macrophages","__broad__",50,"AIS","normal",5,11101,4,"14;17;19;21;22"
"unc20_pooled","macrophages","__broad__",50,"LUAD","normal",12,11669,11,"4;5;6;7;14;17;18;19;21;22;24;25"
"unc20_pooled","macrophages","__broad__",50,"LUAD","AAH",8,11295,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","macrophages","__broad__",50,"LUAD","AIS",7,11805,6,"9;14;17;19;21;22;23"
"unc20_pooled","macrophages","__broad__",50,"LUAD","MIA",3,9390,2,"13;15;18"
"unc20_pooled","macrophages","__broad__",30,"AAH","normal",7,9709,6,"4;6;9;20;22;24;25"
"unc20_pooled","macrophages","__broad__",30,"AIS","normal",10,10619,9,"5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","macrophages","__broad__",30,"LUAD","normal",18,11064,17,"4;5;6;7;9;12;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_pooled","macrophages","__broad__",30,"LUAD","AAH",8,11295,7,"4;6;9;11;20;22;24;25"
"unc20_pooled","macrophages","__broad__",30,"LUAD","AIS",10,11322,9,"5;9;12;14;16;17;19;21;22;23"
"unc20_pooled","macrophages","__broad__",30,"LUAD","MIA",4,9621,3,"10;13;15;18"
"unc20_pooled","macrophages","__broad__",100,"AIS","normal",5,11101,4,"14;17;19;21;22"
"unc20_pooled","macrophages","__broad__",100,"LUAD","normal",7,11888,6,"4;5;17;18;19;22;25"
"unc20_pooled","macrophages","__broad__",100,"LUAD","AAH",4,12232,3,"4;20;22;24"
"unc20_pooled","macrophages","__broad__",100,"LUAD","AIS",4,11852,3,"17;19;22;23"
"unc30_pooled","AT2","AT2",50,"AAH","normal",8,12402,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","AT2","AT2",50,"AIS","normal",12,12759,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc30_pooled","AT2","AT2",50,"MIA","normal",4,11713,3,"10;13;15;18"
"unc30_pooled","AT2","AT2",50,"LUAD","normal",23,13808,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc30_pooled","AT2","AT2",50,"LUAD","AAH",8,13085,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","AT2","AT2",50,"LUAD","AIS",12,13271,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc30_pooled","AT2","AT2",50,"LUAD","MIA",4,12260,3,"10;13;15;18"
"unc30_pooled","AT2","__broad__",50,"AAH","normal",8,12413,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","AT2","__broad__",50,"AIS","normal",12,12791,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc30_pooled","AT2","__broad__",50,"MIA","normal",4,11727,3,"10;13;15;18"
"unc30_pooled","AT2","__broad__",50,"LUAD","normal",23,13840,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc30_pooled","AT2","__broad__",50,"LUAD","AAH",8,13166,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","AT2","__broad__",50,"LUAD","AIS",12,13319,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc30_pooled","AT2","__broad__",50,"LUAD","MIA",4,12304,3,"10;13;15;18"
"unc30_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","normal",3,9912,2,"4;17;19"
"unc30_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","AIS",4,10080,3,"17;19;22;23"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"AAH","normal",8,12424,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"AIS","normal",11,12356,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"MIA","normal",4,9916,3,"10;13;15;18"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","normal",22,12871,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AAH",8,12680,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AIS",11,11953,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc30_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","MIA",4,11111,3,"10;13;15;18"
"unc30_pooled","fibroblasts","__broad__",50,"AAH","normal",8,12478,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","fibroblasts","__broad__",50,"AIS","normal",11,12441,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc30_pooled","fibroblasts","__broad__",50,"MIA","normal",4,10228,3,"10;13;15;18"
"unc30_pooled","fibroblasts","__broad__",50,"LUAD","normal",22,13452,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc30_pooled","fibroblasts","__broad__",50,"LUAD","AAH",8,13647,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","fibroblasts","__broad__",50,"LUAD","AIS",11,12432,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc30_pooled","fibroblasts","__broad__",50,"LUAD","MIA",4,11748,3,"10;13;15;18"
"unc30_pooled","macrophages","Alveolar macrophages",50,"AAH","normal",4,10652,3,"4;6;22;25"
"unc30_pooled","macrophages","Alveolar macrophages",50,"AIS","normal",6,11638,5,"14;17;19;21;22;23"
"unc30_pooled","macrophages","Alveolar macrophages",50,"LUAD","normal",12,11973,11,"4;5;6;7;14;17;18;19;22;23;24;25"
"unc30_pooled","macrophages","Alveolar macrophages",50,"LUAD","AAH",6,11549,5,"4;6;11;20;22;25"
"unc30_pooled","macrophages","Alveolar macrophages",50,"LUAD","AIS",5,11898,4,"14;17;19;22;23"
"unc30_pooled","macrophages","Monocyte-derived Mph",50,"LUAD","normal",5,9984,4,"3;4;23;24;25"
"unc30_pooled","macrophages","Monocyte-derived Mph",50,"LUAD","AIS",3,7977,2,"3;21;23"
"unc30_pooled","macrophages","Interstitial Mph perivascular",50,"LUAD","normal",3,6874,2,"4;17;22"
"unc30_pooled","macrophages","Interstitial Mph perivascular",50,"LUAD","AAH",3,5602,2,"4;20;22"
"unc30_pooled","macrophages","Interstitial Mph perivascular",50,"LUAD","AIS",4,6566,3,"17;19;22;23"
"unc30_pooled","macrophages","__broad__",50,"AAH","normal",5,11520,4,"4;6;22;24;25"
"unc30_pooled","macrophages","__broad__",50,"AIS","normal",9,11866,8,"3;5;14;16;17;19;21;22;23"
"unc30_pooled","macrophages","__broad__",50,"LUAD","normal",16,12305,15,"3;4;5;6;7;14;15;16;17;18;19;21;22;23;24;25"
"unc30_pooled","macrophages","__broad__",50,"LUAD","AAH",8,12219,7,"4;6;9;11;20;22;24;25"
"unc30_pooled","macrophages","__broad__",50,"LUAD","AIS",11,11354,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc30_pooled","macrophages","__broad__",50,"LUAD","MIA",4,10197,3,"10;13;15;18"
"unc20_largest_library","AT2","AT2",50,"AAH","normal",8,12281,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","AT2","AT2",50,"AIS","normal",12,12688,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","AT2","AT2",50,"MIA","normal",4,11422,3,"10;13;15;18"
"unc20_largest_library","AT2","AT2",50,"LUAD","normal",23,13212,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_largest_library","AT2","AT2",50,"LUAD","AAH",8,12850,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","AT2","AT2",50,"LUAD","AIS",12,13060,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","AT2","AT2",50,"LUAD","MIA",4,12024,3,"10;13;15;18"
"unc20_largest_library","AT2","__broad__",50,"AAH","normal",8,12290,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","AT2","__broad__",50,"AIS","normal",12,12711,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","AT2","__broad__",50,"MIA","normal",4,11425,3,"10;13;15;18"
"unc20_largest_library","AT2","__broad__",50,"LUAD","normal",23,13284,22,"3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_largest_library","AT2","__broad__",50,"LUAD","AAH",8,12911,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","AT2","__broad__",50,"LUAD","AIS",12,13115,11,"3;5;8;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","AT2","__broad__",50,"LUAD","MIA",4,12050,3,"10;13;15;18"
"unc20_largest_library","fibroblasts","Adventitial fibroblasts",50,"LUAD","AIS",3,8727,2,"19;22;23"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"AAH","normal",8,12138,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"AIS","normal",11,11926,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"MIA","normal",4,9635,3,"10;13;15;18"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"LUAD","normal",22,12298,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"LUAD","AAH",8,12332,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"LUAD","AIS",11,11570,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","fibroblasts","Alveolar fibroblasts",50,"LUAD","MIA",4,10819,3,"10;13;15;18"
"unc20_largest_library","fibroblasts","__broad__",50,"AAH","normal",8,12201,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","fibroblasts","__broad__",50,"AIS","normal",11,11957,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","fibroblasts","__broad__",50,"MIA","normal",4,9731,3,"10;13;15;18"
"unc20_largest_library","fibroblasts","__broad__",50,"LUAD","normal",22,13163,21,"3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25"
"unc20_largest_library","fibroblasts","__broad__",50,"LUAD","AAH",8,13229,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","fibroblasts","__broad__",50,"LUAD","AIS",11,11978,10,"3;5;9;12;14;16;17;19;21;22;23"
"unc20_largest_library","fibroblasts","__broad__",50,"LUAD","MIA",4,11378,3,"10;13;15;18"
"unc20_largest_library","macrophages","Alveolar macrophages",50,"AAH","normal",3,11164,2,"4;6;22"
"unc20_largest_library","macrophages","Alveolar macrophages",50,"AIS","normal",5,10738,4,"14;17;19;21;22"
"unc20_largest_library","macrophages","Alveolar macrophages",50,"LUAD","normal",9,11229,8,"4;5;6;7;14;17;18;19;22"
"unc20_largest_library","macrophages","Alveolar macrophages",50,"LUAD","AAH",5,11359,4,"4;6;11;20;22"
"unc20_largest_library","macrophages","Alveolar macrophages",50,"LUAD","AIS",5,11223,4,"14;17;19;22;23"
"unc20_largest_library","macrophages","__broad__",50,"AAH","normal",5,10195,4,"4;6;22;24;25"
"unc20_largest_library","macrophages","__broad__",50,"AIS","normal",5,11103,4,"14;17;19;21;22"
"unc20_largest_library","macrophages","__broad__",50,"LUAD","normal",12,11667,11,"4;5;6;7;14;17;18;19;21;22;24;25"
"unc20_largest_library","macrophages","__broad__",50,"LUAD","AAH",8,11297,7,"4;6;9;11;20;22;24;25"
"unc20_largest_library","macrophages","__broad__",50,"LUAD","AIS",7,11800,6,"9;14;17;19;21;22;23"
"unc20_largest_library","macrophages","__broad__",50,"LUAD","MIA",3,9390,2,"13;15;18"
