patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
21,LUAD,Interstitial Mph perivascular,macrophages,subtype,3,7145,GSM9237961,1,0.2,largest_library,unc20_largest_library_1819
21,LUAD,Monocyte-derived Mph,macrophages,subtype,35,120801,GSM9237961,1,0.2,largest_library,unc20_largest_library_1823
21,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,94,262433,GSM9237961,1,0.2,largest_library,unc20_largest_library_1827
21,normal,AT2,AT2,subtype,337,1441902,GSM9237958,1,0.2,largest_library,unc20_largest_library_1835
21,normal,Adventitial fibroblasts,fibroblasts,subtype,10,26053,GSM9237958,1,0.2,largest_library,unc20_largest_library_1836
21,normal,Alveolar fibroblasts,fibroblasts,subtype,310,686995,GSM9237958,1,0.2,largest_library,unc20_largest_library_1837
21,normal,Alveolar macrophages,macrophages,subtype,102,784096,GSM9237958,1,0.2,largest_library,unc20_largest_library_1838
21,normal,Monocyte-derived Mph,macrophages,subtype,9,20738,GSM9237958,1,0.2,largest_library,unc20_largest_library_1853
21,normal,Myofibroblasts,fibroblasts,subtype,1,1959,GSM9237958,1,0.2,largest_library,unc20_largest_library_1855
21,normal,Peribronchial fibroblasts,fibroblasts,subtype,1,3146,GSM9237958,1,0.2,largest_library,unc20_largest_library_1857
22,AAH,AT2,AT2,subtype,550,2034524,GSM9237963,1,0.2,largest_library,unc20_largest_library_1864
22,AAH,Adventitial fibroblasts,fibroblasts,subtype,15,46007,GSM9237963,1,0.2,largest_library,unc20_largest_library_1865
22,AAH,Alveolar Mph proliferating,macrophages,subtype,1,19109,GSM9237963,1,0.2,largest_library,unc20_largest_library_1866
22,AAH,Alveolar fibroblasts,fibroblasts,subtype,570,1174704,GSM9237963,1,0.2,largest_library,unc20_largest_library_1867
22,AAH,Alveolar macrophages,macrophages,subtype,334,4113870,GSM9237963,1,0.2,largest_library,unc20_largest_library_1868
22,AAH,Interstitial Mph perivascular,macrophages,subtype,44,87758,GSM9237963,1,0.2,largest_library,unc20_largest_library_1880
22,AAH,Monocyte-derived Mph,macrophages,subtype,5,10541,GSM9237963,1,0.2,largest_library,unc20_largest_library_1883
22,AAH,Myofibroblasts,fibroblasts,subtype,9,12412,GSM9237963,1,0.2,largest_library,unc20_largest_library_1885
22,AIS,AT2,AT2,subtype,795,3186648,GSM9237964,1,0.2,largest_library,unc20_largest_library_1897
22,AIS,Adventitial fibroblasts,fibroblasts,subtype,52,172649,GSM9237964,1,0.2,largest_library,unc20_largest_library_1898
