patient,histology,resource,config,common_pairs,edge_jaccard,shared_edge_spearman,shared_edges
6,LUAD,cellchatdb,floor30,5,1.0,1.0,22
6,LUAD,consensus,floor100,5,1.0,1.0,103
6,LUAD,cellchatdb,floor100,5,1.0,1.0,22
6,LUAD,consensus,expression005,5,0.569060773480663,1.0,103
6,LUAD,cellchatdb,expression005,5,0.5,1.0,22
6,LUAD,consensus,expression020,5,0.4077669902912621,1.0,42
6,LUAD,cellchatdb,expression020,5,0.2727272727272727,1.0,6
6,LUAD,consensus,uncertainty030,5,0.8235294117647058,0.9191403360330763,98
6,LUAD,cellchatdb,uncertainty030,5,0.6923076923076923,0.9900826446280991,18
6,LUAD,consensus,largest_library,5,1.0,1.0,103
6,LUAD,cellchatdb,largest_library,5,1.0,1.0,22
6,normal,consensus,cap500_seed1,5,1.0,0.9999999999999999,96
6,normal,cellchatdb,cap500_seed1,5,1.0,1.0,20
6,normal,consensus,cap500_seed2,5,1.0,0.9999999999999999,96
6,normal,cellchatdb,cap500_seed2,5,1.0,1.0,20
6,normal,consensus,floor30,5,1.0,0.9999999999999999,96
6,normal,cellchatdb,floor30,5,1.0,1.0,20
6,normal,consensus,floor100,2,1.0,1.0,29
6,normal,cellchatdb,floor100,2,1.0,1.0,7
6,normal,consensus,expression005,5,0.768,0.9999999999999999,96
6,normal,cellchatdb,expression005,5,0.6060606060606061,1.0,20
6,normal,consensus,expression020,5,0.3541666666666667,1.0,34
6,normal,cellchatdb,expression020,5,0.4,1.0,8
6,normal,consensus,uncertainty030,5,0.9504950495049505,0.9998861047835989,96
6,normal,cellchatdb,uncertainty030,5,1.0,1.0,20
6,normal,consensus,largest_library,5,1.0,0.9999999999999999,96
6,normal,cellchatdb,largest_library,5,1.0,1.0,20
7,LUAD,consensus,cap500_seed1,14,0.9795221843003413,0.9697837430811844,287
7,LUAD,cellchatdb,cap500_seed1,14,0.9661016949152542,0.9993518768566029,57
7,LUAD,consensus,cap500_seed2,14,0.9829351535836177,0.9886895816515215,288
7,LUAD,cellchatdb,cap500_seed2,14,0.9661016949152542,1.0,57
7,LUAD,consensus,floor30,14,1.0,1.0,291
7,LUAD,cellchatdb,floor30,14,1.0,1.0,57
7,LUAD,consensus,floor100,9,1.0,1.0,197
7,LUAD,cellchatdb,floor100,9,1.0,1.0,40
7,LUAD,consensus,expression005,14,0.6024844720496895,1.0,291
7,LUAD,cellchatdb,expression005,14,0.5377358490566038,1.0,57
7,LUAD,consensus,expression020,14,0.5085910652920962,1.0,148
7,LUAD,cellchatdb,expression020,14,0.3508771929824561,1.0,20
7,LUAD,consensus,uncertainty030,14,0.8878504672897196,0.9778392002156638,285
7,LUAD,cellchatdb,uncertainty030,14,0.9491525423728814,0.9993250843644544,56
7,LUAD,consensus,largest_library,5,0.8640776699029126,0.8363097419983347,89
7,LUAD,cellchatdb,largest_library,5,0.6666666666666666,0.6349920738768636,14
7,normal,consensus,cap500_seed1,5,0.8717948717948718,1.0,68
7,normal,cellchatdb,cap500_seed1,5,0.8461538461538461,1.0,11
7,normal,consensus,cap500_seed2,5,0.972972972972973,0.6988459483023949,72
7,normal,cellchatdb,cap500_seed2,5,1.0,1.0,11
7,normal,consensus,floor30,5,1.0,0.9999999999999999,74
7,normal,cellchatdb,floor30,5,1.0,1.0,11
7,normal,consensus,floor100,2,1.0,1.0,22
7,normal,cellchatdb,floor100,2,1.0,,4
7,normal,consensus,expression005,5,0.6166666666666667,0.9999999999999999,74
7,normal,cellchatdb,expression005,5,0.4074074074074074,1.0,11
7,normal,consensus,expression020,5,0.33783783783783783,1.0,25
7,normal,cellchatdb,expression020,5,0.2727272727272727,1.0,3
7,normal,consensus,uncertainty030,5,1.0,0.6988682108839249,74
7,normal,cellchatdb,uncertainty030,5,1.0,1.0,11
7,normal,consensus,largest_library,5,1.0,0.9999999999999999,74
7,normal,cellchatdb,largest_library,5,1.0,1.0,11
8,AIS,consensus,cap500_seed1,0,,,0
8,AIS,cellchatdb,cap500_seed1,0,,,0
8,AIS,consensus,cap500_seed2,0,,,0
8,AIS,cellchatdb,cap500_seed2,0,,,0
8,AIS,consensus,floor30,0,,,0
8,AIS,cellchatdb,floor30,0,,,0
8,AIS,consensus,floor100,0,,,0
8,AIS,cellchatdb,floor100,0,,,0
8,AIS,consensus,expression005,0,,,0
8,AIS,cellchatdb,expression005,0,,,0
8,AIS,consensus,expression020,0,,,0
8,AIS,cellchatdb,expression020,0,,,0
8,AIS,consensus,uncertainty030,0,,,0
8,AIS,cellchatdb,uncertainty030,0,,,0
8,AIS,consensus,largest_library,0,,,0
8,AIS,cellchatdb,largest_library,0,,,0
8,LUAD,consensus,cap500_seed1,1,1.0,1.0,10
8,LUAD,cellchatdb,cap500_seed1,1,1.0,,3
8,LUAD,consensus,cap500_seed2,1,1.0,1.0,10
8,LUAD,cellchatdb,cap500_seed2,1,1.0,,3
8,LUAD,consensus,floor30,1,1.0,1.0,10
8,LUAD,cellchatdb,floor30,1,1.0,,3
8,LUAD,consensus,floor100,0,,,0
8,LUAD,cellchatdb,floor100,0,,,0
8,LUAD,consensus,expression005,1,0.35714285714285715,1.0,10
8,LUAD,cellchatdb,expression005,1,0.42857142857142855,,3
8,LUAD,consensus,expression020,1,0.2,,2
8,LUAD,cellchatdb,expression020,1,0.0,,0
8,LUAD,consensus,uncertainty030,1,0.8,1.0,8
8,LUAD,cellchatdb,uncertainty030,1,1.0,,3
8,LUAD,consensus,largest_library,1,1.0,1.0,10
8,LUAD,cellchatdb,largest_library,1,1.0,,3
8,normal,consensus,cap500_seed1,0,,,0
8,normal,cellchatdb,cap500_seed1,0,,,0
8,normal,consensus,cap500_seed2,0,,,0
8,normal,cellchatdb,cap500_seed2,0,,,0
8,normal,consensus,floor30,0,,,0
8,normal,cellchatdb,floor30,0,,,0
8,normal,consensus,floor100,0,,,0
8,normal,cellchatdb,floor100,0,,,0
8,normal,consensus,expression005,0,,,0
8,normal,cellchatdb,expression005,0,,,0
8,normal,consensus,expression020,0,,,0
8,normal,cellchatdb,expression020,0,,,0
8,normal,consensus,uncertainty030,0,,,0
8,normal,cellchatdb,uncertainty030,0,,,0
8,normal,consensus,largest_library,0,,,0
8,normal,cellchatdb,largest_library,0,,,0
9,AAH,consensus,cap500_seed1,5,1.0,1.0,91
9,AAH,cellchatdb,cap500_seed1,5,1.0,1.0,16
9,AAH,consensus,cap500_seed2,5,1.0,1.0,91
9,AAH,cellchatdb,cap500_seed2,5,1.0,1.0,16
9,AAH,consensus,floor30,5,1.0,1.0,91
9,AAH,cellchatdb,floor30,5,1.0,1.0,16
9,AAH,consensus,floor100,2,1.0,0.9999999999999998,27
9,AAH,cellchatdb,floor100,2,1.0,,4
9,AAH,consensus,expression005,5,0.7222222222222222,1.0,91
9,AAH,cellchatdb,expression005,5,0.45714285714285713,1.0,16
9,AAH,consensus,expression020,5,0.34065934065934067,0.9999999999999998,31
9,AAH,cellchatdb,expression020,5,0.25,1.0,4
9,AAH,consensus,uncertainty030,5,1.0,0.9847505761464506,91
9,AAH,cellchatdb,uncertainty030,5,1.0,1.0,16
9,AAH,consensus,largest_library,5,1.0,1.0,91
9,AAH,cellchatdb,largest_library,5,1.0,1.0,16
9,AIS,consensus,cap500_seed1,2,0.96875,0.9999999999999998,31
9,AIS,cellchatdb,cap500_seed1,2,1.0,,8
9,AIS,consensus,cap500_seed2,2,1.0,1.0,32
9,AIS,cellchatdb,cap500_seed2,2,1.0,,8
9,AIS,consensus,floor30,2,1.0,1.0,32
9,AIS,cellchatdb,floor30,2,1.0,,8
9,AIS,consensus,floor100,2,1.0,1.0,32
9,AIS,cellchatdb,floor100,2,1.0,,8
9,AIS,consensus,expression005,2,0.8,1.0,32
9,AIS,cellchatdb,expression005,2,0.6153846153846154,,8
9,AIS,consensus,expression020,2,0.46875,1.0,15
9,AIS,cellchatdb,expression020,2,0.375,,3
9,AIS,consensus,uncertainty030,2,1.0,1.0,32
9,AIS,cellchatdb,uncertainty030,2,1.0,,8
9,AIS,consensus,largest_library,2,1.0,1.0,32
9,AIS,cellchatdb,largest_library,2,1.0,,8
9,LUAD,consensus,cap500_seed1,4,1.0,0.9616937905300728,63
9,LUAD,cellchatdb,cap500_seed1,4,1.0,1.0,16
9,LUAD,consensus,cap500_seed2,4,0.9692307692307692,0.9430019087689626,63
9,LUAD,cellchatdb,cap500_seed2,4,1.0,1.0,16
9,LUAD,consensus,floor30,4,1.0,1.0,63
9,LUAD,cellchatdb,floor30,4,1.0,1.0,16
9,LUAD,consensus,floor100,4,1.0,1.0,63
9,LUAD,cellchatdb,floor100,4,1.0,1.0,16
9,LUAD,consensus,expression005,4,0.8076923076923077,1.0,63
9,LUAD,cellchatdb,expression005,4,0.7272727272727273,1.0,16
9,LUAD,consensus,expression020,4,0.5079365079365079,1.0,32
9,LUAD,cellchatdb,expression020,4,0.375,1.0,6
9,LUAD,consensus,uncertainty030,4,0.9523809523809523,0.9542770537511224,60
9,LUAD,cellchatdb,uncertainty030,4,0.875,1.0,14
9,LUAD,consensus,largest_library,4,1.0,1.0,63
9,LUAD,cellchatdb,largest_library,4,1.0,1.0,16
9,normal,consensus,cap500_seed1,2,1.0,1.0,28
9,normal,cellchatdb,cap500_seed1,2,1.0,,8
9,normal,consensus,cap500_seed2,2,1.0,1.0,28
9,normal,cellchatdb,cap500_seed2,2,1.0,,8
9,normal,consensus,floor30,2,1.0,1.0,28
9,normal,cellchatdb,floor30,2,1.0,,8
9,normal,consensus,floor100,2,1.0,1.0,28
9,normal,cellchatdb,floor100,2,1.0,,8
9,normal,consensus,expression005,2,0.7368421052631579,1.0,28
9,normal,cellchatdb,expression005,2,0.7272727272727273,,8
9,normal,consensus,expression020,2,0.42857142857142855,0.9999999999999999,12
9,normal,cellchatdb,expression020,2,0.125,,1
9,normal,consensus,uncertainty030,2,0.9655172413793104,0.8822892206261431,28
9,normal,cellchatdb,uncertainty030,2,1.0,,8
9,normal,consensus,largest_library,2,1.0,1.0,28
9,normal,cellchatdb,largest_library,2,1.0,,8
10,LUAD,consensus,cap500_seed1,9,1.0,0.9999031956038702,205
10,LUAD,cellchatdb,cap500_seed1,9,1.0,1.0,34
10,LUAD,consensus,cap500_seed2,9,0.9903381642512077,0.9937416764318224,205
10,LUAD,cellchatdb,cap500_seed2,9,0.8947368421052632,1.0,34
10,LUAD,consensus,floor30,9,1.0,0.9999999999999999,205
10,LUAD,cellchatdb,floor30,9,1.0,1.0,34
10,LUAD,consensus,floor100,5,1.0,1.0,102
10,LUAD,cellchatdb,floor100,5,1.0,1.0,16
10,LUAD,consensus,expression005,9,0.5525606469002695,0.9999999999999999,205
10,LUAD,cellchatdb,expression005,9,0.4594594594594595,1.0,34
10,LUAD,consensus,expression020,9,0.7268292682926829,1.0,149
10,LUAD,cellchatdb,expression020,9,0.5588235294117647,1.0,19
10,LUAD,consensus,uncertainty030,9,0.9485981308411215,0.9713673840676893,203
10,LUAD,cellchatdb,uncertainty030,9,0.9428571428571428,0.9229734434258579,33
10,LUAD,consensus,largest_library,9,1.0,0.9999999999999999,205
10,LUAD,cellchatdb,largest_library,9,1.0,1.0,34
10,MIA,consensus,cap500_seed1,2,1.0,1.0,44
10,MIA,cellchatdb,cap500_seed1,2,1.0,,11
10,MIA,consensus,cap500_seed2,2,1.0,1.0,44
10,MIA,cellchatdb,cap500_seed2,2,1.0,,11
10,MIA,consensus,floor30,2,1.0,1.0,44
10,MIA,cellchatdb,floor30,2,1.0,,11
10,MIA,consensus,floor100,2,1.0,1.0,44
10,MIA,cellchatdb,floor100,2,1.0,,11
10,MIA,consensus,expression005,2,0.7457627118644068,1.0,44
10,MIA,cellchatdb,expression005,2,0.6875,,11
10,MIA,consensus,expression020,2,0.4318181818181818,1.0,19
10,MIA,cellchatdb,expression020,2,0.09090909090909091,,1
10,MIA,consensus,uncertainty030,2,0.9772727272727273,0.8597453501847092,43
10,MIA,cellchatdb,uncertainty030,2,0.9090909090909091,,10
10,MIA,consensus,largest_library,2,1.0,1.0,44
10,MIA,cellchatdb,largest_library,2,1.0,,11
10,normal,consensus,cap500_seed1,2,1.0,1.0,32
10,normal,cellchatdb,cap500_seed1,2,1.0,0.9999999999999998,8
10,normal,consensus,cap500_seed2,2,1.0,1.0,32
10,normal,cellchatdb,cap500_seed2,2,1.0,0.9999999999999998,8
10,normal,consensus,floor30,2,1.0,1.0,32
10,normal,cellchatdb,floor30,2,1.0,0.9999999999999998,8
10,normal,consensus,floor100,2,1.0,1.0,32
10,normal,cellchatdb,floor100,2,1.0,0.9999999999999998,8
10,normal,consensus,expression005,2,0.5,1.0,32
10,normal,cellchatdb,expression005,2,0.5333333333333333,0.9999999999999998,8
10,normal,consensus,expression020,2,0.46875,1.0,15
10,normal,cellchatdb,expression020,2,0.625,1.0,5
10,normal,consensus,uncertainty030,2,1.0,0.8673849824394345,32
10,normal,cellchatdb,uncertainty030,2,1.0,0.875,8
10,normal,consensus,largest_library,2,1.0,1.0,32
10,normal,cellchatdb,largest_library,2,1.0,0.9999999999999998,8
11,AAH,consensus,cap500_seed1,5,1.0,1.0,100
11,AAH,cellchatdb,cap500_seed1,5,1.0,1.0,16
11,AAH,consensus,cap500_seed2,5,1.0,1.0,100
11,AAH,cellchatdb,cap500_seed2,5,1.0,1.0,16
11,AAH,consensus,floor30,5,1.0,1.0,100
11,AAH,cellchatdb,floor30,5,1.0,1.0,16
11,AAH,consensus,floor100,2,1.0,1.0,34
11,AAH,cellchatdb,floor100,2,1.0,,4
11,AAH,consensus,expression005,5,0.7407407407407407,1.0,100
11,AAH,cellchatdb,expression005,5,0.5,1.0,16
11,AAH,consensus,expression020,5,0.44,0.9999999999999999,44
11,AAH,cellchatdb,expression020,5,0.3125,0.9999999999999999,5
11,AAH,consensus,uncertainty030,5,0.970873786407767,0.7754142982894205,100
11,AAH,cellchatdb,uncertainty030,5,0.8888888888888888,1.0,16
11,AAH,consensus,largest_library,5,1.0,1.0,100
11,AAH,cellchatdb,largest_library,5,1.0,1.0,16
11,LUAD,consensus,cap500_seed1,9,0.9906103286384976,0.9998576752373642,211
11,LUAD,cellchatdb,cap500_seed1,9,1.0,0.9988121164125917,44
11,LUAD,consensus,cap500_seed2,9,0.9906103286384976,0.9999438191726437,211
11,LUAD,cellchatdb,cap500_seed2,9,1.0,1.0,44
11,LUAD,consensus,floor30,9,1.0,1.0,211
11,LUAD,cellchatdb,floor30,9,1.0,1.0,44
11,LUAD,consensus,floor100,9,1.0,1.0,211
11,LUAD,cellchatdb,floor100,9,1.0,1.0,44
11,LUAD,consensus,expression005,9,0.5828729281767956,1.0,211
11,LUAD,cellchatdb,expression005,9,0.5714285714285714,1.0,44
11,LUAD,consensus,expression020,9,0.4976303317535545,1.0,105
11,LUAD,cellchatdb,expression020,9,0.3409090909090909,0.9999999999999999,15
11,LUAD,consensus,uncertainty030,9,0.7992424242424242,0.9873831906964551,211
11,LUAD,cellchatdb,uncertainty030,9,0.8,1.0,44
11,LUAD,consensus,largest_library,9,1.0,1.0,211
11,LUAD,cellchatdb,largest_library,9,1.0,1.0,44
11,normal,consensus,cap500_seed1,2,1.0,0.9999999999999999,21
11,normal,cellchatdb,cap500_seed1,2,1.0,,2
11,normal,consensus,cap500_seed2,2,1.0,0.9999999999999999,21
11,normal,cellchatdb,cap500_seed2,2,1.0,,2
11,normal,consensus,floor30,2,1.0,0.9999999999999999,21
11,normal,cellchatdb,floor30,2,1.0,,2
11,normal,consensus,floor100,2,1.0,0.9999999999999999,21
11,normal,cellchatdb,floor100,2,1.0,,2
11,normal,consensus,expression005,2,0.7777777777777778,0.9999999999999999,21
11,normal,cellchatdb,expression005,2,0.4,,2
11,normal,consensus,expression020,2,0.19047619047619047,1.0,4
11,normal,cellchatdb,expression020,2,0.0,,0
11,normal,consensus,uncertainty030,2,0.9130434782608695,0.9999999999999999,21
11,normal,cellchatdb,uncertainty030,2,1.0,,2
11,normal,consensus,largest_library,2,1.0,0.9999999999999999,21
11,normal,cellchatdb,largest_library,2,1.0,,2
12,AIS,consensus,cap500_seed1,2,1.0,0.9999999999999999,40
12,AIS,cellchatdb,cap500_seed1,2,1.0,1.0,9
12,AIS,consensus,cap500_seed2,2,1.0,0.9999999999999999,40
12,AIS,cellchatdb,cap500_seed2,2,1.0,1.0,9
12,AIS,consensus,floor30,2,1.0,0.9999999999999999,40
12,AIS,cellchatdb,floor30,2,1.0,1.0,9
12,AIS,consensus,floor100,2,1.0,0.9999999999999999,40
12,AIS,cellchatdb,floor100,2,1.0,1.0,9
12,AIS,consensus,expression005,2,0.625,0.9999999999999999,40
12,AIS,cellchatdb,expression005,2,0.6,1.0,9
12,AIS,consensus,expression020,2,0.3,0.9999999999999999,12
12,AIS,cellchatdb,expression020,2,0.2222222222222222,,2
12,AIS,consensus,uncertainty030,2,0.8333333333333334,0.9982891360136869,40
12,AIS,cellchatdb,uncertainty030,2,0.6923076923076923,1.0,9
12,AIS,consensus,largest_library,2,1.0,0.9999999999999999,40
12,AIS,cellchatdb,largest_library,2,1.0,1.0,9
12,LUAD,consensus,cap500_seed1,2,1.0,1.0,41
12,LUAD,cellchatdb,cap500_seed1,2,1.0,,7
