dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,module
development,P7:2_1,P7,AT2,76,4,16,False,0.5434673263527219,0.5220236223198751,0.02144370403284679,0.02428135421043871,0.8831345997838952,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P7:2_1,P7,AT1,76,4,16,False,0.5434673263527219,0.5172245902088701,0.026242736143851753,0.02428135421043871,1.0807772876427886,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P7:2_1_1,P7,AT2,87,85,7,False,0.5353231730716518,0.5395671428580431,-0.0042439697863912995,0.03263654203234067,-0.1300373606427361,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P7:2_1_1,P7,AT1,87,85,7,False,0.5353231730716518,0.5388696578351752,-0.003546484763523372,0.03263654203234067,-0.10866607007596082,HALLMARK_TNFA_SIGNALING_VIA_NFKB
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.49579474107139426,0.4916745893083504,0.004120151763043867,0.015529965933757045,0.2653033355397136,HALLMARK_E2F_TARGETS
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.49579474107139426,0.49054761556346843,0.005247125507925832,0.015529965933757045,0.33787102497889604,HALLMARK_E2F_TARGETS
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.48760135875520494,0.4813083805468382,0.006292978208366717,0.01043938222677931,0.6028113610232457,HALLMARK_E2F_TARGETS
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.48760135875520494,0.48341523862874414,0.004186120126460802,0.01043938222677931,0.4009930890088959,HALLMARK_E2F_TARGETS
development,P14:1,P14,AT2,5,1,4,False,0.5186234817813765,0.5010780649849476,0.01754541679642896,0.009346926496293543,1.8771322106134534,HALLMARK_E2F_TARGETS
development,P14:1,P14,AT1,5,1,4,False,0.5186234817813765,0.48545689297207517,0.033166588809301345,0.009346926496293543,3.548395167379707,HALLMARK_E2F_TARGETS
development,P14:2,P14,AT2,226,32,34,True,0.5076189920066438,0.4902463094690173,0.017372682537626527,0.01501960425929603,1.1566671290206674,HALLMARK_E2F_TARGETS
development,P14:2,P14,AT1,226,32,34,True,0.5076189920066438,0.5012815932975494,0.006337398709094444,0.01501960425929603,0.42194179018878347,HALLMARK_E2F_TARGETS
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.4728031246755943,0.476136726162724,-0.0033336014871296893,0.015534076861747697,-0.2145992656530885,HALLMARK_E2F_TARGETS
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.4728031246755943,0.4801310790993668,-0.007327954423772487,0.015534076861747697,-0.4717341422339299,HALLMARK_E2F_TARGETS
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.49098003885453284,0.4866376984112094,0.004342340443323434,0.026244223945246684,0.16545890068545585,HALLMARK_E2F_TARGETS
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.49098003885453284,0.481132204689897,0.00984783416463586,0.026244223945246684,0.37523815469573013,HALLMARK_E2F_TARGETS
development,P7:1_1,P7,AT2,3500,17,263,False,0.4937575185789046,0.4874018841482404,0.00635563443066417,0.01372577934218497,0.46304361101964453,HALLMARK_E2F_TARGETS
development,P7:1_1,P7,AT1,3500,17,263,False,0.4937575185789046,0.4895205959867834,0.004236922592121217,0.01372577934218497,0.30868357172983324,HALLMARK_E2F_TARGETS
development,P7:2_1,P7,AT2,76,4,16,False,0.5033537060105886,0.4758676998475635,0.0274860061630251,0.01045379092128383,2.629286004473633,HALLMARK_E2F_TARGETS
development,P7:2_1,P7,AT1,76,4,16,False,0.5033537060105886,0.48404540382020134,0.01930830219038726,0.01045379092128383,1.8470143831818677,HALLMARK_E2F_TARGETS
development,P7:2_1_1,P7,AT2,87,85,7,False,0.4917425699647657,0.49364585458749916,-0.001903284622733481,0.014974840127541088,-0.12709882753492913,HALLMARK_E2F_TARGETS
development,P7:2_1_1,P7,AT1,87,85,7,False,0.4917425699647657,0.4803106138126382,0.011431956152127498,0.014974840127541088,0.7634108981973258,HALLMARK_E2F_TARGETS
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.4963892956614121,0.4956651272423089,0.0007241684191032216,0.013476390701166656,0.0537360807623758,HALLMARK_G2M_CHECKPOINT
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.4963892956614121,0.49224291861216946,0.004146377049242644,0.013476390701166656,0.3076771177971036,HALLMARK_G2M_CHECKPOINT
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.49683076348809835,0.49156703529506285,0.0052637281930354995,0.011452016784310206,0.45963329360877736,HALLMARK_G2M_CHECKPOINT
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.49683076348809835,0.49126345396734583,0.005567309520752517,0.011452016784310206,0.48614227743535876,HALLMARK_G2M_CHECKPOINT
development,P14:1,P14,AT2,5,1,4,False,0.5336161598759582,0.5057676156430356,0.0278485442329226,0.014480664626832927,1.9231537329660102,HALLMARK_G2M_CHECKPOINT
development,P14:1,P14,AT1,5,1,4,False,0.5336161598759582,0.48145094861745197,0.05216521125850626,0.014480664626832927,3.602404489214066,HALLMARK_G2M_CHECKPOINT
development,P14:2,P14,AT2,226,32,34,True,0.5104293409208374,0.5001056859493359,0.01032365497150145,0.015170987284355394,0.6804866933180674,HALLMARK_G2M_CHECKPOINT
development,P14:2,P14,AT1,226,32,34,True,0.5104293409208374,0.5065458531159901,0.003883487804847263,0.015170987284355394,0.2559812181012101,HALLMARK_G2M_CHECKPOINT
development,P3:1_1_1_1,P3,AT2,1203,8,419,False,0.4880255216857611,0.48154252446023366,0.00648299722552742,0.012725434332878946,0.5094519413594535,HALLMARK_G2M_CHECKPOINT
development,P3:1_1_1_1,P3,AT1,1203,8,419,False,0.4880255216857611,0.4834555569695227,0.004569964716238384,0.012725434332878946,0.35912052953908846,HALLMARK_G2M_CHECKPOINT
development,P5:2_1_1_1,P5,AT2,664,7,180,False,0.49820144161549534,0.49139844355672313,0.006802998058772214,0.01863835821311902,0.36499985572676535,HALLMARK_G2M_CHECKPOINT
development,P5:2_1_1_1,P5,AT1,664,7,180,False,0.49820144161549534,0.48622708614484933,0.011974355470646014,0.01863835821311902,0.6424576313925333,HALLMARK_G2M_CHECKPOINT
development,P7:1_1,P7,AT2,3500,17,263,False,0.5062899664560457,0.49381057184696603,0.012479394609079708,0.014066442306994048,0.8871749044088258,HALLMARK_G2M_CHECKPOINT
development,P7:1_1,P7,AT1,3500,17,263,False,0.5062899664560457,0.4947545757405343,0.011535390715511462,0.014066442306994048,0.8200645524828898,HALLMARK_G2M_CHECKPOINT
development,P7:2_1,P7,AT2,76,4,16,False,0.49481275303643724,0.4862263384012403,0.008586414635196937,0.011043284998928751,0.7775235933899975,HALLMARK_G2M_CHECKPOINT
development,P7:2_1,P7,AT1,76,4,16,False,0.49481275303643724,0.48894849900938925,0.005864254027047988,0.011043284998928751,0.5310244214123648,HALLMARK_G2M_CHECKPOINT
development,P7:2_1_1,P7,AT2,87,85,7,False,0.4988968371395418,0.50152069391267,-0.0026238567731281526,0.015637049114309024,-0.16779743760778593,HALLMARK_G2M_CHECKPOINT
development,P7:2_1_1,P7,AT1,87,85,7,False,0.4988968371395418,0.48829379606955187,0.010603041069989938,0.015637049114309024,0.6780717379909866,HALLMARK_G2M_CHECKPOINT
development,P0:1_1_1_1_1,P0,AT2,436,27,166,False,0.7867728839951061,0.8230821130763792,-0.0363092290812731,0.13353934376530552,-0.27189911270708594,Immediate_early_AP1_panel
development,P0:1_1_1_1_1,P0,AT1,436,27,166,False,0.7867728839951061,0.776470370973383,0.010302513021723136,0.13353934376530552,0.0771496454245704,Immediate_early_AP1_panel
development,P0:2_1_1_1_1,P0,AT2,208,9,159,False,0.7767906795684574,0.6624701624701624,0.11432051709829494,0.16709037933896229,0.6841837187189722,Immediate_early_AP1_panel
development,P0:2_1_1_1_1,P0,AT1,208,9,159,False,0.7767906795684574,0.7101964385769418,0.06659424099151556,0.16709037933896229,0.39855221620163656,Immediate_early_AP1_panel
development,P14:1,P14,AT2,5,1,4,False,0.5787037037037037,0.501438938938939,0.07726476476476474,0.057547058670028316,1.342636210267438,Immediate_early_AP1_panel
development,P14:1,P14,AT1,5,1,4,False,0.5787037037037037,0.46213400900900903,0.11656969469469469,0.057547058670028316,2.0256412297820283,Immediate_early_AP1_panel
development,P14:2,P14,AT2,226,32,34,True,0.7059188094344344,0.7069937747481996,-0.0010749653137651638,0.175863898450634,-0.006112484274689912,Immediate_early_AP1_panel
development,P14:2,P14,AT1,226,32,34,True,0.7059188094344344,0.6976369752105046,0.008281834223929807,0.175863898450634,0.047092292942968995,Immediate_early_AP1_panel
