dataset,unit,time,endpoint,n_start,n_intermediate,n_end,all_states_at_least_30,intermediate_mean,endpoint_mean,difference,endpoint_pooled_cell_sd,standardized_difference,module
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.47845084563677526,0.47534156565768376,0.003109279979091495,0.01082317290014753,0.2872798954407457,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.47845084563677526,0.48808185025708817,-0.00963100462031291,0.01082317290014753,-0.8898503894529516,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.47889155890771107,0.4767445452370076,0.002147013670703468,0.011531002880236427,0.1861948776704708,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.47889155890771107,0.49004417505775233,-0.011152616150041261,0.011531002880236427,-0.967185271383142,HALLMARK_INFLAMMATORY_RESPONSE
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.5330637574178607,0.5208356157520292,0.012228141665831527,0.010958041032905028,1.1159058110033184,HALLMARK_P53_PATHWAY
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.5330637574178607,0.5314852391220172,0.001578518295843545,0.010958041032905028,0.14405113935086922,HALLMARK_P53_PATHWAY
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.542105893093735,0.5231435090857584,0.018962384007976674,0.010977884042372934,1.7273259523223972,HALLMARK_P53_PATHWAY
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.542105893093735,0.5320114574849202,0.010094435608814845,0.010977884042372934,0.91952470711586,HALLMARK_P53_PATHWAY
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.5273375093459265,0.5173994881123679,0.00993802123355858,0.011494536526078732,0.8645865112535213,HALLMARK_P53_PATHWAY
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.5273375093459265,0.532017081304089,-0.004679571958162487,0.011494536526078732,-0.4071127137266913,HALLMARK_P53_PATHWAY
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.535818465801097,0.5194637532530137,0.016354712548083294,0.011334078884315701,1.4429679478157889,HALLMARK_P53_PATHWAY
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.535818465801097,0.5327082770162684,0.0031101887848286047,0.011334078884315701,0.27441037040359223,HALLMARK_P53_PATHWAY
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.4879040219684782,0.4948803070574246,-0.006976285088946377,0.010917454826697192,-0.6390028811373503,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.4879040219684782,0.49662872811960035,-0.008724706151122141,0.010917454826697192,-0.7991520266964629,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse2,homeostasis,Stem,36,10,26,False,0.4941068639108438,0.49336658299202885,0.0007402809188149506,0.010172038722398425,0.07277606181196317,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse2,homeostasis,Enterocyte.Mature.Proximal,36,10,26,False,0.4941068639108438,0.5026056658829268,-0.00849880197208297,0.010172038722398425,-0.8355062543528217,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse3,homeostasis,Stem,227,65,94,True,0.4865753170380015,0.4925767160829876,-0.006001399044986089,0.010714815006167248,-0.5601029081259727,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse3,homeostasis,Enterocyte.Mature.Proximal,227,65,94,True,0.4865753170380015,0.49769734214934735,-0.011122025111345857,0.010714815006167248,-1.0380043990441483,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse4,homeostasis,Stem,135,28,161,False,0.4898378197890333,0.4906457756397138,-0.0008079558506804974,0.011446011921952408,-0.0705884159644209,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse4,homeostasis,Enterocyte.Mature.Proximal,135,28,161,False,0.4898378197890333,0.4996794561282094,-0.009841636339176119,0.011446011921952408,-0.8598310403906497,HALLMARK_TNFA_SIGNALING_VIA_NFKB
intestine,Control-Mouse1,homeostasis,Stem,200,32,36,True,0.5042815818619243,0.5362542658498844,-0.03197268398796016,0.02195234097427881,-1.4564589728914112,HALLMARK_E2F_TARGETS
intestine,Control-Mouse1,homeostasis,Enterocyte.Mature.Proximal,200,32,36,True,0.5042815818619243,0.4893807128238101,0.014900869038114162,0.02195234097427881,0.6787826890796412,HALLMARK_E2F_TARGETS
