dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
intestine,HALLMARK_E2F_TARGETS,Control-Mouse4,Stem,135,0.17091332169866202
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.10652624309392264
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.06936771025168814
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse1,Stem,200,0.13273480662983425
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.09944751381215469
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.05694857628559286
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse2,Stem,36,0.13581952117863716
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.0847428814279643
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.06171388268484777
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse3,Stem,227,0.14162630515734903
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.08780584056827152
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.05809683950447822
intestine,HALLMARK_G2M_CHECKPOINT,Control-Mouse4,Stem,135,0.13423368119500717
intestine,Immediate_early_AP1_panel,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.0859375
intestine,Immediate_early_AP1_panel,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.13541666666666666
intestine,Immediate_early_AP1_panel,Control-Mouse1,Stem,200,0.11125
intestine,Immediate_early_AP1_panel,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.1625
intestine,Immediate_early_AP1_panel,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.1346153846153846
intestine,Immediate_early_AP1_panel,Control-Mouse2,Stem,36,0.1388888888888889
intestine,Immediate_early_AP1_panel,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.09230769230769231
intestine,Immediate_early_AP1_panel,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.12632978723404256
intestine,Immediate_early_AP1_panel,Control-Mouse3,Stem,227,0.08480176211453745
intestine,Immediate_early_AP1_panel,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.14285714285714285
intestine,Immediate_early_AP1_panel,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.140527950310559
intestine,Immediate_early_AP1_panel,Control-Mouse4,Stem,135,0.07407407407407407
intestine,ADI_published_holdout,Control-Mouse1,Enterocyte.Immature.Proximal,32,0.5384430946291561
intestine,ADI_published_holdout,Control-Mouse1,Enterocyte.Mature.Proximal,36,0.41744813867576025
intestine,ADI_published_holdout,Control-Mouse1,Stem,200,0.4762020460358056
intestine,ADI_published_holdout,Control-Mouse2,Enterocyte.Immature.Proximal,10,0.5649616368286445
intestine,ADI_published_holdout,Control-Mouse2,Enterocyte.Mature.Proximal,26,0.410977769034035
intestine,ADI_published_holdout,Control-Mouse2,Stem,36,0.50383631713555
intestine,ADI_published_holdout,Control-Mouse3,Enterocyte.Immature.Proximal,65,0.5061971276805036
intestine,ADI_published_holdout,Control-Mouse3,Enterocyte.Mature.Proximal,94,0.44582902541220004
intestine,ADI_published_holdout,Control-Mouse3,Stem,227,0.4889304505560125
intestine,ADI_published_holdout,Control-Mouse4,Enterocyte.Immature.Proximal,28,0.5393679210814761
intestine,ADI_published_holdout,Control-Mouse4,Enterocyte.Mature.Proximal,161,0.4359898969039412
intestine,ADI_published_holdout,Control-Mouse4,Stem,135,0.4807805247702946
