gene,excluded,adi_detection_consistency,median_log2cpm_difference_vs_AT2,positive_fraction_vs_AT2,median_log2cpm_difference_vs_AT1,positive_fraction_vs_AT1,minimum_median_effect,minimum_positive_fraction,eligible,selected
1110008L16Rik,False,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1110008P14Rik,False,0.8888888888888888,0.44746685,0.8888888888888888,0.5169363,0.8888888888888888,0.44746685,0.8888888888888888,True,False
1110012L19Rik,False,0.0,0.9237609,0.7777777777777778,0.25708628,0.5555555555555556,0.25708628,0.5555555555555556,False,False
1110017D15Rik,False,0.0,-0.7427373,0.3333333333333333,3.1100087,0.5555555555555556,-0.7427373,0.3333333333333333,False,False
1110019D14Rik,False,0.0,0.6417017,0.7777777777777778,-0.45662403,0.3333333333333333,-0.45662403,0.3333333333333333,False,False
1110020A21Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1110032A03Rik,False,0.1111111111111111,0.1886015,0.8888888888888888,-0.3227973,0.3333333333333333,-0.3227973,0.3333333333333333,False,False
1110032F04Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1110034G24Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1110035M17Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1110037F02Rik,False,0.2222222222222222,1.1149168,0.7777777777777778,1.2977276,0.5555555555555556,1.1149168,0.5555555555555556,False,False
1110038B12Rik,False,0.0,2.0824351,0.8888888888888888,0.5524235,0.6666666666666666,0.5524235,0.6666666666666666,False,False
1110038F14Rik,False,0.0,-0.3984084,0.4444444444444444,0.41099548,0.6666666666666666,-0.3984084,0.4444444444444444,False,False
1110046J04Rik,False,0.0,-0.092530966,0.4444444444444444,0.0,0.3333333333333333,-0.092530966,0.3333333333333333,False,False
1110051M20Rik,False,0.0,0.8114729,0.6666666666666666,-1.0988688,0.3333333333333333,-1.0988688,0.3333333333333333,False,False
1110054M08Rik,False,0.0,-0.31944704,0.3333333333333333,-0.47520018,0.3333333333333333,-0.47520018,0.3333333333333333,False,False
1110057K04Rik,False,0.0,0.4667759,0.8888888888888888,-0.08236885,0.3333333333333333,-0.08236885,0.3333333333333333,False,False
1110058L19Rik,False,0.2222222222222222,0.30559015,0.8888888888888888,1.0858135,0.6666666666666666,0.30559015,0.6666666666666666,False,False
1110059E24Rik,False,0.0,0.96823645,0.7777777777777778,0.46034813,0.6666666666666666,0.46034813,0.6666666666666666,False,False
1110059G10Rik,False,0.1111111111111111,0.018612862,0.5555555555555556,0.10310793,0.5555555555555556,0.018612862,0.5555555555555556,False,False
1110065P20Rik,False,0.0,0.2964735,0.5555555555555556,0.40214348,0.5555555555555556,0.2964735,0.5555555555555556,False,False
1190002N15Rik,False,0.0,-0.949563,0.3333333333333333,-0.45662403,0.4444444444444444,-0.949563,0.3333333333333333,False,False
1190005I06Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1190007I07Rik,False,0.0,-0.2529192,0.4444444444444444,1.0488331,0.6666666666666666,-0.2529192,0.4444444444444444,False,False
1200007C13Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1200014J11Rik,False,0.3333333333333333,-0.15313196,0.4444444444444444,-0.46131897,0.4444444444444444,-0.46131897,0.4444444444444444,False,False
1300002E11Rik,False,0.4444444444444444,0.96438646,1.0,0.11932278,0.6666666666666666,0.11932278,0.6666666666666666,False,False
1300002K09Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1300017J02Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1500002C15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1500002O10Rik,False,0.0,1.1741312,0.5555555555555556,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1500009L16Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1500011B03Rik,False,0.0,3.5724814,0.6666666666666666,3.671073,0.6666666666666666,3.5724814,0.6666666666666666,False,False
1500011K16Rik,False,1.0,0.39929914,0.7777777777777778,0.17032957,0.6666666666666666,0.17032957,0.6666666666666666,False,False
1500012F01Rik,False,1.0,1.3705373,0.8888888888888888,0.4083252,0.7777777777777778,0.4083252,0.7777777777777778,True,False
1500015O10Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1500017E21Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1500026H17Rik,False,0.0,-1.923449,0.0,0.0,0.0,-1.923449,0.0,False,False
1500035N22Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1600002D24Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1600002H07Rik,False,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1600002K03Rik,False,0.0,0.09068298,0.5555555555555556,0.5524235,0.6666666666666666,0.09068298,0.5555555555555556,False,False
1600012H06Rik,False,0.0,0.8095236,0.6666666666666666,0.10233784,0.5555555555555556,0.10233784,0.5555555555555556,False,False
1600014C10Rik,False,0.0,0.639101,0.5555555555555556,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1600016N20Rik,False,0.0,1.5234733,0.6666666666666666,3.1100087,0.5555555555555556,1.5234733,0.5555555555555556,False,False
1600020E01Rik,False,0.0,1.1337068,0.5555555555555556,0.48242807,0.5555555555555556,0.48242807,0.5555555555555556,False,False
1600029D21Rik,False,0.8888888888888888,1.9288197,1.0,2.2448645,1.0,1.9288197,1.0,True,True
1600029I14Rik,False,0.0,-0.8298614,0.1111111111111111,1.0912983,0.5555555555555556,-0.8298614,0.1111111111111111,False,False
1700001C02Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700001G11Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700001G17Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700001J03Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700001L05Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700001L19Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700001O22Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700003E16Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700003F12Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700003M02Rik,False,0.0,-2.6478415,0.2222222222222222,0.0,0.2222222222222222,-2.6478415,0.2222222222222222,False,False
1700003M07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700006P19Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700007G11Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700007K13Rik,False,0.0,1.5752447,0.6666666666666666,5.103138,0.7777777777777778,1.5752447,0.6666666666666666,False,False
1700007L15Rik,False,0.0,1.6960156,0.5555555555555556,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1700008F21Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700008O03Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700009J07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700009P17Rik,False,0.0,0.0,0.4444444444444444,0.1354363,0.5555555555555556,0.0,0.4444444444444444,False,False
1700010H22Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700010I14Rik,False,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700011A15Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700011J10Rik,False,0.0,0.03298235,0.5555555555555556,0.10957289,0.5555555555555556,0.03298235,0.5555555555555556,False,False
1700012B09Rik,False,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700012B15Rik,False,0.0,0.4650426,0.6666666666666666,1.0488331,0.7777777777777778,0.4650426,0.6666666666666666,False,False
1700013F07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700013G23Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700014D04Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700016C15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700016G14Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700016H13Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700016K19Rik,False,0.0,0.46335554,0.6666666666666666,1.1144667,1.0,0.46335554,0.6666666666666666,False,False
1700016P03Rik,False,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,False,False
1700017B05Rik,False,0.0,1.0325885,0.7777777777777778,3.1918294,0.6666666666666666,1.0325885,0.6666666666666666,False,False
1700017J07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700018A04Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700018A14Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700019D03Rik,False,0.0,-2.22492,0.1111111111111111,0.0,0.1111111111111111,-2.22492,0.1111111111111111,False,False
1700019G17Rik,False,0.0,-1.5322108,0.2222222222222222,0.0,0.2222222222222222,-1.5322108,0.2222222222222222,False,False
1700019L03Rik,False,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,False,False
1700020I14Rik,False,0.3333333333333333,0.33385277,1.0,0.12366247,0.6666666666666666,0.12366247,0.6666666666666666,False,False
1700020L24Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700021F05Rik,False,0.0,0.70900774,0.8888888888888888,0.30865145,0.5555555555555556,0.30865145,0.5555555555555556,False,False
1700021J08Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700021K19Rik,False,0.0,-0.09792185,0.4444444444444444,-0.4880314,0.2222222222222222,-0.4880314,0.2222222222222222,False,False
1700022I11Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700022K14Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700022N22Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700023E05Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700023F06Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700023H06Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700023L04Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700024G13Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700024N20Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700025G04Rik,False,0.0,-0.6905279,0.2222222222222222,0.08165312,0.5555555555555556,-0.6905279,0.2222222222222222,False,False
1700026D08Rik,False,0.0,-1.923449,0.2222222222222222,0.0,0.3333333333333333,-1.923449,0.2222222222222222,False,False
1700026D11Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700026J14Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700026L06Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700028E10Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700028N14Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700028P14Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700029H14Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700029I15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700029J07Rik,False,0.0,1.3599916,0.7777777777777778,3.4691763,0.8888888888888888,1.3599916,0.7777777777777778,False,False
1700030C12Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700030J22Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700030K09Rik,False,0.0,-0.2855966,0.2222222222222222,0.0,0.1111111111111111,-0.2855966,0.1111111111111111,False,False
1700034E13Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700034H15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700034P13Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700037C18Rik,False,0.0,-0.80097246,0.3333333333333333,0.0,0.3333333333333333,-0.80097246,0.3333333333333333,False,False
1700037H04Rik,False,0.0,0.44418144,0.5555555555555556,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700039M10Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700040L02Rik,False,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700041G16Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700048O20Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700049G17Rik,False,0.0,1.5750499,0.7777777777777778,0.6911242,0.6666666666666666,0.6911242,0.6666666666666666,False,False
1700052N19Rik,False,0.0,0.6417017,0.7777777777777778,4.1445127,0.8888888888888888,0.6417017,0.7777777777777778,False,False
1700056N10Rik,False,0.0,-1.5322108,0.1111111111111111,0.0,0.1111111111111111,-1.5322108,0.1111111111111111,False,False
1700057G04Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700061G19Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700064E03Rik,False,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,False,False
1700064H15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700066B19Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1700066M21Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700067P10Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700071M16Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700084C01Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700084C06Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700084J12Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700086L19Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700086O06Rik,False,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700086P04Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1700088E04Rik,False,0.0,-0.2855966,0.2222222222222222,0.0,0.3333333333333333,-0.2855966,0.2222222222222222,False,False
1700093K21Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700094D03Rik,False,0.0,0.4650426,0.7777777777777778,-0.45287442,0.4444444444444444,-0.45287442,0.4444444444444444,False,False
1700095J03Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700101E01Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700102P08Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700109H08Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700112D23Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1700112E06Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1700112J16Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700112M01Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700113A16Rik,False,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1700122E12Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700122O11Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700123I01Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1700123M08Rik,False,0.0,-2.22492,0.2222222222222222,0.0,0.2222222222222222,-2.22492,0.2222222222222222,False,False
1700123O20Rik,False,0.2222222222222222,1.8213286,1.0,0.74534416,0.6666666666666666,0.74534416,0.6666666666666666,False,False
1810008B01Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810009A15Rik,False,1.0,0.95640135,1.0,0.5811391,0.7777777777777778,0.5811391,0.7777777777777778,True,False
1810010H24Rik,False,0.0,-2.373238,0.1111111111111111,0.0,0.4444444444444444,-2.373238,0.1111111111111111,False,False
1810011H11Rik,False,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1810011O10Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
1810013L24Rik,False,0.1111111111111111,2.1994448,1.0,0.8959689,0.7777777777777778,0.8959689,0.7777777777777778,False,False
1810014B01Rik,False,0.0,-0.30402923,0.3333333333333333,0.0,0.1111111111111111,-0.30402923,0.1111111111111111,False,False
1810019D21Rik,False,0.0,1.3599916,1.0,-0.08236885,0.4444444444444444,-0.08236885,0.4444444444444444,False,False
1810019J16Rik,False,0.0,0.880043,0.8888888888888888,0.6911242,0.7777777777777778,0.6911242,0.7777777777777778,False,False
1810020O05Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1810021B22Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1810022K09Rik,False,0.4444444444444444,1.1353436,1.0,0.34545088,0.7777777777777778,0.34545088,0.7777777777777778,False,False
1810024B03Rik,False,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
1810026J23Rik,False,0.0,0.048608303,0.5555555555555556,1.0912983,0.7777777777777778,0.048608303,0.5555555555555556,False,False
1810030O07Rik,False,0.0,0.08305025,0.5555555555555556,-1.0373654,0.2222222222222222,-1.0373654,0.2222222222222222,False,False
1810032O08Rik,False,0.0,1.9198506,0.7777777777777778,1.0488331,0.7777777777777778,1.0488331,0.7777777777777778,False,False
1810033B17Rik,False,0.0,-0.2855966,0.3333333333333333,0.0,0.4444444444444444,-0.2855966,0.3333333333333333,False,False
1810034E14Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
1810037I17Rik,False,1.0,1.4377327,1.0,0.26903915,0.8888888888888888,0.26903915,0.8888888888888888,True,False
1810041L15Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810043G02Rik,False,0.0,0.8114729,0.6666666666666666,3.1100087,0.5555555555555556,0.8114729,0.5555555555555556,False,False
1810043H04Rik,False,0.8888888888888888,0.6966605,0.8888888888888888,0.50284815,0.7777777777777778,0.50284815,0.7777777777777778,True,False
1810046K07Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810049J17Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810055G02Rik,False,0.0,2.137093,0.8888888888888888,4.613302,0.6666666666666666,2.137093,0.6666666666666666,False,False
1810058I24Rik,False,0.5555555555555556,1.0344229,0.8888888888888888,0.08450413,0.5555555555555556,0.08450413,0.5555555555555556,False,False
1810058N05Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810059C17Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810059H22Rik,False,0.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.3333333333333333,False,False
1810062G17Rik,False,0.0,0.0,0.4444444444444444,-0.45662403,0.2222222222222222,-0.45662403,0.2222222222222222,False,False
1810062O18Rik,False,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
1810063I02Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1810064F22Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2010001A14Rik,False,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,False,False
2010002M12Rik,False,0.0,3.223864,0.6666666666666666,3.223864,0.6666666666666666,3.223864,0.6666666666666666,False,False
2010003O02Rik,False,0.0,-0.15313196,0.3333333333333333,-0.45010424,0.3333333333333333,-0.45010424,0.3333333333333333,False,False
2010005H15Rik,False,0.0,2.6111894,0.6666666666666666,3.2974122,0.6666666666666666,2.6111894,0.6666666666666666,False,False
2010007H06Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2010012O05Rik,False,0.0,-0.012323856,0.4444444444444444,-0.49751902,0.0,-0.49751902,0.0,False,False
2010012P19Rik,False,0.0,-2.22492,0.0,0.0,0.0,-2.22492,0.0,False,False
2010015L04Rik,False,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
2010015M23Rik,False,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,False,False
2010016I18Rik,False,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,False,False
2010107E04Rik,False,1.0,0.600996,0.8888888888888888,0.34634972,0.7777777777777778,0.34634972,0.7777777777777778,True,False
2010107G12Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2010107G23Rik,False,0.0,0.8114729,0.7777777777777778,0.6496105,0.5555555555555556,0.6496105,0.5555555555555556,False,False
2010109A12Rik,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2010109I03Rik,False,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,False,False
2010111I01Rik,False,0.2222222222222222,1.8648219,1.0,0.17534113,0.6666666666666666,0.17534113,0.6666666666666666,False,False
2010204K13Rik,False,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.3333333333333333,False,False
