dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
development,HALLMARK_P53_PATHWAY,P0:1_1_1_1_1,AT2,436,0.21521004345726705
development,HALLMARK_P53_PATHWAY,P0:1_1_1_1_1,Transitional,27,0.19005847953216376
development,HALLMARK_P53_PATHWAY,P0:2_1_1_1_1,AT1,159,0.19139357828533599
development,HALLMARK_P53_PATHWAY,P0:2_1_1_1_1,AT2,208,0.17510121457489877
development,HALLMARK_P53_PATHWAY,P0:2_1_1_1_1,Transitional,9,0.1497076023391813
development,HALLMARK_P53_PATHWAY,P14:1,AT1,4,0.20789473684210524
development,HALLMARK_P53_PATHWAY,P14:1,AT2,5,0.12842105263157894
development,HALLMARK_P53_PATHWAY,P14:1,Transitional,1,0.24210526315789474
development,HALLMARK_P53_PATHWAY,P14:2,AT1,34,0.2544891640866873
development,HALLMARK_P53_PATHWAY,P14:2,AT2,226,0.19052165812761993
development,HALLMARK_P53_PATHWAY,P14:2,Transitional,32,0.2802631578947369
development,HALLMARK_P53_PATHWAY,P3:1_1_1_1,AT1,419,0.20507473935435244
development,HALLMARK_P53_PATHWAY,P3:1_1_1_1,AT2,1203,0.15971037318983242
development,HALLMARK_P53_PATHWAY,P3:1_1_1_1,Transitional,8,0.22697368421052633
development,HALLMARK_P53_PATHWAY,P5:1_1_1,AT1,78,0.14338731443994607
development,HALLMARK_P53_PATHWAY,P5:1_1_1,AT2,377,0.1156498673740053
development,HALLMARK_P53_PATHWAY,P5:2_1_1_1,AT1,180,0.16461988304093567
development,HALLMARK_P53_PATHWAY,P5:2_1_1_1,AT2,664,0.14429296131896005
development,HALLMARK_P53_PATHWAY,P5:2_1_1_1,Transitional,7,0.13383458646616542
development,HALLMARK_P53_PATHWAY,P7:1_1,AT1,263,0.240384230538323
development,HALLMARK_P53_PATHWAY,P7:1_1,AT2,3500,0.1936421052631579
development,HALLMARK_P53_PATHWAY,P7:1_1,Transitional,17,0.19318885448916412
development,HALLMARK_P53_PATHWAY,P7:2_1,AT1,16,0.16085526315789472
development,HALLMARK_P53_PATHWAY,P7:2_1,AT2,76,0.14383656509695292
development,HALLMARK_P53_PATHWAY,P7:2_1,Transitional,4,0.1855263157894737
development,HALLMARK_P53_PATHWAY,P7:2_1_1,AT1,7,0.2406015037593985
development,HALLMARK_P53_PATHWAY,P7:2_1_1,AT2,87,0.22540834845735033
development,HALLMARK_P53_PATHWAY,P7:2_1_1,Transitional,85,0.206625386996904
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:1_1_1_1_1,AT1,166,0.19228264408987306
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:1_1_1_1_1,AT2,436,0.2079345400446318
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:1_1_1_1_1,Transitional,27,0.16856856856856856
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:2_1_1_1_1,AT1,159,0.17263301036885945
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:2_1_1_1_1,AT2,208,0.14259355509355512
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P0:2_1_1_1_1,Transitional,9,0.13873873873873876
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:1,AT1,4,0.15675675675675677
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:1,AT2,5,0.07783783783783785
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:1,Transitional,1,0.20540540540540542
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:2,AT1,34,0.24515103338632754
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:2,AT2,226,0.16830901698158338
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P14:2,Transitional,32,0.26604729729729737
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P3:1_1_1_1,AT1,419,0.1623556730955299
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P3:1_1_1_1,AT2,1203,0.1292174967985442
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P3:1_1_1_1,Transitional,8,0.1912162162162162
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P5:1_1_1,AT1,78,0.11489951489951487
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P5:1_1_1,AT2,377,0.09675245537314504
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P5:2_1_1_1,AT1,180,0.12465465465465467
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P5:2_1_1_1,AT2,664,0.1096873982416151
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P5:2_1_1_1,Transitional,7,0.09575289575289576
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:1_1,AT1,263,0.23177474051998767
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:1_1,AT2,3500,0.1706795366795367
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:1_1,Transitional,17,0.1618441971383148
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1,AT1,16,0.1347972972972973
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1,AT2,76,0.12731152204836416
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1,Transitional,4,0.17027027027027028
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1_1,AT1,7,0.2200772200772201
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1_1,AT2,87,0.2124883504193849
development,HALLMARK_TNFA_SIGNALING_VIA_NFKB,P7:2_1_1,Transitional,85,0.19217806041335456
development,HALLMARK_E2F_TARGETS,P0:1_1_1_1_1,AT1,166,0.10787766450417051
development,HALLMARK_E2F_TARGETS,P0:1_1_1_1_1,AT2,436,0.11152669960009409
development,HALLMARK_E2F_TARGETS,P0:1_1_1_1_1,Transitional,27,0.09762583095916429
development,HALLMARK_E2F_TARGETS,P0:2_1_1_1_1,AT1,159,0.08495403967102079
development,HALLMARK_E2F_TARGETS,P0:2_1_1_1_1,AT2,208,0.06767751479289941
development,HALLMARK_E2F_TARGETS,P0:2_1_1_1_1,Transitional,9,0.04957264957264958
development,HALLMARK_E2F_TARGETS,P14:1,AT1,4,0.1205128205128205
development,HALLMARK_E2F_TARGETS,P14:1,AT2,5,0.07897435897435898
development,HALLMARK_E2F_TARGETS,P14:1,Transitional,1,0.14871794871794872
development,HALLMARK_E2F_TARGETS,P14:2,AT1,34,0.16184012066365008
development,HALLMARK_E2F_TARGETS,P14:2,AT2,226,0.112548218742909
development,HALLMARK_E2F_TARGETS,P14:2,Transitional,32,0.16891025641025642
development,HALLMARK_E2F_TARGETS,P3:1_1_1_1,AT1,419,0.09236888807294535
development,HALLMARK_E2F_TARGETS,P3:1_1_1_1,AT2,1203,0.042743568429353965
development,HALLMARK_E2F_TARGETS,P3:1_1_1_1,Transitional,8,0.06794871794871796
