random_set,endpoint,median_difference
87,AT1,0.0023478292018913605
87,AT2,0.011927915283632462
88,AT1,0.0016631753411991967
88,AT2,0.009567207571262726
89,AT1,0.0027050592311768096
89,AT2,0.014567602286010839
90,AT1,0.003937942210952561
90,AT2,0.009649253944609248
91,AT1,0.005840449472840459
91,AT2,0.011695026223141003
92,AT1,-0.005459110862417571
92,AT2,0.006973789761606786
93,AT1,0.002139113075073751
93,AT2,0.016175176445826667
94,AT1,0.007140611876007341
94,AT2,0.01860113582262113
95,AT1,-0.0013886832912530789
95,AT2,0.008306700799351252
96,AT1,-0.0015810604259365313
96,AT2,0.013883566249438317
97,AT1,0.0015805302020306389
97,AT2,0.009221183457884141
98,AT1,0.0022149506613508008
98,AT2,0.006946970717600198
99,AT1,-0.0024749035337566783
99,AT2,0.01458652358433854
100,AT1,0.00041633536216478806
100,AT2,0.010096016647582085
101,AT1,-0.0026550822865025747
101,AT2,0.005406234896828899
102,AT1,0.0011200585548296615
102,AT2,0.009097600083524005
103,AT1,0.003023271834699859
103,AT2,0.015661858317624233
104,AT1,0.0058400514335473774
104,AT2,0.01816846959003815
105,AT1,0.0006565730226528732
105,AT2,0.009221081425343503
106,AT1,0.003848894871883446
106,AT2,0.01123911759515106
107,AT1,0.0003620813559320757
107,AT2,0.0031681444373922174
108,AT1,0.0031447495027455696
108,AT2,0.002851088412630043
109,AT1,-0.008093049696052401
109,AT2,0.007718716470215825
110,AT1,0.004370382577699727
110,AT2,0.012408321919465948
111,AT1,-0.004212745378994187
111,AT2,0.011100339735317988
112,AT1,-0.0017831332826319102
112,AT2,0.016978863248126808
113,AT1,0.0016435069578443207
113,AT2,0.016675710657030662
114,AT1,0.003127860594921983
114,AT2,0.01467609498334188
115,AT1,0.0020083321792918607
115,AT2,0.010945022990780817
116,AT1,0.00439185418618504
116,AT2,0.011332891090037545
117,AT1,0.0016638860526853039
117,AT2,0.010280346715024646
118,AT1,0.0024203099203100598
118,AT2,0.016690493189895905
119,AT1,0.0028562192492916916
119,AT2,0.014258256785462331
120,AT1,0.0019298140196317703
120,AT2,0.01709066866941411
121,AT1,0.00041840890637268036
121,AT2,0.015171466341293072
122,AT1,0.0011948334463394161
122,AT2,-0.001974148293855449
123,AT1,-0.00032545408884110394
123,AT2,0.011220780412787734
124,AT1,0.0040595514213401795
124,AT2,0.017268245597158116
125,AT1,0.0043465379432556794
125,AT2,0.011613486796196337
126,AT1,0.006792711439138399
126,AT2,0.0191534998718057
127,AT1,-0.0016155580562825511
127,AT2,0.006224460647038632
128,AT1,0.0022303050858931694
128,AT2,0.009492635002625538
129,AT1,-0.001951533575625941
129,AT2,0.006151537403125018
130,AT1,0.006149250414748453
130,AT2,0.016353283883834724
131,AT1,0.004216443493306188
131,AT2,0.0119925213634281
132,AT1,0.003761612673999437
132,AT2,0.0187649955216469
133,AT1,0.00644658705165424
133,AT2,0.012933344073365993
134,AT1,-0.004231367820386467
134,AT2,0.002139737812736686
135,AT1,-0.0014247005626316644
135,AT2,0.008017611571988215
136,AT1,0.0003893531110280568
136,AT2,0.00771240603976564
137,AT1,-0.0007618898214700742
137,AT2,0.006485865797034696
138,AT1,0.00033548452335285806
138,AT2,0.007866086522497429
139,AT1,0.001110861193692414
139,AT2,0.008628038230017565
140,AT1,0.0015937470721467673
140,AT2,0.008537595668692277
141,AT1,0.00243603167225237
141,AT2,0.013830072283486317
142,AT1,-1.1771033728513736e-05
142,AT2,0.010973220961940422
143,AT1,0.0024997718282974146
143,AT2,0.01621978362723564
144,AT1,-0.0003807927848585857
144,AT2,0.009905988113289022
145,AT1,0.007328023994690569
145,AT2,0.017367909902839984
146,AT1,-0.0007158723076925444
146,AT2,0.0022234981163363754
147,AT1,-0.0038323279041571068
147,AT2,0.006833666617953482
148,AT1,0.004575307222480451
148,AT2,0.016980721991884495
149,AT1,0.0011147077596427302
149,AT2,0.01638208176070932
150,AT1,0.0004552990144247593
150,AT2,0.0192042160917969
151,AT1,0.0045854596547106885
151,AT2,0.013753484782010772
152,AT1,-0.0005840926242935973
152,AT2,0.011231896467771008
153,AT1,0.0014494360270074225
153,AT2,0.010322342450532651
154,AT1,0.003510350927519723
154,AT2,0.017679329164580482
155,AT1,-0.001075067511425054
155,AT2,0.002433346631105282
156,AT1,0.003004579809617103
156,AT2,0.01133459939094783
157,AT1,0.004202680252279545
157,AT2,0.01428818551935751
158,AT1,-0.0005494647303264655
158,AT2,0.009943374781138492
159,AT1,-0.0030648207040400166
159,AT2,0.007052676857826956
160,AT1,0.006372696817420476
160,AT2,0.01912127800634844
161,AT1,0.0006226380271955323
161,AT2,0.008575327938072919
162,AT1,0.0011107548542883539
162,AT2,0.01218142181646964
163,AT1,-0.001521013394125248
163,AT2,0.008141994357083737
164,AT1,0.003872258437299103
164,AT2,0.019671299733862058
165,AT1,0.00426146759336965
165,AT2,0.021120625513823765
166,AT1,0.001392885553211265
166,AT2,0.019785065478539088
167,AT1,0.0030194041472009214
167,AT2,0.014372173169879154
168,AT1,-0.007054122542245023
168,AT2,0.0021834633293371652
169,AT1,0.009941975694987781
169,AT2,0.020164494811469647
170,AT1,-0.0014788668245583336
170,AT2,0.014281273066186317
171,AT1,-0.0008277254166376702
171,AT2,0.011887259222069235
172,AT1,0.00482558267628852
172,AT2,0.01239378448732209
173,AT1,0.002218788232830504
173,AT2,0.010751187014232721
174,AT1,0.002741509186249824
174,AT2,0.01206562632667052
175,AT1,0.0008663996645923433
175,AT2,0.015922227233353903
176,AT1,-0.001315000130130306
176,AT2,0.008299324272126984
177,AT1,-0.001794070053106167
177,AT2,0.008508400725942944
178,AT1,0.0010786323750165971
178,AT2,0.013066582455783626
179,AT1,-0.004074882889021358
179,AT2,0.0030070887662826395
180,AT1,0.0009059949166625447
180,AT2,0.019558694345775063
181,AT1,-0.0034544910240926763
181,AT2,0.011435828262861047
182,AT1,-0.0012250205221499
182,AT2,0.004721627058194233
183,AT1,0.0035615292741671967
183,AT2,0.010134640283770424
184,AT1,0.004254282163505652
184,AT2,0.013082747901259628
185,AT1,0.002835811582211911
185,AT2,0.013718422188660484
186,AT1,0.005109295365772204
186,AT2,0.014913161874116065
187,AT1,0.0024681288984896854
187,AT2,0.006465123453939681
188,AT1,0.005316408884248003
188,AT2,0.017443477945539243
189,AT1,0.0031683785088156835
189,AT2,0.015349560718222133
190,AT1,0.0002231756592967482
190,AT2,0.01208200992680264
191,AT1,0.0006628704338501601
191,AT2,0.012312293578920941
192,AT1,0.0028675951814784995
192,AT2,0.015207833411404859
193,AT1,-0.0052429169095836725
193,AT2,0.007302405665607581
194,AT1,0.002924653687368828
194,AT2,0.01252991470469278
195,AT1,0.0014100536581209688
195,AT2,0.0008424440001679745
196,AT1,-0.0020801767944402805
196,AT2,0.011539521491533145
197,AT1,-0.0022457243460765053
197,AT2,0.013606564557412493
198,AT1,0.006142172275585667
198,AT2,0.01776533873076247
199,AT1,0.0030020604395603057
199,AT2,0.013852863726135478
