feature_index,name_0,gene
383,Rhbdd1,Rhbdd1
384,Col4a4,Col4a4
385,Col4a3,Col4a3
386,Mff,Mff
387,Agfg1,Agfg1
388,A030005L19Rik,A030005L19Rik
389,A030003K21Rik,A030003K21Rik
390,Slc19a3,Slc19a3
391,Krtap28-10,Krtap28-10
392,Gm47969,Gm47969
393,Krtap28-13,Krtap28-13
394,Ccl20,Ccl20
395,Daw1,Daw1
396,Sphkap,Sphkap
397,Pid1,Pid1
398,Dner,Dner
399,Trip12,Trip12
400,Fbxo36,Fbxo36
401,C130026I21Rik,C130026I21Rik
402,A530032D15Rik,A530032D15Rik
403,Sp110,Sp110
404,Sp140,Sp140
405,Sp100,Sp100
406,A630001G21Rik,A630001G21Rik
407,Cab39,Cab39
408,Itm2c,Itm2c
409,2810459M11Rik,2810459M11Rik
410,Psmd1,Psmd1
411,Gm21972,Gm21972
412,Armc9,Armc9
413,B3gnt7,B3gnt7
414,Gm28626,Gm28626
415,Ncl,Ncl
416,Nmur1,Nmur1
417,Ptma,Ptma
418,Pde6d,Pde6d
419,Cops7b,Cops7b
420,Nppc,Nppc
421,Dis3l2,Dis3l2
422,Ecel1,Ecel1
423,Eif4e2,Eif4e2
424,Efhd1,Efhd1
425,Gigyf2,Gigyf2
426,Kcnj13,Kcnj13
427,3110079O15Rik,3110079O15Rik
428,Ngef,Ngef
429,Neu2,Neu2
430,Inpp5d,Inpp5d
431,Atg16l1,Atg16l1
432,Sag,Sag
433,Dgkd,Dgkd
434,Gm19582,Gm19582
435,Usp40,Usp40
436,Ugt1a7c,Ugt1a7c
437,Ugt1a6b,Ugt1a6b
438,Ugt1a6a,Ugt1a6a
439,Ugt1a5,Ugt1a5
440,Ugt1a2,Ugt1a2
441,Dnajb3,Dnajb3
442,Ugt1a1,Ugt1a1
443,Mroh2a,Mroh2a
444,Hjurp,Hjurp
445,Trpm8,Trpm8
446,Gm29538,Gm29538
447,Glrp1,Glrp1
448,Gm19589,Gm19589
449,Arl4c,Arl4c
450,Sh3bp4,Sh3bp4
451,Agap1,Agap1
452,Iqca,Iqca
453,Ackr3,Ackr3
454,Cops8,Cops8
455,Col6a3,Col6a3
456,Mlph,Mlph
457,Prlh,Prlh
458,Rab17,Rab17
459,Lrrfip1,Lrrfip1
460,Rbm44,Rbm44
461,Ramp1,Ramp1
462,Ube2f,Ube2f
463,Scly,Scly
464,Klhl30,Klhl30
465,Erfe,Erfe
466,Ilkap,Ilkap
467,1700020N18Rik,1700020N18Rik
468,Hes6,Hes6
469,Per2,Per2
470,Traf3ip1,Traf3ip1
471,Asb1,Asb1
472,Gm28380,Gm28380
473,Twist2,Twist2
474,Hdac4,Hdac4
475,Ndufa10,Ndufa10
476,Cops9,Cops9
477,Gpc1,Gpc1
478,Ankmy1,Ankmy1
479,Dusp28,Dusp28
480,5033417F24Rik,5033417F24Rik
481,Rnpepl1,Rnpepl1
482,9430060I03Rik,9430060I03Rik
483,Capn10,Capn10
484,Gpr35,Gpr35
485,Kif1a,Kif1a
486,2310007B03Rik,2310007B03Rik
487,Crocc2,Crocc2
488,Sned1,Sned1
489,Mterf4,Mterf4
490,Gm28535,Gm28535
491,Pask,Pask
492,Ppp1r7,Ppp1r7
493,Ano7,Ano7
494,Hdlbp,Hdlbp
495,Sept2,Sept2
496,Farp2,Farp2
497,Stk25,Stk25
498,Gm28536,Gm28536
499,Bok,Bok
500,Thap4,Thap4
501,Atg4b,Atg4b
502,Dtymk,Dtymk
503,Ing5,Ing5
504,D2hgdh,D2hgdh
505,Fam174a,Fam174a
506,St8sia4,St8sia4
507,Slco4c1,Slco4c1
508,Panct2,Panct2
509,D1Ertd622e,D1Ertd622e
510,Ppip5k2,Ppip5k2
511,Gin1,Gin1
512,Pam,Pam
513,1810006J02Rik,1810006J02Rik
514,Cdh20,Cdh20
515,Rnf152,Rnf152
516,Gm17634,Gm17634
517,Pign,Pign
518,2310035C23Rik,2310035C23Rik
519,Tnfrsf11a,Tnfrsf11a
520,Gm7160,Gm7160
521,Zcchc2,Zcchc2
522,Gm20753,Gm20753
523,Phlpp1,Phlpp1
524,Bcl2,Bcl2
525,Kdsr,Kdsr
526,Vps4b,Vps4b
527,Serpinb5,Serpinb5
528,Serpinb12,Serpinb12
529,Serpinb11,Serpinb11
530,Serpinb8,Serpinb8
531,Cdh19,Cdh19
532,Dsel,Dsel
533,Tsn,Tsn
534,Nifk,Nifk
535,Clasp1,Clasp1
536,2900060B14Rik,2900060B14Rik
537,Tfcp2l1,Tfcp2l1
538,Gli2,Gli2
539,Gm29455,Gm29455
540,Inhbb,Inhbb
541,Ralb,Ralb
542,Gm27184,Gm27184
543,Tmem185b,Tmem185b
544,Epb41l5,Epb41l5
545,Ptpn4,Ptpn4
546,Tmem177,Tmem177
547,Cfap221,Cfap221
548,Sctr,Sctr
549,Tmem37,Tmem37
550,Dbi,Dbi
551,3110009E18Rik,3110009E18Rik
552,Steap3,Steap3
553,C1ql2,C1ql2
554,Insig2,Insig2
555,Ccdc93,Ccdc93
556,Ddx18,Ddx18
557,Actr3,Actr3
558,Slc35f5,Slc35f5
559,Gpr39,Gpr39
560,Lypd1,Lypd1
561,Nckap5,Nckap5
562,Mgat5,Mgat5
563,Tmem163,Tmem163
564,Acmsd,Acmsd
565,2900009J06Rik,2900009J06Rik
566,Ccnt2,Ccnt2
567,Map3k19,Map3k19
568,Rab3gap1,Rab3gap1
569,Zranb3,Zranb3
570,R3hdm1,R3hdm1
571,Ubxn4,Ubxn4
572,Lct,Lct
573,Mcm6,Mcm6
574,Dars,Dars
575,Cxcr4,Cxcr4
576,Thsd7b,Thsd7b
577,Cd55b,Cd55b
578,Gm15674,Gm15674
579,Gm15675,Gm15675
580,Cd55,Cd55
581,Gm16083,Gm16083
582,C4bp,C4bp
583,Pfkfb2,Pfkfb2
584,Yod1,Yod1
585,AA986860,AA986860
586,Gm28857,Gm28857
587,Gm28856,Gm28856
588,Fcamr,Fcamr
589,Gm15848,Gm15848
590,Pigr,Pigr
591,Il24,Il24
592,Mapkapk2,Mapkapk2
593,Dyrk3,Dyrk3
594,Eif2d,Eif2d
595,Rassf5,Rassf5
596,Ikbke,Ikbke
597,Srgap2,Srgap2
598,Fam72a,Fam72a
599,Ctse,Ctse
600,Rab7b,Rab7b
601,Slc26a9,Slc26a9
602,Pm20d1,Pm20d1
603,Slc41a1,Slc41a1
604,Rab29,Rab29
605,Nucks1,Nucks1
606,Slc45a3,Slc45a3
607,Elk4,Elk4
608,Mfsd4a,Mfsd4a
609,Cdk18,Cdk18
610,Gm29629,Gm29629
611,Lemd1,Lemd1
612,Klhdc8a,Klhdc8a
613,Nuak2,Nuak2
614,Tmcc2,Tmcc2
615,Dstyk,Dstyk
616,Rbbp5,Rbbp5
617,Tmem81,Tmem81
618,Cntn2,Cntn2
619,Nfasc,Nfasc
620,Lrrn2,Lrrn2
621,Mdm4,Mdm4
622,Pik3c2b,Pik3c2b
623,Ppp1r15b,Ppp1r15b
624,Plekha6,Plekha6
625,Gm19461,Gm19461
626,Golt1a,Golt1a
627,Kiss1,Kiss1
628,Etnk2,Etnk2
629,Sox13,Sox13
630,Snrpe,Snrpe
631,Zc3h11a,Zc3h11a
632,Zc3h11a.1,Zc3h11a.1
633,Gm38394,Gm38394
634,Atp2b4,Atp2b4
635,Optc,Optc
636,Prelp,Prelp
637,Fmod,Fmod
638,Btg2,Btg2
639,Chit1,Chit1
640,Chil1,Chil1
641,Mybph,Mybph
642,Adora1,Adora1
643,Myog,Myog
644,Ppfia4,Ppfia4
645,Tmem183a,Tmem183a
646,Cyb5r1,Cyb5r1
647,Adipor1,Adipor1
648,Klhl12,Klhl12
649,Rabif,Rabif
650,Kdm5b,Kdm5b
651,Syt2,Syt2
652,Ppp1r12b,Ppp1r12b
653,Ube2t,Ube2t
654,Lgr6,Lgr6
655,Ptpn7,Ptpn7
656,Arl8a,Arl8a
657,Gm15445,Gm15445
658,Gpr37l1,Gpr37l1
659,Gm26642,Gm26642
660,Elf3,Elf3
661,Rnpep,Rnpep
662,Timm17a,Timm17a
663,Lmod1,Lmod1
664,Shisa4,Shisa4
665,Ipo9,Ipo9
666,Nav1,Nav1
667,Gm38399,Gm38399
668,Csrp1,Csrp1
669,Phlda3,Phlda3
670,Tnni1,Tnni1
671,Lad1,Lad1
672,Tnnt2,Tnnt2
673,Tmem9,Tmem9
674,Cacna1s,Cacna1s
675,Kif21b,Kif21b
676,Mroh3,Mroh3
677,5730559C18Rik,5730559C18Rik
678,Camsap2,Camsap2
679,Ddx59,Ddx59
680,Kif14,Kif14
681,Platr23,Platr23
682,Zfp281,Zfp281
683,Gm19705,Gm19705
684,Platr22,Platr22
685,Nr5a2,Nr5a2
686,A430106G13Rik,A430106G13Rik
687,Atp6v1g3,Atp6v1g3
688,Nek7,Nek7
689,2310009B15Rik,2310009B15Rik
690,Dennd1b,Dennd1b
691,Crb1,Crb1
692,Zbtb41,Zbtb41
693,Aspm,Aspm
694,Cfh,Cfh
695,Kcnt2,Kcnt2
696,Cdc73,Cdc73
697,B3galt2,B3galt2
698,Glrx2,Glrx2
699,Trove2,Trove2
700,Uchl5,Uchl5
701,Rgs2,Rgs2
702,Rgs18,Rgs18
703,Brinp3,Brinp3
704,Pla2g4a,Pla2g4a
705,Ptgs2,Ptgs2
706,Ptgs2os2,Ptgs2os2
707,BC003331,BC003331
708,Tpr,Tpr
709,Hmcn1,Hmcn1
710,Gm10138,Gm10138
