patient,histology,broad,cells,median_library_size,median_detected_genes,median_mito_percent,median_uncertainty
6,normal,Macrophages,94,6907.0,2912.0,0.7726308550056604,0.039989398496432446
6,normal,Other assigned,182,1309.5,968.5,0.48383720043817446,0.02000349326919585
6,normal,Other epithelial,153,2277.0,1518.0,0.2765826674861709,1.1102230246251563e-16
6,normal,Other myeloid,29,1904.0,1212.0,0.724112961622013,1.1102230246251563e-16
6,normal,Unassigned,340,1794.0,1241.0,0.6446324548534305,0.3800079404443071
7,LUAD,AT2-like,1935,3338.0,1819.0,0.7552561747295367,2.220446049250313e-16
7,LUAD,Fibroblasts,1730,1760.0,1238.0,0.28322618347152717,4.440892098500626e-16
7,LUAD,Macrophages,598,7499.0,3324.0,0.6650219886302692,0.060003803359336805
7,LUAD,Other assigned,2375,1373.0,1040.0,0.6095944871455076,0.0399575536085646
7,LUAD,Other epithelial,1704,2570.5,1690.0,0.34972304815537564,2.220446049250313e-16
7,LUAD,Other myeloid,425,1476.0,1109.0,0.8273381294964028,1.1102230246251563e-16
7,LUAD,Unassigned,6019,2100.0,1427.0,0.8144126357354393,0.4201928162472049
7,normal,AT2-like,1385,1822.0,1227.0,0.330760749724366,0.0
7,normal,Fibroblasts,809,1295.0,992.0,0.1959503592423253,0.0199773927432853
7,normal,Macrophages,82,4984.5,2581.0,0.4440607649024308,0.049997867421309294
7,normal,Other assigned,444,1227.5,946.5,0.28666991732729946,0.04995513924539055
7,normal,Other epithelial,1430,1753.5,1263.0,0.1919386238488805,1.1102230246251563e-16
7,normal,Other myeloid,91,1367.0,1042.0,0.4310344827586206,0.0400058321868224
7,normal,Unassigned,1946,1482.0,1121.5,0.28488118195836243,0.4400477025417253
8,AIS,AT2-like,73,1824.0,1313.0,0.5258899676375405,0.0800361169647083
8,AIS,Fibroblasts,22,1296.0,917.5,0.07439698340974925,0.049990336812210504
8,AIS,Macrophages,5,2467.0,1535.0,0.5674908796108634,0.1799348672615203
8,AIS,Other assigned,9,1177.0,943.0,0.4366812227074236,0.0199783674201965
8,AIS,Other epithelial,53,1361.0,957.0,0.2976190476190476,2.220446049250313e-16
8,AIS,Other myeloid,1,1171.0,849.0,0.9393680614859096,0.0999745104252628
8,AIS,Unassigned,306,2224.0,1510.5,0.5997250354668857,0.43994719484198175
8,LUAD,AT2-like,292,1420.5,905.0,0.5811302913812608,0.0
8,LUAD,Fibroblasts,117,1613.0,1115.0,0.2925687536571094,0.119495318409993
8,LUAD,Macrophages,105,2050.0,1359.0,0.7263922518159807,0.119963030276602
8,LUAD,Other assigned,126,1628.5,901.5,0.5791511187511356,0.019998615764204752
8,LUAD,Other epithelial,998,2426.5,1770.0,0.5858473196675265,0.11998617718329585
8,LUAD,Other myeloid,10,1367.5,1051.5,0.9151386451092614,0.01999041783040935
