gene,input_variance,PC1_loading,PC2_loading
ABCC3,4.028709899302112,0.055606299620161725,0.051786295333688726
TUBA1B,4.022040381287868,0.03258322719161154,-0.03620059926434318
IGHD,3.9701266029291684,0.03055030992402053,-0.0011460663432861914
TMEM59L,3.960213405795198,0.03634614838585602,0.057668578751225684
NQO1,3.910113859359065,0.06049200273483408,0.03536535419846812
PRB4,3.8887456349227456,-0.0024812967824842987,-0.0049532113721836414
HS6ST2,3.856329918996138,0.04837609492794197,0.036699944528390045
SCGB3A1,3.8391011337841627,0.027855202477365094,-0.036389569553970345
HHLA2,3.8168455802751127,0.04989082397362493,0.010912992959458957
VSIG1,3.7890055879095317,0.03335260023521271,0.02654195981979839
HDC,3.7555644040442777,-0.007824528853918879,0.044512409564956786
PRB3,3.7533592459819425,0.002509824802977498,0.0005500201306588028
S100P,3.653644019924281,0.019851699992348922,0.03779186943513246
SCGB1A1,3.6266331226234265,-0.0014731488374476404,-0.06519147365073952
NPIPB15,3.5662328814731166,-0.014228278951911021,0.013967828778917711
NTM,3.538898887615527,0.02160212127802211,-0.01222291167381849
FAM83A,3.5263914228223445,0.05184120838843172,0.04852602824195885
UBD,3.5160127513510893,0.05649822571318422,-0.014243235980380933
SHISA3,3.513247955936768,0.04448772999062397,-0.0020749483133689537
MMP13,3.472910269396945,0.03504144261474384,0.027424312682808
IFI6,3.4677173296753807,0.04913505262103802,-0.012950157462048752
CEACAM6,3.400490185681991,0.05632433323201176,0.001995807515919112
EREG,3.3659767001486407,0.036658350142216835,0.01296570945435619
LGR4,3.3438259593649446,0.050069443794124584,0.03527575542318305
ANGPTL4,3.325979745710518,0.021641339497442607,0.06172295557206389
CTHRC1,3.3220757224543807,0.061501694527302475,0.010276047822550378
CP,3.317232467921003,0.05092545856425386,0.039766360856334323
SERTM2,3.2869567408586047,0.0010720443352305587,0.0034681605688400598
MUC4,3.2675231960627684,0.02955663227614218,0.020471370684288736
BST2,3.216602108754496,0.05629768423877185,-0.0034516580881964075
CXCL9,3.2148899213621727,0.04619947735785086,-0.026507777708763957
CLDN2,3.20202768101709,0.02750468933854515,0.04017465620206068
SYT12,3.1938572525190576,0.04512114074006869,0.04316050765355989
TNIP3,3.186735749421386,-0.0030459512973122537,0.05091817887196667
CXCL10,3.186667707604169,0.049341655996907895,-0.025804247121610568
UCHL1,3.171870850673642,0.03105242290553774,0.03883011169695048
FGA,3.104226684025549,0.003514467736957041,0.01844086637023172
DSP,3.091708723261883,0.04012661663559508,-0.014832753462927126
HIST1H1B,3.0883841060823323,0.05077733538427156,-0.018734855350380945
MYBPH,3.0852251678122484,-0.021017337385782504,0.06737520216146367
TMPRSS4,3.0794458967287808,0.044416170053608615,0.04378732057916674
MUC21,3.07388716509433,0.034979929661926985,0.02904580495743186
CYP3A5,3.0495753125203326,-0.027806416242724806,0.036482517998278265
AZGP1,3.036368157547761,-0.0006115915860331571,-0.005268550668139313
PDLIM4,3.007518900654754,0.04132136089719152,0.04183688134058458
ERN2,3.007244204400756,0.028500891724053543,0.017547559017281115
BPIFB1,2.9913906006995035,0.018829067508089155,-0.02890103537419577
SLC27A2,2.984138501598691,0.01981591280938478,0.040501635487513475
AKR1C2,2.9775799487113463,0.021128263914647,0.03939386665546862
AGTR2,2.968177337966266,0.001587290188544556,-0.025877976191980644
KRT80,2.9632866418801274,0.05365442255515554,0.04215746662862724
MDK,2.955953262506797,0.05842202484147711,0.018420888443951764
SLC13A2,2.946545176229475,-0.028074519629401037,-0.014152883526235263
PCP4,2.93373229448619,0.05508173358339035,0.011195823813004987
DDTL,2.9166465572488245,0.0024749133738304423,-0.003866751114798654
PCSK2,2.914633269055888,0.0011969452266437262,0.01723445389887242
DNAJC12,2.8940641586493454,0.03742203187782348,0.03997827632582084
IDO1,2.8901579833810422,0.04295788750694963,0.0013394358941432177
FAM71A,2.8869964887656376,-0.021509865881133235,0.010353923303364366
ICAM4,2.8851903793461497,-0.03142882176277099,0.04977495260678923
GCNT3,2.8455615312859757,0.04655394028021096,0.0440245382702319
LGSN,2.826749251530047,0.03192129788919477,0.0388159324936677
SERPIND1,2.81028679402515,0.02043804707709735,0.008971103052992747
THSD8,2.805039767760192,-0.023146881958612746,-0.02405225387460862
IL6,2.7991412609165716,-0.0175562196456578,0.04966001888540227
CH25H,2.7816721459065636,0.026505492687302748,0.02344848510113248
TMEM213,2.779193955098032,-0.010589218028825714,-0.028987913003668108
MUC5AC,2.770598624102768,0.0020439583844648447,0.007297143327955004
KRT17,2.7704726134391815,0.018617798704669807,0.047499357843995345
CCL2,2.764604725864393,0.0017464495689149713,0.05380450803010016
GPX2,2.7568590105731516,0.03441407933797337,0.028854154931675487
C2CD4A,2.7477876143665494,0.04004523848470105,0.03336470238398302
APOD,2.7463548299601537,0.030209222380797863,0.008827995586633289
TESC,2.740850052551707,0.03550096001248897,0.03275622220767368
PENK,2.7343557168874013,-0.024650696054875645,0.013920755185618552
GFRA3,2.7336287168057245,0.03423326781243665,0.020442540828311026
AC008397.1,2.7277101033679094,-0.02548812770859382,-0.028240878610696806
IGFBP2,2.7243583960090376,0.03599853363387495,0.01691911193393751
KCNN4,2.7201517192545954,0.04237511731031279,0.02992128674397774
CHIT1,2.7178574676714726,0.027404088990553393,-0.019516012116745706
SIX1,2.7112189056176157,0.04324525731953607,0.0348952189626854
FHL2,2.684869008296632,0.03976361112859243,0.04595732377746324
ISG15,2.649998676852769,0.050042300689780966,-0.010511591825477281
NRGN,2.648454769258956,-0.004495806148758124,0.005696308495975177
IFI44L,2.608408625148294,0.04056969743263393,0.012994745170885525
PRLH,2.608197657333779,-0.02724364389821361,-0.015477455472741992
CCL19,2.6054567071465855,0.04909452968799852,-0.012959979851343771
IGFBP6,2.5999456633883598,0.038073088030239094,-0.024478365211510526
PLA2G4E,2.5778092305333353,0.01520800341369925,0.006958019316023317
ALDH1A2,2.5551560499286987,0.011886858729683286,-0.021566179860648325
MT-ND2,2.5498605107155554,0.01643091589073527,-0.012739564643489942
IQCN,2.542916716101147,-0.040733983765524305,0.0025519544591971035
GCLC,2.5409029509288996,0.04438290015739448,0.02270831137764067
IFI27,2.533139571184873,0.04832727409191768,-0.018559365130517185
GPNMB,2.5178153005973565,0.04162487316124197,-0.023187295248633534
MZB1,2.5169638961493583,0.044148827043858696,-0.01228389861560411
ADAMTS4,2.514802316880559,0.00241072066755204,0.04549322627542779
ITGB3,2.5051121281172324,0.049573907150930796,0.02459257726771019
MARCKSL1,2.4919389093200026,0.05255956291431765,0.011264903139841628
SFRP5,2.4827935235663285,0.0004176863938086518,-0.03806595098714237
CDHR1,2.481298335821927,0.005093108145619124,-0.01538619428040417
ITGA2,2.4807525995633304,0.037344116308246675,0.05205015950779691
CDKN2A,2.4783079841631546,0.032894817274390045,0.02224325494985195
MX2,2.4742594426898035,0.03751022448055526,0.04549952391014074
TOP2A,2.4709010310623762,0.0477810487296797,-0.012456781390777353
RAB7B,2.454999954411184,0.023523512170384675,0.05780644074463103
SLC6A4,2.453342928838246,-0.0192023329114444,-0.060488613058966204
SFRP2,2.4393807986757894,0.04212238940692475,-0.02516455418275972
NPAS3,2.422826119524726,0.0002663476272582714,0.054631918810580216
C1QB,2.422655341190168,0.04251949703469922,-0.04157783291634539
TIMP1,2.422352620566959,0.04950517257771559,0.03232990446928837
SERPINE1,2.4208860009057998,0.011201319992281009,0.028517487886793872
UCN3,2.403997222899673,0.021330104243391712,-0.00874080527360837
ABCA4,2.4034633808841783,0.031628268003879266,0.0018640806193200464
BPIFA1,2.386330645584632,0.014411347985963493,-0.016763611540037072
CCL18,2.377466371205119,0.04023229715424466,-0.024359749617547045
ZNF90,2.376094181460381,-0.018528548067446332,-0.005976823578719215
MARCO,2.375756239958593,0.02177414386374151,-0.04762890722587025
PTPRN2,2.371229778987921,0.007496524640768128,-0.0013281939861899184
PLAUR,2.370117079972018,0.0072891194088000565,0.05331220475275306
TMEM88,2.368178778839923,-0.031040077371590973,0.051868516276854376
ARHGAP40,2.3610353022935247,0.01862113362126269,0.035917769725168996
CXCL1,2.3578836627880935,-0.012932666244194575,0.02530263132270465
TRBC2,2.3573074678011943,0.050978932873657776,-0.03104738996385241
SLC2A1,2.3567339489938317,0.046403231192347495,0.03729744424412182
