compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,gobp,GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION,62,2.921561652380594,0.0,0.0,1.1597665866190159,0.3039318803453962,True,False,Not established
macrophages,gobp,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,104,2.9179835733570694,0.0,0.0,0.7542028766245038,0.9158260524329582,True,False,Not established
macrophages,gobp,GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION,60,2.9068755382809384,0.0,0.0,0.9518468719813421,0.6314517115444367,True,False,Not established
macrophages,gobp,GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,55,2.8956378038328,0.0,0.0,1.5402467187544095,0.07104106681604076,True,False,Not established
macrophages,gobp,GOBP_CELLULAR_RESPIRATION,215,2.892080764484377,0.0,0.0,1.068837449083014,0.4193653278112993,True,False,Not established
macrophages,gobp,GOBP_CHROMOSOME_SEPARATION,79,2.8271708620878995,0.0,0.0,1.0839109138177434,0.4081387812448303,True,False,Not established
macrophages,gobp,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,184,2.826284187628814,0.0,0.0,1.3534901349132715,0.16248863482339582,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,110,2.81988392416178,0.0,0.0,1.4778673054414122,0.09314745395310275,True,False,Not established
macrophages,gobp,GOBP_CYTOPLASMIC_TRANSLATION,154,2.7461097716013825,0.0,0.0,-1.8678633899110524,0.009768278799897176,True,False,Not established
macrophages,gobp,GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY,24,2.7299756898345384,0.0,0.0,1.181276991488324,0.2763082971872046,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_NUCLEAR_DIVISION,131,2.6958990456926224,0.0,0.0,1.4650589100121474,0.09981163644782118,True,False,Not established
