cohort,celltype,n_donors_ipf,n_donors_control,ipf_AREG,control_AREG,delta_AREG,ipf_HBEGF,control_HBEGF,delta_HBEGF,ipf_EREG,control_EREG,delta_EREG,ipf_EGFR,control_EGFR,delta_EGFR
E3_GSE135893,Monocytes,8,8,0.5278,0.5974,-0.0695,0.4966,0.443,0.0537,0.375,0.5624,-0.1873,0.0,0.0,0.0
E3_GSE135893,AT1,3,5,0.25,0.0278,0.2222,0.3,0.25,0.05,0.0,0.0,0.0,0.4,0.4904,-0.0904
E3_GSE135893,MUC5B+,10,5,0.1939,0.0769,0.117,0.0895,0.0431,0.0464,0.0421,0.0,0.0421,0.249,0.2692,-0.0202
E3_GSE135893,Smooth Muscle Cells,7,3,0.0588,0.0417,0.0171,0.0714,0.0278,0.0436,0.0,0.0,0.0,0.069,0.3056,-0.2366
E3_GSE135893,B Cells,6,3,0.2835,0.16,0.1235,0.0667,0.0303,0.0364,0.0647,0.0,0.0647,0.0,0.0,0.0
E3_GSE135893,T Cells,7,7,0.267,0.2,0.067,0.037,0.0051,0.0319,0.0041,0.0032,0.0009,0.0,0.0,0.0
E3_GSE135893,Endothelial Cells,11,9,0.1083,0.0267,0.0816,0.1921,0.1638,0.0283,0.0035,0.0057,-0.0022,0.0532,0.1501,-0.0969
E3_GSE135893,Ciliated,12,8,0.2551,0.1207,0.1344,0.0121,0.0036,0.0085,0.011,0.0067,0.0042,0.1433,0.1921,-0.0488
E3_GSE135893,Myofibroblasts,8,4,0.0922,0.0167,0.0755,0.0655,0.0601,0.0054,0.0142,0.0,0.0142,0.1601,0.2575,-0.0974
E3_GSE135893,NK Cells,6,8,0.63,0.5292,0.1007,0.0083,0.0078,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
E3_GSE135893,Lymphatic Endothelial Cells,3,3,0.0,0.0213,-0.0213,0.0209,0.021,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
E3_GSE135893,Macrophages,12,10,0.4913,0.4539,0.0373,0.5082,0.5593,-0.0511,0.2359,0.3339,-0.098,0.001,0.0002,0.0008
E3_GSE135893,Fibroblasts,3,3,0.1034,0.0175,0.0859,0.0,0.1364,-0.1364,0.0,0.0,0.0,0.2,0.5455,-0.3455
